<video_id>tghoDZB3Z7g</video_id>	NP	<video_id>tghoDZB3Z7g</video_id>
to	TO	to
be	VB	be
coming	VVG	come
in	IN	in
after	IN	after
a	DT	a
ceasefire	NN	ceasefire
is	VBZ	be
signed	VVN	sign
seems	VVZ	seem
that	RB	that
that	IN/that	that
the	DT	the
Americans	NPS	Americans
uh	UH	uh
have	VHP	have
taken	VVN	take
it	PP	it
upon	IN	upon
themselves	PP	themselves
to	TO	to
deal	VV	deal
with	IN	with
Netanyahu	NP	Netanyahu
and	CC	and
Israel	NP	Israel
on	IN	on
the	DT	the
question	NN	question
of	IN	of
narim	NN	narim
and	CC	and
the	DT	the
movement	NN	movement
of	IN	of
population	NN	population
and	CC	and
why	WRB	why
Israel	NP	Israel
really	RB	really
must	MD	must
withdraw	VV	withdraw
its	PP$	its
uh	UH	uh
its	PP$	its
soldiers	NNS	soldier
from	IN	from
the	DT	the
middle	NN	middle
of	IN	of
Gaza	NP	Gaza
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
uh	UH	uh
Philadelphia	NP	Philadelphia
this	DT	this
is	VBZ	be
more	JJR	more
of	IN	of
an	DT	an
issue	NN	issue
that	WDT	that
concerns	VVZ	concern
Egypt	NP	Egypt
because	IN	because
you	PP	you
know	VVP	know
Egypt	NP	Egypt
is	VBZ	be
the	DT	the
country	NN	country
to	TO	to
the	DT	the
South	NP	South
with	IN	with
a	DT	a
peace	NN	peace
agreement	NN	agreement
with	IN	with
Israel	NP	Israel
so	IN	so
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
handled	VVN	handle
with	IN	with
Israel	NP	Israel
and	CC	and
isra	NP	Isra
with	IN	with
the	DT	the
Egypt	NP	Egypt
and	CC	and
the	DT	the
Israeli	JJ	Israeli
military	NN	military
as	RB	as
to	TO	to
the	DT	the
nature	NN	nature
if	IN	if
any	DT	any
at	IN	at
all	DT	all
Hamas	NN	Hamas
rejects	VVZ	reject
the	DT	the
presence	NN	presence
of	IN	of
any	DT	any
Israeli	JJ	Israeli
uh	UH	uh
presence	NN	presence
in	IN	in
the	DT	the
Philadelphia	NP	Philadelphia
C	NP	C
and	CC	and
as	RB	as
far	RB	far
as	IN	as
the	DT	the
RAF	NN	RAF
Crossing	NN	crossing
that	WDT	that
remains	VVZ	remain
to	TO	to
be	VB	be
a	DT	a
bit	NN	bit
of	IN	of
an	DT	an
enigma	NN	enigma
the	DT	the
Israelis	NPS	Israelis
don't	NN	don't
want	VVP	want
a	DT	a
PA	NN	pa
a	DT	a
Palestinian	JJ	Palestinian
Authority	NP	Authority
presence	NN	presence
they	PP	they
certainly	RB	certainly
don't	VVD	don't
want	VV	want
the	DT	the
hamash	NN	hamash
presence	NN	presence
it	PP	it
remains	VVZ	remain
to	TO	to
be	VB	be
seen	VVN	see
whether	IN	whether
the	DT	the
Palestinians	NPS	Palestinians
can	MD	can
work	VV	work
out	RP	out
some	DT	some
some	RB	some
some	DT	some
sort	NN	sort
of	IN	of
a	DT	a
formula	NN	formula
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
whereby	WRB	whereby
it'll	NN	it'll
be	VB	be
Pro	NP	Pro
uh	UH	uh
provential	JJ	provential
provisional	JJ	provisional
and	CC	and
workable	JJ	workable
but	CC	but
Marwan	NP	Marwan
these	DT	these
are	VBP	be
so	RB	so
these	DT	these
are	VBP	be
all	DT	all
important	JJ	important
um	NN	um
what	WP	what
the	DT	the
mediators	NNS	mediator
are	VBP	be
referring	VVG	refer
to	TO	to
as	IN	as
details	NNS	detail
right	RB	right
important	JJ	important
details	NNS	detail
within	IN	within
a	DT	a
possible	JJ	possible
framework	NN	framework
agreement	NN	agreement
but	CC	but
I'm	NN	I'm
still	RB	still
thinking	VVG	think
about	IN	about
the	DT	the
main	JJ	main
part	NN	part
of	IN	of
this	DT	this
agreement	NN	agreement
which	WDT	which
is	VBZ	be
it's	NN	it's
supposed	VVN	suppose
to	TO	to
end	VV	end
the	DT	the
war	NN	war
and	CC	and
until	IN	until
recently	RB	recently
you	PP	you
were	VBD	be
still	RB	still
hearing	VVG	hear
from	IN	from
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
this	DT	this
this	DT	this
war	NN	war
will	MD	will
not	RB	not
end	VV	end
until	IN	until
we've	NN	we've
totally	RB	totally
um	RB	um
defeated	VVN	defeat
Hamas	JJ	Hamas
we've	NN	we've
WIP	NN	WIP
them	PP	them
out	RB	out
remove	VV	remove
them	PP	them
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
you	PP	you
still	RB	still
heard	VVD	hear
from	IN	from
Hamas	JJ	Hamas
uh	UH	uh
we're	NN	we're
not	RB	not
signing	VVG	sign
a	DT	a
deal	NN	deal
that	WDT	that
doesn't	VVD	doesn't
totally	RB	totally
end	VV	end
the	DT	the
war	NN	war
so	IN	so
that's	NNS	that's
you	PP	you
know	VVP	know
that's	NNS	that's
the	DT	the
big	JJ	big
that's	NN	that's
the	DT	the
really	RB	really
huge	JJ	huge
thing	NN	thing
that	IN/that	that
they	PP	they
still	RB	still
seem	VVP	seem
to	TO	to
have	VH	have
no	DT	no
agreement	NN	agreement
on	IN	on
until	IN	until
recently	RB	recently
yes	RB	yes
absolutely	RB	absolutely
but	CC	but
listen	VV	listen
just	RB	just
to	TO	to
so	RB	so
so	RB	so
that	IN/that	that
you	PP	you
and	CC	and
I	PP	I
can	MD	can
be	VB	be
on	IN	on
the	DT	the
same	JJ	same
page	NN	page
and	CC	and
it's	NNS	it's
very	RB	very
important	JJ	important
for	IN	for
me	PP	me
that	IN/that	that
you	PP	you
and	CC	and
I	PP	I
are	VBP	be
on	IN	on
the	DT	the
same	JJ	same
page	NN	page
these	DT	these
are	VBP	be
not	RB	not
details	NNS	detail
right	RB	right
sure	RB	sure
I	PP	I
mean	VVP	mean
whether	IN	whether
there	EX	there
is	VBZ	be
or	CC	or
there	RB	there
isn't	JJ	isn't
Israeli	JJ	Israeli
military	JJ	military
presence	NN	presence
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
Gaza	NP	Gaza
or	CC	or
in	IN	in
the	DT	the
South	JJ	South
part	NN	part
of	IN	of
Gaza	NP	Gaza
or	CC	or
in	IN	in
the	DT	the
RAF	NN	RAF
Crossing	VVG	cross
this	DT	this
is	VBZ	be
by	IN	by
definition	NN	definition
whether	IN	whether
the	DT	the
war	NN	war
continues	VVZ	continue
or	CC	or
the	DT	the
occupation	NN	occupation
continues	VVZ	continue
today	NN	today
as	IN	as
it	PP	it
has	VHZ	have
the	DT	the
last	JJ	last
10	CD	@card@
months	NNS	month
but	CC	but
the	DT	the
root	NN	root
causes	VVZ	cause
for	IN	for
the	DT	the
war	NN	war
continue	VV	continue
so	RB	so
it's	JJ	it's
a	DT	a
very	RB	very
important	JJ	important
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
with	IN	with
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
presence	NN	presence
the	DT	the
details	NNS	detail
are	VBP	be
more	JJR	more
into	IN	into
how	WRB	how
many	JJ	many
what	WP	what
day	NN	day
will	MD	will
be	VB	be
released	VVN	release
and	CC	and
then	RB	then
how	WRB	how
many	RB	many
will	MD	will
be	VB	be
released	VVN	release
in	IN	in
the	DT	the
second	JJ	second
week	NN	week
and	CC	and
what	WP	what
happens	VVZ	happen
in	IN	in
terms	NNS	term
of	IN	of
Israeli	JJ	Israeli
redeployment	NN	redeployment
during	IN	during
that	WDT	that
time	NN	time
this	DT	this
these	DT	these
are	VBP	be
the	DT	the
details	NNS	detail
these	DT	these
are	VBP	be
the	DT	the
implementation	NN	implementation
details	NNS	detail
now	RB	now
I	PP	I
agree	VVP	agree
with	IN	with
you	PP	you
about	IN	about
the	DT	the
fact	NN	fact
that	IN/that	that
even	RB	even
if	IN	if
this	DT	this
is	VBZ	be
signed	VVN	sign
does	VVZ	do
this	DT	this
really	RB	really
mean	JJ	mean
that	IN/that	that
it's	NNS	it's
all	DT	all
um	JJ	um
uh	UH	uh
you	PP	you
know	VVP	know
Rejoice	VV	rejoice
about	IN	about
peace	NN	peace
and	CC	and
stability	NN	stability
absolutely	RB	absolutely
not	RB	not
I	PP	I
have	VHP	have
always	RB	always
been	VBN	be
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
got	VVN	get
got	VVN	get
away	RB	away
with	IN	with
genocide	NN	genocide
and	CC	and
I	PP	I
don't	VVD	don't
think	VV	think
the	DT	the
traces	NNS	trace
of	IN	of
genocide	NN	genocide
are	VBP	be
going	VVG	go
to	TO	to
disappear	VV	disappear
overnight	RB	overnight
and	CC	and
I	PP	I
don't	VVD	don't
think	VV	think
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
going	VVG	go
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
overnight	JJ	overnight
and	CC	and
I	PP	I
don't	VVD	don't
think	VV	think
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
going	VVG	go
to	TO	to
try	VV	try
to	TO	to
avoid	VV	avoid
or	CC	or
miss	VV	miss
a	DT	a
chance	NN	chance
to	TO	to
say	VV	say
assassinate	VV	assassinate
sunir	NN	sunir
next	JJ	next
week	NN	week
when	WRB	when
there	EX	there
is	VBZ	be
a	DT	a
ceasefire	NN	ceasefire
right	NN	right
so	IN	so
the	DT	the
the	DT	the
the	DT	the
chances	NNS	chance
for	IN	for
Reckless	JJ	reckless
Behavior	NN	behavior
and	CC	and
the	DT	the
chances	NNS	chance
for	IN	for
this	DT	this
thing	NN	thing
to	TO	to
be	VB	be
torpedoed	VVN	torpedo
and	CC	and
the	DT	the
chances	NNS	chance
for	IN	for
Israel	NP	Israel
to	TO	to
walk	VV	walk
away	RP	away
after	IN	after
the	DT	the
first	JJ	first
phase	NN	phase
when	WRB	when
most	JJS	most
of	IN	of
its	PP$	its
captives	NNS	captive
are	VBP	be
released	VVN	release
are	VBP	be
very	RB	very
high	JJ	high
the	DT	the
Americans	NPS	Americans
have	VHP	have
given	VVN	give
the	DT	the
guarantees	NNS	guarantee
that	IN/that	that
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
to	TO	to
the	DT	the
mediators	NNS	mediator
that	IN/that	that
they	PP	they
will	MD	will
work	VV	work
with	IN	with
the	DT	the
Israelis	NPS	Israelis
so	RB	so
as	RB	as
to	TO	to
not	RB	not
relaunch	VV	relaunch
the	DT	the
war	NN	war
but	CC	but
they	PP	they
seem	VVP	seem
to	TO	to
have	VH	have
also	RB	also
given	VVN	give
guarantees	NNS	guarantee
to	TO	to
Netanyahu	NP	Netanyahu
that	IN/that	that
if	IN	if
he	PP	he
must	MD	must
relaunch	VV	relaunch
the	DT	the
war	NN	war
then	RB	then
they're	JJ	they're
not	RB	not
going	VVG	go
to	TO	to
stand	VV	stand
in	IN	in
his	PP$	his
way	NN	way
which	WDT	which
means	VVZ	mean
that	IN/that	that
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
eventualities	NNS	eventuality
are	VBP	be
left	VVN	leave
in	IN	in
the	DT	the
hands	NNS	hand
of	IN	of
the	DT	the
Americans	NPS	Americans
which	WDT	which
means	VVZ	mean
the	DT	the
Americans	NPS	Americans
are	VBP	be
the	DT	the
sponsor	NN	sponsor
as	IN	as
the	DT	the
mediator	NN	mediator
and	CC	and
the	DT	the
partner	NN	partner
of	IN	of
Israel	NP	Israel
will	MD	will
be	VB	be
uh	UH	uh
directly	RB	directly
implicated	VVN	implicate
in	IN	in
the	DT	the
implementation	NN	implementation
of	IN	of
this	DT	this
three-phased	JJ	three-phased
agreements	NNS	agreement
until	IN	until
it's	NNS	it's
fully	RB	fully
implemented	VVN	implement
Al	NP	Al
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
Marwan	NP	Marwan
Bashar	NP	Bashar
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
Maran	NP	Maran
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
