welcome	JJ	welcome
out	RP	out
over	IN	over
the	DT	the
the	DT	the
passing	NN	passing
of	IN	of
his	PP$	his
mother	NN	mother
and	CC	and
his	PP$	his
uh	UH	uh
his	PP$	his
brother	NN	brother
his	PP$	his
his	PP$	his
sister	NN	sister
as	IN	as
well	RB	well
and	CC	and
his	PP$	his
sister	NN	sister
'	POS	'
s	NN	S
son	NN	son
whole	JJ	whole
family	NN	family
and	CC	and
everyone	NN	everyone
'	''	'
s	VVG	s
he	PP	he
he	PP	he
would	MD	would
be	VB	be
telling	VVG	tell
us	PP	us
how	WRB	how
much	JJ	much
void	NN	void
that	WDT	that
created	VVD	create
in	RP	in
in	IN	in
in	IN	in
his	PP$	his
life	NN	life
there	EX	there
is	VBZ	be
life	NN	life
has	VHZ	have
no	DT	no
taste	NN	taste
anymore	RB	anymore
because	IN	because
of	IN	of
uh	UH	uh
uh	UH	uh
he	PP	he
would	MD	would
describe	VV	describe
when	WRB	when
this	DT	this
war	NN	war
is	VBZ	be
over	IN	over
how	WRB	how
he	PP	he
would	MD	would
go	VV	go
home	NN	home
and	CC	and
if	IN	if
the	DT	the
home	NN	home
is	VBZ	be
still	RB	still
standing	VVG	stand
how	WRB	how
would	MD	would
we	PP	we
go	VV	go
home	NN	home
who	WP	who
would	MD	would
be	VB	be
checking	VVG	check
on	IN	on
him	PP	him
who	WP	who
would	MD	would
be	VB	be
asking	VVG	ask
about	IN	about
his	PP$	his
favorite	JJ	favorite
meal	NN	meal
or	CC	or
favorite	JJ	favorite
uh	UH	uh
presence	NN	presence
in	IN	in
partic	JJ	partic
in	IN	in
special	JJ	special
occasions	NNS	occasion
I	PP	I
mean	VVP	mean
he	PP	he
he	PP	he
would	MD	would
catalog	NN	catalog
all	RB	all
of	IN	of
these	DT	these
things	NNS	thing
that	WDT	that
uh	UH	uh
a	DT	a
person	NN	person
who	WP	who
who	WP	who
enjoys	VVZ	enjoy
a	DT	a
special	JJ	special
bond	NN	bond
with	IN	with
his	PP$	his
family	NN	family
particular	JJ	particular
with	IN	with
his	PP$	his
mother	NN	mother
would	MD	would
be	VB	be
talking	VVG	talk
about	RB	about
and	CC	and
would	MD	would
be	VB	be
try	VV	try
to	TO	to
talk	VV	talk
him	PP	him
because	IN	because
we	PP	we
know	VVP	know
like	IN	like
if	IN	if
he	PP	he
if	IN	if
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
get	VV	get
him	PP	him
to	TO	to
close	VV	close
what	WP	what
be	VB	be
happen	VV	happen
he	PP	he
would	MD	would
be	VB	be
more	JJR	more
much	RB	much
more	RBR	more
stronger	JJR	strong
to	TO	to
accept	VV	accept
the	DT	the
fact	NN	fact
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
already	RB	already
happening	VVG	happen
and	CC	and
the	DT	the
best	JJS	good
that	IN/that	that
he	PP	he
could	MD	could
be	VB	be
doing	VVG	do
is	VBZ	be
to	TO	to
is	VBZ	be
to	TO	to
pray	VV	pray
for	IN	for
them	PP	them
and	CC	and
be	VB	be
the	DT	the
good	JJ	good
example	NN	example
the	DT	the
his	PP$	his
mom	NN	mom
always	RB	always
wanted	VVD	want
him	PP	him
to	TO	to
be	VB	be
and	CC	and
uh	UH	uh
never	RB	never
crossed	VVN	cross
our	PP$	our
mind	NN	mind
that	IN/that	that
he	PP	he
would	MD	would
be	VB	be
in	IN	in
he	PP	he
would	MD	would
end	VV	end
up	RP	up
in	IN	in
the	DT	the
same	JJ	same
situation	NN	situation
as	IN	as
his	PP$	his
family	NN	family
and	CC	and
his	PP$	his
his	PP$	his
his	PP$	his
siblings	NNS	sibling
in	IN	in
the	DT	the
up	RB	up
with	IN	with
and	CC	and
uh	UH	uh
our	PP$	our
heart	NN	heart
goes	VVZ	go
for	IN	for
his	PP$	his
father	NN	father
who	WP	who
has	VHZ	have
endured	VVN	endure
so	RB	so
much	JJ	much
uh	UH	uh
not	RB	not
only	RB	only
his	PP$	his
family	NN	family
member	NN	member
but	CC	but
also	RB	also
the	DT	the
extended	JJ	extended
family	NN	family
were	VBD	be
10	CD	@card@
more	JJR	more
of	IN	of
the	DT	the
larger	JJR	large
the	DT	the
extended	JJ	extended
family	NN	family
D	NP	D
family	NN	family
were	VBD	be
killed	VVN	kill
as	IN	as
well	RB	well
and	CC	and
also	RB	also
his	PP$	his
his	PP$	his
colleague	NN	colleague
and	CC	and
cooworker	NN	cooworker
uh	UH	uh
Sam	NP	Sam
Abu	NP	Abu
Daka	NP	Daka
and	CC	and
and	CC	and
other	JJ	other
colleagues	NNS	colleague
at	IN	at
Al	NP	Al
jazer	NN	jazer
just	RB	just
hard	RB	hard
hard	JJ	hard
to	TO	to
believe	VV	believe
that	IN/that	that
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
happening	VVG	happen
again	RB	again
nothing	NN	nothing
seems	VVZ	seem
to	TO	to
be	VB	be
protecting	VVG	protect
journalists	NNS	journalist
and	CC	and
the	DT	the
job	NN	job
they	PP	they
'	POS	'
re	NN	re
doing	VVG	do
on	IN	on
the	DT	the
ground	NN	ground
documenting	VVG	document
all	DT	all
of	IN	of
these	DT	these
atrocities	NNS	atrocity
and	CC	and
crimes	NNS	crime
committed	VVN	commit
by	IN	by
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
and	CC	and
of	IN	of
course	NN	course
honey	NN	honey
while	IN	while
you	PP	you
'	POS	'
re	NN	re
speaking	VVG	speak
to	TO	to
me	PP	me
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
the	DT	the
very	RB	very
latest	JJS	late
pictures	NNS	picture
of	IN	of
while	IN	while
uh	UH	uh
at	IN	at
the	DT	the
side	NN	side
of	IN	of
uh	UH	uh
his	PP$	his
son	NN	son
'	POS	'
s	JJ	s
body	NN	body
with	IN	with
other	JJ	other
colleagues	NNS	colleague
and	CC	and
friends	NNS	friend
trying	VVG	try
to	TO	to
console	VV	console
as	IN	as
you	PP	you
say	VVP	say
a	DT	a
heartbroken	JJ	heartbroken
father	NN	father
who	WP	who
has	VHZ	have
has	VHZ	have
lost	VVN	lose
a	DT	a
great	JJ	great
deal	NN	deal
and	CC	and
is	VBZ	be
one	CD	one
of	IN	of
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
that	WDT	that
has	VHZ	have
lost	VVN	lose
family	NN	family
members	NNS	member
you	PP	you
touched	VVD	touch
on	IN	on
the	DT	the
fact	NN	fact
that	IN/that	that
you	PP	you
know	VVP	know
there	EX	there
is	VBZ	be
no	DT	no
protection	NN	protection
for	IN	for
journalists	NNS	journalist
there	EX	there
is	VBZ	be
no	DT	no
protection	NN	protection
for	IN	for
anybody	NN	anybody
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
despite	IN	despite
the	DT	the
the	DT	the
the	DT	the
the	DT	the
title	NN	title
of	IN	of
safe	JJ	safe
zones	NNS	zone
given	VVN	give
by	IN	by
the	DT	the
Israelis	NNS	Israeli
how	WRB	how
difficult	JJ	difficult
is	VBZ	be
it	PP	it
in	IN	in
your	PP$	your
opinion	NN	opinion
right	RB	right
now	RB	now
to	TO	to
even	RB	even
designate	VV	designate
any	DT	any
area	NN	area
in	IN	in
Gaza	NP	Gaza
a	DT	a
safe	JJ	safe
Zone	NP	Zone
oh	UH	oh
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
hard	RB	hard
there	RB	there
there	RB	there
safe	JJ	safe
zones	NNS	zone
do	VVP	do
not	RB	not
exist	VV	exist
at	IN	at
all	DT	all
they	PP	they
only	RB	only
exist	VVP	exist
in	IN	in
the	DT	the
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
narratives	NNS	narrative
it	PP	it
'	POS	'
s	NN	S
just	RB	just
something	NN	something
for	IN	for
publicity	NN	publicity
that	IN/that	that
they	PP	they
use	VVP	use
something	NN	something
that	IN/that	that
the	DT	the
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
mil	NN	mil
military	NN	military
wanted	VVD	want
to	TO	to
look	VV	look
good	JJ	good
in	IN	in
front	NN	front
of	IN	of
uh	UH	uh
the	DT	the
foreign	JJ	foreign
media	NNS	medium
platform	NN	platform
that	IN/that	that
they	PP	they
'	''	'
re	IN	re
doing	VVG	do
everything	NN	everything
possible	JJ	possible
or	CC	or
because	IN	because
the	DT	the
US	NP	US
has	VHZ	have
nicely	RB	nicely
asked	VVN	ask
them	PP	them
to	TO	to
uh	UH	uh
not	RB	not
to	TO	to
kill	VV	kill
civilians	NNS	civilian
and	CC	and
without	IN	without
putting	VVG	put
the	DT	the
pressure	NN	pressure
that	WDT	that
would	MD	would
have	VH	have
caused	VVN	cause
the	DT	the
a	DT	a
practical	JJ	practical
impact	NN	impact
or	CC	or
changed	VVD	change
the	DT	the
course	NN	course
of	IN	of
the	DT	the
way	NN	way
they	PP	they
conduct	VV	conduct
uh	UH	uh
this	DT	this
war	NN	war
it	PP	it
just	RB	just
way	RB	way
for	IN	for
them	PP	them
to	TO	to
to	TO	to
look	VV	look
much	RB	much
better	RBR	well
while	IN	while
committing	VVG	commit
the	DT	the
crime	NN	crime
there	EX	there
are	VBP	be
no	DT	no
safe	JJ	safe
zones	NNS	zone
I	PP	I
'	POS	'
m	NN	m
we	PP	we
'	''	'
re	IN	re
we	PP	we
'	POS	'
re	NN	re
reporting	NN	reporting
from	IN	from
the	DT	the
vicinity	NN	vicinity
of	IN	of
this	DT	this
hospital	NN	hospital
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
safe	JJ	safe
and	CC	and
within	IN	within
the	DT	the
past	JJ	past
few	JJ	few
weeks	NNS	week
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
how	WRB	how
a	DT	a
sudden	JJ	sudden
sudden	JJ	sudden
air	NN	air
strikes	NNS	strike
took	VVD	take
place	NN	place
within	IN	within
the	DT	the
vicinity	NN	vicinity
where	WRB	where
shrapnel	NN	shrapnel
it	PP	it
flew	VVD	fly
at	IN	at
a	DT	a
very	RB	very
high	JJ	high
speed	NN	speed
and	CC	and
hit	VVD	hit
the	DT	the
roof	NN	roof
of	IN	of
our	PP$	our
tent	NN	tent
and	CC	and
almost	RB	almost
killed	VVD	kill
one	CD	one
of	IN	of
our	PP$	our
colleagues	NNS	colleague
inside	IN	inside
the	DT	the
tent	NN	tent
so	IN	so
it	PP	it
just	RB	just
the	DT	the
whole	JJ	whole
narrative	NN	narrative
is	VBZ	be
false	JJ	false
it	PP	it
'	''	'
s	NN	S
misleading	VVG	mislead
and	CC	and
inaccurate	JJ	inaccurate
and	CC	and
and	CC	and
it	PP	it
'	POS	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
fueled	VVD	fuel
by	IN	by
by	IN	by
by	IN	by
a	DT	a
sentiment	NN	sentiment
of	IN	of
of	IN	of
of	IN	of
of	IN	of
genocide	NN	genocide
when	WRB	when
you	PP	you
when	WRB	when
you	PP	you
hear	VVP	hear
an	DT	an
isra	NN	isra
official	NN	official
military	JJ	military
official	NN	official
describing	VVG	describe
an	DT	an
area	NN	area
like	IN	like
the	DT	the
central	JJ	central
area	NN	area
as	IN	as
an	DT	an
over	IN	over
a	DT	a
crowded	JJ	crowded
area	NN	area
full	JJ	full
of	IN	of
terrorists	NNS	terrorist
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
a	DT	a
justification	NN	justification
a	DT	a
pretext	NN	pretext
for	IN	for
whatever	WDT	whatever
is	VBZ	be
going	VVG	go
to	TO	to
happen	VV	happen
next	RB	next
which	WDT	which
is	VBZ	be
already	RB	already
labeling	VVG	label
and	CC	and
and	CC	and
painting	VVG	paint
everyone	NN	everyone
as	IN	as
a	DT	a
terrorist	JJ	terrorist
including	VVG	include
children	NNS	child
women	NNS	woman
and	CC	and
elderly	JJ	elderly
civilians	NNS	civilian
largely	RB	largely
so	IN	so
they	PP	they
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
justification	NN	justification
for	IN	for
the	DT	the
way	NN	way
to	TO	to
K	NP	K
them	PP	them
same	JJ	same
thing	NN	thing
happens	VVZ	happen
to	TO	to
to	TO	to
journalists	NNS	journalist
they	PP	they
'	POS	'
re	NN	re
always	RB	always
labeled	VVD	label
they	PP	they
they	PP	they
always	RB	always
targeted	VVN	target
and	CC	and
attacked	VVN	attack
and	CC	and
it	PP	it
just	RB	just
it	PP	it
just	RB	just
happened	VVD	happen
to	TO	to
be	VB	be
their	PP$	their
their	PP$	their
bad	JJ	bad
luck	NN	luck
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
some	DT	some
good	JJ	good
journalist	NN	journalist
here	RB	here
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
covering	VVG	cover
their	PP$	their
atrocities	NNS	atrocity
and	CC	and
the	DT	the
crimes	NNS	crime
taking	VVG	take
in	IN	in
place	NN	place
and	CC	and
and	CC	and
showing	VVG	show
him	PP	him
to	TO	to
the	DT	the
world	NN	world
I	PP	I
think	VVP	think
that	IN/that	that
'	POS	'
s	NN	S
that	RB	that
'	POS	'
s	NNS	s
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
military	JJ	military
and	CC	and
so	RB	so
many	JJ	many
people	NNS	people
'	POS	'
s	NN	S
opinion	NN	opinion
here	RB	here
that	IN/that	that
the	DT	the
fact	NN	fact
they	PP	they
don	VVP	don
'	''	'
t	NN	t
like	IN	like
that	WDT	that
there	EX	there
there	RB	there
'	POS	'
s	NN	S
so	IN	so
much	JJ	much
good	JJ	good
journalism	NN	journalism
going	VVG	go
on	IN	on
covering	VVG	cover
these	DT	these
details	NNS	detail
tiny	JJ	tiny
details	NNS	detail
of	IN	of
the	DT	the
world	NN	world
you	PP	you
don	VVP	don
'	''	'
t	NN	t
like	IN	like
this	DT	this
fact	NN	fact
and	CC	and
that	IN/that	that
'	POS	'
s	NNS	s
why	WRB	why
uh	UH	uh
journalists	NNS	journalist
are	VBP	be
under	IN	under
constant	JJ	constant
attack	NN	attack
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
it	PP	it
colleagues	NNS	colleague
their	PP$	their
entire	JJ	entire
fames	NNS	fame
wiped	VVN	wipe
out	RP	out
and	CC	and
of	IN	of
course	VV	course
uh	UH	uh
again	RB	again
pictures	NNS	picture
that	IN/that	that
we	PP	we
being	VBG	be
the	DT	the
latest	JJS	late
pictures	NNS	picture
of	IN	of
while	IN	while
quite	RB	quite
distraught	JJ	distraught
obviously	RB	obviously
and	CC	and
one	PP	one
can	MD	can
imagine	VV	imagine
he	PP	he
'	''	'
d	SYM	d
be	VB	be
in	IN	in
that	DT	that
situation	NN	situation
having	VHG	have
lost	VVN	lose
his	PP$	his
uh	UH	uh
son	NN	son
again	RB	again
one	CD	one
of	IN	of
his	PP$	his
fin	NN	fin
one	CD	one
of	IN	of
his	PP$	his
sons	NNS	son
and	CC	and
all	DT	all
of	IN	of
his	PP$	his
children	NNS	child
hany	NN	hany
you	PP	you
know	VVP	know
as	IN	as
you	PP	you
were	VBD	be
talking	VVG	talk
to	TO	to
me	PP	me
and	CC	and
our	PP$	our
viewers	NNS	viewer
would	MD	would
be	VB	be
wondering	VVG	wonder
what	WP	what
that	DT	that
hum	NN	hum
is	VBZ	be
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
describing	VVG	describe
that	DT	that
hum	NN	hum
above	IN	above
your	PP$	your
head	NN	head
for	IN	for
n	NN	n
on	IN	on
three	CD	three
months	NNS	month
now	RB	now
and	CC	and
it	PP	it
is	VBZ	be
an	DT	an
Israeli	JJ	Israeli
drone	VV	drone
uh	UH	uh
it	PP	it
'	POS	'
s	NN	S
surveying	VVG	survey
the	DT	the
area	NN	area
they	PP	they
'	POS	'
re	NN	re
incredibly	RB	incredibly
threatening	VVG	threaten
day	NN	day
in	IN	in
Day	NP	Day
Out	IN	out
24	CD	@card@
hours	NNS	hour
a	DT	a
day	NN	day
yes	RB	yes
indeed	RB	indeed
and	CC	and
I	PP	I
'	POS	'
m	NN	m
I	NP	I
'	POS	'
m	NN	m
standing	NN	standing
right	RB	right
now	RB	now
and	CC	and
hearing	VVG	hear
this	DT	this
drawn	VVN	draw
I	NP	I
'	POS	'
m	NN	m
quite	RB	quite
scared	VVN	scare
I	NP	I
'	POS	'
m	NN	m
quite	RB	quite
scared	VVN	scare
because	IN	because
there	EX	there
is	VBZ	be
no	DT	no
terms	NNS	term
to	TO	to
this	DT	this
war	NN	war
there	RB	there
'	POS	'
s	NN	S
nothing	NN	nothing
is	VBZ	be
going	VVG	go
to	TO	to
stop	VV	stop
any	DT	any
official	NN	official
any	DT	any
soldier	NN	soldier
in	IN	in
the	DT	the
chain	NN	chain
of	IN	of
command	NN	command
because	IN	because
the	DT	the
one	CD	one
who	WP	who
killed	VVD	kill
a	DT	a
3	CD	@card@
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
in	IN	in
a	DT	a
building	NN	building
with	IN	with
her	PP$	her
family	NN	family
can	MD	can
do	VV	do
anything	NN	anything
because	IN	because
someone	NN	someone
in	IN	in
the	DT	the
chain	NN	chain
of	IN	of
thought	NN	thought
it	PP	it
'	POS	'
s	JJ	s
okay	JJ	okay
and	CC	and
now	RB	now
they	PP	they
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
okay	JJ	okay
and	CC	and
it	PP	it
'	POS	'
s	NN	S
fine	NN	fine
just	RB	just
to	TO	to
Target	NP	Target
anyone	NN	anyone
to	TO	to
kill	VV	kill
anyone	NN	anyone
the	DT	the
fact	NN	fact
that	IN/that	that
this	DT	this
drone	NN	drone
hasn	NN	hasn
'	POS	'
t	NN	t
left	VVD	leave
the	DT	the
uh	UH	uh
disguise	NN	disguise
of	IN	of
this	DT	this
particular	JJ	particular
area	NN	area
is	VBZ	be
quite	RB	quite
threatening	JJ	threatening
and	CC	and
risky	JJ	risky
and	CC	and
and	CC	and
often	RB	often
time	VV	time
we	PP	we
we	PP	we
we	PP	we
talk	VVP	talk
to	TO	to
ourselves	PP	ourselves
like	IN	like
is	VBZ	be
it	PP	it
is	VBZ	be
it	PP	it
