all	DT	all
uh	UH	uh
your	PP$	your
uh	UH	uh
one	CD	one
of	IN	of
your	PP$	your
um	NN	um
um	VVG	um
uh	UH	uh
producers	NNS	producer
I	PP	I
believe	VVP	believe
another	DT	another
he	PP	he
he	PP	he
needs	VVZ	need
to	TO	to
be	VB	be
without	IN	without
ASAP	NP	ASAP
because	IN	because
there	RB	there
'	''	'
s	NNS	s
high	JJ	high
risk	NN	risk
of	IN	of
losing	VVG	lose
another	DT	another
limp	NN	limp
will	MD	will
be	VB	be
a	DT	a
bilateral	JJ	bilateral
EMP	NP	Emp
and	CC	and
maybe	RB	maybe
losing	VVG	lose
part	NN	part
of	IN	of
his	PP$	his
fingers	NNS	finger
and	CC	and
um	NNS	um
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
any	DT	any
um	NN	um
any	DT	any
equipments	NNS	equipment
or	CC	or
resources	NNS	resource
to	TO	to
treat	VV	treat
him	PP	him
locally	RB	locally
here	RB	here
he	PP	he
needs	VVZ	need
he	PP	he
needs	VVZ	need
to	TO	to
be	VB	be
sent	VVN	send
out	IN	out
Dr	NP	Dr
ala	NN	ala
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
and	CC	and
for	IN	for
really	RB	really
describing	VVG	describe
to	TO	to
us	PP	us
the	DT	the
situation	NN	situation
at	IN	at
the	DT	the
European	JJ	European
hospital	NN	hospital
just	RB	just
one	CD	one
of	IN	of
few	JJ	few
that	WDT	that
are	VBP	be
functioning	VVG	function
in	IN	in
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
for	IN	for
your	PP$	your
time	NN	time
thanks	NNS	thanks
for	IN	for
having	VHG	have
me	PP	me
on	IN	on
