<video_id>JeN8u7PGHT8</video_id>	JJ	<video_id>JeN8u7PGHT8</video_id>
but	CC	but
uh	UH	uh
at	IN	at
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
the	DT	the
far	RB	far
south	JJ	south
in	IN	in
Rafa	NP	Rafa
we	PP	we
have	VHP	have
been	VBN	be
talking	VVG	talk
to	TO	to
a	DT	a
number	NN	number
of	IN	of
eyewitnesses	NNS	eyewitness
confirming	VVG	confirm
that	IN/that	that
there	EX	there
are	VBP	be
new	JJ	new
orders	NNS	order
evacuation	NN	evacuation
orders	NNS	order
have	VHP	have
been	VBN	be
passed	VVN	pass
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
throughout	IN	throughout
dropping	VVG	drop
leaflets	NNS	leaflet
and	CC	and
voice	NN	voice
calls	NNS	call
to	TO	to
the	DT	the
residents	NNS	resident
there	RB	there
ordering	VVG	order
to	TO	to
flee	VV	flee
from	IN	from
the	DT	the
central	JJ	central
areas	NNS	area
of	IN	of
RA	NP	RA
not	RB	not
only	RB	only
from	IN	from
the	DT	the
Eastern	JJ	eastern
portion	NN	portion
of	IN	of
the	DT	the
city	NN	city
where	WRB	where
battles	NNS	battle
now	RB	now
are	VBP	be
emerging	VVG	emerge
and	CC	and
raging	VVG	rage
there	RB	there
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
they	PP	they
are	VBP	be
expanding	VVG	expand
the	DT	the
spot	NN	spot
of	IN	of
the	DT	the
fighting	NN	fighting
to	TO	to
reach	VV	reach
to	TO	to
the	DT	the
middle	JJ	middle
areas	NNS	area
of	IN	of
arfa	NN	arfa
where	WRB	where
these	DT	these
orders	NNS	order
today	NN	today
have	VHP	have
been	VBN	be
given	VVN	give
earlier	RBR	earlier
to	TO	to
as	IN	as
shabura	NN	shabura
neighborhood	NN	neighborhood
and	CC	and
the	DT	the
vicinity	NN	vicinity
of	IN	of
Al	NP	Al
Kuwaiti	JJ	Kuwaiti
Hospital	NN	hospital
in	IN	in
order	NN	order
to	TO	to
flee	VV	flee
and	CC	and
to	TO	to
no	RB	no
longer	RBR	longer
exist	VV	exist
in	IN	in
that	DT	that
area	NN	area
because	IN	because
it	PP	it
will	MD	will
be	VB	be
uh	UH	uh
in	IN	in
the	DT	the
future	NN	future
a	DT	a
military	JJ	military
operation	NN	operation
zone	NN	zone
for	IN	for
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
so	IN	so
the	DT	the
situation	NN	situation
there	EX	there
is	VBZ	be
completely	RB	completely
D	NN	D
and	CC	and
light	NN	light
of	IN	of
the	DT	the
ongoing	JJ	ongoing
bombardment	NN	bombardment
on	IN	on
the	DT	the
ground	NN	ground
as	IN	as
casualties	NNS	casualty
arriving	VVG	arrive
to	TO	to
Al	NP	Al
Kuwaiti	JJ	Kuwaiti
Hospital	NN	hospital
in	IN	in
an	DT	an
hourly	JJ	hourly
basis	NN	basis
yeah	RB	yeah
and	CC	and
T	NN	T
it	PP	it
where	WRB	where
you	PP	you
are	VBP	be
in	IN	in
front	NN	front
of	IN	of
Al	NP	Al
AA	NN	aa
hospital	NN	hospital
we	PP	we
understand	VVP	understand
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
a	DT	a
number	NN	number
of	IN	of
bodies	NNS	body
who	WP	who
who	WP	who
have	VHP	have
arrived	VVN	arrive
there	RB	there
as	IN	as
well	RB	well
yes	NN	yes
that's	NNS	that's
right	RB	right
we	PP	we
completely	RB	completely
were	VBD	be
shocked	VVN	shock
today	NN	today
with	IN	with
the	DT	the
bodies	NNS	body
being	VBG	be
lined	VVN	line
up	RP	up
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
alaka	NN	alaka
hospital	NN	hospital
20	CD	@card@
bodies	NNS	body
including	VVG	include
children	NNS	child
and	CC	and
families	NNS	family
who	WP	who
are	VBP	be
desperately	RB	desperately
sad	JJ	sad
for	IN	for
the	DT	the
loss	NN	loss
of	IN	of
the	DT	the
family	NN	family
members	NNS	member
as	IN	as
the	DT	the
al-	NP	al-
AA	NN	aa
hospital	NN	hospital
is	VBZ	be
the	DT	the
main	JJ	main
remaining	VVG	remain
Hospital	NN	hospital
in	IN	in
the	DT	the
Adel	NP	Adel
bah	NN	bah
which	WDT	which
is	VBZ	be
responsible	JJ	responsible
for	IN	for
providing	VVG	provide
medical	JJ	medical
treatment	NN	treatment
for	IN	for
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
and	CC	and
in	IN	in
order	NN	order
to	TO	to
know	VV	know
more	RBR	more
about	RB	about
how	WRB	how
the	DT	the
hospital	NN	hospital
is	VBZ	be
operating	VVG	operate
in	IN	in
light	NN	light
of	IN	of
the	DT	the
ongoing	JJ	ongoing
military	JJ	military
genocidal	JJ	genocidal
campaign	NN	campaign
we	PP	we
are	VBP	be
joined	VVN	join
right	RB	right
now	RB	now
by	IN	by
Dr	NP	Dr
Yad	NP	Yad
Muhammad	NP	Muhammad
Jai	NP	Jai
who	WP	who
is	VBZ	be
the	DT	the
deputy	JJ	deputy
director	NN	director
of	IN	of
Hospital	NP	Hospital
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
Dr	NN	Dr
how	WRB	how
are	VBP	be
you	PP	you
coping	VVG	cope
with	IN	with
the	DT	the
current	JJ	current
situation	NN	situation
as	IN	as
the	DT	the
number	NN	number
of	IN	of
casualities	NNS	casualities
and	CC	and
fatalities	NNS	fatality
within	IN	within
the	DT	the
hospital	NN	hospital
is	VBZ	be
rising	VVG	rise
honestly	RB	honestly
speaking	VVG	speak
we	PP	we
are	VBP	be
facing	VVG	face
great	JJ	great
difficulty	NN	difficulty
as	IN	as
we	PP	we
are	VBP	be
flooded	VVN	flood
with	IN	with
an	DT	an
influx	NN	influx
of	IN	of
casualties	NNS	casualty
and	CC	and
uh	UH	uh
people	NNS	people
injured	VVN	injure
in	IN	in
critical	JJ	critical
condition	NN	condition
especially	RB	especially
that	IN/that	that
the	DT	the
condition	NN	condition
is	VBZ	be
mediumsized	JJ	mediumsized
we	PP	we
used	VVD	use
to	TO	to
have	VH	have
200	CD	@card@
beds	NNS	bed
more	RBR	more
as	IN	as
we	PP	we
speak	VVP	speak
we	PP	we
have	VHP	have
more	JJR	more
than	IN	than
inh	NP	inh
house	NN	house
500	CD	@card@
patients	NNS	patient
in	IN	in
addition	NN	addition
to	TO	to
those	DT	those
attended	VVD	attend
to	TO	to
in	IN	in
the	DT	the
makeshift	JJ	makeshift
hospitals	NNS	hospital
we	PP	we
have	VHP	have
are	VBP	be
trying	VVG	try
to	TO	to
do	VV	do
our	PP$	our
best	JJS	good
to	TO	to
set	VV	set
up	RP	up
other	JJ	other
makeshift	JJ	makeshift
hospitals	NNS	hospital
however	RB	however
the	DT	the
number	NN	number
of	IN	of
casualties	NNS	casualty
is	VBZ	be
huge	JJ	huge
we	PP	we
can	MD	can
hardly	RB	hardly
cope	VV	cope
up	RP	up
with	IN	with
the	DT	the
numbers	NNS	number
of	IN	of
victims	NNS	victim
many	JJ	many
of	IN	of
the	DT	the
victims	NNS	victim
are	VBP	be
lying	VVG	lie
on	IN	on
the	DT	the
floor	NN	floor
and	CC	and
we	PP	we
are	VBP	be
performing	VVG	perform
operations	NNS	operation
on	IN	on
the	DT	the
floor	NN	floor
we	PP	we
attending	VVG	attend
to	TO	to
the	DT	the
sick	JJ	sick
and	CC	and
the	DT	the
P	NN	P
the	DT	the
wounded	NN	wounded
on	IN	on
the	DT	the
floor	NN	floor
we	PP	we
are	VBP	be
flooded	VVN	flood
with	IN	with
numbers	NNS	number
High	JJ	high
numbers	NNS	number
of	IN	of
casualties	NNS	casualty
especially	RB	especially
that	IN/that	that
other	JJ	other
hospitals	NNS	hospital
that	WDT	that
used	VVD	use
to	TO	to
give	VV	give
us	PP	us
a	DT	a
lending	NN	lending
hand	NN	hand
are	VBP	be
no	RB	no
longer	JJR	long
operations	NNS	operation
again	RB	again
we	PP	we
are	VBP	be
faced	VVN	face
with	IN	with
massive	JJ	massive
difficulties	NNS	difficulty
and	CC	and
I	PP	I
believe	VVP	believe
the	DT	the
situation	NN	situation
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
worse	JJR	bad
in	IN	in
the	DT	the
future	NN	future
as	IN	as
the	DT	the
number	NN	number
continues	VVZ	continue
to	TO	to
rise	VV	rise
how	WRB	how
can	MD	can
you	PP	you
describe	VV	describe
the	DT	the
situation	NN	situation
within	IN	within
Al	NP	Al
AA	NN	aa
Hospital	NN	hospital
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
uh	UH	uh
availability	NN	availability
of	IN	of
fuel	NN	fuel
sufficient	JJ	sufficient
to	TO	to
run	VV	run
the	DT	the
generators	NNS	generator
we	PP	we
are	VBP	be
speaking	VVG	speak
of	IN	of
fuel	NN	fuel
sufficient	JJ	sufficient
for	IN	for
a	DT	a
few	JJ	few
hours	NNS	hour
not	RB	not
a	DT	a
few	JJ	few
days	NNS	day
we	PP	we
have	VHP	have
more	RBR	more
than	IN	than
about	RB	about
4,000	CD	@card@
liters	NNS	liter
of	IN	of
fuels	NNS	fuel
if	IN	if
we	PP	we
are	VBP	be
not	RB	not
supplied	VVN	supply
with	IN	with
fuel	NN	fuel
at	IN	at
the	DT	the
earliest	JJS	early
the	DT	the
Ala	NP	Ala
hospital	NN	hospital
will	MD	will
come	VV	come
out	RP	out
of	IN	of
operations	NNS	operation
if	IN	if
we	PP	we
are	VBP	be
out	RB	out
of	IN	of
electric	JJ	electric
power	NN	power
more	JJR	more
than	IN	than
10	CD	@card@
patients	NNS	patient
who	WP	who
are	VBP	be
currently	RB	currently
attended	VVN	attend
to	TO	to
in	IN	in
the	DT	the
Intensive	JJ	intensive
Care	NP	Care
Unit	NP	Unit
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
babies	NNS	baby
in	IN	in
the	DT	the
incubators	NNS	incubator
those	DT	those
will	MD	will
die	VV	die
we	PP	we
will	MD	will
lose	VV	lose
those	DT	those
lives	NNS	life
we	PP	we
are	VBP	be
in	IN	in
a	DT	a
dire	JJ	dire
need	NN	need
for	IN	for
electric	JJ	electric
supplies	NNS	supply
and	CC	and
fuel	NN	fuel
supplies	NNS	supply
in	IN	in
order	NN	order
to	TO	to
run	VV	run
the	DT	the
generators	NNS	generator
especially	RB	especially
we	PP	we
have	VHP	have
many	JJ	many
dialyses	NNS	dialysis
patients	NNS	patient
who	WP	who
are	VBP	be
currently	RB	currently
subjected	VVN	subject
to	TO	to
the	DT	the
process	NN	process
as	IN	as
I	PP	I
said	VVD	say
earlier	RBR	earlier
as	IN	as
the	DT	the
alar	JJ	alar
hospital	NN	hospital
is	VBZ	be
no	RB	no
longer	JJR	long
operations	NNS	operation
uh	UH	uh
operational	JJ	operational
those	DT	those
patients	NNS	patient
and	CC	and
wounded	VVN	wound
who	WP	who
are	VBP	be
attended	VVN	attend
to	TO	to
and	CC	and
that	DT	that
hospital	NN	hospital
are	VBP	be
transferred	VVN	transfer
to	TO	to
our	PP$	our
hospitals	NNS	hospital
this	DT	this
is	VBZ	be
a	DT	a
massive	JJ	massive
pressure	NN	pressure
on	IN	on
our	PP$	our
operations	NNS	operation
it	PP	it
it	PP	it
also	RB	also
um	JJ	um
is	VBZ	be
another	DT	another
form	NN	form
of	IN	of
pressure	NN	pressure
on	IN	on
our	PP$	our
operations	NNS	operation
and	CC	and
that's	NNS	that's
completely	RB	completely
the	DT	the
disturbing	JJ	disturbing
and	CC	and
uh	UH	uh
difficult	JJ	difficult
reality	NN	reality
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
in	IN	in
ALA	NN	ala
hospital	NN	hospital
where	WRB	where
it's	NNS	it's
right	RB	right
now	RB	now
dealing	VVG	deal
with	IN	with
an	DT	an
Ence	NP	Ence
humanitarian	JJ	humanitarian
and	CC	and
medical	JJ	medical
pressure	NN	pressure
in	IN	in
light	NN	light
of	IN	of
the	DT	the
expansion	NN	expansion
of	IN	of
the	DT	the
fighting	NN	fighting
to	TO	to
into	IN	into
Rafa	NP	Rafa
and	CC	and
with	IN	with
the	DT	the
ongoing	JJ	ongoing
military	JJ	military
campaign	NN	campaign
in	IN	in
the	DT	the
entire	JJ	entire
territory	NN	territory
tet	NN	tet
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
abum	NN	abum
is	VBZ	be
our	PP$	our
correspondent	NN	correspondent
reporting	NN	reporting
from	IN	from
Central	NP	Central
Gaza	NP	Gaza
for	IN	for
us	PP	us
</doc>	JJ	</doc>
