<video_id>vuTbRF3bUNY</video_id>	JJ	<video_id>vuTbRF3bUNY</video_id>
protecting	VVG	protect
Israel	NP	Israel
so	IN	so
it's	NNS	it's
good	JJ	good
to	TO	to
see	VV	see
this	DT	this
these	DT	these
students	NNS	student
you	PP	you
know	VVP	know
protesting	VVG	protest
and	CC	and
trying	VVG	try
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
their	PP$	their
governments	NNS	government
to	TO	to
end	VV	end
this	DT	this
Bloodshed	NN	bloodshed
T	NN	T
bear	NN	bear
with	IN	with
us	PP	us
for	IN	for
a	DT	a
second	JJ	second
cuz	NN	cuz
talking	VVG	talk
about	IN	about
positions	NNS	position
the	DT	the
politicians	NNS	politician
taking	VVG	take
a	DT	a
position	NN	position
let's	NNS	let's
listen	VVP	listen
in	IN	in
to	TO	to
what	WP	what
Bernie	NP	Bernie
Sanders	NP	Sanders
had	VHD	have
to	TO	to
say	VV	say
no	DT	no
Mr	NP	Mr
Netanyahu	NP	Netanyahu
it	PP	it
is	VBZ	be
not	RB	not
anti-Semitic	JJ	anti-Semitic
or	CC	or
pramas	NNS	pramas
to	TO	to
point	VV	point
out	RP	out
that	IN/that	that
in	IN	in
a	DT	a
little	JJ	little
over	IN	over
6	CD	@card@
months	NNS	month
your	PP$	your
extremist	JJ	extremist
government	NN	government
has	VHZ	have
killed	VVN	kill
34,000	CD	@card@
Palestinians	NNS	Palestinian
and	CC	and
wounded	VVN	wound
more	JJR	more
than	IN	than
78,000	CD	@card@
70%	CD	@card@
of	IN	of
whom	WP	whom
are	VBP	be
women	NNS	woman
and	CC	and
children	NNS	child
it	PP	it
is	VBZ	be
not	RB	not
anti-semitic	JJ	anti-semitic
to	TO	to
point	VV	point
out	RP	out
that	IN/that	that
your	PP$	your
bombing	NN	bombing
has	VHZ	have
completely	RB	completely
destroyed	VVN	destroy
more	JJR	more
than	IN	than
221,000	CD	@card@
housing	NN	housing
units	NNS	unit
in	IN	in
Gaza	NP	Gaza
leaving	VVG	leave
more	JJR	more
than	IN	than
a	DT	a
million	CD	million
people	NNS	people
homeless	JJ	homeless
almost	RB	almost
half	PDT	half
the	DT	the
population	NN	population
Mr	NP	Mr
Netanyahu	NP	Netanyahu
anti-Semitism	NN	anti-Semitism
is	VBZ	be
a	DT	a
vile	JJ	vile
and	CC	and
disgusting	JJ	disgusting
form	NN	form
of	IN	of
bigotry	NN	bigotry
that	WDT	that
has	VHZ	have
done	VVN	do
unspeakable	JJ	unspeakable
harm	NN	harm
to	TO	to
many	JJ	many
millions	NNS	million
of	IN	of
people	NNS	people
but	CC	but
please	RB	please
do	VVP	do
not	RB	not
insult	VV	insult
the	DT	the
intelligence	NN	intelligence
of	IN	of
the	DT	the
American	JJ	American
people	NNS	people
by	IN	by
attempting	VVG	attempt
to	TO	to
distract	VV	distract
us	PP	us
from	IN	from
the	DT	the
immoral	JJ	immoral
and	CC	and
illegal	JJ	illegal
War	NP	War
policies	NNS	policy
of	IN	of
your	PP$	your
extremist	NN	extremist
and	CC	and
racist	JJ	racist
government	NN	government
how	WRB	how
significant	JJ	significant
is	VBZ	be
it	PP	it
when	WRB	when
we	PP	we
see	VVP	see
prominent	JJ	prominent
us	PP	us
Jewish	JJ	Jewish
figures	NNS	figure
telling	VVG	tell
Israeli	JJ	Israeli
officials	NNS	official
off	RP	off
for	IN	for
how	WRB	how
they	PP	they
use	VVP	use
the	DT	the
an	DT	an
anti-Semitism	NN	anti-Semitism
charge	NN	charge
it	PP	it
is	VBZ	be
significant	JJ	significant
and	CC	and
and	CC	and
because	IN	because
of	IN	of
whose	WP$	whose
Bernie	NP	Bernie
Sanders	NP	Sanders
is	VBZ	be
I	PP	I
mean	VVP	mean
Bernie	NP	Bernie
Sanders	NP	Sanders
specifically	RB	specifically
represents	VVZ	represent
uh	UH	uh
he's	NNS	he's
a	DT	a
leader	NN	leader
of	IN	of
a	DT	a
progressive	JJ	progressive
movement	NN	movement
uh	UH	uh
of	IN	of
of	IN	of
especially	RB	especially
of	IN	of
the	DT	the
young	JJ	young
voters	NNS	voter
especially	RB	especially
in	IN	in
the	DT	the
Democratic	JJ	Democratic
parties	VVZ	party
uh	UH	uh
the	DT	the
Democratic	JJ	Democratic
party	NN	party
and	CC	and
I	PP	I
think	VVP	think
there	RB	there
the	DT	the
the	DT	the
fact	NN	fact
that	IN/that	that
he's	NNS	he's
saying	VVG	say
this	DT	this
bluntly	RB	bluntly
uh	UH	uh
and	CC	and
accusing	VVG	accuse
of	IN	of
insulting	VVG	insult
the	DT	the
the	DT	the
American	JJ	American
people	NNS	people
and	CC	and
even	RB	even
the	DT	the
Jewish	JJ	Jewish
people	NNS	people
by	IN	by
saying	VVG	say
this	DT	this
I	PP	I
think	VVP	think
it's	NNS	it's
significant	JJ	significant
because	IN	because
it	PP	it
will	MD	will
just	RB	just
uh	UH	uh
uh	UH	uh
add	VV	add
more	RBR	more
uh	UH	uh
momentum	NN	momentum
to	TO	to
to	TO	to
the	DT	the
entire	JJ	entire
movement	NN	movement
and	CC	and
historically	RB	historically
let's	NNS	let's
remind	VVP	remind
everyone	NN	everyone
the	DT	the
Jewish	JJ	Jewish
people	NNS	people
Muslim	JJ	Muslim
people	NNS	people
Christians	NNS	Christian
in	IN	in
this	DT	this
part	NN	part
of	IN	of
the	DT	the
region	NN	region
especially	RB	especially
in	IN	in
pistan	NN	pistan
never	RB	never
had	VHD	have
an	DT	an
issue	NN	issue
of	IN	of
of	IN	of
of	IN	of
a	DT	a
problems	NNS	problem
of	IN	of
coexistence	NN	coexistence
the	DT	the
problem	NN	problem
of	IN	of
Zionism	NN	Zionism
and	CC	and
Zionism	NN	Zionism
is	VBZ	be
the	DT	the
problem	NN	problem
here	RB	here
and	CC	and
this	DT	this
is	VBZ	be
something	NN	something
the	DT	the
US	NP	US
politicians	NNS	politician
have	VHP	have
tried	VVN	try
to	TO	to
deflect	VV	deflect
by	IN	by
equaling	VVG	equal
usism	NN	usism
with	IN	with
anti-i	NP	anti-i
anti-Semitism	NN	anti-Semitism
criticizing	VVG	criticize
Israel	NP	Israel
with	IN	with
anti-Semitism	NN	anti-Semitism
and	CC	and
that's	NNS	that's
totally	RB	totally
wrong	RB	wrong
the	DT	the
problem	NN	problem
is	VBZ	be
with	IN	with
Zionism	NN	Zionism
as	IN	as
a	DT	a
not	RB	not
with	IN	with
Judaism	NN	Judaism
especially	RB	especially
in	IN	in
this	DT	this
part	NN	part
of	IN	of
the	DT	the
world	NN	world
all	DT	all
right	JJ	right
thanks	NNS	thanks
so	IN	so
much	JJ	much
Tam	NP	Tam
kmut	NP	kmut
bless	VV	bless
</doc>	NN	</doc>
