<doc>	NN	<doc>
the	DT	the
lack	NN	lack
of	IN	of
evidence	NN	evidence
presented	VVN	present
to	TO	to
the	DT	the
public	JJ	public
experts	NNS	expert
say	VVP	say
it	PP	it
could	MD	could
have	VH	have
a	DT	a
decisive	JJ	decisive
impact	NN	impact
on	IN	on
the	DT	the
future	NN	future
of	IN	of
the	DT	the
war	NN	war
this	DT	this
is	VBZ	be
really	RB	really
a	DT	a
turning	VVG	turn
point	NN	point
because	IN	because
if	IN	if
it	PP	it
turns	VVZ	turn
out	RP	out
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
wrong	JJ	wrong
I	PP	I
think	VVP	think
the	DT	the
pressure	NN	pressure
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
on	IN	on
them	PP	them
to	TO	to
have	VH	have
a	DT	a
ceasefire	NN	ceasefire
which	WDT	which
is	VBZ	be
a	DT	a
good	JJ	good
step	NN	step
because	IN	because
it	PP	it
will	MD	will
Stop	VV	stop
The	DT	the
Killing	NN	killing
at	IN	at
least	JJS	least
temporarily	RB	temporarily
while	IN	while
we	PP	we
the	DT	the
diplomats	NNS	diplomat
can	MD	can
work	VV	work
out	RP	out
some	DT	some
sort	NN	sort
of	IN	of
arrangement	NN	arrangement
at	IN	at
the	DT	the
Pentagon	NP	Pentagon
briefing	NN	briefing
there	RB	there
were	VBD	be
about	RB	about
as	IN	as
many	JJ	many
questions	NNS	question
on	IN	on
US	NP	US
troops	NNS	troop
being	VBG	be
targeted	VVN	target
in	IN	in
Iraq	NP	Iraq
and	CC	and
Syria	NP	Syria
as	IN	as
there	EX	there
were	VBD	be
on	IN	on
this	DT	this
evidence	NN	evidence
so	RB	so
while	IN	while
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
might	MD	might
not	RB	not
feel	VV	feel
much	JJ	much
pressure	NN	pressure
from	IN	from
the	DT	the
American	JJ	American
Media	NN	Media
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
his	PP$	his
allies	NNS	ally
that	WDT	that
might	MD	might
be	VB	be
a	DT	a
much	JJ	much
different	JJ	different
story	NN	story
if	IN	if
Israel	NP	Israel
can't	NN	can't
come	VVN	come
up	RP	up
with	IN	with
actual	JJ	actual
proof	NN	proof
that	IN/that	that
Hamas	NP	Hamas
was	VBD	be
in	IN	in
the	DT	the
hospital	NN	hospital
Patty	NP	Patty
Kain	NP	Kain
Al	NP	Al
jazer	NN	jazer
at	IN	at
the	DT	the
Pentagon	NP	Pentagon
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
