continue	VV	continue
but	CC	but
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
anything	NN	anything
to	TO	to
eat	VV	eat
with	IN	with
the	DT	the
bread	NN	bread
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
only	RB	only
us	PP	us
it	PP	it
'	POS	'
s	NN	S
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
people	NNS	people
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
right	RB	right
now	RB	now
not	RB	not
only	RB	only
in	IN	in
the	DT	the
cental	NN	cental
area	NN	area
but	CC	but
North	JJ	North
and	CC	and
in	IN	in
the	DT	the
in	IN	in
the	DT	the
South	NP	South
that	WDT	that
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
bring	VV	bring
meals	NNS	meal
for	IN	for
their	PP$	their
children	NNS	child
I	PP	I
met	VVD	meet
more	JJR	more
than	IN	than
people	NNS	people
today	NN	today
when	WRB	when
we	PP	we
were	VBD	be
walking	VVG	walk
around	RP	around
and	CC	and
and	CC	and
searching	VVG	search
for	IN	for
food	NN	food
people	NNS	people
are	VBP	be
are	VBP	be
like	IN	like
we	PP	we
can	MD	can
'	''	'
t	NN	t
we	PP	we
won	VVD	win
'	''	'
t	NN	t
feed	VV	feed
our	PP$	our
children	NNS	child
today	NN	today
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
anything	NN	anything
to	TO	to
we	PP	we
have	VHP	have
been	VBN	be
searching	VVG	search
the	DT	the
supermarket	NN	supermarket
searching	VVG	search
knocking	VVG	knock
on	IN	on
people	NNS	people
'	POS	'
s	NN	S
doors	NNS	door
asking	VVG	ask
them	PP	them
for	IN	for
for	IN	for
anything	NN	anything
for	IN	for
their	PP$	their
children	NNS	child
and	CC	and
they	PP	they
did	VVD	do
not	RB	not
find	VV	find
anything	NN	anything
and	CC	and
it	PP	it
'	POS	'
s	VVG	s
it	PP	it
'	POS	'
s	JJ	s
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
very	RB	very
catastrophic	JJ	catastrophic
that	IN/that	that
everyone	NN	everyone
in	IN	in
the	DT	the
goal	NN	goal
strip	NN	strip
is	VBZ	be
witnessing	VVG	witness
this	DT	this
if	IN	if
you	PP	you
have	VHP	have
cash	NN	cash
have	VHP	have
money	NN	money
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	VVG	s
it	PP	it
'	POS	'
s	NNS	s
meaningless	JJ	meaningless
because	IN	because
you	PP	you
can	MD	can
'	''	'
t	NN	t
purchase	NN	purchase
anything	NN	anything
because	IN	because
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
you	PP	you
can	MD	can
buy	VV	buy
there	RB	there
'	''	'
s	VVG	s
no	DT	no
Aid	NN	aid
entering	VVG	enter
the	DT	the
go	JJ	go
strip	NN	strip
people	NNS	people
were	VBD	be
depending	VVG	depend
on	IN	on
food	NN	food
Aid	NN	aid
and	CC	and
food	NN	food
parel	NN	parel
not	RB	not
Distributing	VVG	distribute
them	PP	them
anymore	RB	anymore
and	CC	and
the	DT	the
situation	NN	situation
is	VBZ	be
catastrophic	JJ	catastrophic
I	PP	I
I	PP	I
remember	VVP	remember
that	IN/that	that
last	JJ	last
night	NN	night
I	PP	I
slept	VVD	sleep
stomach	NN	stomach
I	PP	I
was	VBD	be
starving	VVG	starve
and	CC	and
and	CC	and
I	NP	I
I	NP	I
couldn	NN	couldn
'	POS	'
t	NN	t
do	VVP	do
anything	NN	anything
about	IN	about
it	PP	it
I	PP	I
have	VH	have
HR	NP	HR
for	IN	for
more	JJR	more
than	IN	than
two	CD	two
weeks	NNS	week
right	RB	right
now	RB	now
I	PP	I
I	PP	I
only	RB	only
use	VVP	use
a	DT	a
couple	NN	couple
of	IN	of
sips	NNS	sip
of	IN	of
water	NN	water
per	IN	per
day	NN	day
because	IN	because
I	PP	I
want	VVP	want
to	TO	to
go	VV	go
to	TO	to
the	DT	the
bathroom	NN	bathroom
and	CC	and
I	PP	I
have	VHP	have
no	DT	no
access	NN	access
to	TO	to
the	DT	the
bathroom	NN	bathroom
because	IN	because
there	EX	there
'	''	'
s	VVG	s
no	DT	no
water	NN	water
there	RB	there
'	POS	'
s	NNS	s
no	DT	no
hygiene	NN	hygiene
there	RB	there
'	POS	'
s	NNS	s
no	DT	no
privacy	NN	privacy
there	RB	there
'	POS	'
s	NN	S
nothing	NN	nothing
only	RB	only
the	DT	the
safe	JJ	safe
people	NNS	people
I	PP	I
'	POS	'
m	NN	m
currently	RB	currently
in	IN	in
Al	NP	Al
AKA	NN	aka
hospital	NN	hospital
where	WRB	where
it	PP	it
'	POS	'
s	NNS	s
packed	VVN	pack
with	IN	with
people	NNS	people
people	NNS	people
are	VBP	be
glued	VVN	glue
to	TO	to
each	DT	each
other	JJ	other
with	IN	with
tents	NNS	tent
and	CC	and
and	CC	and
the	DT	the
situation	NN	situation
catastrophic	JJ	catastrophic
we	PP	we
'	''	'
re	IN	re
starving	VVG	starve
we	PP	we
'	POS	'
re	NN	re
under	IN	under
like	IN	like
we	PP	we
'	POS	'
re	NN	re
under	IN	under
blade	NN	blade
and	CC	and
and	CC	and
not	RB	not
only	RB	only
like	IN	like
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
the	DT	the
central	JJ	central
area	NN	area
is	VBZ	be
being	VBG	be
located	VVN	locate
and	CC	and
people	NNS	people
can	MD	can
'	''	'
t	NN	t
get	VV	get
anything	NN	anything
in	IN	in
or	CC	or
out	NN	out
of	IN	of
uh	UH	uh
the	DT	the
Central	NP	Central
Area	NP	Area
because	IN	because
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
mainly	RB	mainly
it	PP	it
mainly	RB	mainly
used	VVD	use
to	TO	to
depend	VV	depend
on	IN	on
the	DT	the
North	NP	North
and	CC	and
the	DT	the
South	NP	South
because	IN	because
they	PP	they
'	''	'
re	IN	re
bigger	JJR	big
cities	NNS	city
and	CC	and
have	VHP	have
more	JJR	more
like	IN	like
vital	JJ	vital
areas	NNS	area
and	CC	and
stuff	VVP	stuff
the	DT	the
situation	NN	situation
is	VBZ	be
is	VBZ	be
like	IN	like
everyone	NN	everyone
on	IN	on
journalists	NNS	journalist
paramedics	NNS	paramedic
and	CC	and
we	PP	we
'	POS	'
re	NN	re
all	RB	all
striving	VVG	strive
to	TO	to
find	VV	find
food	NN	food
to	TO	to
feed	VV	feed
ourselves	PP	ourselves
and	CC	and
and	CC	and
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
like	IN	like
starvation	NN	starvation
that	RB	that
'	POS	'
s	NN	S
what	WP	what
so	IN	so
we	PP	we
'	POS	'
re	NN	re
to	TO	to
see	VV	see
and	CC	and
evacuate	VV	evacuate
from	IN	from
earthquakes	NNS	earthquake
but	CC	but
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
how	WRB	how
will	MD	will
you	PP	you
try	VV	try
to	TO	to
get	VV	get
yourself	PP	yourself
out	RP	out
of	IN	of
out	RB	out
of	IN	of
um	JJ	um
starvation	NN	starvation
there	RB	there
'	POS	'
s	NNS	s
no	DT	no
solution	NN	solution
there	RB	there
'	POS	'
s	NN	S
no	RB	no
and	CC	and
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
devastating	JJ	devastating
that	IN/that	that
we	PP	we
can	MD	can
'	''	'
t	NN	t
do	VVP	do
anything	NN	anything
about	IN	about
it	PP	it
and	CC	and
time	NN	time
to	TO	to
you	PP	you
right	RB	right
now	RB	now
and	CC	and
I	PP	I
only	RB	only
one	CD	one
pizza	NN	pizza
bread	NN	bread
since	IN	since
the	DT	the
morning	NN	morning
and	CC	and
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
if	IN	if
I	PP	I
'	POS	'
ll	NNS	ll
have	VHP	have
anything	RB	anything
else	RB	else
for	IN	for
today	NN	today
and	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
bad	JJ	bad
the	DT	the
situation	NN	situation
is	VBZ	be
hind	JJ	hind
we	PP	we
do	VVP	do
hope	NN	hope
that	IN/that	that
you	PP	you
as	RB	as
well	RB	well
as	IN	as
other	JJ	other
civilians	NNS	civilian
will	MD	will
will	MD	will
find	VV	find
the	DT	the
supplies	NNS	supply
they	PP	they
need	VVP	need
to	TO	to
survive	VV	survive
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
that	DT	that
update	NN	update
