<video_id>zCKUMOO3vSg</video_id>	JJ	<video_id>zCKUMOO3vSg</video_id>
we're	NN	we're
talking	VVG	talk
about	IN	about
almost	RB	almost
half	PDT	half
a	DT	a
million	CD	million
if	IN	if
not	RB	not
more	JJR	more
uh	UH	uh
people	NNS	people
still	RB	still
in	IN	in
the	DT	the
north	NN	north
and	CC	and
Gaza	NP	Gaza
City	NP	City
so	IN	so
people	NNS	people
are	VBP	be
hungry	JJ	hungry
sorry	RB	sorry
just	RB	just
to	TO	to
to	TO	to
check	VV	check
in	IN	in
with	IN	with
you	PP	you
there	EX	there
was	VBD	be
any	DT	any
of	IN	of
that	WDT	that
Aid	NP	Aid
actually	RB	actually
ever	RB	ever
destined	VVN	destine
for	IN	for
the	DT	the
north	JJ	north
Israel	NP	Israel
had	VHD	have
been	VBN	be
quite	RB	quite
explicit	JJ	explicit
about	IN	about
wanting	VVG	want
that	DT	that
Aid	NN	aid
to	TO	to
to	TO	to
be	VB	be
really	RB	really
only	RB	only
for	IN	for
the	DT	the
the	DT	the
South	JJ	South
and	CC	and
Central	JJ	central
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
the	DT	the
north	NN	north
has	VHZ	have
been	VBN	be
completely	RB	completely
sealed	VVN	seal
off	RP	off
um	NNS	um
from	IN	from
the	DT	the
south	NN	south
so	IN	so
the	DT	the
aid	NN	aid
is	VBZ	be
not	RB	not
reaching	VVG	reach
the	DT	the
north	NN	north
I	PP	I
think	VVP	think
except	IN	except
for	IN	for
some	DT	some
medical	JJ	medical
supplies	NNS	supply
that	WDT	that
got	VVD	get
in	IN	in
last	JJ	last
week	NN	week
um	NNS	um
to	TO	to
some	DT	some
of	IN	of
the	DT	the
hospitals	NNS	hospital
in	IN	in
the	DT	the
in	IN	in
the	DT	the
north	NN	north
but	CC	but
I	PP	I
mean	VVP	mean
again	RB	again
not	RB	not
enough	RB	enough
the	DT	the
needs	NNS	need
now	RB	now
are	VBP	be
even	RB	even
greater	JJR	great
than	IN	than
what	WP	what
they	PP	they
were	VBD	be
before	IN	before
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
so	RB	so
if	IN	if
we	PP	we
needed	VVD	need
500	CD	@card@
trucks	NNS	truck
a	DT	a
day	NN	day
um	NN	um
before	IN	before
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
we	PP	we
need	VVP	need
much	RB	much
more	RBR	more
um	JJ	um
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
meet	VV	meet
the	DT	the
daily	JJ	daily
needs	NNS	need
of	IN	of
2.2	CD	@card@
million	CD	million
people	NNS	people
um	NNS	um
and	CC	and
half	NN	half
of	IN	of
which	WDT	which
are	VBP	be
children	NNS	child
um	JJ	um
people	NNS	people
are	VBP	be
hungry	JJ	hungry
um	NNS	um
and	CC	and
hunger	NN	hunger
has	VHZ	have
become	VVN	become
a	DT	a
norm	NN	norm
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
and	CC	and
this	DT	this
is	VBZ	be
my	PP$	my
family's	NNS	family's
testimonies	NNS	testimony
uh	UH	uh
uh	UH	uh
they're	NN	they're
you	PP	you
know	VVP	know
they	PP	they
just	RB	just
eat	VVP	eat
very	RB	very
small	JJ	small
meals	NNS	meal
one	CD	one
a	DT	a
meal	NN	meal
a	DT	a
day	NN	day
at	IN	at
best	JJS	good
um	NNS	um
with	IN	with
you	PP	you
know	VVP	know
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
are	VBP	be
also	RB	also
Ready	JJ	ready
for	IN	for
War	NP	War
because	IN	because
this	DT	this
is	VBZ	be
the	DT	the
sixth	JJ	sixth
escalation	NN	escalation
they	PP	they
have	VHP	have
so	IN	so
people	NNS	people
usually	RB	usually
have	VHP	have
you	PP	you
know	VVP	know
lentils	NNS	lentil
and	CC	and
rice	NN	rice
and	CC	and
flour	NN	flour
at	IN	at
home	NN	home
but	CC	but
again	RB	again
the	DT	the
problem	NN	problem
is	VBZ	be
is	VBZ	be
the	DT	the
water	NN	water
the	DT	the
water	NN	water
is	VBZ	be
dirty	JJ	dirty
so	IN	so
they're	NN	they're
also	RB	also
cooking	VVG	cook
with	IN	with
dirty	JJ	dirty
water	NN	water
if	IN	if
they	PP	they
are	VBP	be
cooking	VVG	cook
um	JJ	um
bush	NN	bush
in	IN	in
terms	NNS	term
of	IN	of
obviously	RB	obviously
fuel	NN	fuel
has	VHZ	have
been	VBN	be
a	DT	a
huge	JJ	huge
issue	NN	issue
here	RB	here
especially	RB	especially
in	IN	in
terms	NNS	term
of	IN	of
of	IN	of
being	VBG	be
able	JJ	able
to	TO	to
produce	VV	produce
clean	JJ	clean
water	NN	water
even	RB	even
being	VBG	be
able	JJ	able
to	TO	to
bake	VV	bake
bread	NN	bread
at	IN	at
home	NN	home
but	CC	but
also	RB	also
to	TO	to
to	TO	to
move	VV	move
around	IN	around
you	PP	you
talked	VVD	talk
about	IN	about
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
being	VBG	be
now	RB	now
basically	RB	basically
completely	RB	completely
cut	VVN	cut
off	RP	off
are	VBP	be
people	NNS	people
able	JJ	able
to	TO	to
leave	VV	leave
if	IN	if
they	PP	they
want	VVP	want
to	TO	to
especially	RB	especially
given	VVN	give
the	DT	the
lack	NN	lack
of	IN	of
fuel	NN	fuel
and	CC	and
the	DT	the
presence	NN	presence
of	IN	of
Israeli	JJ	Israeli
troops	NNS	troop
there	RB	there
on	IN	on
the	DT	the
ground	NN	ground
well	RB	well
I	PP	I
mean	VVP	mean
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
given	VVN	give
windows	NNS	window
for	IN	for
people	NNS	people
to	TO	to
leave	VV	leave
from	IN	from
the	DT	the
north	NN	north
to	TO	to
the	DT	the
South	JJ	South
and	CC	and
have	VHP	have
asked	VVN	ask
for	IN	for
all	DT	all
residents	NNS	resident
of	IN	of
the	DT	the
north	NN	north
and	CC	and
Gaza	NP	Gaza
City	NP	City
to	TO	to
evacuate	VV	evacuate
towards	IN	towards
the	DT	the
South	NP	South
the	DT	the
problem	NN	problem
is	VBZ	be
is	VBZ	be
that	IN/that	that
these	DT	these
um	JJ	um
orders	NNS	order
have	VHP	have
often	RB	often
been	VBN	be
um	JJ	um
not	RB	not
on	IN	on
true	JJ	true
but	CC	but
but	RB	but
they're	JJ	they're
not	RB	not
safe	JJ	safe
uh	UH	uh
these	DT	these
are	VBP	be
not	RB	not
safe	JJ	safe
boots	NNS	boot
we	PP	we
know	VVP	know
that	IN/that	that
these	DT	these
boots	NNS	boot
have	VHP	have
been	VBN	be
bombed	VVN	bomb
we	PP	we
know	VVP	know
that	IN/that	that
civilians	NNS	civilian
were	VBD	be
killed	VVN	kill
while	IN	while
trying	VVG	try
to	TO	to
evacuate	VV	evacuate
to	TO	to
the	DT	the
South	NP	South
so	IN	so
people	NNS	people
don't	JJ	don't
trust	NN	trust
those	DT	those
orders	NNS	order
anymore	RB	anymore
it's	NN	it's
causing	VVG	cause
so	RB	so
much	JJ	much
panic	NN	panic
and	CC	and
Chaos	NN	chaos
um	NN	um
people	NNS	people
are	VBP	be
having	VHG	have
to	TO	to
make	VV	make
these	DT	these
difficult	JJ	difficult
decisions	NNS	decision
and	CC	and
also	RB	also
people	NNS	people
like	IN	like
my	PP$	my
family	NN	family
they're	NN	they're
elderly	NN	elderly
they	PP	they
can't	VVD	can't
walk	VV	walk
to	TO	to
the	DT	the
South	JJ	South
it's	NNS	it's
not	RB	not
feasible	JJ	feasible
um	NNS	um
for	IN	for
them	PP	them
to	TO	to
actually	RB	actually
evacuate	VV	evacuate
by	IN	by
foot	NN	foot
um	NNS	um
with	IN	with
no	DT	no
belongings	NNS	belonging
they're	NN	they're
not	RB	not
allowed	VVD	allow
to	TO	to
take	VV	take
any	DT	any
money	NN	money
they're	NN	they're
not	RB	not
allowed	VVD	allow
to	TO	to
take	VV	take
anything	NN	anything
um	NNS	um
when	WRB	when
in	IN	in
their	PP$	their
evacuation	NN	evacuation
so	IN	so
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
are	VBP	be
choosing	VVG	choose
to	TO	to
stay	VV	stay
um	NNS	um
because	IN	because
it's	NNS	it's
not	RB	not
safe	JJ	safe
um	NNS	um
and	CC	and
they	PP	they
don't	VVD	don't
know	VV	know
where	WRB	where
to	TO	to
go	VV	go
um	JJ	um
bush	NN	bush
in	IN	in
terms	NNS	term
of	IN	of
of	IN	of
the	DT	the
displacement	NN	displacement
we've	NN	we've
we've	NN	we've
now	RB	now
understood	VVD	understand
that	DT	that
something	NN	something
like	IN	like
70%	CD	@card@
of	IN	of
people	NNS	people
have	VHP	have
lost	VVN	lose
their	PP$	their
homes	NNS	home
what	WP	what
are	VBP	be
their	PP$	their
options	NNS	option
now	RB	now
and	CC	and
and	CC	and
I'm	NP	I'm
asking	VVG	ask
I	PP	I
guess	VVP	guess
is	VBZ	be
there	RB	there
a	DT	a
growing	VVG	grow
design	NN	design
to	TO	to
leave	VV	leave
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
despite	IN	despite
what	WP	what
we're	NN	we're
hearing	NN	hearing
from	IN	from
politicians	NNS	politician
about	IN	about
Force	NP	Force
displacement	NN	displacement
and	CC	and
red	JJ	red
lines	NNS	line
are	VBP	be
people	NNS	people
now	RB	now
in	IN	in
such	JJ	such
desperate	JJ	desperate
situations	NNS	situation
they	PP	they
just	RB	just
want	VVP	want
to	TO	to
go	VV	go
I	PP	I
mean	JJ	mean
they're	NN	they're
being	VBG	be
forced	VVN	force
to	TO	to
go	VV	go
they	PP	they
don't	JJ	don't
they're	NN	they're
not	RB	not
choosing	VVG	choose
to	TO	to
go	VV	go
they're	NN	they're
being	VBG	be
forced	VVN	force
to	TO	to
go	VV	go
because	IN	because
they're	NN	they're
being	VBG	be
starved	VVN	starve
and	CC	and
they're	JJ	they're
thirsty	JJ	thirsty
and	CC	and
they	PP	they
need	MD	need
shelter	VV	shelter
yeah	RB	yeah
um	JJ	um
but	CC	but
there's	RB	there's
nowhere	RB	nowhere
to	TO	to
go	VV	go
to	TO	to
because	IN	because
ra	NNS	ra
has	VHZ	have
closed	VVN	close
and	CC	and
Israeli	JJ	Israeli
borders	NNS	border
are	VBP	be
closed	VVN	close
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
responsibility	NN	responsibility
of	IN	of
Israel	NP	Israel
as	IN	as
the	DT	the
occupier	NN	occupier
to	TO	to
ensure	VV	ensure
that	IN/that	that
it	PP	it
protects	VVZ	protect
civilian	JJ	civilian
population	NN	population
in	IN	in
Gaza	NP	Gaza
and	CC	and
it's	NNS	it's
not	RB	not
because	IN	because
it's	NNS	it's
chosen	VVN	choose
to	TO	to
do	VV	do
the	DT	the
opposite	NN	opposite
by	IN	by
cutting	VVG	cut
off	RP	off
water	NN	water
electricity	NN	electricity
fuel	NN	fuel
medical	JJ	medical
supplies	NNS	supply
bombarding	VVG	bombard
indiscriminately	RB	indiscriminately
hospitals	NNS	hospital
ambulances	NNS	ambulance
and	CC	and
necessary	JJ	necessary
civilian	JJ	civilian
infrastructure	NN	infrastructure
um	NNS	um
so	IN	so
people	NNS	people
are	VBP	be
I	PP	I
mean	VVP	mean
people	NNS	people
some	DT	some
people	NNS	people
don't	NN	don't
have	VHP	have
the	DT	the
choice	NN	choice
like	IN	like
I'm	NP	I'm
saying	VVG	say
some	DT	some
of	IN	of
my	PP$	my
family	NN	family
they	PP	they
don't	VVD	don't
have	VH	have
the	DT	the
choice	NN	choice
to	TO	to
evacuate	VV	evacuate
because	IN	because
they	PP	they
don't	VVD	don't
know	VV	know
where	WRB	where
to	TO	to
go	VV	go
to	TO	to
places	NNS	place
are	VBP	be
overcrowded	VVN	overcrowd
there's	RB	there's
a	DT	a
wash	NN	wash
sanitation	NN	sanitation
crisis	NN	crisis
now	RB	now
developing	VVG	develop
um	NNS	um
why	WRB	why
is	VBZ	be
my	PP$	my
my	PP$	my
father-in-law	NN	father-in-law
being	VBG	be
forced	VVN	force
to	TO	to
go	VV	go
to	TO	to
an	DT	an
overcrowded	VVN	overcrowd
situation	NN	situation
that	WDT	that
is	VBZ	be
probably	RB	probably
unsafe	JJ	unsafe
anyway	RB	anyway
he'd	RB	he'd
rather	RB	rather
stay	VV	stay
at	IN	at
home	NN	home
and	CC	and
and	CC	and
he	PP	he
said	VVD	say
to	TO	to
die	VV	die
in	IN	in
dignity	NN	dignity
in	IN	in
my	PP$	my
own	JJ	own
home	NN	home
rather	RB	rather
die	VV	die
than	IN	than
die	NN	die
in	IN	in
some	DT	some
strangers	NNS	stranger
home	NN	home
Bush	NP	Bush
there	RB	there
the	DT	the
policy	NN	policy
lead	NN	lead
for	IN	for
Oxfam	NP	Oxfam
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
in	IN	in
Israel	NP	Israel
busha	NP	busha
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
Al	NP	Al
jazer	NP	jazer
and	CC	and
I'm	NP	I'm
sorry	RB	sorry
to	TO	to
hear	VV	hear
that	IN/that	that
your	PP$	your
family	NN	family
is	VBZ	be
stuck	VVN	stick
at	IN	at
the	DT	the
moment	NN	moment
in	IN	in
Gaza	NP	Gaza
we	PP	we
we	PP	we
wish	VVP	wish
that	IN/that	that
they	PP	they
that	IN/that	that
they	PP	they
do	VVP	do
remain	VV	remain
safe	JJ	safe
thank	VVP	thank
you	PP	you
for	IN	for
your	PP$	your
time	NN	time
yeah	RB	yeah
</doc>	JJ	</doc>
