five	CD	five
answer	VV	answer
the	DT	the
door	NN	door
and	CC	and
as	IN	as
he	PP	he
opened	VVD	open
the	DT	the
door	NN	door
there	EX	there
was	VBD	be
a	DT	a
second	JJ	second
strike	NN	strike
and	CC	and
that	DT	that
second	JJ	second
strike	NN	strike
killed	VVD	kill
his	PP$	his
son	NN	son
now	RB	now
the	DT	the
son	NN	son
is	VBZ	be
around	RB	around
30	CD	@card@
years	NNS	year
old	JJ	old
he	PP	he
has	VHZ	have
uh	UH	uh
four	CD	four
children	NNS	child
um	JJ	um
and	CC	and
as	RB	as
you	PP	you
can	MD	can
see	VV	see
family	NN	family
members	NNS	member
friends	NNS	friend
members	NNS	member
of	IN	of
the	DT	the
community	NN	community
are	VBP	be
now	RB	now
waiting	VVG	wait
for	IN	for
the	DT	the
body	NN	body
to	TO	to
be	VB	be
brought	VVN	bring
from	IN	from
the	DT	the
hospital	NN	hospital
so	RB	so
that	IN/that	that
he	PP	he
can	MD	can
pay	VV	pay
their	PP$	their
last	JJ	last
respects	NNS	respect
before	IN	before
he	PP	he
is	VBZ	be
taken	VVN	take
to	TO	to
be	VB	be
buried	VVN	bury
but	CC	but
yeah	RB	yeah
this	DT	this
was	VBD	be
one	CD	one
of	IN	of
at	IN	at
least	JJS	least
two	CD	two
strikes	NNS	strike
we	PP	we
understand	VVP	understand
using	VVG	use
Israeli	JJ	Israeli
drones	NNS	drone
now	RB	now
to	TO	to
kurum	NN	kurum
this	DT	this
refugee	NN	refugee
camp	NN	camp
has	VHZ	have
long	RB	long
been	VBN	be
a	DT	a
center	NN	center
for	IN	for
the	DT	the
armed	JJ	armed
resistance	NN	resistance
and	CC	and
of	IN	of
course	NN	course
the	DT	the
arm	NN	arm
resistance	NN	resistance
is	VBZ	be
considered	VVN	consider
a	DT	a
legitimate	JJ	legitimate
form	NN	form
of	IN	of
resistance	NN	resistance
by	IN	by
the	DT	the
many	JJ	many
thousands	NNS	thousand
of	IN	of
people	NNS	people
that	WDT	that
live	VVP	live
here	RB	here
and	CC	and
right	RB	right
the	DT	the
way	NN	way
across	IN	across
Palestine	NP	Palestine
a	DT	a
resistance	NN	resistance
against	IN	against
the	DT	the
occupying	JJ	occupying
how	WRB	how
that	DT	that
being	JJ	being
Israel	NP	Israel
but	CC	but
there	EX	there
are	VBP	be
around	RB	around
about	IN	about
17	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
live	JJ	live
in	IN	in
this	DT	this
camp	NN	camp
and	CC	and
they	PP	they
are	VBP	be
facing	VVG	face
raids	NNS	raid
like	IN	like
this	DT	this
pretty	RB	pretty
much	JJ	much
every	DT	every
day	NN	day
the	DT	the
roads	NNS	road
not	RB	not
far	RB	far
from	IN	from
here	RB	here
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
completely	RB	completely
dug	VVN	dug
up	RP	up
by	IN	by
um	JJ	um
one	CD	one
of	IN	of
these	DT	these
Israeli	JJ	Israeli
armored	JJ	armored
bull	NN	bull
dozers	NNS	dozer
there	EX	there
are	VBP	be
a	DT	a
number	NN	number
of	IN	of
businesses	NNS	business
as	RB	as
well	RB	well
that	IN/that	that
we	PP	we
'	POS	'
ve	RB	ve
seen	VVN	see
that	WDT	that
were	VBD	be
also	RB	also
hit	VVN	hit
we	PP	we
don	VV	don
'	''	'
t	NN	t
have	VHP	have
numbers	NNS	number
of	IN	of
those	DT	those
that	WDT	that
were	VBD	be
arrested	VVN	arrest
but	CC	but
as	RB	as
I	PP	I
say	VVP	say
this	DT	this
is	VBZ	be
happening	VVG	happen
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
now	RB	now
what	WP	what
'	POS	'
s	NN	S
also	RB	also
interesting	JJ	interesting
though	IN	though
is	VBZ	be
speaking	VVG	speak
to	TO	to
the	DT	the
gentleman	NN	gentleman
who	WP	who
'	POS	'
s	NN	S
lost	VVD	lose
his	PP$	his
son	NN	son
he	PP	he
was	VBD	be
saying	VVG	say
that	IN/that	that
they	PP	they
made	VVD	make
repeated	JJ	repeated
calls	NNS	call
to	TO	to
the	DT	the
ambulance	NN	ambulance
Crews	NP	Crews
to	TO	to
try	VV	try
and	CC	and
and	CC	and
save	VV	save
a	DT	a
son	NN	son
who	WP	who
was	VBD	be
bleeding	VVG	bleed
to	TO	to
death	NN	death
4	CD	@card@
hours	NNS	hour
it	PP	it
took	VVD	take
for	IN	for
the	DT	the
ambulances	NNS	ambulance
to	TO	to
be	VB	be
let	VVN	let
in	IN	in
there	EX	there
are	VBP	be
constantly	RB	constantly
complaints	NNS	complaint
by	IN	by
ambulance	NN	ambulance
Crews	NP	Crews
by	IN	by
Medics	NNS	medic
that	IN/that	that
despite	IN	despite
them	PP	them
basically	RB	basically
going	VVG	go
through	IN	through
the	DT	the
protocol	NN	protocol
the	DT	the
official	JJ	official
protocol	NN	protocol
which	WDT	which
is	VBZ	be
the	DT	the
ambulance	NN	ambulance
staff	NN	staff
contacting	VVG	contact
the	DT	the
Israeli	JJ	Israeli
military	NN	military
telling	VVG	tell
them	PP	them
exactly	RB	exactly
where	WRB	where
they	PP	they
need	VVP	need
to	TO	to
be	VB	be
in	IN	in
a	DT	a
given	VVN	give
location	NN	location
in	IN	in
order	NN	order
to	TO	to
get	VV	get
into	IN	into
for	IN	for
example	NN	example
a	DT	a
camp	NN	camp
like	IN	like
this	DT	this
to	TO	to
come	VV	come
and	CC	and
treat	VV	treat
the	DT	the
wounded	JJ	wounded
or	CC	or
pull	VV	pull
the	DT	the
wounded	JJ	wounded
out	IN	out
they	PP	they
'	POS	'
re	NN	re
saying	VVG	say
that	IN/that	that
these	DT	these
calls	NNS	call
now	RB	now
are	VBP	be
just	RB	just
being	VBG	be
ignored	VVN	ignore
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
they	PP	they
say	VVP	say
that	IN/that	that
they	PP	they
are	VBP	be
suffering	VVG	suffer
serious	JJ	serious
harassment	NN	harassment
many	JJ	many
crews	NNS	crew
um	NNS	um
have	VHP	have
their	PP$	their
staff	NN	staff
detained	VVD	detain
they	PP	they
are	VBP	be
often	RB	often
strip	NN	strip
searched	VVD	search
and	CC	and
many	JJ	many
of	IN	of
them	PP	them
are	VBP	be
are	VBP	be
targeted	VVN	target
directly	RB	directly
it	PP	it
was	VBD	be
only	RB	only
yesterday	RB	yesterday
that	IN/that	that
we	PP	we
were	VBD	be
engine	NN	engine
in	IN	in
following	VVG	follow
another	DT	another
large	JJ	large
raid	NN	raid
and	CC	and
we	PP	we
saw	VVD	see
an	DT	an
ambulance	NN	ambulance
that	WDT	that
had	VHD	have
taken	VVN	take
bullet	NN	bullet
holes	NNS	hole
at	IN	at
the	DT	the
front	NN	front
of	IN	of
the	DT	the
vehicle	NN	vehicle
directly	RB	directly
underneath	IN	underneath
where	WRB	where
the	DT	the
driver	NN	driver
sits	VVZ	sit
also	RB	also
to	TO	to
around	IN	around
the	DT	the
sides	NNS	side
of	IN	of
of	IN	of
that	DT	that
ambulance	NN	ambulance
so	RB	so
yeah	RB	yeah
this	DT	this
kind	NN	kind
of	IN	of
situation	NN	situation
it	PP	it
just	RB	just
highlights	VVZ	highlight
not	RB	not
only	RB	only
the	DT	the
kind	NN	kind
of	IN	of
Terror	NN	terror
that	IN/that	that
that	DT	that
thousands	NNS	thousand
of	IN	of
civilians	NNS	civilian
are	VBP	be
facing	VVG	face
during	IN	during
these	DT	these
raids	NNS	raid
on	IN	on
places	NNS	place
like	IN	like
this	DT	this
but	CC	but
the	DT	the
huge	JJ	huge
difficulties	NNS	difficulty
that	IN/that	that
ambulance	NN	ambulance
staff	NN	staff
that	IN/that	that
medical	JJ	medical
crews	NNS	crew
are	VBP	be
facing	VVG	face
on	IN	on
a	DT	a
daily	NN	daily
on	IN	on
a	DT	a
nightly	JJ	nightly
basis	NN	basis
as	IN	as
these	DT	these
raids	NNS	raid
continue	VVP	continue
Charles	NP	Charles
thanks	NNS	thanks
very	RB	very
much	RB	much
indeed	RB	indeed
Charles	NP	Charles
stford	NP	stford
talking	VVG	talk
to	TO	to
us	PP	us
uh	UH	uh
from	IN	from
the	DT	the
occupied	JJ	occupied
Wiest	NP	Wiest
Bank	NP	Bank
