now	RB	now
Proposal	NN	proposal
that	RB	that
'	POS	'
s	NN	S
on	IN	on
the	DT	the
table	NN	table
and	CC	and
what	WP	what
does	VVZ	do
that	DT	that
proposal	NN	proposal
have	VHP	have
in	IN	in
it	PP	it
it	PP	it
it	PP	it
says	VVZ	say
first	JJ	first
of	IN	of
all	PDT	all
that	DT	that
there	RB	there
'	''	'
ll	NN	ll
be	VB	be
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
immediate	JJ	immediate
and	CC	and
in	IN	in
that	DT	that
during	IN	during
that	DT	that
immediate	JJ	immediate
ceasefire	NN	ceasefire
um	NN	um
Israel	NP	Israel
will	MD	will
pull	VV	pull
its	PP$	its
forces	NNS	force
back	RB	back
from	IN	from
populated	JJ	populated
areas	NNS	area
in	IN	in
Gaza	NP	Gaza
will	MD	will
surge	VV	surge
more	RBR	more
humanitarian	JJ	humanitarian
assistance	NN	assistance
into	IN	into
uh	UH	uh
Gaza	NP	Gaza
um	NN	um
Palestinians	NNS	Palestinian
living	VVG	live
in	IN	in
Gaza	NP	Gaza
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
return	VV	return
to	TO	to
their	PP$	their
neighborhoods	NNS	neighborhood
their	PP$	their
homes	NNS	home
if	IN	if
their	PP$	their
homes	NNS	home
are	VBP	be
still	RB	still
intact	JJ	intact
anywhere	RB	anywhere
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
and	CC	and
during	IN	during
that	DT	that
initial	JJ	initial
Phase	NN	phase
6	CD	@card@
weeks	NNS	week
both	CC	both
parties	NNS	party
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
commit	VVP	commit
to	TO	to
negotiate	VV	negotiate
toward	IN	toward
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
with	IN	with
the	DT	the
understanding	NN	understanding
that	WDT	that
uh	UH	uh
the	DT	the
initial	JJ	initial
ceasefire	NN	ceasefire
will	MD	will
continue	VV	continue
as	RB	as
long	RB	long
as	IN	as
those	DT	those
negotiations	NNS	negotiation
are	VBP	be
going	VVG	go
on	IN	on
and	CC	and
this	DT	this
is	VBZ	be
backed	VVN	back
by	IN	by
the	DT	the
United	NP	United
States	NP	States
it	PP	it
'	POS	'
s	NN	S
backed	VVD	back
by	IN	by
cter	NN	cter
it	PP	it
'	POS	'
s	NNS	s
backed	VVN	back
by	IN	by
Egypt	NP	Egypt
this	DT	this
is	VBZ	be
the	DT	the
quickest	JJS	quick
most	RBS	most
effective	JJ	effective
path	NN	path
to	TO	to
a	DT	a
durable	JJ	durable
ceasefire	NN	ceasefire
and	CC	and
that	WDT	that
means	VVZ	mean
an	DT	an
end	NN	end
of	IN	of
the	DT	the
an	DT	an
end	NN	end
of	IN	of
the	DT	the
war	NN	war
it	PP	it
also	RB	also
opens	VVZ	open
up	RP	up
so	RB	so
many	JJ	many
other	JJ	other
possibilities	NNS	possibility
for	IN	for
where	WRB	where
we	PP	we
want	VVP	want
to	TO	to
go	VV	go
um	NNS	um
to	TO	to
try	VV	try
to	TO	to
get	VV	get
a	DT	a
truly	RB	truly
durable	JJ	durable
peace	NN	peace
for	IN	for
everyone	NN	everyone
in	IN	in
the	DT	the
region	NN	region
and	CC	and
one	CD	one
place	NN	place
that	IN/that	that
we	PP	we
believe	VVP	believe
it	PP	it
'	''	'
s	NNS	s
important	JJ	important
to	TO	to
go	VV	go
is	VBZ	be
the	DT	the
realization	NN	realization
of	IN	of
Palestinian	JJ	Palestinian
State	NN	state
how	WRB	how
how	WRB	how
do	VVP	do
you	PP	you
plan	VVP	plan
to	TO	to
address	VV	address
the	DT	the
situation	NN	situation
now	RB	now
what	WP	what
are	VBP	be
the	DT	the
next	JJ	next
steps	NNS	step
so	IN	so
I	PP	I
'	POS	'
ve	NN	ve
met	VVD	meet
over	IN	over
the	DT	the
last	JJ	last
uh	UH	uh
two	CD	two
days	NNS	day
with	IN	with
Qatari	JJ	Qatari
and	CC	and
Egyptian	JJ	Egyptian
counterparts	NNS	counterpart
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
uh	UH	uh
intensely	RB	intensely
engaged	VVN	engage
with	IN	with
uh	UH	uh
with	IN	with
all	DT	all
of	IN	of
our	PP$	our
colleagues	NNS	colleague
who	WP	who
'	POS	'
ve	RB	ve
been	VBN	be
working	VVG	work
as	IN	as
mediators	NNS	mediator
on	IN	on
this	DT	this
agreement	NN	agreement
uh	UH	uh
we	PP	we
have	VHP	have
to	TO	to
continue	VV	continue
to	TO	to
analyze	VV	analyze
the	DT	the
document	NN	document
and	CC	and
then	RB	then
see	VV	see
if	IN	if
um	NNS	um
over	IN	over
the	DT	the
coming	VVG	come
days	NNS	day
we	PP	we
can	MD	can
find	VV	find
a	DT	a
way	NN	way
to	TO	to
bridge	VV	bridge
the	DT	the
gaps	NNS	gap
that	WDT	that
have	VHP	have
emerged	VVN	emerge
because	IN	because
Hamas	NP	Hamas
wouldn	NP	wouldn
'	POS	'
t	NN	t
say	VV	say
yes	UH	yes
well	RB	well
Hamas	NP	Hamas
has	VHZ	have
released	VVN	release
a	DT	a
statement	NN	statement
saying	VVG	say
contrary	NN	contrary
to	TO	to
to	TO	to
Israel	NP	Israel
it	PP	it
does	VVZ	do
want	VV	want
a	DT	a
deal	NN	deal
signed	VVD	sign
the	DT	the
Hamas	JJ	Hamas
movement	NN	movement
has	VHZ	have
demonstrated	VVN	demonstrate
it	PP	it
says	VVZ	say
in	IN	in
all	DT	all
stages	NNS	stage
of	IN	of
negotiations	NNS	negotiation
to	TO	to
stop	VV	stop
the	DT	the
aggression	NN	aggression
the	DT	the
required	VVN	require
positivity	NN	positivity
to	TO	to
reach	VV	reach
a	DT	a
comprehensive	JJ	comprehensive
and	CC	and
satisfactory	JJ	satisfactory
agreement	NN	agreement
based	VVN	base
on	IN	on
the	DT	the
FED	VVN	feed
Ms	NN	Ms
of	IN	of
our	PP$	our
people	NNS	people
for	IN	for
a	DT	a
definitive	JJ	definitive
sensation	NN	sensation
of	IN	of
aggression	NN	aggression
a	DT	a
complete	JJ	complete
withdrawal	NN	withdrawal
of	IN	of
Israeli	JJ	Israeli
forces	NNS	force
from	IN	from
Gaza	NP	Gaza
the	DT	the
return	NN	return
of	IN	of
the	DT	the
displaced	VVN	displace
reconstruction	NN	reconstruction
and	CC	and
a	DT	a
serious	JJ	serious
prisoner	NN	prisoner
exchange	NN	exchange
deal	NN	deal
the	DT	the
statement	NN	statement
adds	VVZ	add
that	IN/that	that
there	RB	there
hasn	NP	hasn
'	POS	'
t	NN	t
been	VBN	be
any	DT	any
confirmation	NN	confirmation
from	IN	from
the	DT	the
Israeli	JJ	Israeli
side	NN	side
that	IN/that	that
they	PP	they
have	VHP	have
approved	VVN	approve
any	DT	any
ceasefire	NN	ceasefire
proposal	NN	proposal
well	RB	well
let	VVD	let
'	''	'
s	NNS	s
bring	VVP	bring
in	IN	in
Maan	NP	Maan
Bashar	NP	Bashar
Al	NP	Al
jaer	NP	jaer
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
he	PP	he
joins	VVZ	join
us	PP	us
today	NN	today
via	IN	via
Skype	NP	Skype
from	IN	from
Paris	NP	Paris
Maran	NP	Maran
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
both	DT	both
sides	NNS	side
blaming	VVG	blame
each	DT	each
other	JJ	other
again	RB	again
now	RB	now
blinkin	NN	blinkin
keeps	VVZ	keep
saying	VVG	say
that	IN/that	that
all	PDT	all
that	DT	that
'	''	'
s	NN	S
missing	VVG	miss
is	VBZ	be
a	DT	a
yes	NN	yes
from	IN	from
Hamas	NP	Hamas
but	CC	but
Israel	NP	Israel
hasn	NP	hasn
'	POS	'
t	NN	t
said	VVD	say
yes	RB	yes
either	CC	either
well	RB	well
it	PP	it
seems	VVZ	seem
according	VVG	accord
to	TO	to
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
Hamas	NP	Hamas
has	VHZ	have
I	PP	I
mean	VVP	mean
Israel	NP	Israel
uh	UH	uh
has	VHZ	have
said	VVN	say
yes	RB	yes
secretly	RB	secretly
covertly	RB	covertly
only	RB	only
to	TO	to
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
not	RB	not
to	TO	to
anyone	NN	anyone
else	RB	else
it	PP	it
seems	VVZ	seem
because	IN	because
no	DT	no
one	CD	one
else	RB	else
in	IN	in
the	DT	the
world	NN	world
is	VBZ	be
testifying	VVG	testify
to	TO	to
the	DT	the
fact	NN	fact
that	IN/that	that
Israel	NP	Israel
told	VVD	tell
them	PP	them
that	IN/that	that
it	PP	it
agrees	VVZ	agree
to	TO	to
the	DT	the
ceasefire	NN	ceasefire
uh	UH	uh
no	DT	no
Israeli	JJ	Israeli
official	NN	official
has	VHZ	have
come	VVN	come
out	RP	out
publicly	RB	publicly
no	DT	no
isra	NN	isra
government	NN	government
vote	VV	vote
uh	UH	uh
has	VHZ	have
been	VBN	be
held	VVN	hold
to	TO	to
adopt	VV	adopt
the	DT	the
American	NP	American
come	VV	come
you	PP	you
Security	NP	Security
Council	NP	Council
uh	UH	uh
resolution	NN	resolution
so	IN	so
you	PP	you
know	VVP	know
I	PP	I
'	''	'
m	NN	m
not	RB	not
sure	JJ	sure
how	WRB	how
many	JJ	many
people	NNS	people
are	VBP	be
going	VVG	go
to	TO	to
take	VV	take
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
'	POS	'
s	JJ	s
word	NN	word
for	IN	for
it	PP	it
he	PP	he
clearly	RB	clearly
hasn	NN	hasn
'	POS	'
t	NN	t
come	VVN	come
through	IN	through
on	IN	on
many	JJ	many
of	IN	of
his	PP$	his
uh	UH	uh
words	NNS	word
and	CC	and
commitments	NNS	commitment
and	CC	and
declarations	NNS	declaration
over	IN	over
the	DT	the
past	JJ	past
eight	CD	eight
months	NNS	month
but	CC	but
be	VB	be
that	IN/that	that
as	IN	as
I	PP	I
may	MD	may
let	VV	let
me	PP	me
just	RB	just
underline	VV	underline
that	DT	that
uh	UH	uh
it	PP	it
'	POS	'
s	NN	S
great	JJ	great
to	TO	to
have	VH	have
the	DT	the
secretary	NN	secretary
St	NP	St
on	IN	on
our	PP$	our
Channel	NP	Channel
he	PP	he
certainly	RB	certainly
brighten	VVP	brighten
our	PP$	our
screen	NN	screen
that	IN/that	that
he	PP	he
'	''	'
s	VVG	s
uh	UH	uh
nice	JJ	nice
to	TO	to
us	PP	us
and	CC	and
we	PP	we
'	POS	'
re	NN	re
nice	JJ	nice
to	TO	to
him	PP	him
you	PP	you
know	VV	know
uh	UH	uh
we	PP	we
asked	VVD	ask
the	DT	the
questions	NNS	question
he	PP	he
answered	VVD	answer
them	PP	them
the	DT	the
problem	NN	problem
is	VBZ	be
um	JJ	um
that	IN/that	that
he	PP	he
repeats	VVZ	repeat
more	JJR	more
of	IN	of
the	DT	the
same	JJ	same
of	IN	of
the	DT	the
past	NN	past
so	IN	so
many	DT	many
uh	UH	uh
months	NNS	month
for	IN	for
example	NN	example
and	CC	and
probably	RB	probably
this	DT	this
is	VBZ	be
the	DT	the
most	JJS	most
Stark	NP	Stark
example	NN	example
for	IN	for
me	PP	me
he	PP	he
says	VVZ	say
since	IN	since
President	NP	President
Biden	NP	Biden
uh	UH	uh
made	VVN	make
uh	UH	uh
his	PP$	his
uh	UH	uh
proposal	NN	proposal
public	NN	public
several	JJ	several
hundred	CD	hundred
people	NNS	people
were	VBD	be
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
well	RB	well
since	IN	since
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
the	DT	the
Arabs	NPS	Arabs
and	CC	and
others	NNS	other
have	VHP	have
called	VVN	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
America	NP	America
blocked	VVD	block
it	PP	it
back	RB	back
in	IN	in
October	NP	October
2023	CD	@card@
more	JJR	more
than	IN	than
30	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
since	IN	since
then	RB	then
the	DT	the
United	NP	United
States	NPS	States
Secretary	NP	Secretary
Blinn	NP	Blinn
have	VHP	have
blocked	VVN	block
every	DT	every
single	JJ	single
call	NN	call
resolution	NN	resolution
draft	NN	draft
resolution	NN	resolution
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
for	IN	for
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
and	CC	and
as	IN	as
a	DT	a
result	NN	result
here	RB	here
we	PP	we
are	VBP	be
today	RB	today
Gaza	NP	Gaza
is	VBZ	be
totally	RB	totally
destroyed	VVN	destroy
a	DT	a
genocide	NN	genocide
is	VBZ	be
under	IN	under
way	NN	way
Mar	NP	Mar
I	NP	I
'	POS	'
m	NN	m
just	RB	just
picking	VVG	pick
up	RP	up
on	IN	on
something	NN	something
that	IN/that	that
you	PP	you
alluded	VVD	allude
to	TO	to
there	RB	there
this	DT	this
idea	NN	idea
of	IN	of
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
and	CC	and
that	IN/that	that
'	POS	'
s	RB	s
been	VBN	be
a	DT	a
sticking	JJ	sticking
point	NN	point
since	IN	since
the	DT	the
beginning	NN	beginning
has	VHZ	have
there	RB	there
actually	RB	actually
been	VBN	be
any	DT	any
progress	NN	progress
made	VVN	make
are	VBP	be
you	PP	you
seeing	VVG	see
momentum	NN	momentum
here	RB	here
look	VVP	look
I	PP	I
appreciate	VV	appreciate
the	DT	the
fact	NN	fact
you	PP	you
say	VVP	say
alluded	VVN	allude
but	CC	but
I	PP	I
don	VVP	don
'	''	'
t	NN	t
elude	VVP	elude
I	PP	I
said	VVD	say
it	PP	it
very	RB	very
very	RB	very
very	RB	very
very	RB	very
clearly	RB	clearly
this	DT	this
is	VBZ	be
exactly	RB	exactly
the	DT	the
problem	NN	problem
since	IN	since
the	DT	the
very	RB	very
beginning	VVG	begin
the	DT	the
entire	JJ	entire
world	NN	world
except	IN	except
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
at	IN	at
one	CD	one
point	NN	point
Britain	NP	Britain
and	CC	and
Germany	NP	Germany
was	VBD	be
on	IN	on
board	NN	board
for	IN	for
for	IN	for
an	DT	an
immediate	JJ	immediate
and	CC	and
permanent	JJ	permanent
ceasefire	NN	ceasefire
everyone	NN	everyone
in	IN	in
the	DT	the
world	NN	world
wanted	VVD	want
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
except	IN	except
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
its	PP$	its
lackes	NNS	lackes
in	IN	in
Europe	NP	Europe
so	IN	so
what	WP	what
we	PP	we
have	VHP	have
today	NN	today
is	VBZ	be
not	RB	not
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
why	WRB	why
Hamas	JJ	Hamas
and	CC	and
so	RB	so
many	JJ	many
others	NNS	other
have	VHP	have
a	DT	a
problem	NN	problem
with	IN	with
it	PP	it
they	PP	they
got	VVD	get
on	IN	on
board	NN	board
with	IN	with
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
for	IN	for
a	DT	a
simple	JJ	simple
reason	NN	reason
the	DT	the
United	NP	United
States	NPS	States
said	VVD	say
to	TO	to
the	DT	the
world	NN	world
to	TO	to
China	NP	China
Russia	NP	Russia
and	CC	and
others	NNS	other
my	PP$	my
way	NN	way
or	CC	or
the	DT	the
highway	NN	highway
th	NN	th
you	PP	you
accept	VVP	accept
my	PP$	my
proposal	NN	proposal
or	CC	or
Israel	NP	Israel
is	VBZ	be
going	VVG	go
to	TO	to
continue	VV	continue
with	IN	with
its	PP$	its
war	NN	war
crimes	NNS	crime
in	IN	in
Gaza	NP	Gaza
so	RB	so
after	IN	after
they	PP	they
basically	RB	basically
became	VVD	become
desperate	JJ	desperate
all	PDT	all
the	DT	the
world	NN	world
powers	NNS	power
and	CC	and
the	DT	the
smaller	JJR	small
States	NNS	state
at	IN	at
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
came	VVD	come
on	IN	on
board	NN	board
with	IN	with
the	DT	the
United	NP	United
States	NP	States
they	PP	they
accept	VVP	accept
the	DT	the
reality	NN	reality
that	IN/that	that
Israel	NP	Israel
Palestine	NP	Palestine
is	VBZ	be
within	IN	within
America	NP	America
'	POS	'
s	JJ	s
sphere	NN	sphere
of	IN	of
interest	NN	interest
and	CC	and
if	IN	if
it	PP	it
'	POS	'
s	NN	S
America	NP	America
doesn	NP	doesn
'	POS	'
t	NN	t
agree	VVP	agree
to	TO	to
it	PP	it
it	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VVG	go
to	TO	to
happen	VV	happen
and	CC	and
America	NP	America
and	CC	and
Israel	NP	Israel
are	VBP	be
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
manage	VV	manage
the	DT	the
so	RB	so
-	JJ	-
called	VVN	call
uh	UH	uh
temporary	JJ	temporary
ceasefire	NN	ceasefire
moving	VVG	move
forward	RB	forward
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
up	RB	up
to	TO	to
Israel	NP	Israel
if	IN	if
this	DT	this
thing	NN	thing
happens	VVZ	happen
as	IN	as
it	PP	it
move	VVP	move
to	TO	to
the	DT	the
second	JJ	second
phase	NN	phase
to	TO	to
decide	VV	decide
whether	IN	whether
it	PP	it
wants	VVZ	want
or	CC	or
not	RB	not
yeah	RB	yeah
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
Maran	NP	Maran
Israel	NP	Israel
is	VBZ	be
saying	VVG	say
that	IN/that	that
the	DT	the
negotiations	NNS	negotiation
are	VBP	be
continuing	VVG	continue
what	WP	what
'	POS	'
s	NN	S
actually	RB	actually
happening	VVG	happen
behind	IN	behind
the	DT	the
scenes	NNS	scene
right	RB	right
now	RB	now
especially	RB	especially
as	IN	as
we	PP	we
see	VVP	see
these	DT	these
strikes	NNS	strike
continue	VVP	continue
in	IN	in
in	IN	in
the	DT	the
strip	NN	strip
in	IN	in
places	NNS	place
like	IN	like
al	NP	al
-	NN	-
maasi	VVZ	maasi
oh	UH	oh
there	RB	there
'	POS	'
s	NN	S
absolutely	RB	absolutely
no	RB	no
doubt	VVP	doubt
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
doing	VVG	do
what	WP	what
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
