<video_id>B314VZu0vVo</video_id>	JJ	<video_id>B314VZu0vVo</video_id>
multiple	JJ	multiple
residential	JJ	residential
homes	NNS	home
and	CC	and
an	DT	an
entire	JJ	entire
residential	JJ	residential
neighborhood	NN	neighborhood
was	VBD	be
turned	VVN	turn
into	IN	into
rubbles	NNS	rubble
about	IN	about
uh	UH	uh
more	RBR	more
than	IN	than
uh	UH	uh
30	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
pronounced	VVN	pronounce
killed	VVN	kill
right	RB	right
at	IN	at
the	DT	the
spot	NN	spot
with	IN	with
a	DT	a
little	JJ	little
over	IN	over
aund	NN	aund
of	IN	of
injuries	NNS	injury
uh	UH	uh
with	IN	with
these	DT	these
with	IN	with
situations	NNS	situation
like	IN	like
these	DT	these
and	CC	and
giving	VVG	give
the	DT	the
density	NN	density
of	IN	of
the	DT	the
area	NN	area
it's	NNS	it's
hard	JJ	hard
to	TO	to
uh	UH	uh
to	TO	to
pin	VV	pin
exactly	RB	exactly
how	WRB	how
many	RB	many
people	VV	people
uh	UH	uh
have	VHP	have
been	VBN	be
killed	VVN	kill
we	PP	we
need	VVP	need
to	TO	to
wait	VV	wait
until	IN	until
we	PP	we
get	VVP	get
more	JJR	more
updates	NNS	update
as	IN	as
there	EX	there
are	VBP	be
people	NNS	people
more	JJR	more
people	NNS	people
are	VBP	be
still	RB	still
under	IN	under
the	DT	the
rebels	NNS	rebel
it's	NNS	it's
important	JJ	important
to	TO	to
notice	VV	notice
that	IN/that	that
a	DT	a
this	DT	this
is	VBZ	be
a	DT	a
residential	JJ	residential
home	NN	home
that	WDT	that
was	VBD	be
targeted	VVN	target
but	CC	but
giving	VVG	give
the	DT	the
intens	VVZ	intens
it	PP	it
of	IN	of
the	DT	the
damage	NN	damage
and	CC	and
the	DT	the
level	NN	level
of	IN	of
Destruction	NN	destruction
it	PP	it
destroy	VVP	destroy
multiple	JJ	multiple
surrounding	VVG	surround
buildings	NNS	building
uh	UH	uh
to	TO	to
the	DT	the
point	NN	point
they	PP	they
were	VBD	be
turned	VVN	turn
into	IN	into
a	DT	a
pile	NN	pile
of	IN	of
rebels	NNS	rebel
we'll	RB	we'll
have	VH	have
to	TO	to
wait	VV	wait
for	IN	for
more	JJR	more
updates	NNS	update
about	IN	about
the	DT	the
exact	JJ	exact
number	NN	number
of	IN	of
casualties	NNS	casualty
and	CC	and
hany	NN	hany
we're	NN	we're
also	RB	also
hearing	VVG	hear
uh	UH	uh
about	RB	about
an	DT	an
attack	NN	attack
on	IN	on
the	DT	the
main	JJ	main
water	NN	water
supply	NN	supply
tank	NN	tank
at	IN	at
talal	JJ	talal
zata	NNS	zata
what	WP	what
have	VHP	have
you	PP	you
been	VBN	be
hearing	VVG	hear
there	RB	there
yes	RB	yes
well	RB	well
given	VVN	give
the	DT	the
uh	UH	uh
the	DT	the
level	NN	level
of	IN	of
of	IN	of
of	IN	of
these	DT	these
attacks	NNS	attack
and	CC	and
and	CC	and
and	CC	and
and	CC	and
it's	NNS	it's
a	DT	a
total	JJ	total
war	NN	war
on	IN	on
on	IN	on
on	IN	on
Palestinians	NNS	Palestinian
living	VVG	live
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
new	JJ	new
Israel	NP	Israel
strategy	NN	strategy
seems	VVZ	seem
to	TO	to
be	VB	be
to	TO	to
attack	VV	attack
every	DT	every
elements	NNS	element
of	IN	of
of	IN	of
living	VVG	live
a	DT	a
standard	JJ	standard
uh	UH	uh
in	IN	in
in	IN	in
the	DT	the
in	IN	in
Gaza	NP	Gaza
City	NP	City
and	CC	and
the	DT	the
southern	JJ	southern
part	NN	part
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Gaza	NP	Gaza
in	IN	in
and	CC	and
the	DT	the
southern	JJ	southern
part	NN	part
as	IN	as
uh	UH	uh
water	NN	water
tank	NN	tank
was	VBD	be
also	RB	also
hit	VVN	hit
in	IN	in
in	IN	in
eastern	JJ	eastern
of	IN	of
the	DT	the
one	CD	one
major	JJ	major
water	NN	water
supply	NN	supply
tank	NN	tank
that	WDT	that
covers	VVZ	cover
a	DT	a
close	NN	close
to	TO	to
60%	CD	@card@
of	IN	of
Water	NP	Water
Supplies	NNS	supply
to	TO	to
people	NNS	people
of	IN	of
jabalia	JJ	jabalia
uh	UH	uh
has	VHZ	have
been	VBN	be
completely	RB	completely
destroyed	VVN	destroy
leaving	VVG	leave
people	NNS	people
without	IN	without
access	NN	access
to	TO	to
water	NN	water
what	WP	what
seems	VVZ	seem
to	TO	to
be	VB	be
a	DT	a
forced	VVN	force
displacement	NN	displacement
of	IN	of
residents	NNS	resident
who	WP	who
are	VBP	be
stranded	VVN	strand
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
when	WRB	when
you	PP	you
take	VVP	take
all	DT	all
of	IN	of
these	DT	these
living	VVG	live
elements	NNS	element
uh	UH	uh
living	NN	living
elements	NNS	element
that	WDT	that
help	VVP	help
people	NNS	people
sustain	VV	sustain
their	PP$	their
day-to-day	JJ	day-to-day
life	NN	life
people	NNS	people
won't	NN	won't
have	VHP	have
a	DT	a
choice	NN	choice
but	CC	but
to	TO	to
leave	VV	leave
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
seems	VVZ	seem
the	DT	the
new	JJ	new
tax	NN	tax
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
unpredictable	JJ	unpredictable
falling	VVG	fall
bombs	NNS	bomb
and	CC	and
the	DT	the
ongoing	JJ	ongoing
air	NN	air
strike	NN	strike
that	IN/that	that
hasn't	NN	hasn't
stopped	VVD	stop
for	IN	for
almost	RB	almost
a	DT	a
month	NN	month
now	RB	now
all	DT	all
right	JJ	right
Han	NP	Han
mmud	NN	mmud
live	VVP	live
for	IN	for
us	PP	us
there	RB	there
in	IN	in
Han	NP	Han
Unis	NNS	uni
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
hany	NN	hany
thank	VVP	thank
you	PP	you
for	IN	for
that	DT	that
</doc>	NN	</doc>
