well	RB	well
there	RB	there
right	RB	right
now	RB	now
in	IN	in
these	DT	these
encampments	NNS	encampment
and	CC	and
these	DT	these
protests	NNS	protest
it	PP	it
should	MD	should
be	VB	be
uh	UH	uh
nearly	RB	nearly
either	CC	either
nearly	RB	nearly
a	DT	a
thousand	CD	thousand
or	CC	or
several	JJ	several
thousand	CD	thousand
now	RB	now
there	RB	there
'	''	'
s	NN	S
there	RB	there
'	POS	'
s	NN	S
there	RB	there
'	POS	'
s	NNS	s
a	DT	a
couple	NN	couple
hundred	CD	hundred
when	WRB	when
I	PP	I
when	WRB	when
I	PP	I
uh	UH	uh
came	VVD	come
inside	IN	inside
um	NNS	um
but	CC	but
again	RB	again
it	PP	it
looks	VVZ	look
like	IN	like
the	DT	the
there	RB	there
'	''	'
s	RB	s
been	VBN	be
you	PP	you
know	VVP	know
there	EX	there
'	''	'
s	RB	s
been	VBN	be
a	DT	a
call	NN	call
to	TO	to
a	DT	a
call	NN	call
to	TO	to
action	NN	action
um	NNS	um
by	IN	by
quad	NN	quad
by	IN	by
SJP	NP	SJP
by	IN	by
jbp	NN	jbp
and	CC	and
other	JJ	other
um	VVG	um
uh	UH	uh
and	CC	and
other	JJ	other
student	NN	student
groups	NNS	group
for	IN	for
other	JJ	other
Columbia	NP	Columbia
students	NNS	student
to	TO	to
come	VV	come
to	TO	to
campus	NN	campus
and	CC	and
it	PP	it
looks	VVZ	look
like	IN	like
again	RB	again
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
really	RB	really
galvanizing	VVG	galvanize
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
so	RB	so
right	RB	right
now	RB	now
there	EX	there
'	''	'
s	NN	S
hundreds	NNS	hundred
if	IN	if
not	RB	not
potentially	RB	potentially
thousands	NNS	thousand
of	IN	of
students	NNS	student
out	IN	out
there	EX	there
what	WP	what
are	VBP	be
the	DT	the
students	NNS	student
calling	VVG	call
for	IN	for
their	PP$	their
demands	NNS	demand
are	VBP	be
are	VBP	be
simple	JJ	simple
um	NNS	um
you	PP	you
know	VVP	know
they	PP	they
'	''	'
re	IN	re
they	PP	they
'	POS	'
re	NN	re
calling	VVG	call
for	IN	for
the	DT	the
University	NP	University
to	TO	to
do	VV	do
more	RBR	more
to	TO	to
support	VV	support
a	DT	a
ceas	NNS	ceas
fire	NN	fire
to	TO	to
call	VV	call
for	IN	for
a	DT	a
ceas	NNS	ceas
fire	NN	fire
in	IN	in
Gaza	NP	Gaza
but	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
calling	VVG	call
to	TO	to
the	DT	the
university	NN	university
to	TO	to
divest	VV	divest
from	IN	from
uh	UH	uh
companies	NNS	company
that	IN/that	that
profit	NN	profit
from	IN	from
uh	UH	uh
the	DT	the
occupation	NN	occupation
and	CC	and
the	DT	the
oppression	NN	oppression
of	IN	of
Palestinians	NPS	Palestinians
um	NNS	um
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
made	VVD	make
their	PP$	their
demands	VVZ	demand
uh	UH	uh
extremely	RB	extremely
clear	JJ	clear
over	IN	over
the	DT	the
over	IN	over
the	DT	the
past	JJ	past
months	NNS	month
and	CC	and
in	IN	in
years	NNS	year
actually	RB	actually
there	RB	there
'	''	'
s	RB	s
been	VBN	be
multiple	JJ	multiple
uh	UH	uh
divestment	NN	divestment
votes	NNS	vote
that	WDT	that
have	VHP	have
succeeded	VVN	succeed
and	CC	and
passed	VVN	pass
in	IN	in
which	WDT	which
uh	UH	uh
the	DT	the
majority	NN	majority
of	IN	of
the	DT	the
student	NN	student
body	NN	body
has	VHZ	have
called	VVN	call
for	IN	for
divestment	NN	divestment
from	IN	from
these	DT	these
investments	NNS	investment
in	IN	in
Israeli	JJ	Israeli
companies	NNS	company
or	CC	or
companies	NNS	company
that	WDT	that
profit	VVP	profit
from	IN	from
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
but	CC	but
the	DT	the
university	NN	university
unfortunately	RB	unfortunately
continues	VVZ	continue
to	TO	to
ignore	VV	ignore
the	DT	the
Democratic	JJ	Democratic
will	NN	will
of	IN	of
their	PP$	their
own	JJ	own
students	NNS	student
um	NNS	um
and	CC	and
as	RB	as
long	RB	long
as	IN	as
they	PP	they
do	VVP	do
so	RB	so
um	JJ	um
it	PP	it
looks	VVZ	look
like	IN	like
the	DT	the
students	NNS	student
are	VBP	be
GNA	NP	GNA
are	VBP	be
going	VVG	go
to	TO	to
remain	VV	remain
out	RP	out
protesting	VVG	protest
and	CC	and
and	CC	and
and	CC	and
demanding	VVG	demand
uh	UH	uh
that	IN/that	that
their	PP$	their
Democratic	NP	Democratic
will	MD	will
be	VB	be
respected	VVN	respect
all	DT	all
right	NN	right
to	TO	to
Kenn	NP	Kenn
shwa	NN	shwa
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
speaking	VVG	speak
to	TO	to
us	PP	us
from	IN	from
New	NP	New
York	NP	York
thank	VVP	thank
you	PP	you
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NP	alaz
