okay	RB	okay
a	DT	a
few	JJ	few
days	NNS	day
ago	RB	ago
and	CC	and
uh	UH	uh
it	PP	it
does	VVZ	do
feel	VV	feel
as	RB	as
if	IN	if
it	PP	it
has	VHZ	have
been	VBN	be
specific	JJ	specific
ly	NNS	ly
done	VVN	do
to	TO	to
derail	VV	derail
it	PP	it
and	CC	and
we	PP	we
have	VHP	have
we	PP	we
have	VHP	have
seen	VVN	see
overall	JJ	overall
over	IN	over
the	DT	the
last	JJ	last
10	CD	@card@
days	NNS	day
or	CC	or
so	RB	so
the	DT	the
moral	JJ	moral
tide	NN	tide
turning	VVG	turn
against	IN	against
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
Coalition	NP	Coalition
across	IN	across
the	DT	the
world	NN	world
and	CC	and
uh	UH	uh
we	PP	we
discussed	VVD	discuss
this	RB	this
a	DT	a
couple	NN	couple
of	IN	of
days	NNS	day
ago	RB	ago
that	IN/that	that
I	PP	I
feel	VVP	feel
this	DT	this
time	NN	time
of	IN	of
the	DT	the
negotiation	NN	negotiation
he	PP	he
has	VHZ	have
most	JJS	most
to	TO	to
lose	VV	lose
he	PP	he
has	VHZ	have
to	TO	to
climb	VV	climb
down	RP	down
more	JJR	more
than	IN	than
Hamas	NP	Hamas
has	VHZ	have
to	TO	to
in	IN	in
order	NN	order
to	TO	to
reach	VV	reach
the	DT	the
agreement	NN	agreement
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
whether	IN	whether
it	PP	it
'	POS	'
s	JJ	s
temporary	JJ	temporary
or	CC	or
or	CC	or
permanent	JJ	permanent
phase	NN	phase
or	CC	or
all	RB	all
in	IN	in
done	VVN	do
in	IN	in
one	CD	one
phase	NN	phase
and	CC	and
and	CC	and
this	DT	this
of	IN	of
course	NN	course
will	MD	will
affect	VV	affect
it	PP	it
uh	UH	uh
the	DT	the
discussion	NN	discussion
is	VBZ	be
now	RB	now
going	VVG	go
around	RP	around
whether	IN	whether
we	PP	we
do	VVP	do
ceasefire	NN	ceasefire
immediately	IN	immediately
ceasefire	NN	ceasefire
or	CC	or
we	PP	we
phase	VVP	phase
it	PP	it
over	IN	over
few	JJ	few
weeks	NNS	week
which	WDT	which
I	PP	I
think	VVP	think
Biden	NP	Biden
is	VBZ	be
calling	VVG	call
for	IN	for
but	CC	but
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
face	VV	face
it	PP	it
you	PP	you
have	VHP	have
to	TO	to
establish	VV	establish
a	DT	a
minimum	JJ	minimum
level	NN	level
of	IN	of
trust	NN	trust
between	IN	between
the	DT	the
two	CD	two
sides	NNS	side
and	CC	and
if	IN	if
there	EX	there
was	VBD	be
any	DT	any
trust	NN	trust
this	DT	this
is	VBZ	be
now	RB	now
have	VHP	have
really	RB	really
demolished	VVN	demolish
it	PP	it
um	RB	um
let	VVP	let
me	PP	me
just	RB	just
put	VVD	put
to	TO	to
you	PP	you
um	JJ	um
something	NN	something
that	IN/that	that
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
Israel	NP	Israel
so	RB	so
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
this	DT	this
assassination	NN	assassination
of	IN	of
several	JJ	several
me	FW	me
members	NNS	member
of	IN	of
Hamas	NP	Hamas
is	VBZ	be
political	JJ	political
leader	NN	leader
Han	NP	Han
there	RB	there
'	''	'
s	VVG	s
a	DT	a
former	JJ	former
deputy	NN	deputy
of	IN	of
Chief	NP	Chief
of	IN	of
Staff	NP	Staff
of	IN	of
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
y	NP	y
Golan	NP	Golan
and	CC	and
he	PP	he
'	POS	'
s	NN	S
released	VVD	release
this	DT	this
statement	NN	statement
he	PP	he
said	VVD	say
the	DT	the
killings	NNS	killing
carried	VVD	carry
out	RP	out
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
however	RB	however
Justified	JJ	justified
and	CC	and
appropriate	JJ	appropriate
they	PP	they
may	MD	may
be	VB	be
point	NN	point
to	TO	to
a	DT	a
lack	NN	lack
of	IN	of
political	JJ	political
wisdom	NN	wisdom
in	IN	in
regards	NNS	regard
to	TO	to
the	DT	the
timing	NN	timing
chosen	VVN	choose
carrying	NN	carrying
out	IN	out
such	JJ	such
dramatic	JJ	dramatic
actions	NNS	action
on	IN	on
the	DT	the
eve	NN	eve
of	IN	of
a	DT	a
possible	JJ	possible
deal	NN	deal
for	IN	for
the	DT	the
release	NN	release
of	IN	of
the	DT	the
hostages	NNS	hostage
constitutes	VVZ	constitute
another	DT	another
serious	JJ	serious
layer	NN	layer
in	IN	in
their	PP$	their
lawlessness	NN	lawlessness
I	PP	I
mean	VVP	mean
this	DT	this
is	VBZ	be
coming	VVG	come
from	IN	from
someone	NN	someone
who	WP	who
is	VBZ	be
a	DT	a
former	JJ	former
uh	UH	uh
Deputy	NP	Deputy
Chief	NP	Chief
of	IN	of
sta	NN	sta
staff	NN	staff
of	IN	of
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
and	CC	and
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
the	DT	the
timing	NN	timing
of	IN	of
this	DT	this
assassination	NN	assassination
and	CC	and
these	DT	these
killings	NNS	killing
I	PP	I
mean	VVP	mean
I	PP	I
we	PP	we
agree	VVP	agree
with	IN	with
I	PP	I
mean	VVP	mean
we	PP	we
agree	VVP	agree
with	IN	with
them	PP	them
in	IN	in
terms	NNS	term
of	IN	of
timing	NN	timing
and	CC	and
it	PP	it
'	POS	'
s	NN	S
totally	RB	totally
unjustified	JJ	unjustified
you	PP	you
cannot	MD	can
justify	VV	justify
it	PP	it
because	IN	because
these	DT	these
three	CD	three
children	NNS	child
were	VBD	be
not	RB	not
really	RB	really
part	NN	part
of	IN	of
the	DT	the
military	JJ	military
wing	NN	wing
of	IN	of
Hamas	VVG	Hamas
they	PP	they
'	POS	'
re	NN	re
considered	VVN	consider
as	IN	as
civilians	NNS	civilian
the	DT	the
timing	NN	timing
the	DT	the
symbolic	JJ	symbolic
uh	UH	uh
the	DT	the
symbolism	NN	symbolism
of	IN	of
killing	VVG	kill
them	PP	them
on	IN	on
Aden	NP	Aden
futter	NN	futter
on	IN	on
their	PP$	their
first	JJ	first
visit	NN	visit
to	TO	to
their	PP$	their
family	NN	family
is	VBZ	be
terrible	JJ	terrible
and	CC	and
I	PP	I
think	VVP	think
it	PP	it
will	MD	will
have	VH	have
a	DT	a
lot	NN	lot
of	IN	of
impact	NN	impact
throughout	IN	throughout
the	DT	the
Muslim	JJ	Muslim
world	NN	world
but	CC	but
uh	UH	uh
in	IN	in
in	IN	in
general	NN	general
I	PP	I
think	VVP	think
the	DT	the
uh	UH	uh
the	DT	the
way	NN	way
you	PP	you
look	VVP	look
at	IN	at
it	PP	it
the	DT	the
Israelis	NPS	Israelis
can	MD	can
claim	VV	claim
that	IN/that	that
this	DT	this
has	VHZ	have
been	VBN	be
part	NN	part
of	IN	of
a	DT	a
list	NN	list
that	IN/that	that
they	PP	they
pre	VVP	pre
-	NN	-
prepared	VVN	prepare
H	NP	H
which	WDT	which
is	VBZ	be
related	VVN	relate
to	TO	to
their	PP$	their
use	NN	use
of	IN	of
artificial	JJ	artificial
intelligence	NN	intelligence
you	PP	you
know	VVP	know
this	DT	this
lavender	JJ	lavender
system	NN	system
that	IN/that	that
they	PP	they
have	VHP	have
where	WRB	where
they	PP	they
pre	VVP	pre
-	NNS	-
identify	VV	identify
targets	NNS	target
and	CC	and
then	RB	then
depending	VVG	depend
on	IN	on
calculations	NNS	calculation
the	DT	the
system	NN	system
just	RB	just
goes	VVZ	go
and	CC	and
they	PP	they
all	RB	all
have	VHP	have
received	VVN	receive
uh	UH	uh
pre	NN	pre
-	NN	-
approval	NN	approval
of	IN	of
killing	VVG	kill
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
see	VVP	see
the	DT	the
huge	JJ	huge
casualty	NN	casualty
in	IN	in
in	IN	in
Gaza	NP	Gaza
but	CC	but
uh	UH	uh
but	CC	but
looking	VVG	look
at	IN	at
it	PP	it
carefully	RB	carefully
it	PP	it
looks	VVZ	look
more	JJR	more
like	IN	like
the	DT	the
Central	NP	Central
Kitchen	NP	Kitchen
assassination	NN	assassination
it	PP	it
is	VBZ	be
calculated	VVN	calculate
and	CC	and
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
there	RB	there
has	VHZ	have
been	VBN	be
a	DT	a
human	JJ	human
approval	NN	approval
uh	UH	uh
element	NN	element
in	IN	in
it	PP	it
because	IN	because
of	IN	of
the	DT	the
way	NN	way
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
targeted	VVN	target
this	DT	this
is	VBZ	be
not	RB	not
targeting	VVG	target
a	DT	a
building	NN	building
or	CC	or
compound	VV	compound
uh	UH	uh
this	DT	this
is	VBZ	be
a	DT	a
moving	VVG	move
Target	NP	Target
and	CC	and
there	EX	there
may	MD	may
be	VB	be
even	RB	even
have	VHP	have
come	VVN	come
from	IN	from
the	DT	the
top	NN	top
it	PP	it
would	MD	would
have	VH	have
it	PP	it
must	MD	must
be	VB	be
I	PP	I
mean	VVP	mean
this	DT	this
kind	NN	kind
of	IN	of
assassination	NN	assassination
does	VVZ	do
not	RB	not
happen	VV	happen
randomly	RB	randomly
uh	UH	uh
also	RB	also
because	IN	because
of	IN	of
um	NNS	um
the	DT	the
timing	NN	timing
that	IN/that	that
when	WRB	when
it	PP	it
happened	VVD	happen
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
have	VHP	have
they	PP	they
would	MD	would
have	VH	have
seen	VVN	see
seen	VVN	see
the	DT	the
three	CD	three
children	NNS	child
in	IN	in
the	DT	the
car	NN	car
if	IN	if
they	PP	they
'	POS	'
ve	NNS	ve
seen	VVN	see
if	IN	if
they	PP	they
identified	VVD	identify
positively	RB	positively
the	DT	the
three	CD	three
young	JJ	young
men	NNS	man
they	PP	they
would	MD	would
have	VH	have
identified	VVN	identify
the	DT	the
grandchildren	NNS	grandchild
as	IN	as
well	RB	well
so	RB	so
for	IN	for
that	IN/that	that
I	PP	I
think	VVP	think
someone	NN	someone
must	MD	must
have	VH	have
taken	VVN	take
the	DT	the
decision	NN	decision
to	TO	to
to	TO	to
go	VV	go
ahead	RB	ahead
and	CC	and
um	RB	um
we	PP	we
heard	VVD	hear
President	NP	President
Biden	NP	Biden
he	PP	he
was	VBD	be
speaking	VVG	speak
at	IN	at
the	DT	the
White	NP	White
House	NP	House
just	RB	just
a	DT	a
short	JJ	short
time	NN	time
ago	RB	ago
and	CC	and
in	IN	in
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
what	WP	what
he	PP	he
'	POS	'
s	NN	S
done	VVN	do
he	PP	he
'	POS	'
s	NN	S
it	PP	it
seems	VVZ	seem
to	TO	to
be	VB	be
that	IN/that	that
he	PP	he
'	POS	'
s	NN	S
sharpened	VVD	sharpen
his	PP$	his
criticism	NN	criticism
towards	IN	towards
Netanyahu	NP	Netanyahu
saying	VVG	say
that	IN/that	that
Netanyahu	NP	Netanyahu
is	VBZ	be
making	VVG	make
a	DT	a
mistake	NN	mistake
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
this	DT	this
this	DT	this
development	NN	development
going	NN	going
to	TO	to
uh	UH	uh
sort	NN	sort
of	IN	of
strain	NN	strain
that	DT	that
relationship	NN	relationship
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
to	TO	to
some	DT	some
extent	NN	extent
but	CC	but
the	DT	the
real	JJ	real
frustration	NN	frustration
I	PP	I
think	VVP	think
within	IN	within
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
is	VBZ	be
the	DT	the
is	VBZ	be
the	DT	the
fact	NN	fact
that	IN/that	that
Netanyahu	NP	Netanyahu
by	IN	by
extending	VVG	extend
this	DT	this
war	NN	war
to	TO	to
six	CD	six
months	NNS	month
now	RB	now
has	VHZ	have
really	RB	really
taken	VVN	take
them	PP	them
taken	VVN	take
them	PP	them
off	IN	off
the	DT	the
ball	NN	ball
in	IN	in
relation	NN	relation
to	TO	to
their	PP$	their
real	JJ	real
strategic	JJ	strategic
objectives	NNS	objective
their	PP$	their
strategic	JJ	strategic
objectives	NNS	objective
are	VBP	be
to	TO	to
beit	NN	beit
towards	IN	towards
southeast	JJ	southeast
Asia	NP	Asia
uh	UH	uh
dealing	NN	dealing
with	IN	with
China	NP	China
as	IN	as
a	DT	a
major	JJ	major
threat	NN	threat
this	DT	this
is	VBZ	be
the	DT	the
sort	NN	sort
of	IN	of
thing	NN	thing
that	IN/that	that
he	PP	he
was	VBD	be
doing	VVG	do
ear	NN	ear
today	NN	today
with	IN	with
Japan	NP	Japan
and	CC	and
North	NP	North
Korea	NP	Korea
Korea	NP	Korea
this	DT	this
is	VBZ	be
what	WP	what
Biden	NP	Biden
came	VVD	come
in	IN	in
office	NN	office
to	TO	to
resolve	VV	resolve
and	CC	and
uh	UH	uh
his	PP$	his
very	RB	very
um	JJ	um
Doctrine	NN	doctrine
at	IN	at
the	DT	the
very	JJ	very
beginning	NN	beginning
was	VBD	be
to	TO	to
withdraw	VV	withdraw
from	IN	from
the	DT	the
Middle	NP	Middle
East	NP	East
as	IN	as
he	PP	he
did	VVD	do
withdraw	VV	withdraw
from	IN	from
Afghanistan	NP	Afghanistan
and	CC	and
to	TO	to
concentrate	VV	concentrate
pretty	RB	pretty
much	RB	much
on	IN	on
China	NP	China
and	CC	and
Russia	NP	Russia
by	IN	by
taking	VVG	take
him	PP	him
dragging	VVG	drag
him	PP	him
into	IN	into
this	DT	this
conflict	NN	conflict
for	IN	for
more	JJR	more
than	IN	than
six	CD	six
months	NNS	month
he	PP	he
must	MD	must
have	VH	have
overburdened	VVN	overburden
him	PP	him
I	PP	I
mean	VVP	mean
the	DT	the
man	NN	man
must	MD	must
feel	VV	feel
absolutely	RB	absolutely
fed	VVN	feed
up	RP	up
that	IN/that	that
this	DT	this
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
go	VV	go
anywhere	RB	anywhere
anytime	RB	anytime
soon	RB	soon
he	PP	he
'	POS	'
s	NN	S
approaching	VVG	approach
an	DT	an
election	NN	election
he	PP	he
'	POS	'
s	NN	S
not	RB	not
dealing	VVG	deal
with	IN	with
the	DT	the
obje	NP	obje
that	WDT	that
brought	VVD	bring
him	PP	him
to	TO	to
power	NN	power
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
and	CC	and
that	WDT	that
must	MD	must
build	VV	build
a	DT	a
lot	NN	lot
of	IN	of
frustration	NN	frustration
now	RB	now
this	DT	this
incident	NN	incident
is	VBZ	be
going	VVG	go
to	TO	to
must	MD	must
add	VV	add
to	TO	to
it	PP	it
because	IN	because
I	PP	I
suspect	VVP	suspect
and	CC	and
I	PP	I
'	POS	'
m	NN	m
sure	JJ	sure
as	IN	as
we	PP	we
heard	VVD	hear
area	NN	area
from	IN	from
the	DT	the
Hamas	JJ	Hamas
representative	NN	representative
it	PP	it
will	MD	will
have	VH	have
an	DT	an
impact	NN	impact
on	IN	on
the	DT	the
negotiations	NNS	negotiation
if	IN	if
not	RB	not
uh	UH	uh
sort	NN	sort
of	IN	of
delay	NN	delay
it	PP	it
all	RB	all
for	IN	for
a	DT	a
few	JJ	few
weeks	NNS	week
at	IN	at
least	JJS	least
for	IN	for
a	DT	a
few	JJ	few
days	NNS	day
okay	JJ	okay
Sultan	NP	Sultan
Baraka	NP	Baraka
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
for	IN	for
that	WDT	that
thank	VVP	thank
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
