<video_id>L-H0O_DU-7g</video_id>	JJ	<video_id>L-H0O_DU-7g</video_id>
you	PP	you
let's	NN	let's
take	VV	take
you	PP	you
back	RB	back
to	TO	to
Gaza	NP	Gaza
where	WRB	where
we're	NN	we're
now	RB	now
getting	VVG	get
reports	NNS	report
of	IN	of
a	DT	a
shooting	NN	shooting
outside	IN	outside
the	DT	the
luxa	NN	luxa
hospital	NN	hospital
it's	NNS	it's
go	VVP	go
to	TO	to
hind	JJ	hind
she's	NNS	she's
of	IN	of
course	NN	course
in	IN	in
in	IN	in
central	JJ	central
Gaza	NP	Gaza
and	CC	and
hind	NNS	hind
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
we	PP	we
saw	VVD	see
some	DT	some
very	RB	very
dramatic	JJ	dramatic
pictures	NNS	picture
just	RB	just
a	DT	a
moment	NN	moment
ago	RB	ago
what's	NNS	what's
happening	VVG	happen
there	RB	there
well	RB	well
we	PP	we
still	RB	still
do	VVP	do
not	RB	not
know	VV	know
what's	NNS	what's
happening	VVG	happen
but	CC	but
it's	NNS	it's
it's	NNS	it's
it's	NN	it's
it's	NN	it's
it's	NNS	it's
more	RBR	more
of	IN	of
a	DT	a
an	DT	an
incident	NN	incident
between	IN	between
uh	UH	uh
people	NNS	people
between	IN	between
each	DT	each
other	JJ	other
and	CC	and
this	DT	this
is	VBZ	be
comes	VVZ	come
on	IN	on
the	DT	the
psychological	JJ	psychological
warfare	NN	warfare
that's	NNS	that's
currently	RB	currently
going	VVG	go
happening	NN	happening
in	IN	in
Gaza	NP	Gaza
we're	NN	we're
talking	VVG	talk
about	IN	about
a	DT	a
complete	JJ	complete
chaos	NN	chaos
there	EX	there
has	VHZ	have
been	VBN	be
no	DT	no
policemen	NNS	policeman
we're	NN	we're
talking	VVG	talk
about	RB	about
nine	CD	nine
months	NNS	month
of	IN	of
War	NP	War
where	WRB	where
people	NNS	people
are	VBP	be
shattered	VVN	shatter
across	IN	across
the	DT	the
streets	NNS	street
there	EX	there
has	VHZ	have
been	VBN	be
no	DT	no
policeman	NN	policeman
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
uh	UH	uh
dangerous	JJ	dangerous
incidents	NNS	incident
happening	VVG	happen
other	JJ	other
than	IN	than
air	NN	air
strikes	NNS	strike
and	CC	and
other	JJ	other
than	IN	than
the	DT	the
artillery	NN	artillery
shutting	VVG	shut
and	CC	and
this	DT	this
is	VBZ	be
this	DT	this
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
uh	UH	uh
things	NNS	thing
that	IN/that	that
we	PP	we
um	RB	um
observed	VVD	observe
especially	RB	especially
after	IN	after
every	DT	every
time	VV	time
uh	UH	uh
policemen	NNS	policeman
go	VVP	go
out	RP	out
on	IN	on
the	DT	the
streets	NNS	street
and	CC	and
start	VV	start
um	JJ	um
um	NNS	um
organizing	VVG	organize
stuff	NN	stuff
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
been	VBN	be
targeting	VVG	target
all	DT	all
of	IN	of
the	DT	the
policemen	NNS	policeman
and	CC	and
uh	UH	uh
and	CC	and
policeman	NN	policeman
cars	NNS	car
around	IN	around
the	DT	the
STP	NN	STP
so	IN	so
that's	NNS	that's
why	WRB	why
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
incidents	NNS	incident
that	WDT	that
is	VBZ	be
happening	VVG	happen
every	DT	every
a	DT	a
couple	NN	couple
of	IN	of
days	NNS	day
and	CC	and
it's	NNS	it's
it's	NNS	it's
it's	NNS	it's
very	RB	very
sad	JJ	sad
that	IN/that	that
it's	NN	it's
it's	NNS	it's
happening	VVG	happen
it's	NNS	it's
adding	VVG	add
more	JJR	more
sorrow	NN	sorrow
and	CC	and
more	JJR	more
grief	NN	grief
and	CC	and
more	JJR	more
misery	NN	misery
to	TO	to
the	DT	the
lives	NNS	life
of	IN	of
Palestinian	JJ	Palestinian
but	CC	but
imagine	VV	imagine
um	NNS	um
a	DT	a
place	NN	place
without	IN	without
any	DT	any
policemen	NNS	policeman
without	IN	without
anyone	NN	anyone
organizing	VVG	organize
people	NNS	people
are	VBP	be
all	RB	all
displaced	VVN	displace
uh	UH	uh
scattered	VVN	scatter
across	IN	across
the	DT	the
street	NN	street
they	PP	they
have	VHP	have
been	VBN	be
no	RB	no
like	IN	like
it	PP	it
it	PP	it
it's	NNS	it's
all	RB	all
due	JJ	due
to	TO	to
the	DT	the
continuous	JJ	continuous
displacement	NN	displacement
that's	NNS	that's
happening	VVG	happen
and	CC	and
it's	NNS	it's
all	DT	all
uh	UH	uh
the	DT	the
reason	NN	reason
of	IN	of
this	DT	this
war	NN	war
and	CC	and
the	DT	the
ongoing	JJ	ongoing
of	IN	of
this	DT	this
war	NN	war
and	CC	and
just	RB	just
to	TO	to
clarify	VV	clarify
did	VVD	do
you	PP	you
say	VVP	say
h	NN	h
that	IN/that	that
there	EX	there
was	VBD	be
an	DT	an
incident	NN	incident
there	EX	there
was	VBD	be
a	DT	a
shooting	VVG	shoot
incident	NN	incident
between	IN	between
people	NNS	people
between	IN	between
people	NNS	people
there	RB	there
well	RB	well
actually	RB	actually
all	DT	all
I	NP	I
saw	NN	saw
is	VBZ	be
people	NNS	people
covering	VVG	cover
their	PP$	their
faces	NNS	face
with	IN	with
guns	NNS	gun
um	JJ	um
um	NNS	um
shooting	VVG	shoot
at	IN	at
each	DT	each
other	JJ	other
I	PP	I
don't	VVD	don't
really	RB	really
know	VV	know
who	WP	who
these	DT	these
people	NNS	people
are	VBP	be
and	CC	and
that's	NNS	that's
why	WRB	why
my	PP$	my
te	NN	te
and	CC	and
I	PP	I
try	VVP	try
to	TO	to
take	VV	take
cover	VV	cover
on	IN	on
the	DT	the
side	NN	side
but	CC	but
again	RB	again
I	PP	I
told	VVD	tell
you	PP	you
this	DT	this
has	VHZ	have
been	VBN	be
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
incidents	NNS	incident
but	CC	but
it's	NNS	it's
also	RB	also
very	RB	very
dangerous	JJ	dangerous
because	IN	because
alaka	NN	alaka
hospital	NN	hospital
is	VBZ	be
not	RB	not
only	RB	only
a	DT	a
hospital	NN	hospital
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
families	NNS	family
currently	RB	currently
seeking	VVG	seek
Refuge	NP	Refuge
taking	VVG	take
refuge	NN	refuge
in	IN	in
this	DT	this
hospital	NN	hospital
and	CC	and
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
children	NNS	child
too	RB	too
we're	VVP	we're
looking	VVG	look
at	IN	at
uh	UH	uh
some	DT	some
pictures	NNS	picture
hind	NN	hind
as	IN	as
we're	NN	we're
talking	VVG	talk
to	TO	to
you	PP	you
it	PP	it
seems	VVZ	seem
people	NNS	people
are	VBP	be
are	VBP	be
mulling	VVG	mull
around	RB	around
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
sense	NN	sense
of	IN	of
whether	IN	whether
things	NNS	thing
are	VBP	be
back	RB	back
to	TO	to
normal	JJ	normal
or	CC	or
whether	IN	whether
there	EX	there
is	VBZ	be
some	DT	some
kind	NN	kind
of	IN	of
of	IN	of
situation	NN	situation
that	WDT	that
is	VBZ	be
still	RB	still
ongoing	JJ	ongoing
there	RB	there
of	IN	of
course	NN	course
we	PP	we
should	MD	should
yes	RB	yes
I	PP	I
think	VVP	think
I	PP	I
think	VVP	think
in	IN	in
the	DT	the
couple	NN	couple
of	IN	of
minutes	NNS	minute
everything's	NNS	everything's
going	VVG	go
to	TO	to
get	VV	get
back	RB	back
normal	JJ	normal
some	DT	some
people	NNS	people
are	VBP	be
volunteering	VVG	volunteer
and	CC	and
initiating	VVG	initiate
to	TO	to
put	VV	put
this	DT	this
uh	UH	uh
um	NN	um
to	TO	to
put	VV	put
this	DT	this
to	TO	to
an	DT	an
end	NN	end
but	CC	but
uh	UH	uh
but	CC	but
people	NNS	people
are	VBP	be
horrified	VVN	horrify
they	PP	they
do	VVP	do
not	RB	not
know	VV	know
what's	NNS	what's
happening	VVG	happen
and	CC	and
also	RB	also
I	PP	I
told	VVD	tell
you	PP	you
that	IN/that	that
we're	NN	we're
talking	VVG	talk
about	IN	about
a	DT	a
displacement	NN	displacement
makeshift	JJ	makeshift
Camp	NP	Camp
hospital	NN	hospital
where	WRB	where
a	DT	a
lot	NN	lot
of	IN	of
children	NNS	child
and	CC	and
Palestinians	NNS	Palestinian
are	VBP	be
here	RB	here
so	RB	so
it's	NNS	it's
going	VVG	go
to	TO	to
take	VV	take
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
time	NN	time
so	IN	so
people	NNS	people
will	MD	will
feel	VV	feel
relaxed	VVN	relax
again	RB	again
and	CC	and
to	TO	to
move	VV	move
normally	RB	normally
back	RB	back
again	RB	again
all	DT	all
right	JJ	right
thanks	NNS	thanks
so	IN	so
much	JJ	much
hind	NNS	hind
will	MD	will
let	VV	let
you	PP	you
gather	VV	gather
some	DT	some
more	JJR	more
information	NN	information
about	IN	about
what's	NNS	what's
happening	VVG	happen
there	RB	there
no	DT	no
doubt	NN	doubt
will'll	NN	will'll
be	VB	be
coming	VVG	come
back	RB	back
to	TO	to
you	PP	you
again	RB	again
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
</doc>	NN	</doc>
