<video_id>jICYMGfyiVM</video_id>	JJ	<video_id>jICYMGfyiVM</video_id>
next	JJ	next
month	NN	month
or	CC	or
two	CD	two
in	IN	in
December	NP	December
and	CC	and
January	NP	January
and	CC	and
even	RB	even
after	IN	after
that	DT	that
that	WDT	that
there	EX	there
will	MD	will
be	VB	be
intense	JJ	intense
and	CC	and
powerful	JJ	powerful
fighting	NN	fighting
but	CC	but
the	DT	the
idea	NN	idea
of	IN	of
the	DT	the
fighting	NN	fighting
stretching	VVG	stretch
beyond	IN	beyond
the	DT	the
end	NN	end
of	IN	of
the	DT	the
year	NN	year
will	MD	will
concern	VV	concern
America	NP	America
in	IN	in
Contra	NP	Contra
although	IN	although
veto	NN	veto
a	DT	a
ceasefire	NN	ceasefire
call	NN	call
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
on	IN	on
Friday	NP	Friday
it	PP	it
has	VHZ	have
urged	VVN	urge
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
wrap	VV	wrap
up	RP	up
operations	NNS	operation
before	IN	before
the	DT	the
end	NN	end
of	IN	of
the	DT	the
year	NN	year
the	DT	the
worldwide	JJ	worldwide
protests	NNS	protest
against	IN	against
the	DT	the
war	NN	war
have	VHP	have
grown	VVN	grow
as	IN	as
the	DT	the
number	NN	number
of	IN	of
dead	JJ	dead
in	IN	in
Gaza	NP	Gaza
continues	VVZ	continue
to	TO	to
rise	VV	rise
Anthony	NP	Anthony
blinkin	NN	blinkin
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
has	VHZ	have
been	VBN	be
to	TO	to
Israel	NP	Israel
to	TO	to
speak	VV	speak
to	TO	to
the	DT	the
Israelis	NPS	Israelis
about	IN	about
the	DT	the
next	JJ	next
stage	NN	stage
in	IN	in
the	DT	the
war	NN	war
when	WRB	when
told	VVD	tell
it	PP	it
could	MD	could
go	VV	go
on	IN	on
to	TO	to
January	NP	January
or	CC	or
Beyond	IN	beyond
he	PP	he
reportedly	RB	reportedly
told	VVD	tell
the	DT	the
war	NN	war
cabinet	NN	cabinet
you	PP	you
don't	VVD	don't
have	VH	have
enough	JJ	enough
credit	NN	credit
the	DT	the
US	NP	US
insists	VVZ	insist
it	PP	it
hasn't	VVD	hasn't
given	VVN	give
any	DT	any
firm	NN	firm
deadline	NN	deadline
to	TO	to
the	DT	the
end	NN	end
of	IN	of
the	DT	the
war	NN	war
even	RB	even
as	IN	as
it's	NNS	it's
concerned	VVN	concern
about	IN	about
the	DT	the
growing	VVG	grow
number	NN	number
of	IN	of
Civilian	JJ	civilian
deaths	NNS	death
Israel	NP	Israel
has	VHZ	have
made	VVN	make
it	PP	it
clear	JJ	clear
it	PP	it
will	MD	will
fight	VV	fight
the	DT	the
war	NN	war
it	PP	it
wants	VVZ	want
no	DT	no
matter	NN	matter
how	WRB	how
long	JJ	long
it	PP	it
takes	VVZ	take
Alan	NP	Alan
fiser	NP	Fiser
Al	NP	Al
jazer	NN	jazer
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
