oos	NNS	oos
you	PP	you
'	''	'
re	IN	re
pointing	VVG	point
out	RP	out
multiple	JJ	multiple
problems	NNS	problem
within	IN	within
one	CD	one
right	NN	right
quantity	NN	quantity
of	IN	of
water	NN	water
available	JJ	available
access	NN	access
to	TO	to
that	DT	that
water	NN	water
and	CC	and
the	DT	the
quality	NN	quality
of	IN	of
the	DT	the
water	NN	water
in	IN	in
terms	NNS	term
of	IN	of
quantity	NN	quantity
the	DT	the
report	NN	report
we	PP	we
just	RB	just
heard	VVD	hear
laid	VVN	lay
out	RP	out
that	IN/that	that
on	IN	on
the	DT	the
on	IN	on
a	DT	a
good	JJ	good
day	NN	day
there	EX	there
might	MD	might
be	VB	be
seven	CD	seven
to	TO	to
eight	CD	eight
liters	NNS	liter
available	JJ	available
per	IN	per
person	NN	person
or	CC	or
one	CD	one
person	NN	person
rather	RB	rather
might	MD	might
get	VV	get
access	NN	access
to	TO	to
seven	CD	seven
or	CC	or
eight	CD	eight
liters	NNS	liter
of	IN	of
water	NN	water
um	NNS	um
how	WRB	how
much	JJ	much
water	NN	water
does	VVZ	do
a	DT	a
human	JJ	human
being	JJ	being
need	NN	need
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
minimal	JJ	minimal
survival	NN	survival
needs	VVZ	need
we	PP	we
we	PP	we
estimate	VVP	estimate
in	IN	in
the	DT	the
in	IN	in
the	DT	the
humanitarian	JJ	humanitarian
sex	NN	sex
are	VBP	be
around	RB	around
15	CD	@card@
lers	NNS	lers
a	DT	a
day	NN	day
per	IN	per
person	NN	person
minimal	JJ	minimal
that	WDT	that
'	POS	'
s	JJ	s
Sor	NP	Sor
that5	NN	that5
for	IN	for
drinking	NN	drinking
for	IN	for
washing	VVG	wash
for	IN	for
for	IN	for
basic	JJ	basic
hygiene	NN	hygiene
and	CC	and
and	CC	and
and	CC	and
yes	RB	yes
as	IN	as
you	PP	you
said	VVD	say
it	PP	it
'	''	'
s	VVG	s
a	DT	a
whole	JJ	whole
range	NN	range
of	IN	of
of	IN	of
inconnect	JJ	inconnect
interconnected	VVN	interconnect
problems	NNS	problem
here	RB	here
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
dealing	NN	dealing
with	IN	with
which	WDT	which
means	VVZ	mean
the	DT	the
only	JJ	only
solution	NN	solution
to	TO	to
it	PP	it
is	VBZ	be
is	VBZ	be
is	VBZ	be
really	RB	really
a	DT	a
ceas	NNS	ceas
we	PP	we
'	POS	'
ve	NN	ve
got	VVD	get
we	PP	we
'	''	'
ve	NNS	ve
previously	RB	previously
had	VHD	have
massive	JJ	massive
issues	NNS	issue
with	IN	with
fuel	NN	fuel
coming	VVG	come
in	IN	in
powering	VVG	power
water	NN	water
wells	NNS	well
and	CC	and
powering	VVG	power
desalination	NN	desalination
plants	NNS	plant
those	DT	those
have	VHP	have
recently	RB	recently
been	VBN	be
eased	VVN	ease
but	CC	but
we	PP	we
'	POS	'
re	IN	re
we	PP	we
'	POS	'
re	NN	re
left	VVD	leave
with	IN	with
a	DT	a
whole	JJ	whole
raft	NN	raft
of	IN	of
of	IN	of
other	JJ	other
issues	NNS	issue
the	DT	the
massive	JJ	massive
damage	NN	damage
that	WDT	that
has	VHZ	have
been	VBN	be
inflicted	VVN	inflict
on	IN	on
the	DT	the
water	NN	water
and	CC	and
sanitation	NN	sanitation
infrastructure	NN	infrastructure
over	IN	over
the	DT	the
past	JJ	past
10	CD	@card@
months	NNS	month
the	DT	the
partial	JJ	partial
Supply	NN	supply
from	IN	from
Israeli	JJ	Israeli
water	NN	water
lines	NNS	line
and	CC	and
and	CC	and
and	CC	and
and	CC	and
our	PP$	our
inability	NN	inability
to	TO	to
bring	VV	bring
in	IN	in
spare	JJ	spare
parts	NNS	part
to	TO	to
bring	VV	bring
in	IN	in
the	DT	the
chemicals	NNS	chemical
to	TO	to
purify	VV	purify
the	DT	the
water	NN	water
we	PP	we
'	POS	'
re	NN	re
suffering	NN	suffering
from	IN	from
a	DT	a
lack	NN	lack
of	IN	of
of	IN	of
chlorine	NN	chlorine
right	NN	right
now	RB	now
and	CC	and
in	IN	in
terms	NNS	term
of	IN	of
The	DT	the
Daily	JJ	daily
Grind	NN	grind
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaz	NP	Gaz
as	IN	as
your	PP$	your
correspondent	NN	correspondent
said	VVD	say
over	IN	over
a	DT	a
million	CD	million
people	NNS	people
now	RB	now
crammed	VVD	cram
into	IN	into
the	DT	the
middle	JJ	middle
area	NN	area
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
an	DT	an
area	NN	area
that	RB	that
'	POS	'
s	NN	S
built	VVD	build
to	TO	to
provide	VV	provide
services	NNS	service
for	IN	for
that	DT	that
many	JJ	many
people	NNS	people
so	IN	so
the	DT	the
water	NN	water
points	VVZ	point
simply	RB	simply
aren	NNS	aren
'	POS	'
t	NN	t
here	RB	here
and	CC	and
when	WRB	when
people	NNS	people
continually	RB	continually
move	VVP	move
from	IN	from
one	CD	one
place	NN	place
to	TO	to
another	DT	another
the	DT	the
the	DT	the
water	NN	water
points	VVZ	point
the	DT	the
water	NN	water
providers	NNS	provider
have	VHP	have
to	TO	to
follow	VV	follow
them	PP	them
them	PP	them
round	VVP	round
so	IN	so
it	PP	it
'	POS	'
s	NN	S
incredibly	RB	incredibly
difficult	JJ	difficult
to	TO	to
for	IN	for
them	PP	them
to	TO	to
get	VV	get
access	NN	access
and	CC	and
for	IN	for
us	PP	us
and	CC	and
other	JJ	other
water	NN	water
providers	NNS	provider
in	IN	in
Gaza	NP	Gaza
to	TO	to
ensure	VV	ensure
that	DT	that
access	NN	access
when	WRB	when
people	NNS	people
are	VBP	be
on	IN	on
the	DT	the
move	NN	move
and	CC	and
they	PP	they
'	POS	'
re	NN	re
on	IN	on
the	DT	the
Move	VVP	move
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
a	DT	a
of	IN	of
a	DT	a
a	DT	a
very	RB	very
heavy	JJ	heavy
uh	UH	uh
conflict	NN	conflict
as	IN	as
well	RB	well
and	CC	and
very	RB	very
heavy	JJ	heavy
bombardment	NN	bombardment
so	RB	so
not	RB	not
only	RB	only
is	VBZ	be
it	PP	it
difficult	JJ	difficult
it	PP	it
'	''	'
s	NNS	s
also	RB	also
often	RB	often
very	RB	very
dangerous	JJ	dangerous
Sam	NP	Sam
Rose	NP	Rose
director	NN	director
of	IN	of
planning	NN	planning
with	IN	with
unoa	NP	unoa
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
today	RB	today
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
