<video_id>OEGDBICpitw</video_id>	JJ	<video_id>OEGDBICpitw</video_id>
they	PP	they
look	VVP	look
at	IN	at
it	PP	it
as	IN	as
an	DT	an
incomplete	JJ	incomplete
and	CC	and
unfair	JJ	unfair
uh	UH	uh
ceasefire	NN	ceasefire
what	WP	what
they	PP	they
are	VBP	be
hoping	VVG	hope
if	IN	if
this	DT	this
ceasefire	NN	ceasefire
gets	VVZ	get
extended	VVN	extend
and	CC	and
they	PP	they
already	RB	already
talks	VVZ	talk
about	IN	about
this	DT	this
between	IN	between
uh	UH	uh
Israel	NP	Israel
and	CC	and
and	NP	and
and	CC	and
Hamas	NP	Hamas
about	IN	about
extending	VVG	extend
the	DT	the
possibility	NN	possibility
of	IN	of
ceasefire	NN	ceasefire
and	CC	and
exchange	NN	exchange
of	IN	of
10	CD	@card@
hostages	NNS	hostage
every	DT	every
day	NN	day
uh	UH	uh
in	IN	in
exchange	NN	exchange
of	IN	of
releasing	VVG	release
10	CD	@card@
captives	NNS	captive
or	CC	or
hostage	NN	hostage
every	DT	every
day	NN	day
there	EX	there
will	MD	will
be	VB	be
a	DT	a
SE	FW	se
this	DT	this
ceasefire	NN	ceasefire
will	MD	will
be	VB	be
extended	VVN	extend
but	CC	but
there	EX	there
are	VBP	be
actually	RB	actually
the	DT	the
four	CD	four
days	NNS	day
today	NN	today
is	VBZ	be
the	DT	the
fourth	JJ	fourth
day	NN	day
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
just	RB	just
an	DT	an
hour	NN	hour
into	IN	into
the	DT	the
fourth	JJ	fourth
day	NN	day
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
there	EX	there
are	VBP	be
new	JJ	new
shocking	JJ	shocking
details	VVZ	detail
uh	UH	uh
coming	VVG	come
from	IN	from
Gaza	NP	Gaza
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
bombing	NN	bombing
we're	NN	we're
talking	VVG	talk
about	RB	about
in	IN	in
terms	NNS	term
of	IN	of
new	JJ	new
totals	VVZ	total
uh	UH	uh
15,000	RB	@card@
have	VH	have
been	VBN	be
killed	VVN	kill
38,000	RB	@card@
been	VBN	be
injured	VVN	injure
and	CC	and
we're	NN	we're
looking	VVG	look
at	IN	at
a	DT	a
shocking	JJ	shocking
number	NN	number
of	IN	of
missing	VVG	miss
people	NNS	people
7,000	CD	@card@
unaccounted	JJ	unaccounted
uh	UH	uh
uh	UH	uh
for	IN	for
most	RBS	most
to	TO	to
presume	VV	presume
uh	UH	uh
dead	JJ	dead
and	CC	and
buried	VVN	bury
under	IN	under
collapsed	JJ	collapsed
building	NN	building
there's	RB	there's
also	RB	also
a	DT	a
warning	NN	warning
coming	VVG	come
from	IN	from
the	DT	the
wh	NN	wh
and	CC	and
those	DT	those
who	WP	who
are	VBP	be
in	IN	in
the	DT	the
medical	JJ	medical
field	NN	field
the	DT	the
the	DT	the
smell	NN	smell
of	IN	of
decomposed	VVN	decompose
bodies	NNS	body
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
in	IN	in
Gaza	NP	Gaza
City	NP	City
is	VBZ	be
everywhere	RB	everywhere
and	CC	and
a	DT	a
threatening	VVG	threaten
of	IN	of
the	DT	the
spread	NN	spread
of	IN	of
infectious	JJ	infectious
diseases	NNS	disease
which	WDT	which
which	WDT	which
confirmed	JJ	confirmed
is	VBZ	be
the	DT	the
idea	NN	idea
that	IN/that	that
we	PP	we
need	VVP	need
more	JJR	more
extension	NN	extension
more	JJR	more
days	NNS	day
of	IN	of
this	DT	this
Fe	NP	Fe
fire	NN	fire
so	IN	so
people	NNS	people
can	MD	can
deal	VV	deal
with	IN	with
these	DT	these
uh	UH	uh
these	DT	these
problems	NNS	problem
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
ongoing	JJ	ongoing
bombing	NN	bombing
and	CC	and
Hy	NP	Hy
just	RB	just
briefly	RB	briefly
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
deal	NN	deal
what's	NNS	what's
the	DT	the
latest	JJS	late
on	IN	on
those	DT	those
Aid	NP	Aid
trucks	NNS	truck
coming	VVG	come
into	IN	into
Gaza	NP	Gaza
yes	RB	yes
well	RB	well
so	RB	so
far	RB	far
Aid	NN	aid
humanitarian	JJ	humanitarian
Aid	NN	aid
have	VHP	have
been	VBN	be
uh	UH	uh
delivered	VVN	deliver
to	TO	to
the	DT	the
northern	JJ	northern
part	NN	part
in	IN	in
Gaza	NP	Gaza
City	NP	City
and	CC	and
we	PP	we
know	VVP	know
the	DT	the
past	NN	past
the	DT	the
the	DT	the
the	DT	the
first	JJ	first
two	CD	two
days	NNS	day
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
there	EX	there
was	VBD	be
some	DT	some
difficulties	NNS	difficulty
and	CC	and
that	IN/that	that
led	VVN	lead
to	TO	to
the	DT	the
delay	NN	delay
of	IN	of
the	DT	the
release	NN	release
of	IN	of
the	DT	the
second	JJ	second
batch	NN	batch
of	IN	of
of	IN	of
the	DT	the
of	IN	of
of	IN	of
captives	NNS	captive
in	IN	in
Gaza	NP	Gaza
because	IN	because
that's	NP	that's
one	CD	one
of	IN	of
the	DT	the
issues	NNS	issue
that	WDT	that
were	VBD	be
talked	VVN	talk
about	RB	about
and	CC	and
and	CC	and
and	CC	and
Hamas	NP	Hamas
made	VVD	make
it	PP	it
a	DT	a
clear	JJ	clear
unless	IN	unless
unless	IN	unless
those	DT	those
humanitarian	JJ	humanitarian
uh	UH	uh
Aid	NN	aid
trucks	VVZ	truck
uh	UH	uh
do	VVP	do
not	RB	not
get	VV	get
to	TO	to
the	DT	the
northern	JJ	northern
part	NN	part
they	PP	they
won't	VVD	won't
continue	VV	continue
with	IN	with
the	DT	the
with	IN	with
releasing	VVG	release
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
uh	UH	uh
of	IN	of
the	DT	the
captives	NNS	captive
but	CC	but
uh	UH	uh
again	RB	again
there	EX	there
is	VBZ	be
there	RB	there
the	DT	the
the	DT	the
issue	NN	issue
was	VBD	be
resolv	RB	resolv
more	RBR	more
AED	JJ	AED
trucks	NNS	truck
including	VVG	include
medical	JJ	medical
supplies	NNS	supply
Food	NN	food
Supplies	VVZ	supply
uh	UH	uh
water	VV	water
uh	UH	uh
clean	VV	clean
water	NN	water
for	IN	for
drinking	VVG	drink
uh	UH	uh
reach	VV	reach
uh	UH	uh
areas	NNS	area
most	RBS	most
hard	JJ	hard
HED	JJ	HED
areas	NNS	area
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
Gaza	NP	Gaza
City	NP	City
is	VBZ	be
still	RB	still
the	DT	the
the	DT	the
how	WRB	how
people	NNS	people
react	VVP	react
to	TO	to
this	DT	this
the	DT	the
massive	JJ	massive
need	NN	need
of	IN	of
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
supplies	NNS	supply
is	VBZ	be
not	RB	not
is	VBZ	be
is	VBZ	be
more	JJR	more
than	IN	than
what	WP	what
has	VHZ	have
being	VBG	be
provided	VVN	provide
what	WP	what
people	NNS	people
are	VBP	be
looking	VVG	look
at	IN	at
a	DT	a
continuous	JJ	continuous
line	NN	line
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
save	VV	save
people	NNS	people
we	PP	we
already	RB	already
talked	VVD	talk
about	RB	about
and	CC	and
based	VVN	base
on	IN	on
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
United	NP	United
Nations	NPS	Nations
official	NN	official
people	NNS	people
are	VBP	be
hungry	JJ	hungry
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
Gaza	NP	Gaza
there's	NPS	there's
an	DT	an
imminent	JJ	imminent
starvation	NN	starvation
the	DT	the
The	DT	the
Who	WP	who
warn	VVP	warn
of	IN	of
of	IN	of
a	DT	a
spread	NN	spread
of	IN	of
infectious	JJ	infectious
disease	NN	disease
because	IN	because
of	IN	of
lack	NN	lack
of	IN	of
medical	JJ	medical
supplies	NNS	supply
and	CC	and
sprad	NN	sprad
of	IN	of
illness	NN	illness
so	IN	so
we	PP	we
need	VVP	need
a	DT	a
a	DT	a
continuous	JJ	continuous
line	VV	line
uh	UH	uh
to	TO	to
to	TO	to
help	VV	help
people	NNS	people
survive	VV	survive
the	DT	the
catastrophe	NN	catastrophe
of	IN	of
of	IN	of
the	DT	the
uh	UH	uh
the	DT	the
mass	JJ	mass
bombardment	NN	bombardment
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
all	DT	all
right	JJ	right
hany	NN	hany
Mahmud	NP	Mahmud
live	VVP	live
for	IN	for
us	PP	us
there	RB	there
in	IN	in
Khan	NP	Khan
unit	NN	unit
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
hany	NN	hany
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
