<video_id>ZMBRBSof_KE</video_id>	JJ	<video_id>ZMBRBSof_KE</video_id>
uh	UH	uh
quite	RB	quite
frankly	RB	frankly
are	VBP	be
becoming	VVG	become
hungry	JJ	hungry
thirsty	JJ	thirsty
and	CC	and
traumatized	VVN	traumatize
as	IN	as
the	DT	the
the	DT	the
war	NN	war
is	VBZ	be
is	VBZ	be
pounding	VVG	pound
them	PP	them
and	CC	and
more	RBR	more
unpredictable	JJ	unpredictable
uh	UH	uh
uh	UH	uh
bombs	NNS	bomb
falling	VVG	fall
on	IN	on
their	PP$	their
on	IN	on
their	PP$	their
homes	NNS	home
destroying	VVG	destroy
their	PP$	their
residential	JJ	residential
homes	NNS	home
and	CC	and
and	CC	and
their	PP$	their
infrastructure	NN	infrastructure
people	NNS	people
and	CC	and
then	RB	then
this	DT	this
is	VBZ	be
very	RB	very
consistent	JJ	consistent
with	IN	with
a	DT	a
report	NN	report
by	IN	by
the	DT	the
uh	UH	uh
by	IN	by
a	DT	a
statement	NN	statement
by	IN	by
the	DT	the
general	JJ	general
Deputy	NP	Deputy
Commissioner	NP	Commissioner
of	IN	of
Honor	NP	Honor
who	WP	who
described	VVD	describe
that	IN/that	that
there	EX	there
was	VBD	be
an	DT	an
imminent	JJ	imminent
starvation	NN	starvation
going	VVG	go
on	IN	on
here	RB	here
whatever	WDT	whatever
the	DT	the
amount	NN	amount
that	WDT	that
has	VHZ	have
been	VBN	be
lit	VVN	light
in	IN	in
is	VBZ	be
not	RB	not
enough	JJ	enough
it's	NNS	it's
not	RB	not
enough	RB	enough
for	IN	for
those	DT	those
who	WP	who
have	VHP	have
been	VBN	be
displaced	VVN	displace
those	DT	those
who	WP	who
are	VBP	be
hungry	JJ	hungry
and	CC	and
thirsty	JJ	thirsty
and	CC	and
it	PP	it
just	RB	just
if	IN	if
we	PP	we
look	VVP	look
at	IN	at
that	DT	that
what	WP	what
happened	VVD	happen
people	NNS	people
pre	VV	pre
this	DT	this
war	NN	war
lived	VVD	live
in	IN	in
in	IN	in
their	PP$	their
homes	NNS	home
and	CC	and
they	PP	they
had	VHD	have
everything	NN	everything
that	IN/that	that
they	PP	they
needed	VVD	need
to	TO	to
sustain	VV	sustain
them	PP	them
for	IN	for
for	IN	for
every	DT	every
single	JJ	single
day	NN	day
but	CC	but
all	PDT	all
the	DT	the
sudden	JJ	sudden
now	RB	now
they	PP	they
are	VBP	be
without	IN	without
anything	NN	anything
without	IN	without
a	DT	a
home	NN	home
without	IN	without
the	DT	the
access	NN	access
to	TO	to
food	NN	food
without	IN	without
access	NN	access
to	TO	to
water	NN	water
without	IN	without
access	NN	access
to	TO	to
medical	JJ	medical
supplies	NNS	supply
and	CC	and
the	DT	the
scenes	NNS	scene
that	WDT	that
we	PP	we
we're	VVP	we're
we	PP	we
we're	NN	we're
looking	VVG	look
at	IN	at
either	CC	either
from	IN	from
the	DT	the
the	DT	the
videos	NNS	video
or	CC	or
picture	NN	picture
just	RB	just
just	RB	just
a	DT	a
natural	JJ	natural
response	NN	response
when	WRB	when
people	NNS	people
starve	VVP	starve
when	WRB	when
when	WRB	when
people	NNS	people
are	VBP	be
starved	VVN	starve
to	TO	to
death	NN	death
when	WRB	when
people	NNS	people
are	VBP	be
hungry	JJ	hungry
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
what	WP	what
we	PP	we
will	MD	will
see	VV	see
happening	VVG	happen
people	NNS	people
trying	VVG	try
to	TO	to
survive	VV	survive
it's	NNS	it's
a	DT	a
survival	NN	survival
mode	NN	mode
right	RB	right
now	RB	now
and	CC	and
Hanny	NP	Hanny
the	DT	the
people	NNS	people
who	WP	who
have	VHP	have
fled	VVN	flee
to	TO	to
Rafa	NP	Rafa
have	VHP	have
escaped	VVN	escape
or	CC	or
tried	VVN	try
to	TO	to
escape	VV	escape
attacks	NNS	attack
from	IN	from
northern	JJ	northern
from	IN	from
Central	NP	Central
Gaza	NP	Gaza
and	CC	and
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
targeted	JJ	targeted
places	NNS	place
in	IN	in
Gaza	NP	Gaza
has	VHZ	have
been	VBN	be
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
in	IN	in
the	DT	the
North	NP	North
and	CC	and
the	DT	the
attacks	NNS	attack
there	RB	there
are	VBP	be
continuing	VVG	continue
yes	RB	yes
indeed	RB	indeed
and	CC	and
it's	NNS	it's
it's	NNS	it's
nonstop	RB	nonstop
it	PP	it
has	VHZ	have
happened	VVN	happen
within	IN	within
the	DT	the
past	NN	past
a	DT	a
few	JJ	few
weeks	NNS	week
and	CC	and
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
war	NN	war
is	VBZ	be
still	RB	still
continuing	VVG	continue
and	CC	and
and	CC	and
and	CC	and
what	WP	what
what	WP	what
what	WP	what
we	PP	we
were	VBD	be
just	RB	just
describing	VVG	describe
in	IN	in
in	IN	in
the	DT	the
the	DT	the
the	DT	the
the	DT	the
chaos	NN	chaos
when	WRB	when
humanitarian	JJ	humanitarian
AIDS	NP	AIDS
are	VBP	be
coming	VVG	come
in	IN	in
is	VBZ	be
the	DT	the
direct	JJ	direct
result	NN	result
of	IN	of
people	NNS	people
becoming	VVG	become
displaced	VVN	displace
there	EX	there
are	VBP	be
more	JJR	more
people	NNS	people
becoming	VVG	become
displaced	VVN	displace
the	DT	the
fact	NN	fact
that	IN/that	that
that	DT	that
people	NNS	people
step	NN	step
outside	IN	outside
their	PP$	their
homes	NNS	home
and	CC	and
and	CC	and
let	VV	let
alone	RB	alone
it	PP	it
is	VBZ	be
being	VBG	be
destroyed	VVN	destroy
put	VVP	put
them	PP	them
at	IN	at
this	DT	this
very	JJ	very
situation	NN	situation
there	RB	there
20	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
more	RBR	more
than	IN	than
aund	JJ	aund
20	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
critically	RB	critically
injured	VVN	injure
as	IN	as
a	DT	a
result	NN	result
of	IN	of
a	DT	a
massive	JJ	massive
Target	NP	Target
an	DT	an
explosion	NN	explosion
of	IN	of
an	DT	an
entire	JJ	entire
residential	JJ	residential
Block	NN	block
in	IN	in
jabal	NP	jabal
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
jabalia	NN	jabalia
been	VBN	be
the	DT	the
Target	NP	Target
have	VHP	have
been	VBN	be
targeted	VVN	target
repeatedly	RB	repeatedly
more	RBR	more
than	IN	than
any	DT	any
other	JJ	other
place	NN	place
across	IN	across
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
there	RB	there
more	RBR	more
civilian	JJ	civilian
are	VBP	be
dying	VVG	die
more	JJR	more
children	NNS	child
more	JJR	more
women	NNS	woman
and	CC	and
the	DT	the
aftermath	NN	aftermath
more	JJR	more
people	NNS	people
are	VBP	be
becoming	VVG	become
hungry	JJ	hungry
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
the	DT	the
the	DT	the
result	NN	result
of	IN	of
what	WP	what
we're	NN	we're
seeing	VVG	see
Hy	NP	Hy
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	IN/that	that
that	DT	that
is	VBZ	be
hany	NN	hany
mahm	NN	mahm
with	IN	with
the	DT	the
latest	JJS	late
live	JJ	live
and	CC	and
ruer	NN	ruer
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
</doc>	NN	</doc>
