Two	CD	two
and	CC	and
no	DT	no
human	JJ	human
being	NN	being
or	CC	or
any	DT	any
mind	NN	mind
can	MD	can
bear	VV	bear
that	IN/that	that
I	PP	I
am	VBP	be
seeing	VVG	see
them	PP	them
.	SENT	.
And	CC	and
here	RB	here
one	CD	one
feels	NNS	feel
helpless	JJ	helpless
at	IN	at
times	NNS	time
,	,	,
but	CC	but
we	PP	we
come	VVP	come
back	RB	back
stronger	JJR	strong
again	RB	again
.	SENT	.
We	PP	we
stand	VVP	stand
up	RB	up
again	RB	again
and	CC	and
say	VVP	say
we	PP	we
will	MD	will
be	VB	be
victorious	JJ	victorious
after	IN	after
what	WP	what
comes	VVZ	come
.	SENT	.
Victory	NN	victory
,	,	,
God	NP	God
willing	JJ	willing
