revolutionary	JJ	revolutionary
type	NN	type
of	IN	of
the	DT	the
response	NN	response
but	CC	but
I	PP	I
think	VV	think
uh	UH	uh
a	DT	a
retaliation	NN	retaliation
will	MD	will
be	VB	be
inevitable	JJ	inevitable
and	CC	and
Iran	NP	Iran
has	VHZ	have
no	DT	no
choice	NN	choice
but	CC	but
to	TO	to
respond	VV	respond
to	TO	to
this	DT	this
action	NN	action
uh	UH	uh
I	PP	I
think	VVP	think
I	PP	I
think	VVP	think
they	PP	they
will	MD	will
U	NN	U
study	NN	study
and	CC	and
investigate	VV	investigate
that	DT	that
in	IN	in
what	WP	what
methods	NNS	method
and	CC	and
how	WRB	how
they	PP	they
can	MD	can
respond	VV	respond
to	TO	to
this	DT	this
as	IN	as
you	PP	you
know	VVP	know
previously	RB	previously
when	WRB	when
Iran	NP	Iran
'	POS	'
s	NN	S
Embassy	NP	Embassy
was	VBD	be
targeted	VVN	target
in	IN	in
Damascus	NP	Damascus
Iran	NP	Iran
uh	UH	uh
responded	VVD	respond
directly	RB	directly
to	TO	to
Israel	NP	Israel
uh	UH	uh
but	CC	but
it	PP	it
does	VVZ	do
not	RB	not
necessarily	RB	necessarily
need	VVP	need
to	TO	to
be	VB	be
the	DT	the
same	JJ	same
way	NN	way
but	CC	but
I	PP	I
think	VVP	think
Iran	NP	Iran
will	MD	will
need	VV	need
to	TO	to
respond	VV	respond
because	IN	because
this	DT	this
is	VBZ	be
happening	VVG	happen
in	IN	in
the	DT	the
capital	NN	capital
city	NN	city
and	CC	and
I	PP	I
think	VVP	think
we	PP	we
will	MD	will
need	VV	need
some	DT	some
time	NN	time
to	TO	to
study	VV	study
that	IN/that	that
what	WP	what
options	NNS	option
are	VBP	be
available	JJ	available
and	CC	and
how	WRB	how
Iran	NP	Iran
can	MD	can
respond	VV	respond
in	IN	in
order	NN	order
to	TO	to
uh	UH	uh
you	PP	you
know	VVP	know
to	TO	to
revive	VV	revive
the	DT	the
deterrence	NN	deterrence
but	CC	but
for	IN	for
sure	JJ	sure
Teran	NP	Teran
has	VHZ	have
been	VBN	be
insisting	VVG	insist
that	IN/that	that
it	PP	it
does	VVZ	do
not	RB	not
want	VV	want
a	DT	a
origional	JJ	origional
war	NN	war
but	CC	but
it	PP	it
seems	VVZ	seem
that	IN/that	that
the	DT	the
uh	UH	uh
Israel	NP	Israel
wants	VVZ	want
to	TO	to
push	VV	push
different	JJ	different
parties	NNS	party
into	IN	into
this	DT	this
war	NN	war
because	IN	because
they	PP	they
want	VVP	want
to	TO	to
lengthen	VV	lengthen
this	DT	this
process	NN	process
and	CC	and
uh	UH	uh
the	DT	the
point	NN	point
is	VBZ	be
that	IN/that	that
at	IN	at
a	DT	a
time	NN	time
that	IN/that	that
the	DT	the
uh	UH	uh
us	PP	us
government	NN	government
is	VBZ	be
on	IN	on
its	PP$	its
you	PP	you
know	VVP	know
final	JJ	final
months	NNS	month
in	IN	in
the	DT	the
office	NN	office
you	PP	you
know	VVP	know
its	PP$	its
restraining	JJ	restraining
impact	NN	impact
and	CC	and
influence	NN	influence
on	IN	on
Israel	NP	Israel
is	VBZ	be
also	RB	also
uh	UH	uh
decreasing	VVG	decrease
and	CC	and
this	DT	this
somehow	RB	somehow
increases	VVZ	increase
the	DT	the
chance	NN	chance
of	IN	of
an	DT	an
unpredictable	JJ	unpredictable
scenario	NN	scenario
in	IN	in
the	DT	the
situation	NN	situation
however	RB	however
a	DT	a
a	DT	a
an	DT	an
allout	JJ	allout
War	NN	war
a	DT	a
an	DT	an
expand	VV	expand
you	PP	you
know	VV	know
a	DT	a
war	NN	war
which	WDT	which
could	MD	could
include	VV	include
all	PDT	all
the	DT	the
region	NN	region
is	VBZ	be
not	RB	not
something	NN	something
that	IN/that	that
Iran	NP	Iran
wants	VVZ	want
but	CC	but
this	DT	this
is	VBZ	be
a	DT	a
scenario	NN	scenario
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
pushing	VVG	push
different	JJ	different
parties	NNS	party
including	VVG	include
Iran	NP	Iran
to	TO	to
the	DT	the
side	NN	side
but	CC	but
I	PP	I
think	VVP	think
we	PP	we
have	VHP	have
to	TO	to
be	VB	be
watching	VVG	watch
that	IN/that	that
what	WP	what
options	NNS	option
are	VBP	be
available	JJ	available
that	IN/that	that
Iran	NP	Iran
can	MD	can
respond	VV	respond
through	IN	through
uh	UH	uh
a	DT	a
original	JJ	original
War	NN	war
you	PP	you
know	VVP	know
is	VBZ	be
more	RBR	more
likely	JJ	likely
than	IN	than
ever	RB	ever
we	PP	we
need	VVP	need
to	TO	to
fasten	VV	fasten
our	PP$	our
seat	NN	seat
belts	NNS	belt
but	CC	but
we	PP	we
have	VHP	have
to	TO	to
wait	VV	wait
and	CC	and
see	VV	see
that	IN/that	that
you	PP	you
know	VVP	know
how	WRB	how
this	DT	this
type	NN	type
of	IN	of
you	PP	you
know	VVP	know
response	NN	response
could	MD	could
be	VB	be
because	IN	because
yesterday	NN	yesterday
we	PP	we
had	VHD	have
an	DT	an
attack	NN	attack
on	IN	on
Beirut	NP	Beirut
uh	UH	uh
later	RBR	later
in	IN	in
at	IN	at
night	NN	night
or	CC	or
early	JJ	early
morning	NN	morning
hours	NNS	hour
you	PP	you
know	VVP	know
this	DT	this
assassination	NN	assassination
happen	VV	happen
and	CC	and
I	PP	I
think	VVP	think
this	DT	this
cycle	NN	cycle
of	IN	of
you	PP	you
know	VVP	know
actions	NNS	action
and	CC	and
reactions	NNS	reaction
might	MD	might
continue	VV	continue
in	IN	in
the	DT	the
days	NNS	day
to	TO	to
come	VV	come
and	CC	and
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
that	WDT	that
uh	UH	uh
what	WP	what
role	NN	role
other	JJ	other
players	NNS	player
like	IN	like
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
will	MD	will
be	VB	be
playing	VVG	play
in	IN	in
this	DT	this
regard	VV	regard
uh	UH	uh
in	IN	in
order	NN	order
to	TO	to
contain	VV	contain
the	DT	the
situation	NN	situation
abas	NNS	aba
let	VVP	let
me	PP	me
get	VV	get
a	DT	a
let	VVP	let
me	PP	me
ask	VVP	ask
you	PP	you
uh	UH	uh
another	DT	another
question	NN	question
here	RB	here
do	VVP	do
you	PP	you
think	VVP	think
this	DT	this
will	MD	will
be	VB	be
seen	VVN	see
uh	UH	uh
as	IN	as
a	DT	a
failure	NN	failure
by	IN	by
Iran	NP	Iran
Security	NP	Security
Services	NP	Services
I	PP	I
mean	VVP	mean
they	PP	they
knew	VVD	know
Hano	NP	Hano
was	VBD	be
a	DT	a
Target	NP	Target
Israel	NP	Israel
made	VVD	make
no	DT	no
secret	NN	secret
that	IN/that	that
it	PP	it
wanted	VVD	want
to	TO	to
take	VV	take
out	RP	out
hamas	NN	hamas
'	POS	'
s	JJ	s
leadership	NN	leadership
um	NNS	um
that	WDT	that
actually	RB	actually
happened	VVD	happen
they	PP	they
killed	VVD	kill
him	PP	him
on	IN	on
Iranian	JJ	Iranian
soil	NN	soil
did	VVD	do
Iran	NP	Iran
Security	NP	Security
Services	NPS	Services
fail	VV	fail
uh	UH	uh
somewhere	RB	somewhere
along	IN	along
the	DT	the
line	NN	line
here	RB	here
given	VVN	give
that	IN/that	that
he	PP	he
was	VBD	be
assassinated	VVN	assassinate
uh	UH	uh
for	IN	for
sure	JJ	sure
what	WP	what
happened	VVD	happen
in	IN	in
R	NP	R
was	VBD	be
a	DT	a
bad	JJ	bad
thing	NN	thing
for	IN	for
the	DT	the
Iranian	JJ	Iranian
security	NN	security
apparatus	NN	apparatus
and	CC	and
uh	UH	uh
the	DT	the
point	NN	point
that	IN/that	that
tan	NN	tan
might	MD	might
be	VB	be
feeling	VVG	feel
that	IN/that	that
Israel	NP	Israel
wants	VVZ	want
to	TO	to
undermine	VV	undermine
it	PP	it
deterrence	NN	deterrence
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
why	WRB	why
Iran	NP	Iran
will	MD	will
uh	UH	uh
somehow	RB	somehow
feel	VVP	feel
that	IN/that	that
it	PP	it
has	VHZ	have
to	TO	to
respond	VV	respond
to	TO	to
this	DT	this
uh	UH	uh
and	CC	and
uh	UH	uh
I	PP	I
think	VVP	think
at	IN	at
the	DT	the
time	NN	time
that	WDT	that
uh	UH	uh
Israel	NP	Israel
was	VBD	be
somehow	RB	somehow
losing	VVG	lose
FL	NP	FL
in	IN	in
international	JJ	international
support	NN	support
or	CC	or
you	PP	you
know	VV	know
uh	UH	uh
had	VHD	have
some	DT	some
you	PP	you
know	VVP	know
was	VBD	be
in	IN	in
a	DT	a
difficult	JJ	difficult
situation	NN	situation
in	IN	in
order	NN	order
to	TO	to
prolong	VV	prolong
the	DT	the
War	NP	War
uh	UH	uh
Israel	NP	Israel
wants	VVZ	want
to	TO	to
change	VV	change
the	DT	the
rules	NNS	rule
of	IN	of
the	DT	the
game	NN	game
and	CC	and
it	PP	it
wants	VVZ	want
to	TO	to
somehow	RB	somehow
uh	UH	uh
change	VV	change
the	DT	the
uh	UH	uh
deterence	NN	deterence
balance	NN	balance
against	IN	against
tan	NN	tan
so	RB	so
from	IN	from
from	IN	from
this	DT	this
perspective	NN	perspective
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
good	JJ	good
news	NN	news
for	IN	for
the	DT	the
security	NN	security
apparatus	NN	apparatus
in	IN	in
tan	VV	tan
uh	UH	uh
and	CC	and
you	PP	you
know	VVP	know
its	PP$	its
positions	NNS	position
or	CC	or
strategies	NNS	strategy
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
regional	JJ	regional
you	PP	you
know	VV	know
uh	UH	uh
developments	NNS	development
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
think	VVP	think
a	DT	a
retaliation	NN	retaliation
or	CC	or
response	NN	response
might	MD	might
be	VB	be
inevitable	JJ	inevitable
from	IN	from
Uranian	JJ	Uranian
side	NN	side
but	CC	but
I	PP	I
'	POS	'
m	NN	m
not	RB	not
quite	RB	quite
sure	JJ	sure
about	IN	about
the	DT	the
quality	NN	quality
yet	RB	yet
I	PP	I
think	VVP	think
it	PP	it
is	VBZ	be
yet	RB	yet
to	TO	to
be	VB	be
determined	VVN	determine
uh	UH	uh
but	CC	but
this	DT	this
was	VBD	be
also	RB	also
from	IN	from
a	DT	a
security	NN	security
perspective	NN	perspective
very	RB	very
significant	JJ	significant
for	IN	for
Iran	NP	Iran
yeah	RB	yeah
possibly	RB	possibly
a	DT	a
failure	NN	failure
um	NNS	um
let	VVP	let
me	PP	me
get	VV	get
a	DT	a
final	JJ	final
thought	NN	thought
from	IN	from
you	PP	you
then	RB	then
abas	NNS	aba
before	IN	before
you	PP	you
go	VVP	go
I	PP	I
mean	VV	mean
how	WRB	how
is	VBZ	be
Iran	NP	Iran
viewing	VVG	view
any	DT	any
hope	NN	hope
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
Gaza	NP	Gaza
because	IN	because
it	PP	it
'	POS	'
s	NN	S
Gaza	NP	Gaza
uh	UH	uh
that	WDT	that
'	POS	'
s	NNS	s
triggering	VVG	trigger
all	PDT	all
the	DT	the
other	JJ	other
Regional	JJ	regional
conflicts	VVZ	conflict
uh	UH	uh
within	IN	within
the	DT	the
region	NN	region
you	PP	you
know	VVP	know
every	DT	every
time	NN	time
that	IN/that	that
there	EX	there
were	VBD	be
efforts	NNS	effort
or	CC	or
negotiations	NNS	negotiation
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
the	DT	the
region	NN	region
you	PP	you
know	VV	know
uh	UH	uh
on	IN	on
the	DT	the
final	JJ	final
hours	NNS	hour
or	CC	or
days	NNS	day
of	IN	of
those	DT	those
negotiations	NNS	negotiation
there	EX	there
was	VBD	be
a	DT	a
pretext	NN	pretext
from	IN	from
the	DT	the
Israeli	JJ	Israeli
side	NN	side
that	IN/that	that
they	PP	they
wouldn	NNS	wouldn
'	POS	'
t	NN	t
accept	VV	accept
the	DT	the
I	PP	I
mean	VVP	mean
the	DT	the
ceasefire	NN	ceasefire
it	PP	it
was	VBD	be
you	PP	you
know	VVP	know
clear	JJ	clear
enough	RB	enough
that	IN/that	that
nanahu	NN	nanahu
didn	NN	didn
'	POS	'
t	NN	t
want	VVP	want
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
by	IN	by
these	DT	these
actions	NNS	action
and	CC	and
efforts	NNS	effort
in	IN	in
order	NN	order
to	TO	to
escalate	VV	escalate
into	IN	into
a	DT	a
regional	JJ	regional
war	NN	war
or	CC	or
at	IN	at
least	JJS	least
uh	UH	uh
you	PP	you
know	VVP	know
in	IN	in
a	DT	a
to	TO	to
a	DT	a
broader	JJR	broad
conflict	NN	conflict
in	IN	in
the	DT	the
region	NN	region
uh	UH	uh
and	CC	and
you	PP	you
know	VVP	know
which	WDT	which
could	MD	could
have	VH	have
tensions	NNS	tension
that	WDT	that
could	MD	could
uh	UH	uh
make	VV	make
this	DT	this
war	NN	war
longer	RBR	longer
it	PP	it
seems	VVZ	seem
that	IN/that	that
Israelis	NPS	Israelis
do	VVP	do
not	RB	not
want	VV	want
you	PP	you
know	VV	know
this	DT	this
ceasefire	NN	ceasefire
and	CC	and
from	IN	from
Iranian	JJ	Iranian
perspective	NN	perspective
Netanyahu	NP	Netanyahu
and	CC	and
Israel	NP	Israel
has	VHZ	have
been	VBN	be
a	DT	a
major	JJ	major
obstacle	NN	obstacle
for	IN	for
achieving	VVG	achieve
the	DT	the
ceasefire	NN	ceasefire
and	CC	and
you	PP	you
know	VVP	know
by	IN	by
what	WP	what
happened	VVD	happen
yesterday	NN	yesterday
and	CC	and
I	PP	I
me	FW	me
last	JJ	last
night	NN	night
in	IN	in
tan	NN	tan
it	PP	it
seems	VVZ	seem
you	PP	you
know	VV	know
more	RBR	more
clear	JJ	clear
and	CC	and
uh	UH	uh
that	IN/that	that
Israel	NP	Israel
does	VVZ	do
not	RB	not
want	VV	want
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
uh	UH	uh
we	PP	we
have	VHP	have
to	TO	to
be	VB	be
seeing	VVG	see
maybe	RB	maybe
this	DT	this
conflict	NN	conflict
going	VVG	go
on	IN	on
in	IN	in
the	DT	the
uh	UH	uh
weeks	NNS	week
or	CC	or
months	NNS	month
to	TO	to
come	VV	come
this	DT	this
is	VBZ	be
not	RB	not
something	NN	something
thatan	NN	thatan
but	CC	but
this	DT	this
is	VBZ	be
the	DT	the
thing	NN	thing
that	IN/that	that
practically	RB	practically
Israel	NP	Israel
tryes	NN	tryes
to	TO	to
uh	UH	uh
you	PP	you
know	VVP	know
make	VV	make
Happ	NP	Happ
it	PP	it
all	DT	all
right	JJ	right
abas	NNS	aba
asani	NN	asani
there	RB	there
'	POS	'
re	NN	re
live	JJ	live
for	IN	for
us	PP	us
in	IN	in
the	DT	the
Iranian	JJ	Iranian
Capital	NP	Capital
uh	UH	uh
with	IN	with
the	DT	the
reaction	NN	reaction
and	CC	and
Analysis	NN	analysis
there	RB	there
from	IN	from
Iran	NP	Iran
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
for	IN	for
your	PP$	your
time	NN	time
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
