<video_id>spwdW3QjXVc</video_id>	JJ	<video_id>spwdW3QjXVc</video_id>
and	CC	and
darel	NN	darel
balah	NN	balah
is	VBZ	be
still	RB	still
receiving	VVG	receive
more	RBR	more
displaced	VVN	displace
refugees	NNS	refugee
in	IN	in
uh	UH	uh
the	DT	the
middle	JJ	middle
area	NN	area
however	RB	however
the	DT	the
tensions	NNS	tension
Rises	NNS	rise
and	CC	and
that	DT	that
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
continue	VVP	continue
to	TO	to
Target	NP	Target
different	JJ	different
areas	NNS	area
across	IN	across
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
This	NP	This
is	VBZ	be
hind	JJ	hind
Al	NP	Al
jaaz	NP	jaaz
ala	NN	ala
Hospital	NP	Hospital
d	SYM	d
balah	NN	balah
</doc>	NN	</doc>
