<video_id>LVYDaKBJPc4</video_id>	JJ	<video_id>LVYDaKBJPc4</video_id>
uh	UH	uh
come	VV	come
back	RB	back
on	IN	on
a	DT	a
personal	JJ	personal
note	NN	note
um	NNS	um
this	DT	this
is	VBZ	be
a	DT	a
pediatric	JJ	pediatric
hospital	NN	hospital
we	PP	we
have	VHP	have
a	DT	a
lot	NN	lot
of	IN	of
emotional	JJ	emotional
and	CC	and
significant	JJ	significant
uh	UH	uh
days	NNS	day
here	RB	here
uh	UH	uh
caring	NN	caring
for	IN	for
children	NNS	child
from	IN	from
uh	UH	uh
all	RB	all
over	IN	over
um	NN	um
I've	NN	I've
been	VBN	be
doing	VVG	do
this	DT	this
for	IN	for
many	JJ	many
years	NNS	year
and	CC	and
I	PP	I
have	VHP	have
to	TO	to
tell	VV	tell
you	PP	you
that	IN/that	that
this	DT	this
uh	UH	uh
past	NN	past
night	NN	night
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
significant	JJ	significant
evenings	NNS	evening
and	CC	and
and	CC	and
nights	NNS	night
for	IN	for
me	PP	me
and	CC	and
I'm	NP	I'm
I	PP	I
feel	VVP	feel
privileged	JJ	privileged
to	TO	to
be	VB	be
to	TO	to
have	VH	have
gotten	VVN	get
the	DT	the
the	DT	the
opportunity	NN	opportunity
to	TO	to
be	VB	be
here	RB	here
for	IN	for
these	DT	these
uh	UH	uh
children	NNS	child
and	CC	and
their	PP$	their
uh	UH	uh
and	CC	and
their	PP$	their
families	NNS	family
I	PP	I
think	VV	think
uh	UH	uh
I	PP	I
share	VV	share
uh	UH	uh
this	DT	this
with	IN	with
the	DT	the
other	JJ	other
members	NNS	member
of	IN	of
the	DT	the
team	NN	team
we've	NN	we've
been	VBN	be
here	RB	here
for	IN	for
uh	UH	uh
many	JJ	many
hours	NNS	hour
uh	UH	uh
and	CC	and
I	PP	I
I	PP	I
think	VVP	think
no	DT	no
team	NN	team
member	NN	member
has	VHZ	have
uh	UH	uh
has	VHZ	have
left	VVN	leave
they	PP	they
all	DT	all
stay	VV	stay
uh	UH	uh
trying	VVG	try
to	TO	to
care	VV	care
for	IN	for
these	DT	these
uh	UH	uh
to	TO	to
these	DT	these
uh	UH	uh
uh	UH	uh
people	NNS	people
to	TO	to
these	DT	these
children	NNS	child
um	RB	um
there	EX	there
are	VBP	be
only	RB	only
a	DT	a
very	RB	very
very	RB	very
small	JJ	small
part	NN	part
of	IN	of
the	DT	the
people	NNS	people
that	WDT	that
are	VBP	be
kept	VVN	keep
uh	UH	uh
captive	NN	captive
by	IN	by
Hamas	JJ	Hamas
uh	UH	uh
we	PP	we
pray	VVP	pray
together	RB	together
with	IN	with
the	DT	the
whole	JJ	whole
nation	NN	nation
I	PP	I
think	VVP	think
with	IN	with
the	DT	the
with	IN	with
the	DT	the
world	NN	world
for	IN	for
the	DT	the
early	JJ	early
uh	UH	uh
release	NN	release
of	IN	of
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
captives	NNS	captive
um	RB	um
there	EX	there
are	VBP	be
children	NNS	child
there	RB	there
there	EX	there
are	VBP	be
uh	UH	uh
women	NNS	woman
there	RB	there
there	EX	there
are	VBP	be
are	VBP	be
elderly	JJ	elderly
people	NNS	people
there	EX	there
uh	UH	uh
there	EX	there
are	VBP	be
women	NNS	woman
and	CC	and
men	NNS	man
uh	UH	uh
and	CC	and
we	PP	we
we	PP	we
are	VBP	be
ready	JJ	ready
to	TO	to
treat	VV	treat
them	PP	them
as	IN	as
they	PP	they
come	VVP	come
back	RB	back
hopefully	RB	hopefully
uh	UH	uh
very	RB	very
soon	RB	soon
I	PP	I
want	VVP	want
to	TO	to
thank	VV	thank
um	RB	um
the	DT	the
Israeli	NP	Israeli
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
that	IN/that	that
um	NNS	um
supported	VVD	support
us	PP	us
uh	UH	uh
and	CC	and
okay	JJ	okay
you're	NN	you're
listening	VVG	listen
to	TO	to
the	DT	the
health	NN	health
authorities	NNS	authority
there	RB	there
in	IN	in
Israel	NP	Israel
at	IN	at
a	DT	a
pediatric	JJ	pediatric
hospital	NN	hospital
that	WDT	that
is	VBZ	be
holding	VVG	hold
some	DT	some
of	IN	of
the	DT	the
13	CD	@card@
Israeli	JJ	Israeli
captives	NNS	captive
who	WP	who
were	VBD	be
released	VVN	release
um	JJ	um
yesterday	NN	yesterday
today	NN	today
that's	NNS	that's
Saturday	NP	Saturday
and	CC	and
that	WDT	that
includes	VVZ	include
seven	CD	seven
children	NNS	child
we	PP	we
can	MD	can
cross	VV	cross
now	RB	now
to	TO	to
Rory	NP	Rory
Chalin	NP	Chalin
who's	NNS	who's
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
Rory	NP	Rory
what	WP	what
are	VBP	be
we	PP	we
learning	VVG	learn
well	RB	well
sirel	NN	sirel
I	PP	I
think	VVP	think
we're	NN	we're
getting	VVG	get
the	DT	the
same	JJ	same
kind	NN	kind
of	IN	of
comments	VVZ	comment
uh	UH	uh
today	RB	today
as	IN	as
we	PP	we
had	VHD	have
yesterday	RB	yesterday
uh	UH	uh
from	IN	from
that	IN/that	that
that	DT	that
Pediatric	JJ	pediatric
Hospital	NN	hospital
as	IN	as
well	RB	well
they	PP	they
don't	VVD	don't
really	RB	really
go	VV	go
into	IN	into
specifics	NNS	specific
do	VVP	do
they	PP	they
they	PP	they
talk	VVP	talk
about	IN	about
the	DT	the
general	JJ	general
harsh	JJ	harsh
conditions	NNS	condition
of	IN	of
captivity	NN	captivity
that	IN/that	that
the	DT	the
uh	UH	uh
kids	NNS	kid
and	CC	and
the	DT	the
people	NNS	people
that	IN/that	that
they're	NN	they're
looking	VVG	look
after	IN	after
have	VHP	have
been	VBN	be
under	IN	under
uh	UH	uh
for	IN	for
the	DT	the
last	JJ	last
you	PP	you
know	VVP	know
month	NN	month
plus	IN	plus
uh	UH	uh
they	PP	they
will	MD	will
keep	VV	keep
them	PP	them
in	IN	in
the	DT	the
hospital	NN	hospital
for	IN	for
as	RB	as
long	JJ	long
as	IN	as
they	PP	they
need	VVP	need
they	PP	they
talked	VVD	talk
about	RB	about
how	WRB	how
some	DT	some
of	IN	of
them	PP	them
uh	UH	uh
don't	NN	don't
have	VHP	have
homes	NNS	home
to	TO	to
go	VV	go
back	RB	back
to	TO	to
because	IN	because
their	PP$	their
homes	NNS	home
have	VHP	have
been	VBN	be
destroyed	VVN	destroy
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
they	PP	they
talked	VVD	talk
about	IN	about
the	DT	the
emotional	JJ	emotional
toll	NN	toll
of	IN	of
everything	NN	everything
uh	UH	uh
and	CC	and
that	IN/that	that
the	DT	the
team	NN	team
spirit	NN	spirit
uh	UH	uh
of	IN	of
the	DT	the
people	NNS	people
there	RB	there
the	DT	the
Medics	NNS	medic
caring	VVG	care
uh	UH	uh
for	IN	for
those	DT	those
free	JJ	free
captives	NNS	captive
for	IN	for
the	DT	the
children	NNS	child
particularly	RB	particularly
uh	UH	uh
has	VHZ	have
been	VBN	be
as	IN	as
he	PP	he
put	VVP	put
it	PP	it
pretty	RB	pretty
impressive	JJ	impressive
and	CC	and
they	PP	they
pray	VVP	pray
for	IN	for
the	DT	the
release	NN	release
of	IN	of
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
captiv	NN	captiv
so	IN	so
it's	NNS	it's
a	DT	a
general	JJ	general
message	NN	message
they're	NN	they're
not	RB	not
going	VVG	go
into	IN	into
the	DT	the
individual	JJ	individual
stories	NNS	story
of	IN	of
of	IN	of
the	DT	the
people	NNS	people
that	IN/that	that
they	PP	they
are	VBP	be
looking	VVG	look
after	IN	after
we	PP	we
do	VVP	do
know	VV	know
some	DT	some
of	IN	of
those	DT	those
individual	JJ	individual
stories	NNS	story
though	IN	though
because	IN	because
uh	UH	uh
we	PP	we
have	VHP	have
been	VBN	be
hearing	VVG	hear
them	PP	them
from	IN	from
Israeli	JJ	Israeli
media	NN	media
we've	NN	we've
been	VBN	be
hearing	VVG	hear
about	IN	about
Emily	NP	Emily
Hans	NP	Hans
this	DT	this
9-year-old	JJ	9-year-old
Irish	JJ	Irish
Israeli	NN	Israeli
who	WP	who
was	VBD	be
at	IN	at
a	DT	a
sleepover	NN	sleepover
at	IN	at
a	DT	a
friend's	JJ	friend's
house	NN	house
in	IN	in
kibot	NP	kibot
Bey	NP	Bey
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
communities	NNS	community
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Israel	NP	Israel
that	WDT	that
was	VBD	be
most	RBS	most
impacted	VVN	impact
by	IN	by
the	DT	the
attacks	NNS	attack
of	IN	of
October	NP	October
the	DT	the
7th	JJ	7th
how	WRB	how
her	PP$	her
father	NN	father
thought	VVD	think
she	PP	she
was	VBD	be
dead	JJ	dead
for	IN	for
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
after	IN	after
speaking	VVG	speak
to	TO	to
I	PP	I
think	VVP	think
the	DT	the
you	PP	you
know	VVP	know
the	DT	the
chaos	NN	chaos
that	WDT	that
surrounded	VVD	surround
October	NP	October
the	DT	the
7th	JJ	7th
for	IN	for
many	JJ	many
days	NNS	day
if	IN	if
not	RB	not
weeks	NNS	week
afterwards	RB	afterwards
that	IN/that	that
it	PP	it
was	VBD	be
thought	VVN	think
that	IN/that	that
this	DT	this
young	JJ	young
girl	NN	girl
had	VHD	have
died	VVN	die
we've	NN	we've
heard	VVN	hear
of	IN	of
Hiller	NP	Hiller
rotam	NN	rotam
the	DT	the
13-year-old	JJ	13-year-old
who	WP	who
was	VBD	be
taken	VVN	take
captive	JJ	captive
with	IN	with
her	PP	her
mother	VV	mother
uh	UH	uh
again	RB	again
from	IN	from
kibot	NN	kibot
Bei	FW	bei
her	PP$	her
mother	NN	mother
is	VBZ	be
still	RB	still
in	IN	in
captivity	NN	captivity
that's	NNS	that's
causing	VVG	cause
considerable	JJ	considerable
anger	VV	anger
uh	UH	uh
in	IN	in
in	IN	in
Israel	NP	Israel
because	IN	because
one	CD	one
of	IN	of
the	DT	the
terms	NNS	term
they	PP	they
think	VVP	think
the	DT	the
deal	NN	deal
is	VBZ	be
under	IN	under
is	VBZ	be
that	IN/that	that
parents	NNS	parent
mothers	NNS	mother
and	CC	and
children	NNS	child
should	MD	should
not	RB	not
be	VB	be
separated	VVN	separate
um	RB	um
so	IN	so
those	DT	those
are	VBP	be
the	DT	the
kind	NN	kind
of	IN	of
details	NNS	detail
that	WDT	that
we	PP	we
hearing	VVG	hear
on	IN	on
media	NNS	medium
we	PP	we
didn't	VVD	didn't
hear	VV	hear
that	IN/that	that
particularly	RB	particularly
in	IN	in
that	DT	that
press	NN	press
conference	NN	conference
he	PP	he
was	VBD	be
keeping	VVG	keep
it	PP	it
very	RB	very
general	JJ	general
yeah	RB	yeah
Rory	NP	Rory
chalins	NNS	chalins
reporting	VVG	report
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
there	RB	there
</doc>	JJ	</doc>
