<video_id>bjfb1kM6Ouc</video_id>	JJ	<video_id>bjfb1kM6Ouc</video_id>
the	DT	the
insecurity	NN	insecurity
there	RB	there
he	PP	he
he	PP	he
never	RB	never
got	VVD	get
that	DT	that
chance	NN	chance
yeah	RB	yeah
for	IN	for
sure	JJ	sure
for	IN	for
the	DT	the
last	JJ	last
two	CD	two
days	NNS	day
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
completely	RB	completely
besieged	VVN	besiege
the	DT	the
church	NN	church
haunted	VVD	haunt
down	RB	down
two	CD	two
women	NNS	woman
who	WP	who
were	VBD	be
killed	VVN	kill
on	IN	on
the	DT	the
spot	NN	spot
and	CC	and
and	CC	and
one	CD	one
did	VVD	do
another	DT	another
seven	CD	seven
people	NNS	people
who	WP	who
tried	VVD	try
to	TO	to
um	VVG	um
uh	UH	uh
uh	UH	uh
hold	VV	hold
or	CC	or
carry	VV	carry
these	DT	these
two	CD	two
woms	NNS	woms
from	IN	from
within	IN	within
the	DT	the
comound	NN	comound
of	IN	of
the	DT	the
church	NN	church
as	IN	as
Pope	NP	Pope
Francis	NP	Francis
himself	PP	himself
also	RB	also
referred	VVD	refer
to	TO	to
the	DT	the
incident	NN	incident
so	IN	so
there	EX	there
was	VBD	be
an	DT	an
opportunity	NN	opportunity
to	TO	to
not	RB	not
only	RB	only
save	VV	save
my	PP$	my
father	NN	father
who	WP	who
his	PP$	his
health	NN	health
has	VHZ	have
been	VBN	be
deterred	VVN	deter
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
days	NNS	day
that	IN/that	that
yet	RB	yet
they	PP	they
find	VVP	find
no	DT	no
hospitals	NNS	hospital
or	CC	or
ambulances	NNS	ambulance
but	CC	but
also	RB	also
there	EX	there
are	VBP	be
seven	CD	seven
people	NNS	people
who	WP	who
are	VBP	be
wounded	VVN	wound
in	IN	in
the	DT	the
church	NN	church
since	IN	since
3	CD	@card@
days	NNS	day
and	CC	and
they're	NNS	they're
still	RB	still
bleeding	VVG	bleed
without	IN	without
any	DT	any
medical	JJ	medical
um	JJ	um
uh	UH	uh
care	NN	care
and	CC	and
we	PP	we
are	VBP	be
afraid	JJ	afraid
at	IN	at
least	JJS	least
that	IN/that	that
one	CD	one
of	IN	of
these	DT	these
people	NNS	people
at	IN	at
the	DT	the
church	NN	church
as	IN	as
I	PP	I
heard	VVD	hear
today	NN	today
from	IN	from
the	DT	the
priest	NN	priest
that	IN/that	that
they	PP	they
will	VVP	will
she	PP	she
will	MD	will
pass	VV	pass
away	RB	away
as	RB	as
well	VV	well
uh	UH	uh
and	CC	and
while	IN	while
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
has	VHZ	have
uh	UH	uh
affected	VVD	affect
you	PP	you
personally	RB	personally
I	PP	I
know	VVP	know
because	IN	because
we	PP	we
we	PP	we
we	PP	we
introduced	VVD	introduce
you	PP	you
as	IN	as
a	DT	a
as	IN	as
a	DT	a
political	JJ	political
analyst	NN	analyst
and	CC	and
and	CC	and
and	CC	and
and	CC	and
someone	NN	someone
who	WP	who
studies	VVZ	study
Palestinian	JJ	Palestinian
politics	NNS	politics
how	WRB	how
how	WRB	how
should	MD	should
we	PP	we
view	VV	view
this	DT	this
in	IN	in
the	DT	the
context	NN	context
of	IN	of
the	DT	the
the	DT	the
The	DT	the
Wider	NP	Wider
conflict	NN	conflict
it	PP	it
seems	VVZ	seem
that	IN/that	that
there	EX	there
is	VBZ	be
very	JJ	very
uh	UH	uh
uh	UH	uh
intentional	JJ	intentional
um	JJ	um
uh	UH	uh
Israeli	JJ	Israeli
uh	UH	uh
policy	NN	policy
of	IN	of
uh	UH	uh
making	VVG	make
sure	RB	sure
the	DT	the
Palestinians	NPS	Palestinians
don't	VVD	don't
get	VV	get
the	DT	the
things	NNS	thing
they	PP	they
need	VVP	need
whether	IN	whether
it's	NN	it's
food	NN	food
or	CC	or
medical	JJ	medical
attention	NN	attention
or	CC	or
even	RB	even
access	NN	access
to	TO	to
hospitals	NNS	hospital
uh	UH	uh
the	DT	the
way	NN	way
we	PP	we
understand	VVP	understand
it	PP	it
and	CC	and
the	DT	the
way	NN	way
we	PP	we
look	VVP	look
at	IN	at
it	PP	it
is	VBZ	be
that	IN/that	that
there	EX	there
is	VBZ	be
an	DT	an
an	DT	an
an	DT	an
Israeli	JJ	Israeli
attention	NN	attention
and	CC	and
policy	NN	policy
to	TO	to
push	VV	push
the	DT	the
Palestinians	NPS	Palestinians
out	RB	out
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they	PP	they
want	VVP	want
to	TO	to
ethnically	RB	ethnically
cleans	VVZ	clean
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they	PP	they
want	VVP	want
to	TO	to
reoccupy	VV	reoccupy
Gaza	NP	Gaza
fully	RB	fully
and	CC	and
the	DT	the
more	JJR	more
they	PP	they
make	VVP	make
the	DT	the
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
worst	JJS	bad
in	IN	in
Gaza	NP	Gaza
the	DT	the
more	RBR	more
it	PP	it
is	VBZ	be
likely	JJ	likely
that	IN/that	that
people	NNS	people
would	MD	would
leave	VV	leave
from	IN	from
from	IN	from
gaza's	NN	gaza's
strip	NN	strip
so	RB	so
now	RB	now
giving	VVG	give
that	IN/that	that
Egypt	NP	Egypt
has	VHZ	have
closed	VVN	close
the	DT	the
border	NN	border
and	CC	and
giving	VVG	give
that	IN/that	that
Egypt	NP	Egypt
did	VVD	do
not	RB	not
allow	VV	allow
Palestinians	NPS	Palestinians
to	TO	to
leave	VV	leave
from	IN	from
Gaza	NP	Gaza
I	PP	I
think	VVP	think
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
sort	NN	sort
of	IN	of
um	NNS	um
still	RB	still
confused	VVN	confuse
on	IN	on
what	WP	what
what's	NNS	what's
the	DT	the
next	JJ	next
step	NN	step
but	CC	but
yet	RB	yet
they	PP	they
they	PP	they
never	RB	never
change	VVP	change
these	DT	these
policies	NNS	policy
there's	RB	there's
no	DT	no
other	JJ	other
explanation	NN	explanation
for	IN	for
why	WRB	why
there	EX	there
is	VBZ	be
not	RB	not
even	RB	even
one	CD	one
functioning	NN	functioning
Hospital	NN	hospital
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
except	IN	except
that	WDT	that
there	EX	there
is	VBZ	be
an	DT	an
attempt	NN	attempt
to	TO	to
ethnically	RB	ethnically
cleanse	VV	cleanse
or	CC	or
there	EX	there
is	VBZ	be
a	DT	a
potential	JJ	potential
even	JJ	even
genocidal	JJ	genocidal
intentions	NNS	intention
there	RB	there
so	RB	so
there	EX	there
is	VBZ	be
no	RB	no
another	DT	another
way	NN	way
as	RB	as
far	RB	far
as	IN	as
I'm	NP	I'm
concerned	VVN	concern
analytically	RB	analytically
beside	RB	beside
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
don't	NN	don't
want	VVP	want
to	TO	to
see	VV	see
Palestinians	NPS	Palestinians
continue	VVP	continue
to	TO	to
continue	VV	continue
living	VVG	live
in	IN	in
G	NN	G
can	MD	can
I	PP	I
ask	VV	ask
you	PP	you
KH	NP	KH
um	NNS	um
when	WRB	when
was	VBD	be
the	DT	the
last	JJ	last
time	NN	time
you	PP	you
you	PP	you
spoke	VVD	speak
to	TO	to
uh	UH	uh
your	PP$	your
father	NN	father
and	CC	and
um	NN	um
how	WRB	how
did	VVD	do
he	PP	he
how	WRB	how
how	WRB	how
did	VVD	do
he	PP	he
feel	VVP	feel
about	RB	about
what	WP	what
was	VBD	be
happening	VVG	happen
there	RB	there
yeah	RB	yeah
the	DT	the
truth	NN	truth
is	VBZ	be
I	CD	@card@
couldn't	NN	couldn't
speak	VVP	speak
to	TO	to
him	PP	him
for	IN	for
the	DT	the
last	JJ	last
few	JJ	few
weeks	NNS	week
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
self	JJ	self
Services	NPS	Services
uh	UH	uh
the	DT	the
uh	UH	uh
painful	JJ	painful
part	NN	part
is	VBZ	be
uh	UH	uh
my	PP$	my
communication	NN	communication
with	IN	with
my	PP$	my
family	NN	family
since	IN	since
they	PP	they
moved	VVD	move
to	TO	to
the	DT	the
church	NN	church
after	IN	after
the	DT	the
bombing	NN	bombing
of	IN	of
our	PP$	our
house	NN	house
toward	IN	toward
the	DT	the
very	JJ	very
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
has	VHZ	have
been	VBN	be
through	IN	through
just	RB	just
the	DT	the
word	NN	word
of	IN	of
mouth	NN	mouth
of	IN	of
hearing	NN	hearing
from	IN	from
other	JJ	other
people	NNS	people
and	CC	and
all	DT	all
what	WP	what
I	PP	I
was	VBD	be
waiting	VVG	wait
for	IN	for
every	DT	every
day	NN	day
is	VBZ	be
someone	NN	someone
to	TO	to
tell	VV	tell
me	PP	me
I	PP	I
talk	VVP	talk
to	TO	to
someone	NN	someone
at	IN	at
the	DT	the
church	NN	church
your	PP$	your
family	NN	family
is	VBZ	be
alive	RB	alive
literally	RB	literally
that's	JJ	that's
the	DT	the
only	JJ	only
thing	NN	thing
I'm	NN	I'm
waiting	VVG	wait
for	IN	for
every	DT	every
day	NN	day
but	CC	but
how	WRB	how
does	VVZ	do
my	PP$	my
father	NN	father
feel	NN	feel
about	IN	about
the	DT	the
situation	NN	situation
knowing	VVG	know
my	PP$	my
father	NN	father
having	VHG	have
spent	VVN	spend
um	VVG	um
uh	UH	uh
time	NN	time
with	IN	with
him	PP	him
and	CC	and
talking	VVG	talk
to	TO	to
him	PP	him
about	IN	about
it	PP	it
he's	NNS	he's
a	DT	a
very	RB	very
peaceful	JJ	peaceful
person	NN	person
he's	NNS	he's
not	RB	not
a	DT	a
person	NN	person
of	IN	of
War	NP	War
he	PP	he
does	VVZ	do
not	RB	not
believe	VV	believe
in	IN	in
war	NN	war
he	PP	he
always	RB	always
told	VVD	tell
me	PP	me
and	CC	and
taught	VVD	teach
me	PP	me
that	IN/that	that
you	PP	you
should	MD	should
be	VB	be
like	IN	like
Christ	NP	Christ
you	PP	you
should	MD	should
forgive	VV	forgive
others	NNS	other
you	PP	you
should	MD	should
forgive	VV	forgive
even	RB	even
your	PP$	your
enemy	NN	enemy
and	CC	and
even	RB	even
love	VV	love
your	PP$	your
enemy	NN	enemy
you	PP	you
should	MD	should
uh	UH	uh
seek	VV	seek
peace	NN	peace
and	CC	and
I	PP	I
knowing	VVG	know
my	PP$	my
father	NN	father
who	WP	who
would	MD	would
be	VB	be
against	IN	against
this	DT	this
war	NN	war
he	PP	he
would	MD	would
be	VB	be
even	RB	even
against	IN	against
the	DT	the
Hamas	NN	Hamas
a	DT	a
horrific	JJ	horrific
attack	NN	attack
in	IN	in
October	NP	October
7th	JJ	7th
and	CC	and
he	PP	he
would	MD	would
be	VB	be
someone	NN	someone
that	WDT	that
sympathizes	VVZ	sympathize
with	IN	with
civilians	NNS	civilian
both	CC	both
Israelis	NPS	Israelis
and	CC	and
Palestinians	NPS	Palestinians
thinking	VVG	think
and	CC	and
saying	VVG	say
all	PDT	all
the	DT	the
time	NN	time
that	IN/that	that
everyone	NN	everyone
is	VBZ	be
created	VVN	create
in	IN	in
the	DT	the
image	NN	image
of	IN	of
God	NP	God
well	NN	well
father	NN	father
sounds	VVZ	sound
like	IN	like
a	DT	a
wonderful	JJ	wonderful
man	NN	man
and	CC	and
um	NN	um
we	PP	we
appreciate	VVP	appreciate
you	PP	you
talking	VVG	talk
to	TO	to
us	PP	us
about	IN	about
him	PP	him
and	CC	and
uh	UH	uh
our	PP$	our
uh	UH	uh
our	PP$	our
deepest	JJS	deep
sympathies	NNS	sympathy
to	TO	to
you	PP	you
and	CC	and
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
talking	VVG	talk
to	TO	to
us	PP	us
thank	VVP	thank
you	PP	you
h	NN	h
</doc>	NN	</doc>
