<video_id>SvavDlv2hh8</video_id>	JJ	<video_id>SvavDlv2hh8</video_id>
listening	VVG	listen
along	RP	along
with	IN	with
me	PP	me
to	TO	to
this	DT	this
for	IN	for
the	DT	the
last	JJ	last
hour	NN	hour
and	CC	and
a	DT	a
half	NN	half
I	PP	I
suppose	VVP	suppose
we	PP	we
we'll	RB	we'll
get	VVP	get
into	IN	into
more	JJR	more
detail	NN	detail
on	IN	on
this	DT	this
especially	RB	especially
afterwards	RB	afterwards
when	WRB	when
we've	NN	we've
heard	VVD	hear
the	DT	the
whole	JJ	whole
thing	NN	thing
but	CC	but
what's	NNS	what's
your	PP$	your
initial	JJ	initial
reaction	NN	reaction
to	TO	to
what	WDT	what
you've	NN	you've
been	VBN	be
hearing	VVG	hear
well	RB	well
look	VV	look
I	PP	I
think	VV	think
the	DT	the
uh	UH	uh
the	DT	the
team	NN	team
the	DT	the
legal	JJ	legal
team	NN	team
started	VVD	start
very	RB	very
weak	JJ	weak
in	IN	in
fact	NN	fact
uh	UH	uh
some	DT	some
bits	NNS	bit
of	IN	of
it	PP	it
was	VBD	be
almost	RB	almost
illogical	JJ	illogical
the	DT	the
idea	NN	idea
about	RB	about
to	TO	to
start	VV	start
a	DT	a
defense	NN	defense
uh	UH	uh
of	IN	of
Israel	NP	Israel
in	IN	in
the	DT	the
case	NN	case
of	IN	of
genocide	NN	genocide
by	IN	by
saying	VVG	say
about	IN	about
what	WP	what
about	RB	about
Hamas	VVD	Hamas
I	PP	I
think	VVP	think
that	WDT	that
was	VBD	be
quite	RB	quite
weak	JJ	weak
uh	UH	uh
talking	VVG	talk
about	RB	about
Hamas	VVZ	Hamas
uh	UH	uh
that	WDT	that
was	VBD	be
the	DT	the
legal	JJ	legal
adviser	NN	adviser
to	TO	to
Israel's	NP	Israel's
foreign	JJ	foreign
Ministry	NP	Ministry
who	WP	who
was	VBD	be
making	VVG	make
that	DT	that
point	NN	point
most	RBS	most
yes	RB	yes
absolutely	RB	absolutely
that's	JJ	that's
how	WRB	how
it	PP	it
all	RB	all
started	VVD	start
and	CC	and
and	CC	and
the	DT	the
idea	NN	idea
of	IN	of
comparing	VVG	compare
hamas's	NNS	hamas's
damage	NN	damage
to	TO	to
Gaza	NP	Gaza
with	IN	with
Israel's	NP	Israel's
damage	NN	damage
to	TO	to
Gaza	NP	Gaza
I	PP	I
thought	VVD	think
that	DT	that
was	VBD	be
just	RB	just
almost	RB	almost
illogical	JJ	illogical
saying	VVG	say
that	IN/that	that
Hamas	NP	Hamas
also	RB	also
would	MD	would
be	VB	be
trapped	VVN	trap
buildings	NNS	building
when	WRB	when
we	PP	we
know	VVP	know
and	CC	and
we've	VVP	we've
heard	VVN	hear
yesterday	NN	yesterday
how	WRB	how
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
bombs	NNS	bomb
were	VBD	be
dropped	VVN	drop
on	IN	on
Gaza	NP	Gaza
by	IN	by
Israel	NP	Israel
so	IN	so
making	VVG	make
those	DT	those
comparisons	NNS	comparison
seemed	VVD	seem
very	RB	very
strange	JJ	strange
to	TO	to
me	PP	me
very	RB	very
weak	JJ	weak
and	CC	and
the	DT	the
idea	NN	idea
of	IN	of
trying	VVG	try
and	CC	and
compare	VV	compare
images	NNS	image
Israeli	JJ	Israeli
babies	NNS	baby
really	RB	really
Israelis	NPS	Israelis
want	VVP	want
to	TO	to
compare	VV	compare
the	DT	the
few	JJ	few
babies	NNS	baby
there	RB	there
with	IN	with
7even	JJ	7even
8,000	CD	@card@
babies	NNS	baby
killed	VVD	kill
I	PP	I
thought	VVD	think
also	RB	also
that	DT	that
was	VBD	be
not	RB	not
a	DT	a
good	JJ	good
line	NN	line
of	IN	of
defense	NN	defense
the	DT	the
second	JJ	second
point	NN	point
that	IN/that	that
I	PP	I
thought	VVD	think
was	VBD	be
quite	RB	quite
weak	JJ	weak
was	VBD	be
the	DT	the
context	NN	context
the	DT	the
idea	NN	idea
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
context	NN	context
other	JJ	other
than	IN	than
October	NP	October
7	CD	@card@
and	CC	and
we	PP	we
cannot	MD	can
go	VV	go
back	RB	back
to	TO	to
75	CD	@card@
years	NNS	year
of	IN	of
dispossession	NN	dispossession
and	CC	and
occupation	NN	occupation
I	PP	I
thought	VVD	think
that	DT	that
was	VBD	be
totally	RB	totally
meritless	NN	meritless
and	CC	and
third	JJ	third
the	DT	the
idea	NN	idea
of	IN	of
the	DT	the
the	DT	the
benevolence	NN	benevolence
how	WRB	how
Israel	NP	Israel
does	VVZ	do
not	RB	not
aim	VV	aim
to	TO	to
destroy	VV	destroy
civilians	NNS	civilian
but	CC	but
to	TO	to
protect	VV	protect
civilians	NNS	civilian
I	PP	I
thought	VVD	think
that	WDT	that
was	VBD	be
way	NN	way
beyond	IN	beyond
the	DT	the
logic	NN	logic
of	IN	of
what	WP	what
we've	VVP	we've
seen	VVN	see
unravel	VVP	unravel
in	IN	in
plain	JJ	plain
sight	NN	sight
over	IN	over
the	DT	the
past	JJ	past
three	CD	three
months	NNS	month
now	RB	now
you	PP	you
get	VVP	get
to	TO	to
the	DT	the
strong	JJ	strong
points	NNS	point
the	DT	the
strong	JJ	strong
points	NNS	point
were	VBD	be
two	CD	two
One	CD	one
Technical	NP	Technical
and	CC	and
one	CD	one
profound	NN	profound
the	DT	the
technical	JJ	technical
one	CD	one
was	VBD	be
dispute	NN	dispute
that	IN/that	that
South	NP	South
Africa	NP	Africa
did	VVD	do
not	RB	not
make	VV	make
enough	JJ	enough
effort	NN	effort
to	TO	to
go	VV	go
and	CC	and
exchange	VV	exchange
views	NNS	view
with	IN	with
Israel	NP	Israel
about	IN	about
the	DT	the
issue	NN	issue
and	CC	and
I	PP	I
think	VVP	think
he	PP	he
could	MD	could
almost	RB	almost
get	VV	get
Israel	NP	Israel
off	JJ	off
technicality	NN	technicality
that	WDT	that
wait	VVP	wait
a	DT	a
minute	NN	minute
these	DT	these
are	VBP	be
two	CD	two
states	NNS	state
are	VBP	be
supposed	VVN	suppose
to	TO	to
have	VH	have
a	DT	a
dispute	NN	dispute
not	RB	not
a	DT	a
Unis	NNS	uni
it's	NNS	it's
an	DT	an
interesting	JJ	interesting
one	CD	one
there	RB	there
there	RB	there
needs	VVZ	need
to	TO	to
be	VB	be
a	DT	a
dispute	NN	dispute
for	IN	for
the	DT	the
court	NN	court
to	TO	to
actually	RB	actually
hear	VV	hear
this	DT	this
case	NN	case
is	VBZ	be
there	RB	there
a	DT	a
dispute	NN	dispute
he's	NNS	he's
saying	VVG	say
no	DT	no
there	RB	there
isn't	JJ	isn't
well	RB	well
yesterday	NN	yesterday
dugar	NNS	dugar
the	DT	the
uh	UH	uh
the	DT	the
South	JJ	South
African	JJ	African
judge	NN	judge
did	VVD	do
claim	NN	claim
that	IN/that	that
there	EX	there
was	VBD	be
and	CC	and
and	CC	and
and	CC	and
the	DT	the
and	CC	and
the	DT	the
appeals	NNS	appeal
by	IN	by
South	NP	South
Africa	NP	Africa
were	VBD	be
basically	RB	basically
dismissed	VVN	dismiss
now	RB	now
we're	NN	we're
saying	VVG	say
from	IN	from
We're	NP	We're
hearing	NN	hearing
from	IN	from
the	DT	the
Israelis	NNS	Israeli
that	IN/that	that
no	RB	no
they	PP	they
were	VBD	be
not	RB	not
exactly	RB	exactly
dismissed	VVD	dismiss
it	PP	it
was	VBD	be
very	RB	very
short	JJ	short
time	NN	time
and	CC	and
it	PP	it
was	VBD	be
Jewish	JJ	Jewish
holiday	NN	holiday
and	CC	and
how	WRB	how
we	PP	we
could	MD	could
we	PP	we
get	VV	get
those	DT	those
notes	NNS	note
from	IN	from
them	PP	them
we	PP	we
will	MD	will
probably	RB	probably
the	DT	the
judges	NNS	judge
will	MD	will
have	VH	have
to	TO	to
make	VV	make
decisions	NNS	decision
on	IN	on
that	DT	that
again	RB	again
it's	JJ	it's
technicality	NN	technicality
more	RBR	more
than	IN	than
anything	NN	anything
else	RB	else
because	IN	because
there's	RB	there's
a	DT	a
certain	JJ	certain
urgency	NN	urgency
here	RB	here
and	CC	and
the	DT	the
South	NP	South
Africans	NNS	African
were	VBD	be
not	RB	not
going	VVG	go
to	TO	to
wait	VV	wait
to	TO	to
the	DT	the
for	IN	for
the	DT	the
procrastination	NN	procrastination
of	IN	of
Israel	NP	Israel
to	TO	to
take	VV	take
its	PP$	its
course	NN	course
until	IN	until
everyone	NN	everyone
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
destroyed	VVN	destroy
and	CC	and
whatever	WDT	whatever
anyway	RB	anyway
the	DT	the
other	JJ	other
strong	JJ	strong
point	NN	point
you	PP	you
think	VVP	think
they	PP	they
made	VVD	make
I	PP	I
think	VVP	think
the	DT	the
most	RBS	most
the	DT	the
strongest	JJS	strong
point	NN	point
was	VBD	be
the	DT	the
framework	NN	framework
and	CC	and
the	DT	the
intent	NN	intent
so	IN	so
you	PP	you
could	MD	could
claim	VV	claim
that	IN/that	that
Israel	NP	Israel
carried	VVD	carry
heus	JJ	heus
crimes	NNS	crime
terrible	JJ	terrible
crimes	NNS	crime
and	CC	and
you	PP	you
can	MD	can
make	VV	make
all	PDT	all
the	DT	the
claims	NNS	claim
want	VVP	want
but	CC	but
is	VBZ	be
it	PP	it
genocide	NN	genocide
because	IN	because
if	IN	if
it's	NNS	it's
not	RB	not
genocide	NN	genocide
or	CC	or
under	IN	under
the	DT	the
genocide	NN	genocide
convention	NN	convention
framed	VVD	frame
that	DT	that
way	NN	way
then	RB	then
this	DT	this
court	NN	court
has	VHZ	have
no	DT	no
jurisdiction	NN	jurisdiction
to	TO	to
discuss	VV	discuss
any	DT	any
of	IN	of
it	PP	it
it	PP	it
doesn't	VVD	doesn't
matter	VV	matter
how	WRB	how
bad	JJ	bad
the	DT	the
situation	NN	situation
the	DT	the
case	NN	case
disappears	VVZ	disappear
yeah	RB	yeah
and	CC	and
his	PP$	his
and	CC	and
his	PP$	his
case	NN	case
for	IN	for
the	DT	the
intent	NN	intent
was	VBD	be
as	RB	as
such	JJ	such
Israelis	NPS	Israelis
might	MD	might
be	VB	be
saying	VVG	say
a	DT	a
lot	NN	lot
of	IN	of
terrible	JJ	terrible
things	NNS	thing
they	PP	they
might	MD	might
be	VB	be
angry	JJ	angry
they	PP	they
might	MD	might
be	VB	be
infuriated	VVN	infuriate
by	IN	by
the	DT	the
October	NP	October
7	CD	@card@
account	NN	account
but	CC	but
does	VVZ	do
that	RB	that
add	VV	add
up	RP	up
to	TO	to
intent	NN	intent
carried	VVD	carry
out	RP	out
by	IN	by
the	DT	the
war	NN	war
cabinet	NN	cabinet
or	CC	or
the	DT	the
security	NN	security
cabinet	NN	cabinet
trickled	VVD	trickle
down	RB	down
to	TO	to
the	DT	the
command	NN	command
of	IN	of
the	DT	the
military	NN	military
in	IN	in
order	NN	order
to	TO	to
carry	VV	carry
a	DT	a
genocide	NN	genocide
against	IN	against
the	DT	the
Palestinian	NN	Palestinian
destroying	VVG	destroy
them	PP	them
in	IN	in
whole	NN	whole
or	CC	or
in	IN	in
part	NN	part
does	VVZ	do
the	DT	the
anger	NN	anger
and	CC	and
the	DT	the
statements	NNS	statement
or	CC	or
Israel	NP	Israel
speaking	VVG	speak
from	IN	from
out	RB	out
of	IN	of
both	DT	both
sides	NNS	side
of	IN	of
its	PP$	its
mouth	NN	mouth
like	IN	like
Netanyahu	NP	Netanyahu
like	IN	like
Galant	NP	Galant
does	VVZ	do
that	RB	that
add	VV	add
up	RP	up
to	TO	to
genocidal	JJ	genocidal
intent	NN	intent
or	CC	or
that	IN/that	that
just	RB	just
a	DT	a
bunch	NN	bunch
of	IN	of
Israelis	NNS	Israeli
being	VBG	be
very	RB	very
angry	JJ	angry
and	CC	and
infuriated	VVN	infuriate
at	IN	at
Hamas	JJ	Hamas
let's	NNS	let's
take	VVP	take
this	DT	this
to	TO	to
our	PP$	our
Le	NP	Le
</doc>	NN	</doc>
