since	IN	since
open	JJ	open
discussion	NN	discussion
with	IN	with
my	PP$	my
family	NN	family
my	PP$	my
wife	NN	wife
and	CC	and
children	NNS	child
would	MD	would
leave	VV	leave
and	CC	and
I	PP	I
needed	VVD	need
to	TO	to
be	VB	be
there	RB	there
to	TO	to
help	VV	help
the	DT	the
people	NNS	people
with	IN	with
whatever	WDT	whatever
I	PP	I
can	MD	can
even	RB	even
if	IN	if
it	PP	it
with	IN	with
as	RB	as
little	JJ	little
as	IN	as
removing	VVG	remove
Rubble	NN	rubble
to	TO	to
help	VV	help
people	NNS	people
get	VV	get
out	IN	out
I	PP	I
really	RB	really
hate	VVP	hate
what	WP	what
I	PP	I
'	POS	'
m	NN	m
doing	VVG	do
now	RB	now
but	CC	but
we	PP	we
need	VVP	need
to	TO	to
record	VV	record
this	DT	this
for	IN	for
the	DT	the
world	NN	world
it	PP	it
was	VBD	be
the	DT	the
easiest	JJS	easy
decision	NN	decision
I	PP	I
ever	RB	ever
made	VVD	make
in	IN	in
my	PP$	my
life	NN	life
uh	UH	uh
staying	VVG	stay
in	IN	in
Gaza	NP	Gaza
honestly	RB	honestly
it	PP	it
was	VBD	be
like	IN	like
um	NNS	um
a	DT	a
calling	NN	calling
from	IN	from
from	IN	from
God	NP	God
saying	VVG	say
that	IN/that	that
Mansour	NP	Mansour
uh	UH	uh
you	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
asking	VVG	ask
to	TO	to
to	TO	to
help	VV	help
people	NNS	people
you	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
asking	VVG	ask
um	VVG	um
uh	UH	uh
to	TO	to
try	VV	try
and	CC	and
tell	VV	tell
the	DT	the
truth	NN	truth
will	MD	will
this	DT	this
is	VBZ	be
your	PP$	your
opportunity	NN	opportunity
Mansour	NP	Mansour
he	PP	he
'	POS	'
s	NNS	s
live	VVP	live
in	IN	in
conun	NN	conun
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
Mansour	NP	Mansour
for	IN	for
your	PP$	your
time	NN	time
I	PP	I
believe	VVP	believe
that	IN/that	that
it	PP	it
was	VBD	be
very	RB	very
important	JJ	important
to	TO	to
continue	VV	continue
doing	VVG	do
what	WP	what
I	PP	I
was	VBD	be
doing	VVG	do
when	WRB	when
it	PP	it
came	VVD	come
to	TO	to
reporting	VVG	report
news	NN	news
on	IN	on
different	JJ	different
International	NP	International
TV	NN	TV
stations	NNS	station
radio	NN	radio
broadcasts	VVZ	broadcast
uh	UH	uh
digital	JJ	digital
uh	UH	uh
platforms	NNS	platform
and	CC	and
newspapers	NNS	newspaper
and	CC	and
later	RBR	later
on	IN	on
that	DT	that
extended	VVN	extend
into	IN	into
the	DT	the
social	JJ	social
media	NNS	medium
and	CC	and
into	IN	into
charity	NN	charity
work	VVP	work
we	PP	we
are	VBP	be
here	RB	here
inside	IN	inside
a	DT	a
refugee	NN	refugee
school	NN	school
we	PP	we
lived	VVD	live
amongst	IN	amongst
you	PP	you
know	VVP	know
tents	NNS	tent
inside	IN	inside
NASA	NP	NASA
Hospital	NP	Hospital
together	RB	together
with	IN	with
other	JJ	other
journalists	NNS	journalist
and	CC	and
social	JJ	social
media	NNS	medium
influencers	NNS	influencer
um	VVD	um
every	DT	every
day	NN	day
we	PP	we
would	MD	would
lose	VV	lose
a	DT	a
a	DT	a
member	NN	member
of	IN	of
our	PP$	our
family	NN	family
a	DT	a
member	NN	member
or	CC	or
two	CD	two
or	CC	or
a	DT	a
member	NN	member
of	IN	of
our	PP$	our
family	NN	family
would	MD	would
lose	VV	lose
their	PP$	their
own	JJ	own
relatives	NNS	relative
the	DT	the
most	RBS	most
difficult	JJ	difficult
thing	NN	thing
in	IN	in
my	PP$	my
opinion	NN	opinion
is	VBZ	be
seeing	VVG	see
the	DT	the
children	NNS	child
suffer	VVP	suffer
I	PP	I
remember	VV	remember
seeing	VVG	see
um	NNS	um
a	DT	a
little	JJ	little
girl	NN	girl
standing	NN	standing
on	IN	on
the	DT	the
top	NN	top
of	IN	of
her	PP$	her
mother	NN	mother
and	CC	and
father	NN	father
who	WP	who
were	VBD	be
killed	VVN	kill
and	CC	and
she	PP	she
was	VBD	be
crying	VVG	cry
on	IN	on
top	JJ	top
of	IN	of
them	PP	them
and	CC	and
telling	VVG	tell
them	PP	them
dad	NN	dad
mom	NN	mom
please	VVP	please
wake	NN	wake
up	IN	up
you	PP	you
know	VVP	know
it	PP	it
'	''	'
s	NN	S
time	NN	time
to	TO	to
go	VV	go
home	NN	home
why	WRB	why
are	VBP	be
you	PP	you
still	RB	still
asleep	JJ	asleep
and	CC	and
image	NN	image
like	IN	like
that	DT	that
uh	UH	uh
will	NN	will
will	MD	will
never	RB	never
leave	VV	leave
my	PP$	my
head	VV	head
uh	UH	uh
watching	VVG	watch
these	DT	these
scenes	NNS	scene
day	NN	day
in	IN	in
day	NN	day
out	IN	out
I	PP	I
think	VVP	think
this	DT	this
was	VBD	be
the	DT	the
most	RBS	most
difficult	JJ	difficult
part	NN	part
of	IN	of
all	DT	all
of	IN	of
this	DT	this
I	PP	I
went	VVD	go
with	IN	with
a	DT	a
few	JJ	few
friends	NNS	friend
to	TO	to
check	VV	check
on	IN	on
the	DT	the
progress	NN	progress
of	IN	of
the	DT	the
work	NN	work
we	PP	we
were	VBD	be
doing	VVG	do
a	DT	a
lot	NN	lot
of	IN	of
charity	NN	charity
work	NN	work
we	PP	we
had	VHD	have
built	VVN	build
30	CD	@card@
tents	NNS	tent
and	CC	and
we	PP	we
were	VBD	be
going	VVG	go
to	TO	to
up	RB	up
to	TO	to
100	CD	@card@
and	CC	and
to	TO	to
our	PP$	our
surprise	NN	surprise
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
ever	RB	ever
we	PP	we
found	VVD	find
that	IN/that	that
there	EX	there
were	VBD	be
Israeli	JJ	Israeli
troops	NNS	troop
like	IN	like
rushing	VVG	rush
with	IN	with
with	IN	with
their	PP$	their
vehicles	NNS	vehicle
with	IN	with
their	PP$	their
tanks	NNS	tank
and	CC	and
we	PP	we
saw	VVD	see
people	NNS	people
fleeing	VVG	flee
uh	UH	uh
that	DT	that
area	NN	area
and	CC	and
we	PP	we
had	VHD	have
to	TO	to
flee	VV	flee
with	IN	with
them	PP	them
into	IN	into
kanun	NN	kanun
refugee	NN	refugee
camp	NN	camp
so	IN	so
that	WDT	that
was	VBD	be
the	DT	the
start	NN	start
of	IN	of
me	PP	me
being	VBG	be
away	RB	away
for	IN	for
2	CD	@card@
weeks	NNS	week
away	RB	away
from	IN	from
any	DT	any
kind	NN	kind
of	IN	of
internet	NN	Internet
connection	NN	connection
because	IN	because
we	PP	we
tried	VVD	try
to	TO	to
find	VV	find
a	DT	a
safe	JJ	safe
way	NN	way
back	RB	back
to	TO	to
ner	JJ	ner
hospital	NN	hospital
but	CC	but
we	PP	we
couldn	NN	couldn
'	POS	'
t	NN	t
do	VVP	do
that	IN/that	that
for	IN	for
2	CD	@card@
weeks	NNS	week
because	IN	because
we	PP	we
were	VBD	be
bombed	VVN	bomb
by	RB	by
f	SYM	f
-	JJ	-
16s	JJ	16s
alhamdulillah	NN	alhamdulillah
after	IN	after
several	JJ	several
attempts	NNS	attempt
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
make	VV	make
it	PP	it
here	RB	here
back	RB	back
to	TO	to
n	NN	n
Hospital	NN	hospital
the	DT	the
second	JJ	second
time	NN	time
I	PP	I
went	VVD	go
missing	VVG	miss
they	PP	they
were	VBD	be
were	VBD	be
bulldozing	VVG	bulldoze
the	DT	the
IDF	NP	IDF
the	DT	the
main	JJ	main
gates	NNS	gate
of	IN	of
NASA	NP	NASA
Hospital	NP	Hospital
attacking	VVG	attack
the	DT	the
schools	NNS	school
around	IN	around
us	PP	us
so	IN	so
I	PP	I
decided	VVD	decide
with	IN	with
a	DT	a
few	JJ	few
friends	NNS	friend
to	TO	to
make	VV	make
a	DT	a
run	NN	run
for	IN	for
it	PP	it
and	CC	and
we	PP	we
jumped	VVD	jump
over	IN	over
the	DT	the
west	JJ	west
side	NN	side
of	IN	of
the	DT	the
wall	NN	wall
of	IN	of
nasar	NN	nasar
hospital	NN	hospital
and	CC	and
avoided	VVN	avoid
being	VBG	be
shot	VVN	shoot
by	IN	by
a	DT	a
sniper	NN	sniper
who	WP	who
killed	VVD	kill
two	CD	two
of	IN	of
my	PP$	my
friends	NNS	friend
and	CC	and
injured	VVN	injure
one	CD	one
of	IN	of
them	PP	them
we	PP	we
made	VVD	make
our	PP$	our
way	NN	way
inside	RB	inside
of	IN	of
kanun	NN	kanun
and	CC	and
again	RB	again
another	DT	another
two	CD	two
weeks	NNS	week
this	DT	this
time	NN	time
between	IN	between
ruins	NNS	ruin
after	IN	after
I	PP	I
came	VVD	come
back	RB	back
to	TO	to
Naser	NP	Naser
you	PP	you
know	VVP	know
I	PP	I
didn	NN	didn
'	POS	'
t	NN	t
find	VV	find
any	DT	any
of	IN	of
my	PP$	my
my	PP$	my
personal	JJ	personal
items	NNS	item
so	IN	so
that	WDT	that
included	VVD	include
my	PP$	my
phone	NN	phone
my	PP$	my
laptop	JJ	laptop
everything	NN	everything
all	RB	all
I	PP	I
had	VHD	have
in	IN	in
my	PP$	my
pocket	NN	pocket
was	VBD	be
my	PP$	my
passport	NN	passport
and	CC	and
my	PP$	my
wallet	NN	wallet
and	CC	and
I	PP	I
felt	VVD	feel
lost	VVN	lose
like	IN	like
I	PP	I
felt	VVD	feel
that	DT	that
wow	NN	wow
like	IN	like
what	WP	what
what	WP	what
added	VVD	add
value	NN	value
can	MD	can
I	PP	I
now	RB	now
do	VVP	do
to	TO	to
the	DT	the
world	NN	world
like	IN	like
I	PP	I
can	MD	can
'	''	'
t	NN	t
continue	VV	continue
my	PP$	my
charity	NN	charity
work	NN	work
because	IN	because
you	PP	you
know	VVP	know
they	PP	they
'	''	'
ve	NNS	ve
basically	RB	basically
just	RB	just
bombarded	VVN	bombard
canas	NNS	canas
to	TO	to
the	DT	the
ground	NN	ground
I	PP	I
couldn	NNS	couldn
'	POS	'
t	NN	t
communicate	VV	communicate
with	IN	with
the	DT	the
outside	JJ	outside
world	NN	world
so	IN	so
um	NNS	um
I	PP	I
contacted	VVD	contact
the	DT	the
Canadian	JJ	Canadian
government	NN	government
the	DT	the
the	DT	the
Consulate	NN	consulate
in	IN	in
Jerusalem	NP	Jerusalem
I	PP	I
told	VVD	tell
him	PP	him
that	IN/that	that
look	NN	look
um	NNS	um
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NN	S
time	NN	time
for	IN	for
me	PP	me
to	TO	to
to	TO	to
leave	VV	leave
I	PP	I
felt	VVD	feel
that	IN/that	that
it	PP	it
was	VBD	be
a	DT	a
mistake	NN	mistake
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
I	PP	I
felt	VVD	feel
that	IN/that	that
I	PP	I
let	VVD	let
my	PP$	my
people	NNS	people
down	RB	down
but	CC	but
then	RB	then
friends	NNS	friend
and	CC	and
family	NN	family
members	NNS	member
told	VVD	tell
me	PP	me
that	IN/that	that
Mansour	NP	Mansour
you	PP	you
don	VVP	don
'	''	'
t	NN	t
need	VVP	need
to	TO	to
be	VB	be
physically	RB	physically
there	RB	there
in	IN	in
Gaza	NP	Gaza
you	PP	you
know	VVP	know
maybe	RB	maybe
you	PP	you
can	MD	can
add	VV	add
more	JJR	more
value	NN	value
while	IN	while
outside	NN	outside
until	IN	until
now	RB	now
I	PP	I
still	RB	still
feel	VVP	feel
I	PP	I
should	MD	should
have	VH	have
been	VBN	be
in	IN	in
Gaza	NP	Gaza
but	CC	but
the	DT	the
plan	NN	plan
is	VBZ	be
to	TO	to
go	VV	go
back	RB	back
there	RB	there
this	DT	this
is	VBZ	be
our	PP$	our
land	NN	land
this	DT	this
is	VBZ	be
our	PP$	our
home	NN	home
