<video_id>HntDvDq_x7w</video_id>	JJ	<video_id>HntDvDq_x7w</video_id>
and	CC	and
their	PP$	their
shifts	NNS	shift
and	CC	and
what	WP	what
it	PP	it
actually	RB	actually
said	VVN	say
is	VBZ	be
Sunday	NP	Sunday
Monday	NP	Monday
Tuesday	NP	Tuesday
Wednesday	NP	Wednesday
Thursday	NP	Thursday
nothing	NN	nothing
else	RB	else
in	IN	in
Arabic	NP	Arabic
so	IN	so
they	PP	they
are	VBP	be
showing	VVG	show
this	DT	this
but	CC	but
presume	VVP	presume
is	VBZ	be
evidence	NN	evidence
but	CC	but
it's	NNS	it's
actually	RB	actually
humbug	VVP	humbug
there's	RB	there's
they	PP	they
don't	VVD	don't
have	VH	have
anything	NN	anything
to	TO	to
show	VV	show
for	IN	for
that	DT	that
justification	NN	justification
for	IN	for
the	DT	the
genocide	NN	genocide
that	IN/that	that
they've	NN	they've
carried	VVN	carry
against	IN	against
Gaza	NP	Gaza
and	CC	and
for	IN	for
the	DT	the
bombings	NNS	bombing
of	IN	of
the	DT	the
hospitals	NNS	hospital
and	CC	and
their	PP$	their
vicinities	NNS	vicinity
and	CC	and
for	IN	for
their	PP$	their
attacks	NNS	attack
and	CC	and
for	IN	for
the	DT	the
collective	JJ	collective
punishments	NNS	punishment
making	VVG	make
36	CD	@card@
hospitals	NNS	hospital
out	RB	out
of	IN	of
service	NN	service
which	WDT	which
actually	RB	actually
led	VVD	lead
to	TO	to
the	DT	the
death	NN	death
of	IN	of
countless	JJ	countless
people	NNS	people
thousands	NNS	thousand
of	IN	of
people	NNS	people
because	IN	because
of	IN	of
their	PP$	their
policies	NNS	policy
based	VVN	base
based	VVN	base
on	IN	on
uh	UH	uh
uh	UH	uh
some	DT	some
sort	NN	sort
of	IN	of
a	DT	a
justification	NN	justification
with	IN	with
no	DT	no
shred	NN	shred
of	IN	of
evidence	NN	evidence
and	CC	and
now	RB	now
and	CC	and
this	DT	this
is	VBZ	be
very	RB	very
important	JJ	important
for	IN	for
our	PP$	our
viewers	NNS	viewer
around	IN	around
the	DT	the
world	NN	world
to	TO	to
keep	VV	keep
in	IN	in
mind	NN	mind
that	IN/that	that
as	IN	as
they	PP	they
brought	VVD	bring
in	IN	in
these	DT	these
boxes	NNS	box
into	IN	into
the	DT	the
shifa	NN	shifa
hospital	NN	hospital
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
you	PP	you
know	VVP	know
in	IN	in
we	PP	we
saw	VVD	see
them	PP	them
on	IN	on
camera	NN	camera
bringing	VVG	bring
box	NN	box
boxes	NNS	box
in	IN	in
I	PP	I
can	MD	can
only	RB	only
think	VV	think
how	WRB	how
they	PP	they
are	VBP	be
staging	VVG	stage
a	DT	a
scene	NN	scene
now	RB	now
under	IN	under
the	DT	the
hospital	NN	hospital
of	IN	of
what	WP	what
seems	VVZ	seem
to	TO	to
be	VB	be
a	DT	a
Hamas	JJ	Hamas
presence	NN	presence
I	PP	I
mean	VVP	mean
now	RB	now
they	PP	they
can	MD	can
set	VV	set
up	RP	up
a	DT	a
stage	NN	stage
of	IN	of
what	WP	what
is	VBZ	be
it's	NN	it's
near	IN	near
impossible	JJ	impossible
for	IN	for
anybody	NN	anybody
to	TO	to
independently	RB	independently
verify	VV	verify
what	WP	what
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
claiming	VVG	claim
right	RB	right
now	RB	now
and	CC	and
I	PP	I
guess	VVP	guess
we'll	NN	we'll
never	RB	never
really	RB	really
know	VV	know
because	IN	because
by	IN	by
the	DT	the
time	NN	time
anybody's	NN	anybody's
allowed	VVN	allow
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
whole	JJ	whole
scene	NN	scene
will	MD	will
have	VH	have
moved	VVN	move
rapidly	RB	rapidly
forward	RB	forward
absolutely	RB	absolutely
and	CC	and
and	CC	and
more	JJR	more
than	IN	than
that	DT	that
10	CD	@card@
days	NNS	day
ago	RB	ago
Hamas	VVD	Hamas
uh	UH	uh
proposed	VVN	propose
independent	JJ	independent
Committee	NN	committee
of	IN	of
sort	NN	sort
to	TO	to
come	VV	come
in	IN	in
to	TO	to
the	DT	the
hospitals	NNS	hospital
and	CC	and
to	TO	to
check	VV	check
for	IN	for
themselves	PP	themselves
by	IN	by
the	DT	the
United	NP	United
Nations	NP	Nations
I	PP	I
mean	VVP	mean
we've	NN	we've
seen	VVN	see
for	IN	for
example	NN	example
the	DT	the
head	NN	head
of	IN	of
Unicef	NN	Unicef
making	VVG	make
it	PP	it
into	IN	into
Gaza	NP	Gaza
and	CC	and
so	RB	so
on	IN	on
so	RB	so
so	RB	so
why	WRB	why
not	RB	not
just	RB	just
send	VV	send
having	VHG	have
sent	VVN	send
an	DT	an
independent	JJ	independent
commission	NN	commission
to	TO	to
look	VV	look
into	IN	into
what's	NNS	what's
going	VVG	go
on	IN	on
guys	NNS	guy
but	CC	but
the	DT	the
Israelis	NPS	Israelis
didn't	NN	didn't
want	VVP	want
it	PP	it
the	DT	the
Americans	NPS	Americans
didn't	NN	didn't
want	VVP	want
it	PP	it
they	PP	they
kept	VVD	keep
talking	VVG	talk
about	IN	about
evidence	NN	evidence
evidence	NN	evidence
that	IN/that	that
no	DT	no
one	CD	one
have	VHP	have
seen	VVN	see
clearly	RB	clearly
there	RB	there
isn't	JJ	isn't
much	RB	much
of	IN	of
an	DT	an
Evidence	NN	evidence
and	CC	and
now	RB	now
we	PP	we
see	VVP	see
it	PP	it
and	CC	and
for	IN	for
me	PP	me
it	PP	it
just	RB	just
brings	VVZ	bring
back	RB	back
the	DT	the
memories	NNS	memory
of	IN	of
Iraq	NP	Iraq
war	NN	war
weapons	NNS	weapon
of	IN	of
mass	JJ	mass
destructions	NNS	destruction
Weapons	NNS	weapon
of	IN	of
Mass	NN	Mass
destructions	NNS	destruction
there	EX	there
were	VBD	be
no	DT	no
weapons	NNS	weapon
of	IN	of
mass	JJ	mass
destructions	NNS	destruction
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
Hamas	JJ	Hamas
headquarters	NN	headquarters
under	IN	under
the	DT	the
hospitals	NNS	hospital
it's	NN	it's
all	PDT	all
a	DT	a
madeup	JJ	madeup
uh	UH	uh
justification	NN	justification
for	IN	for
them	PP	them
to	TO	to
carry	VV	carry
on	IN	on
with	IN	with
their	PP$	their
war	NN	war
crimes	NNS	crime
unfortunately	RB	unfortunately
that	IN/that	that
justification	NN	justification
has	VHZ	have
led	VVN	lead
to	TO	to
the	DT	the
loss	NN	loss
of	IN	of
life	NN	life
on	IN	on
a	DT	a
huge	JJ	huge
scale	NN	scale
Maran	NP	Maran
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
Mar	NP	Mar
Bashar	NP	Bashar
there	RB	there
</doc>	JJ	</doc>
