Reed	NP	Reed
s	NNS	s
tenacity	NN	tenacity
uh	UH	uh
and	CC	and
perseverance	NN	perseverance
in	IN	in
keeping	VVG	keep
coming	VVG	come
back	RB	back
to	TO	to
the	DT	the
court	NN	court
in	IN	in
holding	VVG	hold
their	PP$	their
feet	NNS	foot
to	TO	to
the	DT	the
fire	NN	fire
and	CC	and
saying	VVG	say
this	DT	this
is	VBZ	be
not	RB	not
enough	RB	enough
this	DT	this
is	VBZ	be
no	RB	no
longer	RBR	longer
good	JJ	good
and	CC	and
the	DT	the
court	NN	court
has	VHZ	have
responded	VVN	respond
and	CC	and
responded	VVN	respond
almost	RB	almost
unanimously	RB	unanimously
including	VVG	include
all	DT	all
of	IN	of
the	DT	the
western	JJ	western
judges	NNS	judge
um	JJ	um
on	IN	on
the	DT	the
court	NN	court
um	NNS	um
who	WP	who
have	VHP	have
really	RB	really
been	VBN	be
as	RB	as
as	RB	as
as	RB	as
radical	JJ	radical
as	RB	as
as	RB	as
as	IN	as
reality	NN	reality
I	PP	I
mean	VVP	mean
South	NP	South
Africa	NP	Africa
has	VHZ	have
been	VBN	be
asking	VVG	ask
since	IN	since
day	NN	day
one	CD	one
for	IN	for
an	DT	an
order	NN	order
for	IN	for
for	IN	for
Israel	NP	Israel
to	TO	to
stop	VV	stop
its	PP$	its
military	JJ	military
very	JJ	very
offensive	NN	offensive
the	DT	the
court	NN	court
has	VHZ	have
always	RB	always
said	VVN	say
well	RB	well
you	PP	you
know	VVP	know
we	PP	we
can	MD	can
'	''	'
t	NN	t
do	VVP	do
that	IN/that	that
because	IN	because
uh	UH	uh
you	PP	you
'	POS	'
re	NN	re
because	IN	because
Hamas	NNS	Hamas
because	IN	because
palestin	NN	palestin
is	VBZ	be
not	RB	not
before	IN	before
this	DT	this
court	NN	court
we	PP	we
cannot	MD	can
only	RB	only
order	VV	order
one	CD	one
side	NN	side
to	TO	to
stand	VV	stand
down	RB	down
and	CC	and
that	IN/that	that
'	POS	'
s	VVG	s
what	WP	what
they	PP	they
have	VHP	have
finally	RB	finally
chosen	VVN	choose
to	TO	to
do	VV	do
here	RB	here
um	JJ	um
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
testament	NN	testament
to	TO	to
uh	UH	uh
uh	UH	uh
this	DT	this
court	NN	court
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
testament	NN	testament
to	TO	to
South	NP	South
Africa	NP	Africa
um	NN	um
and	CC	and
it	PP	it
does	VVZ	do
I	PP	I
think	VVP	think
together	RB	together
with	IN	with
the	DT	the
decision	NN	decision
uh	UH	uh
by	IN	by
the	DT	the
ICC	NP	ICC
prosecutor	NN	prosecutor
earlier	RBR	earlier
this	DT	this
week	NN	week
it	PP	it
it	PP	it
is	VBZ	be
a	DT	a
real	JJ	real
one	CD	one
two	CD	two
legal	JJ	legal
punch	NN	punch
that	RB	that
'	POS	'
s	NN	S
really	RB	really
interesting	JJ	interesting
of	IN	of
course	NN	course
the	DT	the
international	JJ	international
criminal	JJ	criminal
court	NN	court
and	CC	and
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
are	VBP	be
separate	JJ	separate
but	CC	but
can	MD	can
they	PP	they
influence	VV	influence
what	WP	what
the	DT	the
other	JJ	other
is	VBZ	be
doing	VVG	do
oh	UH	oh
I	PP	I
have	VHP	have
no	RB	no
doubt	VVP	doubt
I	PP	I
I	PP	I
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
how	WRB	how
much	JJ	much
the	DT	the
the	DT	the
this	DT	this
court	NN	court
has	VHZ	have
been	VBN	be
influenced	VVN	influence
by	IN	by
the	DT	the
IC	NP	IC
um	NN	um
but	CC	but
I	PP	I
I	PP	I
do	VVP	do
feel	VV	feel
like	IN	like
the	DT	the
ICC	NP	ICC
has	VHZ	have
been	VBN	be
the	DT	the
prosecutor	NN	prosecutor
has	VHZ	have
been	VBN	be
uh	UH	uh
influenced	VVD	influence
I	PP	I
mean	VVP	mean
we	PP	we
have	VH	have
you	PP	you
know	VV	know
the	DT	the
the	DT	the
the	DT	the
the	DT	the
question	NN	question
of	IN	of
Palestine	NP	Palestine
has	VHZ	have
been	VBN	be
on	IN	on
the	DT	the
desk	NN	desk
of	IN	of
three	CD	three
successive	JJ	successive
ICC	NP	ICC
prosecutors	NNS	prosecutor
for	IN	for
15	CD	@card@
years	NNS	year
and	CC	and
no	DT	no
one	CD	one
wanted	VVD	want
to	TO	to
really	RB	really
uh	UH	uh
bite	VV	bite
the	DT	the
bullet	NN	bullet
and	CC	and
do	VV	do
something	NN	something
even	RB	even
this	DT	this
prosecutor	NN	prosecutor
um	NN	um
who	WP	who
came	VVD	come
in	IN	in
uh	UH	uh
you	PP	you
there	RB	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
speculation	NN	speculation
I	PP	I
was	VBD	be
with	IN	with
him	PP	him
at	IN	at
the	DT	the
uh	UH	uh
ICC	NP	ICC
assembly	NN	assembly
in	IN	in
in	IN	in
December	NP	December
uh	UH	uh
I	NP	I
'	POS	'
ve	RB	ve
seen	VVN	see
his	PP$	his
uh	UH	uh
body	VV	body
his	PP$	his
his	PP$	his
his	PP$	his
rhetoric	NN	rhetoric
and	CC	and
many	JJ	many
people	NNS	people
felt	VVD	feel
he	PP	he
would	MD	would
not	RB	not
do	VV	do
anything	NN	anything
that	IN/that	that
this	DT	this
was	VBD	be
a	DT	a
red	JJ	red
l	NN	l
i	NNS	i
mean	VVP	mean
the	DT	the
I	PP	I
the	DT	the
political	JJ	political
constellation	NN	constellation
at	IN	at
the	DT	the
ICC	NP	ICC
and	CC	and
the	DT	the
icj	NN	icj
is	VBZ	be
different	JJ	different
and	CC	and
it	PP	it
was	VBD	be
always	RB	always
assumed	VVN	assume
that	IN/that	that
there	EX	there
was	VBD	be
a	DT	a
red	JJ	red
line	NN	line
that	IN/that	that
the	DT	the
prosecutor	NN	prosecutor
of	IN	of
the	DT	the
ICC	NP	ICC
would	MD	would
not	RB	not
cross	VV	cross
and	CC	and
that	WDT	that
was	VBD	be
indicting	VVG	indict
an	DT	an
Israeli	JJ	Israeli
official	NN	official
and	CC	and
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	VVG	s
the	DT	the
the	DT	the
the	DT	the
the	DT	the
continued	JJ	continued
Onslaught	NN	onslaught
by	IN	by
Israel	NP	Israel
the	DT	the
international	JJ	international
consensus	NN	consensus
around	IN	around
the	DT	the
criminality	NN	criminality
of	IN	of
Israel	NP	Israel
'	POS	'
s	NN	S
activities	NNS	activity
but	CC	but
also	RB	also
this	DT	this
case	NN	case
before	IN	before
the	DT	the
other	JJ	other
court	NN	court
before	IN	before
the	DT	the
icj	NN	icj
um	NN	um
in	IN	in
which	WDT	which
the	DT	the
icj	NN	icj
has	VHZ	have
been	VBN	be
saying	VVG	say
that	IN/that	that
South	NP	South
Africa	NP	Africa
essentially	RB	essentially
has	VHZ	have
a	DT	a
case	NN	case
to	TO	to
answer	VV	answer
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
a	DT	a
case	NN	case
to	TO	to
answer	VV	answer
on	IN	on
genocide	NN	genocide
that	WDT	that
made	VVD	make
it	PP	it
untenable	JJ	untenable
for	IN	for
the	DT	the
ICC	NP	ICC
prosecutor	NN	prosecutor
not	RB	not
to	TO	to
act	VV	act
Mr	NP	Mr
bro	NN	bro
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
that	DT	that
continuing	VVG	continue
Onslaught	NN	onslaught
by	IN	by
Israel	NP	Israel
that	IN/that	that
you	PP	you
mention	VVP	mention
that	IN/that	that
the	DT	the
latest	JJS	late
orders	NNS	order
by	IN	by
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
can	MD	can
have	VH	have
an	DT	an
impact	NN	impact
because	IN	because
since	IN	since
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
ordered	VVD	order
the	DT	the
first	JJ	first
set	NN	set
of	IN	of
provisional	JJ	provisional
measures	NNS	measure
in	IN	in
January	NP	January
Israel	NP	Israel
has	VHZ	have
killed	VVN	kill
more	JJR	more
than	IN	than
15	CD	@card@
,	,	,
000	CD	@card@
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
so	RB	so
does	VVZ	do
the	DT	the
latest	JJS	late
ruling	NN	ruling
put	VVD	put
more	JJR	more
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
and	CC	and
more	JJR	more
importantly	RB	importantly
does	VVZ	do
it	PP	it
put	VV	put
more	JJR	more
pressure	NN	pressure
pressure	NN	pressure
on	IN	on
the	DT	the
United	NP	United
States	NP	States
I	PP	I
think	VVP	think
that	IN/that	that
I	PP	I
think	VVP	think
that	DT	that
'	''	'
s	NNS	s
what	WP	what
it	PP	it
does	VVZ	do
I	PP	I
mean	VVP	mean
Israel	NP	Israel
has	VHZ	have
not	RB	not
been	VBN	be
impressed	VVN	impress
with	IN	with
anything	NN	anything
that	IN/that	that
the	DT	the
icj	NN	icj
judges	NNS	judge
have	VHP	have
done	VVN	do
yet	RB	yet
but	CC	but
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NN	S
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
um	VVG	um
uh	UH	uh
who	WP	who
now	RB	now
have	VHP	have
in	IN	in
front	NN	front
of	IN	of
them	PP	them
very	RB	very
specific	JJ	specific
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
question	NN	question
of	IN	of
are	VBP	be
you	PP	you
doing	VVG	do
are	VBP	be
you	PP	you
behaving	VVG	behave
are	VBP	be
you	PP	you
not	RB	not
behaving	VVG	behave
are	VBP	be
you	PP	you
um	NNS	um
complying	VVG	comply
I	PP	I
mean	VVP	mean
the	DT	the
first	JJ	first
ruling	NN	ruling
was	VBD	be
comply	VV	comply
with	IN	with
the	DT	the
genocide	NN	genocide
convention	NN	convention
uh	UH	uh
allow	VV	allow
humanitarian	JJ	humanitarian
Aid	NN	aid
the	DT	the
second	JJ	second
ruling	NN	ruling
was	VBD	be
Stronger	RBR	stronger
ensure	VV	ensure
humanitarian	JJ	humanitarian
things	NNS	thing
but	CC	but
this	DT	this
is	VBZ	be
very	RB	very
specific	JJ	specific
you	PP	you
are	VBP	be
or	CC	or
you	PP	you
are	VBP	be
not	RB	not
stopping	VVG	stop
your	PP$	your
military	JJ	military
offensive	NN	offensive
you	PP	you
are	VBP	be
or	CC	or
you	PP	you
are	VBP	be
are	VBP	be
not	RB	not
opening	VVG	open
the	DT	the
RAF	NN	RAF
of	IN	of
Crossing	VVG	cross
you	PP	you
are	VBP	be
or	CC	or
are	VBP	be
not	RB	not
allowing	VVG	allow
in	IN	in
fact	NN	fact
finding	VVG	find
missions	NNS	mission
and	CC	and
and	CC	and
and	CC	and
the	DT	the
like	JJ	like
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
this	DT	this
put	NN	put
puts	VVZ	put
obviously	RB	obviously
the	DT	the
United	NP	United
States	NPS	States
uh	UH	uh
uh	UH	uh
in	IN	in
a	DT	a
very	RB	very
very	RB	very
difficult	JJ	difficult
position	NN	position
this	DT	this
the	DT	the
US	NP	US
judge	NN	judge
voted	VVD	vote
for	IN	for
these	DT	these
measures	VVZ	measure
uh	UH	uh
all	RB	all
the	DT	the
US	NP	US
judges	NNS	judge
I	PP	I
mean	VVP	mean
again	RB	again
these	DT	these
judges	NNS	judge
are	VBP	be
elected	VVN	elect
in	IN	in
their	PP$	their
personal	JJ	personal
capacity	NN	capacity
they	PP	they
'	POS	'
re	NN	re
among	IN	among
the	DT	the
most	RBS	most
distinguished	JJ	distinguished
jurists	NNS	jurist
in	IN	in
the	DT	the
world	NN	world
but	CC	but
it	PP	it
is	VBZ	be
indicative	JJ	indicative
that	IN/that	that
all	DT	all
of	IN	of
the	DT	the
western	JJ	western
judges	VVZ	judge
uh	UH	uh
voted	VVD	vote
for	IN	for
these	DT	these
measures	NNS	measure
Mr	NP	Mr
Brody	NP	Brody
I	PP	I
want	VVP	want
to	TO	to
go	VV	go
go	VV	go
back	RB	back
to	TO	to
one	CD	one
uh	UH	uh
point	NN	point
that	IN/that	that
you	PP	you
made	VVD	make
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
interview	NN	interview
where	WRB	where
you	PP	you
said	VVD	say
that	IN/that	that
the	DT	the
orders	NNS	order
are	VBP	be
so	RB	so
clear	JJ	clear
they	PP	they
leave	VVP	leave
no	DT	no
wiggle	NN	wiggle
room	NN	room
but	CC	but
I	PP	I
do	VVP	do
want	VV	want
to	TO	to
speak	VV	speak
to	TO	to
you	PP	you
ask	VVP	ask
you	PP	you
you	PP	you
know	VVP	know
because	IN	because
you	PP	you
are	VBP	be
a	DT	a
war	NN	war
crimes	NNS	crime
prosecutor	NN	prosecutor
you	PP	you
have	VHP	have
so	RB	so
much	JJ	much
experience	NN	experience
about	IN	about
the	DT	the
wording	NN	wording
of	IN	of
the	DT	the
most	RBS	most
important	JJ	important
order	NN	order
which	WDT	which
is	VBZ	be
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
to	TO	to
immediately	RB	immediately
halt	VV	halt
its	PP$	its
military	JJ	military
offensive	NN	offensive
any	DT	any
other	JJ	other
action	NN	action
which	WDT	which
may	MD	may
inflict	VV	inflict
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
group	NN	group
in	IN	in
Gaza	NP	Gaza
conditions	NNS	condition
of	IN	of
life	NN	life
that	WDT	that
could	MD	could
bring	VV	bring
about	IN	about
its	PP$	its
physical	JJ	physical
destruction	NN	destruction
in	IN	in
whole	NN	whole
or	CC	or
in	IN	in
part	NN	part
could	MD	could
Israel	NP	Israel
argue	VVP	argue
that	IN/that	that
its	PP$	its
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
don	NN	don
'	POS	'
t	NN	t
bring	VV	bring
about	IN	about
the	DT	the
destruction	NN	destruction
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
you	PP	you
know	VVP	know
I	PP	I
I	PP	I
I	PP	I
actually	RB	actually
haven	NN	haven
'	POS	'
t	NN	t
seen	VVN	see
where	WRB	where
the	DT	the
commas	NNS	comma
to	TO	to
be	VB	be
honest	JJ	honest
I	NP	I
haven	NN	haven
'	POS	'
t	NN	t
seen	VVN	see
where	WRB	where
the	DT	the
commas	NNS	comma
are	VBP	be
in	IN	in
that	DT	that
sentence	NN	sentence
and	CC	and
and	CC	and
and	CC	and
and	CC	and
what	WP	what
does	VVZ	do
um	NNS	um
stop	VVP	stop
immediately	RB	immediately
halt	VV	halt
its	PP$	its
military	JJ	military
offensive	NN	offensive
in	IN	in
the	DT	the
rafid	JJ	rafid
government	NN	government
and	CC	and
other	JJ	other
and	CC	and
other	JJ	other
actions	NNS	action
which	WDT	which
uh	UH	uh
May	MD	may
create	VV	create
these	DT	these
conditions	NNS	condition
and	CC	and
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
whether	IN	whether
that	DT	that
which	WDT	which
create	VVP	create
these	DT	these
conditions	NNS	condition
modifies	VVZ	modify
halt	VV	halt
all	PDT	all
your	PP$	your
military	JJ	military
actions	NNS	action
right	JJ	right
or	CC	or
other	JJ	other
actions	NNS	action
so	IN	so
I	PP	I
don	VVP	don
'	''	'
t	NN	t
I	PP	I
don	VVP	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
answer	VV	answer
that	IN/that	that
without	IN	without
seeing	VVG	see
where	WRB	where
the	DT	the
commas	NNS	comma
are	VBP	be
in	IN	in
that	DT	that
sentence	NN	sentence
okay	JJ	okay
Mr	NP	Mr
Brody	NP	Brody
we	PP	we
will	MD	will
be	VB	be
speaking	VVG	speak
to	TO	to
you	PP	you
over	IN	over
the	DT	the
next	JJ	next
few	JJ	few
hours	NNS	hour
so	IN	so
we	PP	we
'	POS	'
ll	NNS	ll
give	VVP	give
you	PP	you
time	NN	time
to	TO	to
get	VV	get
your	PP$	your
head	NN	head
around	IN	around
the	DT	the
exact	JJ	exact
wording	NN	wording
of	IN	of
that	IN/that	that
for	IN	for
now	RB	now
that	WDT	that
is	VBZ	be
war	NN	war
crimes	NNS	crime
prosecutor	NN	prosecutor
Reed	NP	Reed
bro	NN	bro
thank	VVP	thank
you	PP	you
now	RB	now
let	VVP	let
'	POS	'
s	NNS	s
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
with	IN	with
hindel	NP	hindel
in	IN	in
Al	NP	Al
balah	NN	balah
in	IN	in
central	JJ	central
Gaza	NP	Gaza
uh	UH	uh
H	NN	H
has	VHZ	have
there	RB	there
been	VBN	be
any	DT	any
reaction	NN	reaction
yet	RB	yet
to	TO	to
this	DT	this
very	RB	very
significant	JJ	significant
orders	NNS	order
from	IN	from
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
especially	RB	especially
pertaining	VVG	pertain
to	TO	to
Rafa	NP	Rafa
and	CC	and
the	DT	the
situation	NN	situation
in	IN	in
Rafa	NP	Rafa
well	RB	well
unfortunately	RB	unfortunately
there	EX	there
is	VBZ	be
no	DT	no
reaction	NN	reaction
because	IN	because
most	JJS	most
of	IN	of
the	DT	the
people	NNS	people
here	RB	here
where	WRB	where
I	PP	I
am	VBP	be
right	RB	right
now	RB	now
do	VVP	do
not	RB	not
have	VH	have
any	DT	any
connection	NN	connection
to	TO	to
the	DT	the
internet	NN	Internet
or	CC	or
to	TO	to
any	DT	any
cause	NN	cause
only	JJ	only
journalists	NNS	journalist
are	VBP	be
well	RB	well
aware	JJ	aware
of	IN	of
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
again	RB	again
people	NNS	people
here	RB	here
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
currently	RB	currently
striving	VVG	strive
to	TO	to
feed	VV	feed
themselves	PP	themselves
to	TO	to
find	VV	find
clean	JJ	clean
water	NN	water
to	TO	to
drink	VV	drink
uh	UH	uh
to	TO	to
find	VV	find
a	DT	a
spot	NN	spot
to	TO	to
live	VV	live
after	IN	after
the	DT	the
continuous	JJ	continuous
displacement	NN	displacement
so	IN	so
people	NNS	people
are	VBP	be
not	RB	not
very	RB	very
well	RB	well
aware	JJ	aware
of	IN	of
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
they	PP	they
'	''	'
re	IN	re
asking	VVG	ask
journalists	NNS	journalist
and	CC	and
they	PP	they
'	POS	'
re	NN	re
knocking	VVG	knock
our	PP$	our
doors	NNS	door
and	CC	and
asking	VVG	ask
us	PP	us
if	IN	if
there	EX	there
'	''	'
s	NN	S
anything	NN	anything
positive	JJ	positive
but	CC	but
uh	UH	uh
actually	RB	actually
we	PP	we
'	''	'
re	IN	re
waiting	VVG	wait
a	DT	a
little	JJ	little
bit	NN	bit
to	TO	to
see	VV	see
what	WP	what
this	DT	this
uh	UH	uh
is	VBZ	be
going	VVG	go
to	TO	to
turn	VV	turn
out	IN	out
we	PP	we
really	RB	really
don	VVP	don
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
tell	VV	tell
people	NNS	people
news	NN	news
and	CC	and
to	TO	to
to	TO	to
give	VV	give
them	PP	them
hope	VVP	hope
because	IN	because
we	PP	we
have	VHP	have
been	VBN	be
uh	UH	uh
witnessing	VVG	witness
a	DT	a
couple	NN	couple
of	IN	of
times	NNS	time
where	WRB	where
we	PP	we
told	VVD	tell
them	PP	them
uh	UH	uh
positive	JJ	positive
news	NN	news
but	CC	but
it	PP	it
turned	VVD	turn
out	RP	out
like	IN	like
no	RB	no
it	PP	it
'	POS	'
s	NN	S
not	RB	not
so	IN	so
we	PP	we
'	POS	'
re	NN	re
waiting	VVG	wait
a	DT	a
little	JJ	little
bit	NN	bit
to	TO	to
tell	VV	tell
people	VV	people
uh	UH	uh
the	DT	the
situation	NN	situation
in	IN	in
rafah	NN	rafah
is	VBZ	be
very	RB	very
intense	JJ	intense
um	NN	um
there	EX	there
has	VHZ	have
been	VBN	be
carpet	NN	carpet
bombing	NN	bombing
for	IN	for
uh	UH	uh
a	DT	a
couple	NN	couple
of	IN	of
residential	JJ	residential
areas	NNS	area
in	IN	in
Al	NP	Al
shabura	NP	shabura
refugee	NN	refugee
camp	NN	camp
in	IN	in
the	DT	the
central	NN	central
draah	VVG	draah
uh	UH	uh
according	VVG	accord
to	TO	to
our	PP$	our
sources	NNS	source
there	EX	there
they	PP	they
said	VVD	say
that	IN/that	that
a	DT	a
couple	NN	couple
of	IN	of
injuries	NNS	injury
made	VVD	make
it	PP	it
to	TO	to
the	DT	the
Kuwaiti	JJ	Kuwaiti
hospital	NN	hospital
but	CC	but
again	RB	again
alaiti	NN	alaiti
hospital	NN	hospital
is	VBZ	be
a	DT	a
very	RB	very
small	JJ	small
medical	JJ	medical
point	NN	point
they	PP	they
do	VVP	do
not	RB	not
have	VH	have
icus	NN	icus
they	PP	they
do	VVP	do
not	RB	not
have	VH	have
uh	UH	uh
um	NNS	um
they	PP	they
only	RB	only
have	VHP	have
a	DT	a
couple	NN	couple
of	IN	of
beds	NNS	bed
and	CC	and
they	PP	they
do	VVP	do
not	RB	not
have	VH	have
a	DT	a
lot	NN	lot
of	IN	of
doctors	VVZ	doctor
uh	UH	uh
because	IN	because
most	JJS	most
of	IN	of
the	DT	the
doctors	VVZ	doctor
uh	UH	uh
were	VBD	be
uh	UH	uh
evacuated	VVN	evacuate
to	TO	to
the	DT	the
middle	JJ	middle
area	NN	area
so	IN	so
the	DT	the
situation	NN	situation
is	VBZ	be
uh	UH	uh
still	VV	still
uh	UH	uh
uh	UH	uh
um	NN	um
escalating	VVG	escalate
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
tanks	NNS	tank
are	VBP	be
expanding	VVG	expand
their	PP$	their
land	NN	land
incursion	NN	incursion
and	CC	and
they	PP	they
are	VBP	be
only	RB	only
400	CD	@card@
m	NN	m
away	RB	away
from	IN	from
Al	NP	Al
naar	NP	Naar
Hospital	NP	Hospital
in	IN	in
Rafa	NP	Rafa
um	VVD	um
our	PP$	our
sources	NNS	source
are	VBP	be
telling	VVG	tell
us	PP	us
that	IN/that	that
air	NN	air
strikes	NNS	strike
did	VVD	do
not	RB	not
stop	VV	stop
artillery	NN	artillery
shelling	VVG	shell
did	VVD	do
not	RB	not
stop	VV	stop
and	CC	and
we	PP	we
are	VBP	be
also	RB	also
talking	VVG	talk
about	RB	about
2	CD	@card@
800	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
that	WDT	that
evacuated	VVN	evacuate
from	IN	from
rafah	NN	rafah
to	TO	to
um	NN	um
the	DT	the
middle	JJ	middle
area	NN	area
andun	NN	andun
in	IN	in
the	DT	the
past	JJ	past
couple	NN	couple
of	IN	of
weeks	NNS	week
when	WRB	when
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
ordered	VVD	order
Palestinians	NNS	Palestinian
to	TO	to
evacuate	VV	evacuate
but	CC	but
there	RB	there
there	EX	there
are	VBP	be
at	IN	at
least	JJS	least
300	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
still	RB	still
till	IN	till
this	DT	this
point	NN	point
in	IN	in
Rafa	NP	Rafa
and	CC	and
judge	VV	judge
Salam	NP	Salam
of	IN	of
the	DT	the
president	NN	president
of	IN	of
mentioned	VVN	mention
exactly	RB	exactly
those	DT	those
numbers	NNS	number
when	WRB	when
issuing	VVG	issue
those	DT	those
provisional	JJ	provisional
orders	NNS	order
for	IN	for
Israel	NP	Israel
to	TO	to
stop	VV	stop
its	PP$	its
military	JJ	military
operation	NN	operation
in	IN	in
Rafa	NP	Rafa
where	WRB	where
you	PP	you
are	VBP	be
H	NN	H
what	WP	what
is	VBZ	be
happening	VVG	happen
at	IN	at
alaka	NN	alaka
hospital	NN	hospital
behind	IN	behind
you	PP	you
because	IN	because
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
UNICEF	NP	UNICEF
say	VVP	say
that	IN/that	that
the	DT	the
lives	NNS	life
of	IN	of
more	JJR	more
than	IN	than
20	CD	@card@
newborns	NNS	newborn
at	IN	at
that	DT	that
hospital	NN	hospital
are	VBP	be
threatened	VVN	threaten
because	IN	because
oxygen	NN	oxygen
will	MD	will
stop	VV	stop
as	RB	as
not	RB	not
enough	JJ	enough
fuel	NN	fuel
is	VBZ	be
delivered	VVN	deliver
well	RB	well
it	PP	it
was	VBD	be
a	DT	a
very	RB	very
hard	JJ	hard
night	NN	night
for	IN	for
Al	NP	Al
OA	NP	OA
hospital	NN	hospital
last	JJ	last
night	NN	night
all	RB	all
of	IN	of
this	DT	this
building	NN	building
turned	VVD	turn
off	RP	off
because	IN	because
the	DT	the
hospital	NN	hospital
ran	VVD	run
out	RP	out
of	IN	of
fuel	NN	fuel
but	CC	but
uh	UH	uh
uh	UH	uh
thanks	NNS	thanks
God	NP	God
um	VVZ	um
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
gave	VVD	give
uh	UH	uh
the	DT	the
AL	NP	al
AXA	NP	Axa
Hospital	NP	Hospital
15	CD	@card@
,	,	,
000	CD	@card@
L	NN	L
of	IN	of
fuel	NN	fuel
but	CC	but
unfortunately	RB	unfortunately
these	DT	these
this	DT	this
number	NN	number
is	VBZ	be
only	RB	only
um	JJ	um
it	PP	it
fuels	VVZ	fuel
up	RP	up
the	DT	the
hospital	NN	hospital
for	IN	for
4	CD	@card@
days	NNS	day
only	RB	only
because	IN	because
the	DT	the
hospital	NN	hospital
needs	VVZ	need
at	IN	at
