<video_id>_td4uypz0go</video_id>	JJ	<video_id>_td4uypz0go</video_id>
likely	JJ	likely
to	TO	to
die	VV	die
because	IN	because
of	IN	of
the	DT	the
improper	JJ	improper
insufficient	JJ	insufficient
medical	JJ	medical
uh	UH	uh
intervention	NN	intervention
as	IN	as
there	EX	there
is	VBZ	be
lack	NN	lack
of	IN	of
of	IN	of
medical	JJ	medical
supplies	NNS	supply
here	RB	here
in	IN	in
ra	NNS	ra
where	WRB	where
people	NNS	people
were	VBD	be
told	VVN	tell
to	TO	to
evacuate	VV	evacuate
we're	NN	we're
talking	VVG	talk
about	IN	about
early	JJ	early
hours	NNS	hour
of	IN	of
last	JJ	last
night	NN	night
where	WRB	where
three	CD	three
families	NNS	family
were	VBD	be
Sheltering	VVG	shelter
in	IN	in
a	DT	a
residential	JJ	residential
building	NN	building
just	RB	just
200	CD	@card@
met	VVD	meet
away	RB	away
from	IN	from
the	DT	the
Kuwaiti	JJ	Kuwaiti
Hospital	NN	hospital
were	VBD	be
killed	VVN	kill
inside	IN	inside
the	DT	the
residential	JJ	residential
home	NN	home
that	WDT	that
was	VBD	be
targeted	VVN	target
by	IN	by
a	DT	a
massive	JJ	massive
Quake	NN	quake
bombs	NNS	bomb
that	IN/that	that
that	WDT	that
that	DT	that
that	WDT	that
shook	VVD	shake
the	DT	the
very	JJ	very
Foundation	NP	Foundation
of	IN	of
every	DT	every
building	NN	building
within	IN	within
the	DT	the
vicinity	NN	vicinity
could	MD	could
people	NNS	people
could	MD	could
feel	VV	feel
the	DT	the
Shake	NP	Shake
as	IN	as
the	DT	the
explosion	NN	explosion
uh	UH	uh
took	VVD	take
off	RP	off
but	CC	but
uh	UH	uh
21	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
again	RB	again
we're	NN	we're
looking	VVG	look
at	IN	at
the	DT	the
unprecedented	JJ	unprecedented
number	NN	number
of	IN	of
the	DT	the
children	NNS	child
and	CC	and
women	NNS	woman
those	DT	those
who	WP	who
were	VBD	be
rushed	VVN	rush
into	IN	into
the	DT	the
Kuai	NP	Kuai
Hospital	NP	Hospital
were	VBD	be
women	NNS	woman
and	CC	and
children	NNS	child
were	VBD	be
killed	VVN	kill
the	DT	the
some	RB	some
were	VBD	be
brought	VVN	bring
into	IN	into
a	DT	a
blankets	NNS	blanket
because	IN	because
their	PP$	their
bodies	NNS	body
were	VBD	be
torn	VVN	tear
torn	VVN	tear
apart	RB	apart
as	RB	as
of	IN	of
the	DT	the
the	DT	the
the	DT	the
effect	NN	effect
of	IN	of
the	DT	the
explosion	NN	explosion
uh	UH	uh
other	JJ	other
injuries	NNS	injury
who	WP	who
were	VBD	be
also	RB	also
brought	VVN	bring
to	TO	to
the	DT	the
hospital	NN	hospital
here	RB	here
were	VBD	be
transferred	VVN	transfer
to	TO	to
other	JJ	other
medical	JJ	medical
centers	NNS	center
across	IN	across
ra	NNS	ra
because	IN	because
this	DT	this
is	VBZ	be
a	DT	a
small	JJ	small
siiz	NN	siiz
medical	JJ	medical
facility	NN	facility
and	CC	and
could	MD	could
not	RB	not
take	VV	take
the	DT	the
large	JJ	large
number	NN	number
of	IN	of
injuries	NNS	injury
and	CC	and
dead	JJ	dead
bodies	NNS	body
who	WP	who
were	VBD	be
brought	VVN	bring
here	RB	here
at	IN	at
one	CD	one
at	IN	at
one	PP	one
time	VV	time
uh	UH	uh
this	DT	this
is	VBZ	be
the	DT	the
the	DT	the
situation	NN	situation
so	RB	so
far	RB	far
across	IN	across
the	DT	the
Gaza	NP	Gaza
trip	NN	trip
what	WP	what
we'	RB	we'
seen	VVN	see
is	VBZ	be
a	DT	a
pattern	NN	pattern
within	IN	within
just	RB	just
the	DT	the
past	JJ	past
week	NN	week
and	CC	and
so	RB	so
more	JJR	more
bombs	NNS	bomb
but	CC	but
less	JJR	less
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
Aid	NN	aid
which	WDT	which
contradicts	VVZ	contradict
the	DT	the
resolution	NN	resolution
that	WDT	that
was	VBD	be
passed	VVN	pass
by	IN	by
the	DT	the
UN	NP	UN
security	NN	security
Council	NP	Council
Hy	NP	Hy
thanks	NNS	thanks
for	IN	for
that	DT	that
hany	NP	hany
Mahmud	NP	Mahmud
in	IN	in
Rafa	NP	Rafa
</doc>	NP	</doc>
