<video_id>n4Wtr1tpur4</video_id>	JJ	<video_id>n4Wtr1tpur4</video_id>
not	RB	not
playing	VVG	play
uh	UH	uh
to	TO	to
their	PP$	their
own	JJ	own
domestic	JJ	domestic
audience	NN	audience
anymore	RB	anymore
it's	NNS	it's
important	JJ	important
they	PP	they
say	VVP	say
to	TO	to
get	VV	get
those	DT	those
messages	NNS	message
out	RP	out
in	IN	in
as	IN	as
many	JJ	many
languages	NNS	language
as	IN	as
possible	JJ	possible
and	CC	and
this	DT	this
has	VHZ	have
been	VBN	be
echoed	VVN	echo
in	IN	in
uh	UH	uh
by	IN	by
Palestinian	JJ	Palestinian
demonstrators	NNS	demonstrator
as	RB	as
well	RB	well
at	IN	at
the	DT	the
German	JJ	German
Embassy	NP	Embassy
uh	UH	uh
there	EX	there
was	VBD	be
a	DT	a
demonstration	NN	demonstration
yesterday	NN	yesterday
we	PP	we
speaking	VVG	speak
to	TO	to
people	NNS	people
there	RB	there
and	CC	and
they	PP	they
were	VBD	be
saying	VVG	say
we	PP	we
simply	RB	simply
need	VVP	need
to	TO	to
start	VV	start
telling	VVG	tell
the	DT	the
world	NN	world
our	PP$	our
story	NN	story
our	PP$	our
plight	NN	plight
why	WRB	why
this	DT	this
happened	VVD	happen
this	DT	this
didn't	NN	didn't
happen	VV	happen
in	IN	in
a	DT	a
volume	NN	volume
in	IN	in
a	DT	a
vacuum	NN	vacuum
rather	RB	rather
and	CC	and
it	PP	it
happened	VVD	happen
because	IN	because
of	IN	of
75	CD	@card@
years	NNS	year
worth	JJ	worth
of	IN	of
occupation	NN	occupation
so	RB	so
expect	VVP	expect
to	TO	to
see	VV	see
more	JJR	more
things	NNS	thing
like	VVP	like
that	IN/that	that
in	IN	in
English	JJ	English
as	IN	as
they	PP	they
try	VVP	try
and	CC	and
get	VVP	get
the	DT	the
message	NN	message
out	IN	out
Imran	NP	Imran
Khan	NP	Khan
reporting	VVG	report
from	IN	from
romala	NN	romala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
ever	RB	ever
Imran	NP	Imran
</doc>	NN	</doc>
