<video_id>LaGZZs2u3tI</video_id>	JJ	<video_id>LaGZZs2u3tI</video_id>
become	VVN	become
a	DT	a
permanent	JJ	permanent
annexation	NN	annexation
and	CC	and
therefore	RB	therefore
violates	VVZ	violate
International	JJ	international
laws	NNS	law
with	IN	with
respect	NN	respect
to	TO	to
the	DT	the
policies	NNS	policy
and	CC	and
practices	NNS	practice
of	IN	of
Israel	NP	Israel
referred	VVD	refer
to	TO	to
in	IN	in
question	NN	question
a	DT	a
which	WDT	which
were	VBD	be
found	VVN	find
to	TO	to
be	VB	be
unlawful	JJ	unlawful
Israel	NP	Israel
has	VHZ	have
an	DT	an
obligation	NN	obligation
to	TO	to
put	VV	put
an	DT	an
end	NN	end
to	TO	to
those	DT	those
unlawful	JJ	unlawful
acts	NNS	act
in	IN	in
this	DT	this
respect	NN	respect
Israel	NP	Israel
must	MD	must
immediately	RB	immediately
sees	VVZ	see
all	DT	all
new	JJ	new
settlement	NN	settlement
activity	NN	activity
Israel	NP	Israel
also	RB	also
has	VHZ	have
an	DT	an
obligation	NN	obligation
to	TO	to
repeal	VV	repeal
all	DT	all
legislation	NN	legislation
and	CC	and
measures	NNS	measure
creating	VVG	create
or	CC	or
maintaining	VVG	maintain
the	DT	the
unlawful	JJ	unlawful
situation	NN	situation
including	VVG	include
those	DT	those
which	WDT	which
discriminate	VVP	discriminate
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
the	DT	the
court	NN	court
says	VVZ	say
Israel	NP	Israel
is	VBZ	be
imposing	VVG	impose
systematic	JJ	systematic
discrimination	NN	discrimination
mounting	VVG	mount
to	TO	to
aarti	NNS	aarti
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
its	PP$	its
policies	NNS	policy
of	IN	of
encouraging	VVG	encourage
more	JJR	more
than	IN	than
700,000	CD	@card@
settlers	NNS	settler
to	TO	to
live	VV	live
in	IN	in
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
is	VBZ	be
in	IN	in
breach	NN	breach
of	IN	of
international	JJ	international
law	NN	law
the	DT	the
court	NN	court
comes	VVZ	come
to	TO	to
the	DT	the
conclusion	NN	conclusion
that	IN/that	that
Israel's	NP	Israel's
policies	NNS	policy
and	CC	and
practices	NNS	practice
including	VVG	include
the	DT	the
maintenance	NN	maintenance
and	CC	and
expansion	NN	expansion
of	IN	of
settlements	NNS	settlement
the	DT	the
the	DT	the
construction	NN	construction
of	IN	of
associated	VVN	associate
infrastructure	NN	infrastructure
and	CC	and
the	DT	the
wall	NN	wall
the	DT	the
exploitation	NN	exploitation
of	IN	of
Natural	NP	Natural
Resources	NPS	Resources
the	DT	the
proclamation	NN	proclamation
of	IN	of
Jerusalem	NP	Jerusalem
as	IN	as
Israel's	NP	Israel's
Capital	NP	Capital
the	DT	the
court	NN	court
considers	VVZ	consider
that	IN/that	that
these	DT	these
policies	NNS	policy
and	CC	and
practices	NNS	practice
amount	NN	amount
to	TO	to
annexation	NN	annexation
of	IN	of
large	JJ	large
parts	NNS	part
of	IN	of
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
the	DT	the
court	NN	court
also	RB	also
said	VVD	say
that	IN/that	that
all	DT	all
UN	NP	UN
member	NN	member
states	NNS	state
and	CC	and
international	JJ	international
organizations	NNS	organization
have	VHP	have
an	DT	an
obligation	NN	obligation
under	IN	under
international	JJ	international
law	NN	law
to	TO	to
stop	VV	stop
enabling	VVG	enable
the	DT	the
illegal	JJ	illegal
occupation	NN	occupation
a	DT	a
Palestinian	JJ	Palestinian
delegation	NN	delegation
the	DT	the
court	NN	court
called	VVD	call
it	PP	it
a	DT	a
historic	JJ	historic
day	NN	day
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
I	PP	I
believe	VVP	believe
it's	NNS	it's
historic	JJ	historic
because	IN	because
you	PP	you
know	VVP	know
it	PP	it
provides	VVZ	provide
certain	JJ	certain
answers	NNS	answer
to	TO	to
many	JJ	many
questions	NNS	question
that	WDT	that
stayed	VVD	stay
in	IN	in
our	PP$	our
minds	NNS	mind
for	IN	for
so	RB	so
many	JJ	many
years	NNS	year
it	PP	it
you	PP	you
know	VVP	know
answers	VVZ	answer
the	DT	the
questions	NNS	question
that	IN/that	that
so	RB	so
many	JJ	many
countries	NNS	country
were	VBD	be
awaiting	VVG	await
in	IN	in
order	NN	order
to	TO	to
decide	VV	decide
and	CC	and
to	TO	to
determine	VV	determine
their	PP$	their
policies	NNS	policy
Vis	NP	Vis
A	NP	A
Israel	NP	Israel
and	CC	and
the	DT	the
type	NN	type
of	IN	of
relationship	NN	relationship
that	WDT	that
should	MD	should
they	PP	they
should	MD	should
have	VH	have
and	CC	and
maintain	VV	maintain
with	IN	with
the	DT	the
Israel	NP	Israel
as	IN	as
an	DT	an
occup	NN	occup
in	IN	in
power	NN	power
Israel	NP	Israel
immediately	RB	immediately
rejected	VVD	reject
the	DT	the
Court's	NP	Court's
conclusion	NN	conclusion
and	CC	and
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
said	VVD	say
Israel	NP	Israel
can't	NP	can't
occupy	VV	occupy
land	NN	land
that	WDT	that
is	VBZ	be
theirs	PP	theirs
the	DT	the
court	NN	court
ordered	VVD	order
the	DT	the
UN	NP	UN
General	NP	General
Assembly	NP	Assembly
and	CC	and
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
to	TO	to
take	VV	take
whatever	WDT	whatever
action	NN	action
necessary	JJ	necessary
to	TO	to
end	VV	end
the	DT	the
illegal	JJ	illegal
occupation	NN	occupation
a	DT	a
watershed	JJ	watershed
moment	NN	moment
many	JJ	many
Palestinians	NPS	Palestinians
long	RB	long
hoped	VVN	hope
and	CC	and
worked	VVN	work
for	IN	for
official	JJ	official
recognition	NN	recognition
by	IN	by
the	DT	the
world's	JJ	world's
highest	JJS	high
court	NN	court
of	IN	of
their	PP$	their
decades	NNS	decade
long	RB	long
suffering	VVG	suffer
and	CC	and
the	DT	the
illegality	NN	illegality
of	IN	of
Israel's	NP	Israel's
actions	NNS	action
but	CC	but
also	RB	also
knowing	VVG	know
that	IN/that	that
this	DT	this
non-binding	JJ	non-binding
legal	JJ	legal
opinion	NN	opinion
won't	NN	won't
change	NN	change
anything	NN	anything
immediately	RB	immediately
this	DT	this
is	VBZ	be
now	RB	now
up	RB	up
to	TO	to
all	DT	all
UN	NP	UN
members	NNS	member
to	TO	to
decide	VV	decide
step	NN	step
fasten	VV	fasten
Al	NP	Al
jazer	NN	jazer
the	DT	the
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
