<video_id>tCHDZ7fJNvw</video_id>	JJ	<video_id>tCHDZ7fJNvw</video_id>
woman	NN	woman
that	WDT	that
told	VVD	tell
us	PP	us
that	IN/that	that
she	PP	she
had	VHD	have
to	TO	to
leave	VV	leave
her	PP$	her
family	NN	family
alone	RB	alone
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
because	IN	because
she	PP	she
had	VHD	have
to	TO	to
receive	VV	receive
her	PP$	her
dialysis	NN	dialysis
treatment	NN	treatment
because	IN	because
there	EX	there
has	VHZ	have
been	VBN	be
no	DT	no
hospitals	NNS	hospital
in	IN	in
the	DT	the
norn	JJ	norn
gazal	JJ	gazal
strip	NN	strip
treating	VVG	treat
her	PP$	her
case	NN	case
could	MD	could
you	PP	you
please	VV	please
introduce	VV	introduce
yourself	PP	yourself
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
conditions	NNS	condition
of	IN	of
the	DT	the
patients	NNS	patient
the	DT	the
situation	NN	situation
is	VBZ	be
incredibly	RB	incredibly
challenging	VVG	challenge
especially	RB	especially
for	IN	for
dialysis	NN	dialysis
patients	NNS	patient
like	VVP	like
myself	PP	myself
we've	NN	we've
traveled	VVD	travel
all	PDT	all
the	DT	the
way	NN	way
from	IN	from
Gaza	NP	Gaza
I've	NP	I've
been	VBN	be
undergoing	VVG	undergo
dialysis	NN	dialysis
sessions	NNS	session
here	RB	here
for	IN	for
the	DT	the
past	JJ	past
2	CD	@card@
months	NNS	month
ever	RB	ever
since	IN	since
the	DT	the
raid	NN	raid
and	CC	and
bombing	NN	bombing
of	IN	of
alifer	NN	alifer
hospital	NN	hospital
I'm	NN	I'm
here	RB	here
alone	RB	alone
separated	VVN	separate
from	IN	from
my	PP$	my
children	NNS	child
and	CC	and
husband	NN	husband
so	IN	so
you	PP	you
felt	VVD	feel
compelled	VVN	compel
to	TO	to
come	VV	come
here	RB	here
yes	RB	yes
I	PP	I
came	VVD	come
here	RB	here
after	IN	after
the	DT	the
raid	NN	raid
on	IN	on
alifer	NP	alifer
Hospital	NP	Hospital
how	WRB	how
long	RB	long
do	VV	do
your	PP$	your
sessions	NNS	session
L	NN	L
at	IN	at
alifa	NN	alifa
I	PP	I
used	VVD	use
to	TO	to
have	VH	have
treatments	NNS	treatment
three	CD	three
days	NNS	day
a	DT	a
week	NN	week
for	IN	for
4	CD	@card@
hours	NNS	hour
each	DT	each
session	NN	session
but	CC	but
here	RB	here
I	PP	I
only	RB	only
get	VVP	get
around	RP	around
2	CD	@card@
hour	NN	hour
sessions	NNS	session
which	WDT	which
isn't	VVD	isn't
enough	RB	enough
these	DT	these
shorter	JJR	short
sessions	NNS	session
can't	VVD	can't
effectively	RB	effectively
remove	VV	remove
toxins	NNS	toxin
from	IN	from
our	PP$	our
bodies	NNS	body
there's	RB	there's
immense	JJ	immense
pressure	NN	pressure
on	IN	on
Hospital	NP	Hospital
resources	NNS	resource
we	PP	we
lack	VVP	lack
sufficient	JJ	sufficient
equipment	NN	equipment
to	TO	to
treat	VV	treat
the	DT	the
growing	VVG	grow
number	NN	number
of	IN	of
patients	NNS	patient
leading	VVG	lead
to	TO	to
overwhelming	JJ	overwhelming
conditions	NNS	condition
before	IN	before
the	DT	the
war	NN	war
patients	NNS	patient
received	VVD	receive
4-Hour	JJ	4-Hour
dialysis	NN	dialysis
sessions	NNS	session
three	CD	three
times	NNS	time
a	DT	a
week	NN	week
now	RB	now
they're	JJ	they're
only	RB	only
receiving	VVG	receive
2hour	JJ	2hour
sessions	NNS	session
twice	RB	twice
a	DT	a
week	NN	week
leading	VVG	lead
to	TO	to
complications	NNS	complication
for	IN	for
many	JJ	many
patients	NNS	patient
Palestines	NPS	Palestine
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
not	RB	not
only	RB	only
queuing	VVG	queue
online	JJ	online
to	TO	to
get	VV	get
bread	NN	bread
and	CC	and
water	NN	water
but	CC	but
they're	NN	they're
also	RB	also
queuing	VVG	queue
on	IN	on
the	DT	the
machines	NNS	machine
to	TO	to
receive	VV	receive
their	PP$	their
treatment	NN	treatment
hind	NN	hind
ala	NN	ala
Hospital	NP	Hospital
Al	NP	Al
jaaz	NP	jaaz
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
