reusing	VVG	reuse
that	IN/that	that
we	PP	we
wouldn	NNS	wouldn
'	POS	'
t	NN	t
make	VV	make
if	IN	if
the	DT	the
children	NNS	child
were	VBD	be
in	IN	in
the	DT	the
UK	NP	UK
um	NN	um
you	PP	you
know	VVP	know
there	EX	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
situations	NNS	situation
where	WRB	where
we	PP	we
amputated	VVD	amputate
because	IN	because
you	PP	you
know	VVP	know
we	PP	we
didn	NN	didn
'	''	'
t	NN	t
have	VHP	have
the	DT	the
ability	NN	ability
to	TO	to
do	VV	do
the	DT	the
reconstruction	NN	reconstruction
and	CC	and
we	PP	we
knew	VVD	know
that	IN/that	that
if	IN	if
we	PP	we
didn	NN	didn
'	POS	'
t	NN	t
do	VVP	do
the	DT	the
amputation	NN	amputation
the	DT	the
risk	NN	risk
of	IN	of
infection	NN	infection
and	CC	and
then	RB	then
death	NN	death
from	IN	from
sepsis	NN	sepsis
was	VBD	be
a	DT	a
possibility	NN	possibility
um	NN	um
so	IN	so
things	NNS	thing
like	IN	like
that	WDT	that
were	VBD	be
were	VBD	be
fairly	RB	fairly
uncomfortable	JJ	uncomfortable
to	TO	to
do	VV	do
um	NNS	um
there	RB	there
there	EX	there
was	VBD	be
a	DT	a
a	DT	a
real	JJ	real
sort	NN	sort
of	IN	of
portive	JJ	portive
Specialties	NNS	specialty
um	JJ	um
so	IN	so
we	PP	we
didn	NN	didn
'	''	'
t	NN	t
have	VHP	have
um	VVN	um
an	DT	an
ENT	NN	Ent
surgeon	NN	surgeon
or	CC	or
a	DT	a
maxilla	NN	maxilla
facial	JJ	facial
surgeon	NN	surgeon
I	PP	I
was	VBD	be
the	DT	the
only	JJ	only
plastic	NN	plastic
surgeon	NN	surgeon
in	IN	in
Gaza	NP	Gaza
for	IN	for
the	DT	the
month	NN	month
uh	UH	uh
there	RB	there
hadn	NN	hadn
'	POS	'
t	NN	t
been	VBN	be
a	DT	a
plastic	JJ	plastic
surgeon	NN	surgeon
in	IN	in
Gaza	NP	Gaza
or	CC	or
at	IN	at
the	DT	the
NASA	NP	NASA
hospital	NN	hospital
since	IN	since
May	NP	May
when	WRB	when
I	PP	I
arrived	VVD	arrive
so	IN	so
there	EX	there
was	VBD	be
quite	PDT	quite
a	DT	a
number	NN	number
of	IN	of
people	NNS	people
who	WP	who
had	VHD	have
sort	VV	sort
of	IN	of
been	VBN	be
waiting	VVG	wait
for	IN	for
somebody	NN	somebody
that	WDT	that
could	MD	could
do	VV	do
plastic	JJ	plastic
surgery	NN	surgery
um	NNS	um
and	CC	and
obviously	RB	obviously
you	PP	you
know	VVP	know
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
waited	VVD	wait
a	DT	a
couple	NN	couple
of	IN	of
months	NNS	month
the	DT	the
wounds	NNS	wound
are	VBP	be
heavily	RB	heavily
infected	VVN	infect
um	NNS	um
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
patients	NNS	patient
are	VBP	be
malnourished	JJ	malnourished
so	IN	so
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
procedures	NNS	procedure
uh	UH	uh
that	IN/that	that
I	PP	I
was	VBD	be
attempted	VVN	attempt
to	TO	to
do	VV	do
would	MD	would
either	RB	either
get	VV	get
infected	JJ	infected
or	CC	or
have	VH	have
to	TO	to
be	VB	be
delayed	VVN	delay
until	IN	until
the	DT	the
wounds	NNS	wound
were	VBD	be
cleaner	JJR	clean
okay	JJ	okay
we	PP	we
'	''	'
ll	NNS	ll
have	VHP	have
to	TO	to
leave	VV	leave
it	PP	it
there	RB	there
Dr	NP	Dr
Victoria	NP	Victoria
Rose	NP	Rose
we	PP	we
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
speaking	VVG	speak
to	TO	to
us	PP	us
from	IN	from
the	DT	the
UK	NP	UK
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NP	alaz
