Al	NP	Al
very	RB	very
much	RB	much
appreciate	VV	appreciate
your	PP$	your
time	NN	time
thank	VV	thank
you	PP	you
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
