<video_id>Tnnh_QJB6nA</video_id>	NP	<video_id>Tnnh_QJB6nA</video_id>
hundreds	NNS	hundred
perhaps	RB	perhaps
thousands	NNS	thousand
and	CC	and
especially	RB	especially
with	IN	with
such	PDT	such
a	DT	a
young	JJ	young
kid	NN	kid
shot	VVD	shoot
um	NNS	um
while	IN	while
he	PP	he
was	VBD	be
essentially	RB	essentially
and	CC	and
according	VVG	accord
to	TO	to
eyewitness	NN	eyewitness
accounts	NNS	account
and	CC	and
also	RB	also
corroborated	VVN	corroborate
by	IN	by
video	NN	video
that	IN/that	that
we've	NN	we've
seen	VVN	see
shooting	NN	shooting
fireworks	NNS	firework
up	RB	up
in	IN	in
the	DT	the
air	NN	air
during	IN	during
Ramadan	NP	Ramadan
the	DT	the
Israelis	NPS	Israelis
of	IN	of
course	NN	course
have	VHP	have
contradicted	VVN	contradict
this	DT	this
say	VVP	say
he	PP	he
shot	VVD	shoot
them	PP	them
towards	IN	towards
them	PP	them
and	CC	and
this	DT	this
immediately	RB	immediately
endangered	VVN	endanger
them	PP	them
hence	RB	hence
why	WRB	why
they	PP	they
shot	VVD	shoot
and	CC	and
killed	VVD	kill
him	PP	him
now	RB	now
put	VVD	put
this	DT	this
into	IN	into
context	NN	context
for	IN	for
us	PP	us
Laura	NP	Laura
what	WDT	what
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
policy	NN	policy
on	IN	on
withholding	VVG	withhold
bodies	NNS	body
well	RB	well
there	EX	there
was	VBD	be
a	DT	a
resolution	NN	resolution
passed	VVN	pass
in	IN	in
2017	CD	@card@
uh	UH	uh
to	TO	to
say	VV	say
that	IN/that	that
they	PP	they
can	MD	can
withhold	VV	withhold
bodies	NNS	body
they	PP	they
can	MD	can
keep	VV	keep
them	PP	them
and	CC	and
they	PP	they
can	MD	can
only	RB	only
return	VV	return
them	PP	them
with	IN	with
major	JJ	major
caveats	NNS	caveat
and	CC	and
that's	NNS	that's
up	RP	up
to	TO	to
security	NN	security
officials	NNS	official
to	TO	to
decide	VV	decide
what	WP	what
they	PP	they
are	VBP	be
but	CC	but
they	PP	they
did	VVD	do
say	VV	say
that	IN/that	that
Hamas	NNS	Hamas
or	CC	or
groups	NNS	group
similar	JJ	similar
to	TO	to
them	PP	them
fighting	VVG	fight
groups	NNS	group
against	IN	against
um	JJ	um
Israel	NP	Israel
can	MD	can
be	VB	be
kept	VVN	keep
and	CC	and
withhold	VVP	withhold
forever	RB	forever
now	RB	now
B	NP	B
Salem	NP	Salem
which	WDT	which
is	VBZ	be
an	DT	an
Israeli	JJ	Israeli
Rights	NPS	Rights
group	NN	group
say	VVP	say
they	PP	they
often	RB	often
used	VVD	use
as	IN	as
bargaining	NN	bargaining
chips	NNS	chip
during	IN	during
any	DT	any
future	JJ	future
negotiations	NNS	negotiation
and	CC	and
Palestinian	JJ	Palestinian
prisoner	NN	prisoner
rights	NNS	right
groups	NNS	group
say	VVP	say
around	RP	around
245	CD	@card@
um	JJ	um
dead	JJ	dead
Palestinians	NNS	Palestinian
are	VBP	be
being	VBG	be
held	VVN	hold
by	IN	by
the	DT	the
Israelis	NPS	Israelis
at	IN	at
the	DT	the
moment	NN	moment
but	CC	but
this	DT	this
is	VBZ	be
a	DT	a
policy	NN	policy
and	CC	and
a	DT	a
practice	NN	practice
that's	NN	that's
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
many	JJ	many
decades	NNS	decade
and	CC	and
we	PP	we
know	VVP	know
that	IN/that	that
many	JJ	many
hundreds	NNS	hundred
of	IN	of
Palestinians	NPS	Palestinians
bodies	NNS	body
have	VHP	have
been	VBN	be
held	VVN	hold
um	RB	um
the	DT	the
most	RBS	most
recent	JJ	recent
um	NN	um
one	CD	one
man	NN	man
he	PP	he
was	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
released	VVN	release
in	IN	in
September	NP	September
his	PP$	his
body	NN	body
has	VHZ	have
been	VBN	be
held	VVN	hold
out	RP	out
since	IN	since
July	NP	July
the	DT	the
Israeli	NP	Israeli
promised	VVD	promise
to	TO	to
give	VV	give
his	PP$	his
body	NN	body
back	RB	back
um	VVD	um
he	PP	he
was	VBD	be
involved	VVN	involve
in	IN	in
a	DT	a
shooting	NN	shooting
where	WRB	where
one	CD	one
Israeli	JJ	Israeli
soldier	NN	soldier
was	VBD	be
injured	VVN	injure
but	CC	but
they	PP	they
still	RB	still
haven't	VVD	haven't
returned	VVN	return
it	PP	it
so	IN	so
there	EX	there
is	VBZ	be
a	DT	a
possibility	NN	possibility
that	WDT	that
has	VHZ	have
given	VVN	give
some	DT	some
sense	NN	sense
of	IN	of
false	JJ	false
hope	NN	hope
and	CC	and
certainly	RB	certainly
an	DT	an
underlying	VVG	underlie
feeling	NN	feeling
for	IN	for
so	RB	so
many	JJ	many
Palestinians	NNS	Palestinian
waiting	VVG	wait
for	IN	for
these	DT	these
bodies	NNS	body
to	TO	to
be	VB	be
returned	VVN	return
there's	RB	there's
going	VVG	go
to	TO	to
be	VB	be
false	JJ	false
hope	NN	hope
for	IN	for
him	PP	him
actually	RB	actually
being	VBG	be
returned	VVN	return
on	IN	on
Friday	NP	Friday
evening	NN	evening
Laura	NP	Laura
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	IN/that	that
Laura	NP	Laura
can	MD	can
live	VV	live
there	RB	there
in	IN	in
occupied	JJ	occupied
e	NN	e
Jerusalem	NP	Jerusalem
</doc>	NP	</doc>
