<video_id>zmhRqzdG4CQ</video_id>	JJ	<video_id>zmhRqzdG4CQ</video_id>
times	CC	times
uh	UH	uh
we	PP	we
knew	VVD	know
this	DT	this
was	VBD	be
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
tense	JJ	tense
phone	NN	phone
call	NN	call
and	CC	and
it's	NNS	it's
clear	VVP	clear
that	IN/that	that
the	DT	the
president	NN	president
as	RB	as
promised	VVD	promise
dressed	VVN	dress
down	RP	down
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
uh	UH	uh
the	DT	the
president	NN	president
emphasized	VVD	emphasize
that	IN/that	that
the	DT	the
strikes	NNS	strike
on	IN	on
humanitarian	JJ	humanitarian
workers	NNS	worker
and	CC	and
the	DT	the
overall	JJ	overall
humanitarian	JJ	humanitarian
situation	NN	situation
was	VBD	be
unacceptable	JJ	unacceptable
he	PP	he
made	VVD	make
clear	VV	clear
the	DT	the
need	NN	need
for	IN	for
Israel	NP	Israel
to	TO	to
announce	VV	announce
a	DT	a
series	NN	series
of	IN	of
specific	JJ	specific
concrete	NN	concrete
and	CC	and
measurable	JJ	measurable
steps	NNS	step
to	TO	to
address	VV	address
civilian	JJ	civilian
harm	NN	harm
humanitarian	JJ	humanitarian
suffering	NN	suffering
and	CC	and
the	DT	the
safety	NN	safety
of	IN	of
Aid	NP	Aid
workers	NNS	worker
he	PP	he
made	VVD	make
clear	VV	clear
the	DT	the
need	NN	need
for	IN	for
Israel	NP	Israel
to	TO	to
announce	VV	announce
a	DT	a
series	NN	series
of	IN	of
specific	JJ	specific
and	CC	and
concrete	JJ	concrete
and	CC	and
measurable	JJ	measurable
steps	NNS	step
to	TO	to
address	VV	address
civilian	JJ	civilian
harm	NN	harm
and	CC	and
he	PP	he
made	VVD	make
clear	JJ	clear
that	IN/that	that
the	DT	the
US	NP	US
policy	NN	policy
with	IN	with
respect	NN	respect
to	TO	to
Gaza	NP	Gaza
will	MD	will
be	VB	be
determined	VVN	determine
by	IN	by
the	DT	the
assessment	NN	assessment
of	IN	of
Israel's	NP	Israel's
immediate	JJ	immediate
action	NN	action
on	IN	on
these	DT	these
steps	NNS	step
in	IN	in
other	JJ	other
words	NNS	word
despite	IN	despite
all	PDT	all
the	DT	the
steps	NNS	step
that	WDT	that
Israel	NP	Israel
has	VHZ	have
taken	VVN	take
to	TO	to
allow	VV	allow
uh	UH	uh
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
what	WP	what
the	DT	the
United	NP	United
States	NPS	States
feels	VVZ	feel
is	VBZ	be
that	IN/that	that
the	DT	the
results	NNS	result
on	IN	on
the	DT	the
ground	NN	ground
are	VBP	be
unacceptable	JJ	unacceptable
in	IN	in
other	JJ	other
words	NNS	word
the	DT	the
feeling	NN	feeling
is	VBZ	be
by	IN	by
the	DT	the
United	NP	United
States	NP	States
that	IN/that	that
100%	CD	@card@
of	IN	of
the	DT	the
population	NN	population
is	VBZ	be
in	IN	in
need	NN	need
of	IN	of
assistance	NN	assistance
and	CC	and
the	DT	the
feeling	NN	feeling
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
that	IN/that	that
even	RB	even
as	IN	as
Aid	NN	aid
workers	NNS	worker
are	VBP	be
trying	VVG	try
to	TO	to
help	VV	help
and	CC	and
get	VV	get
that	DT	that
assistance	NN	assistance
in	IN	in
their	PP$	their
lives	NNS	life
are	VBP	be
in	IN	in
Peril	NN	peril
Kimberly	NP	Kimberly
this	DT	this
all	RB	all
just	RB	just
crossed	VVN	cross
so	IN	so
we're	NN	we're
just	RB	just
learning	VVG	learn
this	DT	this
at	IN	at
very	RB	very
first	JJ	first
look	NN	look
it	PP	it
looks	VVZ	look
to	TO	to
me	PP	me
like	IN	like
this	DT	this
is	VBZ	be
by	IN	by
a	DT	a
significant	JJ	significant
margin	NN	margin
the	DT	the
strongest	JJS	strong
language	NN	language
Biden	NP	Biden
has	VHZ	have
used	VVN	use
against	IN	against
Netanyahu	NP	Netanyahu
in	IN	in
six	CD	six
months	NNS	month
is	VBZ	be
that	IN/that	that
fair	JJ	fair
it's	NNS	it's
the	DT	the
strongest	JJS	strong
language	NN	language
we've	NN	we've
seen	VVN	see
publicly	RB	publicly
that	DT	that
is	VBZ	be
fair	JJ	fair
uh	UH	uh
we've	NN	we've
never	RB	never
had	VHD	have
uh	UH	uh
a	DT	a
window	NN	window
into	IN	into
some	DT	some
of	IN	of
these	DT	these
private	JJ	private
conversations	NNS	conversation
uh	UH	uh
we	PP	we
know	VVP	know
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
frustration	NN	frustration
on	IN	on
the	DT	the
part	NN	part
of	IN	of
the	DT	the
US	NP	US
president	NN	president
and	CC	and
we	PP	we
have	VHP	have
heard	VVN	hear
leaks	NNS	leak
that	IN/that	that
the	DT	the
president	NN	president
has	VHZ	have
had	VHN	have
some	DT	some
very	JJ	very
uh	UH	uh
Frank	NP	Frank
discussions	NNS	discussion
if	IN	if
you	PP	you
will	VVP	will
we	PP	we
knew	VVD	know
this	DT	this
was	VBD	be
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
colorful	JJ	colorful
conversation	NN	conversation
and	CC	and
while	IN	while
we	PP	we
didn't	VVD	didn't
get	VV	get
any	DT	any
of	IN	of
that	DT	that
color	NN	color
in	IN	in
the	DT	the
readout	NN	readout
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
strongest	JJS	strong
most	RBS	most
strongly	RB	strongly
worded	VVN	word
readout	NN	readout
that	IN/that	that
we	PP	we
have	VHP	have
ever	RB	ever
seen	VVN	see
from	IN	from
the	DT	the
White	NP	White
House	NP	House
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
this	DT	this
has	VHZ	have
been	VBN	be
communicated	VVN	communicate
in	IN	in
the	DT	the
message	NN	message
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
okay	NN	okay
that	WDT	that
is	VBZ	be
that's	NN	that's
an	DT	an
interesting	JJ	interesting
distinction	NN	distinction
because	IN	because
you're	NN	you're
telling	VVG	tell
us	PP	us
there's	RB	there's
been	VBN	be
strong	JJ	strong
language	NN	language
in	IN	in
private	JJ	private
but	CC	but
this	DT	this
time	NN	time
they	PP	they
are	VBP	be
deliberately	RB	deliberately
making	VVG	make
it	PP	it
public	JJ	public
Kimberly	NP	Kimberly
hit	NN	hit
reporting	NN	reporting
from	IN	from
the	DT	the
White	NP	White
House	NP	House
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
we	PP	we
will	MD	will
talk	VV	talk
to	TO	to
you	PP	you
again	RB	again
let's	NNS	let's
go	VVP	go
to	TO	to
hamda	NN	hamda
salut	NN	salut
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
hamda	NP	hamda
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
on	IN	on
the	DT	the
Israeli	JJ	Israeli
side	NN	side
about	IN	about
this	DT	this
call	NN	call
well	RB	well
we	PP	we
do	VVP	do
know	VV	know
that	IN/that	that
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
is	VBZ	be
expressing	VVG	express
that	IN/that	that
it's	NNS	it's
unacceptable	JJ	unacceptable
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
it	PP	it
comes	VVZ	come
on	IN	on
the	DT	the
heels	NNS	heel
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
pressure	NN	pressure
that	IN/that	that
the	DT	the
Americans	NPS	Americans
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
has	VHZ	have
been	VBN	be
putting	VVG	put
on	IN	on
the	DT	the
Israelis	NNS	Israeli
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
number	NN	number
of	IN	of
millions	NNS	million
that	WDT	that
have	VHP	have
been	VBN	be
killed	VVN	kill
inside	RB	inside
of	IN	of
Gaza	NP	Gaza
the	DT	the
strikes	NNS	strike
on	IN	on
the	DT	the
aid	NN	aid
workers	NNS	worker
that	IN/that	that
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
world	NN	world
have	VHP	have
simply	RB	simply
said	VVN	say
is	VBZ	be
unacceptable	JJ	unacceptable
and	CC	and
additionally	RB	additionally
that	IN/that	that
the	DT	the
amount	NN	amount
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
going	VVG	go
in	IN	in
is	VBZ	be
simply	RB	simply
not	RB	not
enough	JJ	enough
but	CC	but
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
speaking	VVG	speak
at	IN	at
a	DT	a
security	NN	security
cabinet	NN	cabinet
meeting	NN	meeting
did	VVD	do
say	VV	say
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
quote	NN	quote
going	VVG	go
to	TO	to
defend	VV	defend
itself	PP	itself
against	IN	against
Iran	NP	Iran
in	IN	in
the	DT	the
readout	NN	readout
with	IN	with
the	DT	the
White	NP	White
House	NP	House
memo	NN	memo
with	IN	with
the	DT	the
call	NN	call
with	IN	with
the	DT	the
US	NP	US
president	NN	president
it	PP	it
did	VVD	do
end	NN	end
by	IN	by
saying	VVG	say
that	IN/that	that
Joe	NP	Joe
Biden	NP	Biden
did	VVD	do
Express	NP	Express
that	IN/that	that
the	DT	the
Americans	NPS	Americans
would	MD	would
support	VV	support
the	DT	the
Israelis	NPS	Israelis
with	IN	with
that	WDT	that
but	CC	but
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
these	DT	these
strikes	NNS	strike
on	IN	on
the	DT	the
workers	NNS	worker
we	PP	we
are	VBP	be
hearing	VVG	hear
from	IN	from
the	DT	the
Israelis	NNS	Israeli
that	IN/that	that
there	EX	there
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
an	DT	an
investigation	NN	investigation
into	IN	into
the	DT	the
matter	NN	matter
they	PP	they
were	VBD	be
not	RB	not
so	RB	so
quick	JJ	quick
really	RB	really
to	TO	to
say	VV	say
that	IN/that	that
it	PP	it
was	VBD	be
them	PP	them
who	WP	who
attacked	VVD	attack
and	CC	and
targeted	VVD	target
these	DT	these
seven	CD	seven
Aid	NN	aid
workers	NNS	worker
initially	RB	initially
we	PP	we
heard	VVD	hear
from	IN	from
the	DT	the
Army	NN	army
in	IN	in
the	DT	the
morning	NN	morning
who	WP	who
called	VVD	call
it	PP	it
an	DT	an
incident	NN	incident
and	CC	and
then	RB	then
we	PP	we
heard	VVD	hear
hours	NNS	hour
later	RBR	later
from	IN	from
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
who	WP	who
said	VVD	say
it	PP	it
was	VBD	be
unintentional	JJ	unintentional
the	DT	the
Army	NP	Army
says	VVZ	say
that	IN/that	that
their	PP$	their
investigation	NN	investigation
will	MD	will
be	VB	be
wrapping	VVG	wrap
up	RP	up
soon	RB	soon
but	CC	but
it's	NNS	it's
not	RB	not
really	RB	really
known	VVN	know
what	WP	what
that	DT	that
timeline	NN	timeline
looks	VVZ	look
like	IN	like
but	CC	but
they	PP	they
did	VVD	do
say	VV	say
the	DT	the
public	NN	public
the	DT	the
findings	NNS	finding
would	MD	would
be	VB	be
public	JJ	public
hamda	NN	hamda
the	DT	the
US	NP	US
has	VHZ	have
criticized	VVN	criticize
Israel	NP	Israel
and	CC	and
more	RBR	more
specifically	RB	specifically
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
Mr	NP	Mr
Netanyahu	NP	Netanyahu
um	NNS	um
in	IN	in
the	DT	the
in	IN	in
the	DT	the
past	JJ	past
right	NN	right
but	CC	but
this	DT	this
is	VBZ	be
this	DT	this
criticism	NN	criticism
is	VBZ	be
a	DT	a
lot	NN	lot
stronger	JJR	strong
at	IN	at
least	JJS	least
the	DT	the
criticism	NN	criticism
that	IN/that	that
they're	NN	they're
making	VVG	make
public	NN	public
is	VBZ	be
a	DT	a
lot	NN	lot
stronger	RBR	stronger
this	DT	this
time	NN	time
around	IN	around
how	WRB	how
has	VHZ	have
Netanyahu	NP	Netanyahu
responded	VVD	respond
to	TO	to
Biden's	NP	Biden's
criticism	NN	criticism
in	IN	in
the	DT	the
past	JJ	past
look	NN	look
there's	RB	there's
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
back	RB	back
and	CC	and
forth	RB	forth
between	IN	between
American	JJ	American
and	CC	and
Israeli	JJ	Israeli
officials	NNS	official
specifically	RB	specifically
the	DT	the
president	NN	president
and	CC	and
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
there's	RB	there's
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
back	RB	back
and	CC	and
forth	RB	forth
not	RB	not
just	RB	just
about	IN	about
this	DT	this
issue	NN	issue
particularly	RB	particularly
but	CC	but
also	RB	also
about	IN	about
Israel's	NP	Israel's
ground	NN	ground
Invasion	NN	invasion
into	IN	into
Rafa	NP	Rafa
there's	NP	there's
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
disagreements	NNS	disagreement
with	IN	with
how	WRB	how
Israel	NP	Israel
has	VHZ	have
been	VBN	be
conducting	VVG	conduct
itself	PP	itself
throughout	IN	throughout
this	DT	this
war	NN	war
and	CC	and
remember	VVP	remember
there	EX	there
was	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
some	DT	some
sort	NN	sort
of	IN	of
Israeli	JJ	Israeli
delegation	NN	delegation
that	WDT	that
was	VBD	be
heading	VVG	head
to	TO	to
Washington	NP	Washington
in	IN	in
the	DT	the
last	JJ	last
week	NN	week
to	TO	to
go	VV	go
brief	JJ	brief
American	JJ	American
counterparts	NNS	counterpart
but	CC	but
that	IN/that	that
didn't	NP	didn't
happen	VV	happen
so	IN	so
the	DT	the
Americans	NPS	Americans
are	VBP	be
growing	VVG	grow
increasingly	RB	increasingly
frustrated	VVN	frustrate
with	IN	with
Israeli	JJ	Israeli
policy	NN	policy
and	CC	and
that	DT	that
hasn't	NN	hasn't
necessarily	RB	necessarily
been	VBN	be
a	DT	a
secret	NN	secret
in	IN	in
fact	NN	fact
according	VVG	accord
to	TO	to
reports	NNS	report
within	IN	within
Israeli	JJ	Israeli
media	NNS	medium
there	EX	there
was	VBD	be
a	DT	a
teleconference	NN	teleconference
video	NN	video
type	NN	type
of	IN	of
meeting	NN	meeting
with	IN	with
American	JJ	American
and	CC	and
Israeli	JJ	Israeli
officials	NNS	official
to	TO	to
kind	NN	kind
of	IN	of
brief	NN	brief
them	PP	them
on	IN	on
the	DT	the
raah	NN	raah
operation	NN	operation
and	CC	and
reports	NNS	report
indicated	VVD	indicate
that	IN/that	that
it	PP	it
did	VVD	do
not	RB	not
go	VV	go
well	RB	well
and	CC	and
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
Anger	NP	Anger
from	IN	from
both	DT	both
parties	NNS	party
so	IN	so
the	DT	the
Americans	NPS	Americans
have	VHP	have
been	VBN	be
frustrated	VVN	frustrate
with	IN	with
how	WRB	how
Israel	NP	Israel
has	VHZ	have
been	VBN	be
carrying	VVG	carry
itself	PP	itself
how	WRB	how
it's	NNS	it's
been	VBN	be
Prosecuting	VVG	prosecute
this	DT	this
war	NN	war
specifically	RB	specifically
in	IN	in
Gaza	NP	Gaza
but	CC	but
the	DT	the
policies	NNS	policy
of	IN	of
the	DT	the
Americans	NPS	Americans
as	IN	as
we've	NNS	we've
seen	VVN	see
have	VHP	have
not	RB	not
yet	RB	yet
changed	VVN	change
and	CC	and
Netanyahu	NP	Netanyahu
himself	PP	himself
has	VHZ	have
said	VVN	say
that	IN/that	that
he's	NNS	he's
going	VVG	go
to	TO	to
do	VV	do
whatever	WDT	whatever
he	PP	he
sees	VVZ	see
Fit	NN	fit
until	IN	until
there's	RB	there's
an	DT	an
absolute	JJ	absolute
victory	NN	victory
over	IN	over
Hamas	NNS	Hamas
with	IN	with
or	CC	or
without	IN	without
American	JJ	American
Support	NN	support
okay	JJ	okay
that's	NNS	that's
really	RB	really
interesting	JJ	interesting
thanks	NNS	thanks
for	IN	for
that	DT	that
reminder	NN	reminder
there	RB	there
Hamas	JJ	Hamas
salh	NN	salh
reporting	VVG	report
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
</doc>	NN	</doc>
