<video_id>UF3aHdkhYd0</video_id>	JJ	<video_id>UF3aHdkhYd0</video_id>
dying	VVG	die
of	IN	of
hunger	JJR	hung
related	JJ	related
diseases	NNS	disease
and	CC	and
dehydration	NN	dehydration
the	DT	the
situation	NN	situation
is	VBZ	be
so	RB	so
dire	JJ	dire
the	DT	the
despair	NN	despair
is	VBZ	be
so	RB	so
high	JJ	high
that	IN/that	that
any	DT	any
passage	NN	passage
of	IN	of
trucks	NNS	truck
becomes	VVZ	become
an	DT	an
attraction	NN	attraction
to	TO	to
people	NNS	people
who	WP	who
are	VBP	be
hungry	JJ	hungry
and	CC	and
very	JJ	very
few	JJ	few
trucks	NNS	truck
are	VBP	be
actually	RB	actually
getting	VVG	get
through	IN	through
we're	NN	we're
hearing	NN	hearing
of	IN	of
the	DT	the
world	NN	world
food	NN	food
program	NN	program
having	VHG	have
its	PP$	its
first	JJ	first
Convoy	NN	convoy
being	VBG	be
turned	VVN	turn
away	RP	away
at	IN	at
Northern	NP	Northern
Gaza	NP	Gaza
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
the	DT	the
edge	NN	edge
of	IN	of
Northern	NP	Northern
Gaza	NP	Gaza
one	CD	one
wonders	NNS	wonder
why	WRB	why
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
stopping	VVG	stop
any	DT	any
Aid	NN	aid
reaching	VVG	reach
those	DT	those
people	NNS	people
in	IN	in
the	DT	the
north	NN	north
when	WRB	when
they	PP	they
so	RB	so
desperately	RB	desperately
need	VVP	need
it	PP	it
obstructions	NNS	obstruction
to	TO	to
the	DT	the
north	NN	north
have	VHP	have
reached	VVN	reach
very	RB	very
very	RB	very
high	JJ	high
levels	NNS	level
accessing	VVG	access
the	DT	the
isolated	JJ	isolated
population	NN	population
north	NN	north
of	IN	of
w	NN	w
Gaza	NP	Gaza
is	VBZ	be
a	DT	a
real	JJ	real
challenge	NN	challenge
more	RBR	more
than	IN	than
half	DT	half
PA	NN	pa
the	DT	the
requests	NNS	request
by	IN	by
the	DT	the
UN	NP	UN
altogether	RB	altogether
to	TO	to
bring	VV	bring
much	RB	much
needed	VVN	need
food	NN	food
medical	JJ	medical
supplies	NNS	supply
clean	JJ	clean
water	NN	water
to	TO	to
the	DT	the
north	NN	north
have	VHP	have
been	VBN	be
rejected	VVN	reject
by	IN	by
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
we	PP	we
keep	VVP	keep
pushing	VVG	push
but	CC	but
it's	NN	it's
worth	NN	worth
remembering	VVG	remember
that	IN/that	that
today's	NNS	today's
Convoy	VVP	convoy
by	IN	by
the	DT	the
world	NN	world
food	NN	food
program	NN	program
is	VBZ	be
the	DT	the
first	JJ	first
attempt	NN	attempt
in	IN	in
two	CD	two
weeks	NNS	week
to	TO	to
go	VV	go
to	TO	to
the	DT	the
north	JJ	north
un	NN	un
the	DT	the
agency	NN	agency
I	PP	I
represent	VVP	represent
which	WDT	which
is	VBZ	be
the	DT	the
largest	JJS	large
humanitarian	JJ	humanitarian
agency	NN	agency
in	IN	in
Gaza	NP	Gaza
today	NN	today
has	VHZ	have
not	RB	not
been	VBN	be
able	JJ	able
has	VHZ	have
not	RB	not
been	VBN	be
permitted	VVN	permit
to	TO	to
to	TO	to
go	VV	go
to	TO	to
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
since	IN	since
the	DT	the
23rd	JJ	23rd
of	IN	of
January	NP	January
that's	NNS	that's
almost	RB	almost
6	CD	@card@
weeks	NNS	week
of	IN	of
us	PP	us
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
bring	VV	bring
food	NN	food
and	CC	and
medical	JJ	medical
supplies	NNS	supply
to	TO	to
people	NNS	people
who	WP	who
are	VBP	be
desperate	JJ	desperate
and	CC	and
isolated	VVN	isolate
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
we're	NN	we're
hearing	NN	hearing
um	NNS	um
from	IN	from
the	DT	the
EU	NP	EU
that	IN/that	that
there	EX	there
are	VBP	be
plans	NNS	plan
a	DT	a
foot	NN	foot
for	IN	for
a	DT	a
human	NN	human
a	DT	a
maritime	JJ	maritime
humanitarian	JJ	humanitarian
Corridor	NP	Corridor
via	IN	via
Cyprus	NP	Cyprus
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
that	IN/that	that
the	DT	the
most	RBS	most
straightforward	JJ	straightforward
way	NN	way
of	IN	of
getting	VVG	get
Aid	NN	aid
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
to	TO	to
use	VV	use
the	DT	the
existing	JJ	existing
Crossings	NNS	crossing
namely	RB	namely
kamam	JJ	kamam
abam	NN	abam
kamam	NN	kamam
Shalom	NP	Shalom
and	CC	and
RAF	NN	RAF
from	IN	from
Egypt	NP	Egypt
so	CC	so
there	EX	there
are	VBP	be
many	JJ	many
conversations	NNS	conversation
about	IN	about
the	DT	the
maritime	JJ	maritime
route	NN	route
there	EX	there
have	VHP	have
been	VBN	be
attempts	NNS	attempt
to	TO	to
airdropping	VVG	airdrop
um	NNS	um
of	IN	of
of	IN	of
Aid	NN	aid
onto	IN	onto
the	DT	the
strip	NN	strip
but	CC	but
really	RB	really
the	DT	the
most	RBS	most
straight	JJ	straight
straightforward	JJ	straightforward
way	NN	way
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
at	IN	at
onra	NN	onra
the	DT	the
largest	JJS	large
UN	NP	UN
agency	NN	agency
have	VHP	have
been	VBN	be
calling	VVG	call
for	IN	for
is	VBZ	be
there	EX	there
are	VBP	be
existing	VVG	exist
uh	UH	uh
land	NN	land
crossings	NNS	crossing
that	WDT	that
are	VBP	be
much	RB	much
more	RBR	more
straightforward	JJ	straightforward
faster	NN	faster
more	RBR	more
economical	JJ	economical
and	CC	and
safer	JJR	safe
and	CC	and
there	EX	there
are	VBP	be
constant	JJ	constant
requests	NNS	request
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
that	WDT	that
would	MD	would
allow	VV	allow
an	DT	an
influx	NN	influx
of	IN	of
humanitarian	JJ	humanitarian
assistance	NN	assistance
why	WRB	why
should	MD	should
we	PP	we
reinvent	VV	reinvent
the	DT	the
wheel	NN	wheel
let	VVD	let
us	PP	us
use	VVP	use
what	WP	what
exists	VVZ	exist
and	CC	and
what	WP	what
has	VHZ	have
worked	VVN	work
before	RB	before
much	RB	much
of	IN	of
H's	NP	H's
funding	NN	funding
has	VHZ	have
been	VBN	be
cut	VVN	cut
off	RP	off
for	IN	for
for	IN	for
some	DT	some
weeks	NNS	week
now	RB	now
by	IN	by
a	DT	a
number	NN	number
of	IN	of
countries	NNS	country
around	IN	around
the	DT	the
world	NN	world
how	WRB	how
is	VBZ	be
the	DT	the
organization	NN	organization
coping	VVG	cope
what	WP	what
operations	NNS	operation
are	VBP	be
is	VBZ	be
it	PP	it
able	JJ	able
to	TO	to
still	RB	still
do	VV	do
with	IN	with
in	IN	in
Gaza	NP	Gaza
maintained	VVD	maintain
all	PDT	all
our	PP$	our
much	RB	much
needed	VVN	need
humanitarian	JJ	humanitarian
response	NN	response
in	IN	in
Gaza	NP	Gaza
let's	NNS	let's
remember	VVP	remember
we	PP	we
are	VBP	be
responsible	JJ	responsible
for	IN	for
people	NNS	people
who	WP	who
are	VBP	be
in	IN	in
our	PP$	our
shelters	NNS	shelter
it	PP	it
is	VBZ	be
unra	NN	unra
that	WDT	that
runs	VVZ	run
the	DT	the
shelters	NNS	shelter
that	WDT	that
distributes	VVZ	distribute
foods	NNS	food
that	WDT	that
sends	VVZ	send
Medical	JJ	medical
Teams	NNS	team
into	IN	into
the	DT	the
shelters	NNS	shelter
and	CC	and
we've	NN	we've
maintained	VVD	maintain
all	PDT	all
that	DT	that
we've	NN	we've
also	RB	also
maintained	VVD	maintain
our	PP$	our
700	CD	@card@
schools	NNS	school
across	IN	across
the	DT	the
entire	JJ	entire
region	NN	region
and	CC	and
140	CD	@card@
Health	NP	Health
Centers	NPS	Centers
and	CC	and
that	DT	that
is	VBZ	be
thanks	NNS	thanks
to	TO	to
donors	NNS	donor
who	WP	who
have	VHP	have
not	RB	not
suspended	VVN	suspend
their	PP$	their
funding	NN	funding
based	VVN	base
on	IN	on
allegations	NNS	allegation
so	IN	so
we	PP	we
we	PP	we
still	RB	still
have	VHP	have
many	JJ	many
close	JJ	close
supporters	NNS	supporter
and	CC	and
we're	NNS	we're
working	VVG	work
on	IN	on
providing	VVG	provide
a	DT	a
lot	NN	lot
of	IN	of
cooperation	NN	cooperation
to	TO	to
the	DT	the
reviews	NNS	review
of	IN	of
our	PP$	our
own	JJ	own
systems	NNS	system
that	WDT	that
will	MD	will
enable	VV	enable
us	PP	us
to	TO	to
prove	VV	prove
once	RB	once
again	RB	again
that	IN/that	that
we	PP	we
are	VBP	be
a	DT	a
principled	JJ	principled
UN	NP	UN
agency	NN	agency
and	CC	and
we	PP	we
are	VBP	be
indispensable	JJ	indispensable
in	IN	in
the	DT	the
response	NN	response
in	IN	in
Gaza	NP	Gaza
but	CC	but
also	RB	also
in	IN	in
the	DT	the
region	NN	region
so	IN	so
we're	NN	we're
working	VVG	work
month	NN	month
by	IN	by
month	NN	month
we're	NN	we're
maintaining	VVG	maintain
our	PP$	our
operations	NNS	operation
in	IN	in
March	NP	March
and	CC	and
in	IN	in
April	NP	April
and	CC	and
we're	NN	we're
truly	RB	truly
hoping	VVG	hope
to	TO	to
reverse	VV	reverse
the	DT	the
decision	NN	decision
by	IN	by
some	DT	some
of	IN	of
our	PP$	our
donors	NNS	donor
by	IN	by
proving	VVG	prove
how	WRB	how
transparent	JJ	transparent
and	CC	and
principled	JJ	principled
we	PP	we
are	VBP	be
tomara	NN	tomara
alifi	NNS	alifi
many	JJ	many
thanks	NNS	thanks
for	IN	for
taking	VVG	take
the	DT	the
time	NN	time
to	TO	to
join	VV	join
us	PP	us
here	RB	here
on	IN	on
aljazera	NN	aljazera
</doc>	NN	</doc>
