<video_id>75C8Xe7VQq0</video_id>	NP	<video_id>75C8Xe7VQq0</video_id>
uh	UH	uh
fraud	NN	fraud
but	CC	but
you	PP	you
know	VVP	know
Palestinians	NPS	Palestinians
um	NNS	um
have	VHP	have
been	VBN	be
released	VVN	release
um	NN	um
is	VBZ	be
worth	JJ	worth
giving	VVG	give
you	PP	you
uh	UH	uh
some	DT	some
numbers	NNS	number
right	RB	right
now	RB	now
um	JJ	um
we're	NN	we're
looking	VVG	look
at	IN	at
at	IN	at
least	JJS	least
um	NNS	um
just	RB	just
going	VVG	go
through	IN	through
my	PP$	my
phone	NN	phone
to	TO	to
get	VV	get
all	PDT	all
the	DT	the
the	DT	the
details	NNS	detail
let's	NNS	let's
talk	VVP	talk
about	IN	about
the	DT	the
Israelis	NPS	Israelis
first	RB	first
there	RB	there
23	CD	@card@
ties	NNS	tie
one	CD	one
Filipino	NN	Filipino
those	DT	those
are	VBP	be
the	DT	the
international	JJ	international
people	NNS	people
that	WDT	that
have	VHP	have
been	VBN	be
released	VVN	release
74	CD	@card@
Israelis	NNS	Israeli
have	VHP	have
actually	RB	actually
been	VBN	be
released	VVN	release
in	IN	in
this	DT	this
now	RB	now
um	JJ	um
that's	NNS	that's
actually	RB	actually
quite	RB	quite
a	DT	a
large	JJ	large
number	NN	number
over	IN	over
the	DT	the
last	JJ	last
5	CD	@card@
days	NNS	day
normally	RB	normally
what	WP	what
happens	VVZ	happen
is	VBZ	be
you	PP	you
get	VVP	get
10	CD	@card@
Israeli	JJ	Israeli
captives	NNS	captive
being	VBG	be
released	VVN	release
for	IN	for
every	DT	every
30	CD	@card@
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
that	WDT	that
are	VBP	be
released	VVN	release
that's	NNS	that's
been	VBN	be
the	DT	the
ratio	NN	ratio
it's	NN	it's
been	VBN	be
a	DT	a
ratio	NN	ratio
that's	NN	that's
kind	NN	kind
of	IN	of
worked	VVN	work
out	IN	out
the	DT	the
names	NNS	name
as	IN	as
we	PP	we
say	VVP	say
have	VH	have
been	VBN	be
an	DT	an
issue	NN	issue
there's	RB	there's
a	DT	a
problem	NN	problem
for	IN	for
Hamas	NNS	Hamas
here	RB	here
though	RB	though
because	IN	because
the	DT	the
people	NNS	people
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
have	VHP	have
been	VBN	be
released	VVN	release
have	VHP	have
been	VBN	be
arrested	VVN	arrest
uh	UH	uh
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
or	CC	or
they're	JJ	they're
coming	VVG	come
to	TO	to
the	DT	the
end	NN	end
of	IN	of
their	PP$	their
sentences	NNS	sentence
Hamas	NN	Hamas
would	MD	would
like	VV	like
to	TO	to
see	VV	see
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
that	WDT	that
have	VHP	have
a	DT	a
long	JJ	long
time	NN	time
to	TO	to
go	VV	go
on	IN	on
their	PP$	their
sentences	NNS	sentence
to	TO	to
be	VB	be
released	VVN	release
they're	NN	they're
not	RB	not
getting	VVG	get
that	DT	that
um	NN	um
the	DT	the
Israelis	NPS	Israelis
for	IN	for
their	PP$	their
part	NN	part
have	VHP	have
always	RB	always
maintained	VVN	maintain
this	DT	this
ceasefire	NN	ceasefire
is	VBZ	be
only	RB	only
useful	JJ	useful
to	TO	to
them	PP	them
as	RB	as
long	RB	long
as	IN	as
Israeli	JJ	Israeli
captives	NNS	captive
are	VBP	be
getting	VVG	get
out	RP	out
this	DT	this
isn't	NN	isn't
about	IN	about
getting	VVG	get
humanitarian	JJ	humanitarian
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
it's	NNS	it's
not	RB	not
about	IN	about
uh	UH	uh
independent	JJ	independent
observers	NNS	observer
or	CC	or
allowing	VVG	allow
independent	JJ	independent
un	NN	un
observers	NNS	observer
or	CC	or
journalists	NNS	journalist
into	IN	into
the	DT	the
strip	NN	strip
this	DT	this
is	VBZ	be
simply	RB	simply
about	RB	about
getting	VVG	get
people	NNS	people
in	IN	in
there	EX	there
is	VBZ	be
another	DT	another
thing	NN	thing
here	RB	here
though	RB	though
as	RB	as
well	RB	well
like	IN	like
we	PP	we
say	VVP	say
this	DT	this
is	VBZ	be
a	DT	a
ceasefire	NN	ceasefire
extension	NN	extension
for	IN	for
24	CD	@card@
hours	NNS	hour
uh	UH	uh
that's	NNS	that's
the	DT	the
limit	NN	limit
so	RB	so
far	RB	far
but	CC	but
the	DT	the
tough	JJ	tough
talk	NN	talk
from	IN	from
the	DT	the
Israelis	NPS	Israelis
is	VBZ	be
we	PP	we
will	MD	will
go	VV	go
back	RB	back
into	IN	into
Gaza	NP	Gaza
at	IN	at
a	DT	a
time	NN	time
of	IN	of
our	PP$	our
choosing	VVG	choose
now	RB	now
there	EX	there
have	VHP	have
been	VBN	be
leaks	NNS	leak
from	IN	from
the	DT	the
war	NN	war
cabinet	NN	cabinet
the	DT	the
Israeli	JJ	Israeli
War	NP	War
cabinet	NN	cabinet
that	WDT	that
suggest	VVP	suggest
that	IN/that	that
the	DT	the
absolute	JJ	absolute
final	JJ	final
deadline	NN	deadline
for	IN	for
all	DT	all
of	IN	of
this	DT	this
is	VBZ	be
Sunday	NN	Sunday
that	WDT	that
will	MD	will
be	VB	be
a	DT	a
10day	JJ	10day
ceasefire	NN	ceasefire
after	IN	after
10	CD	@card@
days	NNS	day
that's	NNS	that's
the	DT	the
maximum	NN	maximum
the	DT	the
Israelis	NPS	Israelis
want	VVP	want
to	TO	to
see	VV	see
this	DT	this
pause	NN	pause
in	IN	in
fighting	VVG	fight
now	RB	now
clearly	RB	clearly
the	DT	the
international	JJ	international
mediators	NNS	mediator
and	CC	and
everybody	NN	everybody
would	MD	would
like	VV	like
to	TO	to
see	VV	see
this	DT	this
go	NN	go
on	IN	on
for	IN	for
much	RB	much
longer	JJR	long
but	CC	but
the	DT	the
Israelis	NPS	Israelis
very	RB	very
very	RB	very
blunt	JJ	blunt
in	IN	in
fact	NN	fact
um	NNS	um
there	EX	there
was	VBD	be
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
Israeli	JJ	Israeli
War	NP	War
cabinet	NN	cabinet
it	PP	it
was	VBD	be
a	DT	a
leaked	VVN	leak
statement	NN	statement
uh	UH	uh
saying	VVG	say
that	IN/that	that
they	PP	they
would	MD	would
go	VV	go
in	IN	in
their	PP$	their
time	NN	time
of	IN	of
they	PP	they
choosing	VVG	choose
and	CC	and
they've	NN	they've
warned	VVD	warn
the	DT	the
Americans	NPS	Americans
about	IN	about
this	DT	this
talking	NN	talking
of	IN	of
the	DT	the
Americans	NPS	Americans
Anthony	NP	Anthony
blinkin	NN	blinkin
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
is	VBZ	be
in	IN	in
town	NN	town
right	RB	right
now	RB	now
he's	NNS	he's
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
uh	UH	uh
he's	NNS	he's
meeting	VVG	meet
he's	NNS	he's
going	VVG	go
going	VVG	go
to	TO	to
be	VB	be
meeting	VVG	meet
with	IN	with
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
the	DT	the
president	NN	president
and	CC	and
senior	JJ	senior
members	NNS	member
of	IN	of
uh	UH	uh
the	DT	the
military	JJ	military
there's	NN	there's
an	DT	an
unwritten	JJ	unwritten
law	NN	law
uh	UH	uh
of	IN	of
diplomacy	NN	diplomacy
here	RB	here
in	IN	in
Israel	NP	Israel
uh	UH	uh
that	WDT	that
says	VVZ	say
that	IN/that	that
no	DT	no
major	JJ	major
offensives	NNS	offensive
either	CC	either
politically	RB	politically
or	CC	or
militarily	RB	militarily
should	MD	should
happen	VV	happen
whilst	IN	whilst
a	DT	a
senior	JJ	senior
us	PP	us
uh	UH	uh
Diplomat	NN	diplomat
is	VBZ	be
in	IN	in
country	NN	country
that	WDT	that
may	MD	may
have	VH	have
had	VHN	have
something	NN	something
to	TO	to
do	VV	do
with	IN	with
this	DT	this
that	WDT	that
may	MD	may
be	VB	be
that	DT	that
that's	NNS	that's
why	WRB	why
they've	NN	they've
extended	VVD	extend
it	PP	it
for	IN	for
2	CD	@card@
24	CD	@card@
hours	NNS	hour
simply	RB	simply
just	RB	just
to	TO	to
give	VV	give
uh	UH	uh
the	DT	the
Americans	NPS	Americans
um	VVD	um
the	DT	the
feeling	NN	feeling
that	IN/that	that
they	PP	they
are	VBP	be
coming	VVG	come
in	IN	in
and	CC	and
there	EX	there
is	VBZ	be
still	RB	still
hope	NN	hope
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
extension	NN	extension
to	TO	to
go	VV	go
in	IN	in
and	CC	and
bomb	NN	bomb
was	VBD	be
an	DT	an
American	NP	American
is	VBZ	be
here	RB	here
is	VBZ	be
incredibly	RB	incredibly
bad	JJ	bad
optic	JJ	optic
something	NN	something
the	DT	the
israelies	NNS	israelies
would	MD	would
like	VV	like
to	TO	to
avoid	VV	avoid
okay	JJ	okay
for	IN	for
now	RB	now
Imran	NP	Imran
Khan	NP	Khan
there	RB	there
for	IN	for
us	PP	us
and	CC	and
occupied	VVD	occupy
East	NP	East
Jerusalem	NP	Jerusalem
many	JJ	many
thanks	NNS	thanks
for	IN	for
that	DT	that
update	NN	update
let's	NNS	let's
go	VVP	go
to	TO	to
Tarak	NP	Tarak
Abu	NP	Abu
AUM	NP	AUM
who's	NNS	who's
in	IN	in
hanun	NN	hanun
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
so	RB	so
with	IN	with
10	CD	@card@
minutes	NNS	minute
to	TO	to
spare	VV	spare
as	IN	as
you've	NNS	you've
been	VBN	be
hearing	VVG	hear
that	DT	that
deadline	NN	deadline
that	WDT	that
was	VBD	be
due	JJ	due
to	TO	to
expire	VV	expire
right	RB	right
now	RB	now
has	VHZ	have
been	VBN	be
extended	VVN	extend
We	PP	we
Believe	VVP	believe
for	IN	for
24	CD	@card@
hours	NNS	hour
that's	NNS	that's
what	WP	what
we're	VVP	we're
hearing	VVG	hear
uh	UH	uh
what's	NN	what's
your	PP$	your
reaction	NN	reaction
there	RB	there
in	IN	in
Gaza	NP	Gaza
yes	UH	yes
uh	UH	uh
the	DT	the
minutes	NNS	minute
that	WDT	that
had	VHD	have
preceded	VVN	precede
the	DT	the
announcement	NN	announcement
of	IN	of
the	DT	the
extension	NN	extension
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
for	IN	for
a	DT	a
new	JJ	new
day	NN	day
was	VBD	be
really	RB	really
critical	JJ	critical
and	CC	and
hot	JJ	hot
for	IN	for
Palestinians	NNS	Palestinian
where	WRB	where
fear	NN	fear
and	CC	and
anxiety	NN	anxiety
were	VBD	be
taking	VVG	take
control	NN	control
over	IN	over
all	DT	all
emotions	NNS	emotion
of	IN	of
gazans	NNS	Gazan
inside	IN	inside
the	DT	the
besieged	JJ	besieged
territory	NN	territory
where	WRB	where
Palestinians	NPS	Palestinians
lost	VVD	lose
hope	NN	hope
at	IN	at
the	DT	the
last	JJ	last
time	NN	time
and	CC	and
the	DT	the
last	JJ	last
minute	NN	minute
that	IN/that	that
there	EX	there
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
any	DT	any
new	JJ	new
extension	NN	extension
as	IN	as
Hamas	NNS	Hamas
from	IN	from
its	PP$	its
side	NN	side
had	VHD	have
give	VV	give
a	DT	a
sign	NN	sign
for	IN	for
its	PP$	its
forces	NNS	force
to	TO	to
be	VB	be
ready	JJ	ready
for	IN	for
any	DT	any
possibility	NN	possibility
for	IN	for
the	DT	the
new	JJ	new
renew	VVP	renew
fighting	VVG	fight
uh	UH	uh
with	IN	with
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
on	IN	on
the	DT	the
ground	NN	ground
as	IN	as
there	EX	there
is	VBZ	be
no	RB	no
any	DT	any
official	JJ	official
statement	NN	statement
had	VHD	have
been	VBN	be
released	VVN	release
just	RB	just
until	IN	until
the	DT	the
last	JJ	last
uh	UH	uh
uh	UH	uh
minutes	NNS	minute
of	IN	of
the	DT	the
uh	UH	uh
end	NN	end
of	IN	of
the	DT	the
previous	JJ	previous
cease	VV	cease
fire	NN	fire
but	CC	but
later	RBR	later
Hamas	JJ	Hamas
had	VHD	have
said	VVN	say
that	IN/that	that
they	PP	they
have	VHP	have
reached	VVN	reach
to	TO	to
and	CC	and
further	JJR	further
extension	NN	extension
for	IN	for
further	JJR	further
one	CD	one
day	NN	day
which	WDT	which
can	MD	can
give	VV	give
a	DT	a
clear	JJ	clear
sign	NN	sign
that	IN/that	that
Palestinians	NPS	Palestinians
will	MD	will
have	VH	have
a	DT	a
new	JJ	new
day	NN	day
uh	UH	uh
clear	VV	clear
of	IN	of
the	DT	the
Israeli	JJ	Israeli
bombar	NN	bombar
now	RB	now
earlier	JJR	early
today	NN	today
the	DT	the
majority	NN	majority
of	IN	of
people	NNS	people
start	VVP	start
and	CC	and
even	RB	even
from	IN	from
earlier	JJR	early
hours	NNS	hour
they	PP	they
start	VVP	start
to	TO	to
return	VV	return
back	RB	back
again	RB	again
to	TO	to
the	DT	the
hospital	NN	hospital
in	IN	in
order	NN	order
to	TO	to
remain	VV	remain
in	RP	in
and	CC	and
to	TO	to
be	VB	be
away	RB	away
from	IN	from
the	DT	the
Israeli	NP	Israeli
possible	RB	possible
renew	VV	renew
of	IN	of
of	IN	of
bombardment	NN	bombardment
and	CC	and
after	IN	after
they	PP	they
just	RB	just
heard	VVD	hear
the	DT	the
news	NN	news
that	IN/that	that
there's	RB	there's
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
new	JJ	new
extension	NN	extension
for	IN	for
a	DT	a
new	JJ	new
day	NN	day
they	PP	they
started	VVD	start
to	TO	to
return	VV	return
back	RB	back
again	RB	again
to	TO	to
the	DT	the
houses	NNS	house
just	RB	just
simply	RB	simply
because	IN	because
they	PP	they
believed	VVD	believe
that	IN/that	that
in	IN	in
your	PP$	your
renew	VV	renew
fighting	VVG	fight
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
will	MD	will
bring	VV	bring
Devastation	NN	devastation
and	CC	and
catastrophic	JJ	catastrophic
consequences	NNS	consequence
on	IN	on
different	JJ	different
life	NN	life
aspects	NNS	aspect
so	RB	so
clearly	RB	clearly
now	RB	now
Palestinians	NPS	Palestinians
have	VHP	have
had	VHN	have
sense	NN	sense
of	IN	of
relief	NN	relief
and	CC	and
they	PP	they
can	MD	can
right	RB	right
now	RB	now
have	VH	have
moments	NNS	moment
of	IN	of
breathe	VV	breathe
as	IN	as
the	DT	the
the	DT	the
extension	NN	extension
will	MD	will
B	NP	B
the	DT	the
way	NN	way
for	IN	for
further	JJR	further
release	NN	release
of	IN	of
