<video_id>LtfRnjg1-yQ</video_id>	JJ	<video_id>LtfRnjg1-yQ</video_id>
bombing	VVG	bomb
air	NN	air
strikes	NNS	strike
from	IN	from
the	DT	the
sea	NN	sea
the	DT	the
drones	NNS	drone
are	VBP	be
within	IN	within
the	DT	the
hospital	NN	hospital
uh	UH	uh
area	NN	area
and	CC	and
anyone	NN	anyone
moving	VVG	move
between	IN	between
the	DT	the
buildings	NNS	building
they	PP	they
feel	VVP	feel
totally	RB	totally
unsafe	JJ	unsafe
the	DT	the
electricity	NN	electricity
stopped	VVD	stop
because	IN	because
of	IN	of
some	DT	some
issues	NNS	issue
with	IN	with
the	DT	the
electricity	NN	electricity
the	DT	the
engineer	NN	engineer
who	WP	who
went	VVD	go
to	TO	to
try	VV	try
to	TO	to
fix	VV	fix
that	DT	that
electricity	NN	electricity
was	VBD	be
uh	UH	uh
shot	NN	shot
by	IN	by
the	DT	the
Drone	NP	Drone
and	CC	and
injured	VVN	injure
in	IN	in
his	PP$	his
neck	NN	neck
and	CC	and
he	PP	he
got	VVD	get
paralysis	NN	paralysis
of	IN	of
his	PP$	his
four	CD	four
lmbs	NNS	lmbs
so	IN	so
the	DT	the
situation	NN	situation
that	IN/that	that
you	PP	you
are	VBP	be
totally	RB	totally
unsafe	JJ	unsafe
even	RB	even
to	TO	to
move	VV	move
between	IN	between
the	DT	the
hospital	NN	hospital
buildings	NNS	building
whoever	WP	whoever
in	IN	in
in	IN	in
one	CD	one
building	NN	building
can't	NN	can't
move	NN	move
to	TO	to
the	DT	the
other	JJ	other
building	NN	building
even	RB	even
if	IN	if
a	DT	a
doctor	NN	doctor
wants	VVZ	want
to	TO	to
see	VV	see
patient	NN	patient
in	IN	in
the	DT	the
other	JJ	other
they	PP	they
can't	VVD	can't
move	VV	move
there	RB	there
so	RB	so
what	WP	what
happened	VVN	happen
is	VBZ	be
the	DT	the
already	RB	already
we	PP	we
were	VBD	be
in	IN	in
a	DT	a
bad	JJ	bad
situation	NN	situation
collapsing	VVG	collapse
situation	NN	situation
of	IN	of
the	DT	the
health	NN	health
system	NN	system
running	VVG	run
out	RP	out
of	IN	of
fuel	NN	fuel
electricity	NN	electricity
of	IN	of
water	NN	water
now	RB	now
the	DT	the
situation	NN	situation
is	VBZ	be
tighter	JJR	tight
they	PP	they
attack	VVP	attack
the	DT	the
water	NN	water
tanks	NNS	tank
on	IN	on
top	NN	top
of	IN	of
the	DT	the
buildings	NNS	building
now	RB	now
we	PP	we
don't	VVD	don't
have	VH	have
water	NN	water
in	IN	in
the	DT	the
whole	JJ	whole
buildings	NNS	building
in	IN	in
the	DT	the
uh	UH	uh
in	IN	in
the	DT	the
toilets	NNS	toilet
for	IN	for
the	DT	the
patient	JJ	patient
hygiene	NN	hygiene
</doc>	NN	</doc>
