<video_id>Gb33W7Vqjzg</video_id>	JJ	<video_id>Gb33W7Vqjzg</video_id>
want	VVP	want
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
yet	RB	yet
to	TO	to
get	VV	get
on	IN	on
board	NN	board
and	CC	and
I	PP	I
think	VVP	think
the	DT	the
Americans	NPS	Americans
are	VBP	be
still	RB	still
trying	VVG	try
to	TO	to
bridge	NN	bridge
both	CC	both
by	IN	by
basically	RB	basically
making	VVG	make
promises	NNS	promise
that	IN/that	that
if	IN	if
Hamas	NP	Hamas
accepts	VVZ	accept
a	DT	a
transitional	JJ	transitional
ceasefire	NN	ceasefire
that	IN/that	that
it	PP	it
could	MD	could
eventually	RB	eventually
lead	VV	lead
to	TO	to
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
I	PP	I
don't	VVD	don't
think	VV	think
it's	NNS	it's
convincing	VVG	convince
thus	RB	thus
far	RB	far
but	CC	but
they	PP	they
remain	VVP	remain
wrangling	VVG	wrangle
over	IN	over
the	DT	the
details	NNS	detail
and	CC	and
we	PP	we
do	VVP	do
feel	VV	feel
that	IN/that	that
the	DT	the
US	NP	US
pressure	NN	pressure
on	IN	on
Netanyahu	NP	Netanyahu
in	IN	in
particular	JJ	particular
is	VBZ	be
ramping	VVG	ramp
up	RP	up
to	TO	to
what	WP	what
extent	NN	extent
do	VVP	do
you	PP	you
think	VVP	think
this	DT	this
is	VBZ	be
affecting	VVG	affect
his	PP$	his
decisions	NNS	decision
I	PP	I
don't	VVD	don't
think	VV	think
it's	NNS	it's
affecting	VVG	affect
it	PP	it
I	PP	I
think	VVP	think
it's	NNS	it's
probably	RB	probably
adding	VVG	add
pressure	NN	pressure
in	IN	in
order	NN	order
for	IN	for
Netanyahu	NP	Netanyahu
government	NN	government
to	TO	to
present	VV	present
a	DT	a
plan	NN	plan
they	PP	they
will	MD	will
present	VV	present
a	DT	a
plan	NN	plan
they	PP	they
always	RB	always
have	VHP	have
attack	NN	attack
plan	NN	plan
as	IN	as
it	PP	it
were	VBD	be
or	CC	or
a	DT	a
plan	NN	plan
of	IN	of
attack	VV	attack
uh	UH	uh
they	PP	they
did	VVD	do
so	RB	so
before	IN	before
the	DT	the
land	NN	land
invasion	NN	invasion
in	IN	in
the	DT	the
third	JJ	third
week	NN	week
of	IN	of
October	NP	October
oober	NN	oober
if	IN	if
you	PP	you
remember	VVP	remember
the	DT	the
Americans	NPS	Americans
demanded	VVD	demand
it	PP	it
the	DT	the
Israelis	NPS	Israelis
delivered	VVD	deliver
it	PP	it
and	CC	and
what	WP	what
did	VVD	do
we	PP	we
have	VHP	have
as	IN	as
a	DT	a
result	NN	result
a	DT	a
genocide	NN	genocide
the	DT	the
same	JJ	same
thing	NN	thing
happened	VVN	happen
uh	UH	uh
few	JJ	few
weeks	NNS	week
later	RBR	later
when	WRB	when
the	DT	the
Israelis	NPS	Israelis
promised	VVD	promise
Lincoln	NP	Lincoln
that	IN/that	that
they	PP	they
will	MD	will
be	VB	be
respecting	VVG	respect
abiding	JJ	abiding
by	IN	by
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
thousands	NNS	thousand
more	JJR	more
children	NNS	child
and	CC	and
thousands	NNS	thousand
more	RBR	more
uh	UH	uh
women	NNS	woman
died	VVD	die
who	WP	who
were	VBD	be
killed	VVN	kill
after	IN	after
that	DT	that
so	IN	so
any	DT	any
such	JJ	such
promises	NNS	promise
really	RB	really
are	VBP	be
uh	UH	uh
deflection	NN	deflection
they	PP	they
are	VBP	be
nonsensical	JJ	nonsensical
what	WDT	what
needs	VVZ	need
to	TO	to
happen	VV	happen
is	VBZ	be
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
what	WP	what
the	DT	the
America's	NP	America's
message	NN	message
to	TO	to
Israel	NP	Israel
should	MD	should
be	VB	be
not	RB	not
a	DT	a
plan	NN	plan
for	IN	for
war	NN	war
a	DT	a
plan	NN	plan
for	IN	for
war	NN	war
against	IN	against
400,000	CD	@card@
instead	RB	instead
of	IN	of
1,400,000	CD	@card@
is	VBZ	be
no	RB	no
better	RBR	well
really	RB	really
in	IN	in
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
because	IN	because
as	IN	as
that	DT	that
woman	NN	woman
that	IN/that	that
very	RB	very
wise	JJ	wise
bitter	JJ	bitter
and	CC	and
um	JJ	um
hurting	VVG	hurt
woman	NN	woman
said	VVD	say
in	IN	in
your	PP$	your
report	NN	report
it	PP	it
is	VBZ	be
you	PP	you
know	VVP	know
the	DT	the
Palestinians	NPS	Palestinians
don't	NN	don't
want	VVP	want
charity	NN	charity
they	PP	they
don't	VVD	don't
want	VV	want
your	PP$	your
food	NN	food
and	CC	and
Aid	NN	aid
and	CC	and
they	PP	they
don't	VVD	don't
want	VV	want
uh	UH	uh
you	PP	you
know	VVP	know
Western	JJ	Western
sympathy	NN	sympathy
they	PP	they
don't	VVD	don't
want	VV	want
even	RB	even
understanding	VVG	understand
what	WP	what
they	PP	they
want	VVP	want
is	VBZ	be
the	DT	the
end	NN	end
of	IN	of
the	DT	the
war	NN	war
so	RB	so
that	IN/that	that
children	NNS	child
have	VHP	have
a	DT	a
future	JJ	future
that's	NNS	that's
what	WP	what
she	PP	she
said	VVD	say
and	CC	and
she's	NNS	she's
very	RB	very
correct	VVP	correct
because	IN	because
this	DT	this
whole	JJ	whole
mess	NN	mess
and	CC	and
everything	NN	everything
that's	NN	that's
been	VBN	be
accumulating	VVG	accumulate
on	IN	on
top	JJ	top
of	IN	of
it	PP	it
of	IN	of
this	DT	this
diplomatic	JJ	diplomatic
circus	NN	circus
and	CC	and
so-called	JJ	so-called
negotiations	NNS	negotiation
and	CC	and
so-called	JJ	so-called
pressure	NN	pressure
all	DT	all
of	IN	of
that	WDT	that
is	VBZ	be
basically	RB	basically
deflecting	VVG	deflect
from	IN	from
the	DT	the
real	JJ	real
dras	NNS	dras
that	IN/that	that
unfolding	VVG	unfold
in	IN	in
plain	JJ	plain
sight	NN	sight
which	WDT	which
is	VBZ	be
the	DT	the
war	NN	war
the	DT	the
slaughter	NN	slaughter
the	DT	the
genocide	NN	genocide
continues	VVZ	continue
inated	JJ	inated
as	IN	as
it	PP	it
did	VVD	do
today	NN	today
so	RB	so
instead	RB	instead
of	IN	of
the	DT	the
you	PP	you
know	VVP	know
air	NN	air
dropping	VVG	drop
of	IN	of
food	NN	food
instead	RB	instead
of	IN	of
bringing	VVG	bring
it	PP	it
by	IN	by
ships	NNS	ship
instead	RB	instead
of	IN	of
even	RB	even
bringing	VVG	bring
it	PP	it
by	IN	by
truck	NN	truck
the	DT	the
Palestinians	NPS	Palestinians
are	VBP	be
more	JJR	more
than	IN	than
capable	JJ	capable
to	TO	to
feed	VV	feed
themselves	PP	themselves
they	PP	they
are	VBP	be
more	RBR	more
capable	JJ	capable
to	TO	to
govern	VV	govern
themselves	PP	themselves
if	IN	if
only	RB	only
the	DT	the
West	JJ	West
stops	NNS	stop
supporting	VVG	support
Israel's	NP	Israel's
genocidal	JJ	genocidal
war	NN	war
against	IN	against
him	PP	him
that	WDT	that
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
decades	NNS	decade
not	RB	not
just	RB	just
months	NNS	month
M	NN	M
bash	NN	bash
joining	VVG	join
us	PP	us
there	RB	there
from	IN	from
Paris	NP	Paris
thanks	NNS	thanks
very	RB	very
much	JJ	much
Mar	NP	Mar
</doc>	NN	</doc>
