<video_id>i8jooXogX5M</video_id>	JJ	<video_id>i8jooXogX5M</video_id>
we	PP	we
will	MD	will
buy	VV	buy
food	NN	food
for	IN	for
this	DT	this
donkey	NN	donkey
our	PP$	our
life	NN	life
is	VBZ	be
a	DT	a
circle	NN	circle
of	IN	of
ongoing	JJ	ongoing
suffering	NN	suffering
people	NNS	people
now	RB	now
collect	VVP	collect
firewood	NN	firewood
and	CC	and
straw	VV	straw
when	WRB	when
will	MD	will
come	VV	come
the	DT	the
time	NN	time
when	WRB	when
we	PP	we
can	MD	can
find	VV	find
ourselves	PP	ourselves
living	VVG	live
in	IN	in
a	DT	a
decent	JJ	decent
way	NN	way
like	IN	like
other	JJ	other
people	NNS	people
on	IN	on
Earth	NP	Earth
we	PP	we
don't	VVD	don't
have	VH	have
gas	NN	gas
at	IN	at
all	DT	all
I'm	NN	I'm
obliged	VVN	oblige
to	TO	to
go	VV	go
out	RP	out
and	CC	and
collect	VV	collect
firewood	NN	firewood
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
gas	NN	gas
I	PP	I
need	VVP	need
to	TO	to
cook	VV	cook
some	DT	some
pasta	NN	pasta
or	CC	or
drink	VV	drink
a	DT	a
cup	NN	cup
of	IN	of
tea	NN	tea
and	CC	and
I	PP	I
depend	VVP	depend
on	IN	on
firewood	NN	firewood
to	TO	to
do	VV	do
that	IN/that	that
my	PP$	my
job's	NNS	job's
now	RB	now
to	TO	to
collect	VV	collect
firewood	NN	firewood
sometimes	RB	sometimes
I	PP	I
sell	VVP	sell
to	TO	to
those	DT	those
who	WP	who
don't	VVD	don't
have	VH	have
any	DT	any
we	PP	we
need	VVP	need
gas	NN	gas
it's	NNS	it's
a	DT	a
must-have	NN	must-have
I	PP	I
risk	VVP	risk
a	DT	a
lot	NN	lot
to	TO	to
myself	PP	myself
to	TO	to
collect	VV	collect
firewood	NN	firewood
as	IN	as
you	PP	you
can	MD	can
see	VV	see
I'm	NP	I'm
here	RB	here
near	IN	near
the	DT	the
border	NN	border
I	PP	I
can	MD	can
be	VB	be
killed	VVN	kill
at	IN	at
any	DT	any
moment	NN	moment
I'm	NN	I'm
talking	VVG	talk
to	TO	to
you	PP	you
from	IN	from
the	DT	the
East	JJ	East
parts	NNS	part
of	IN	of
jabalia	NN	jabalia
refug	NN	refug
Camp	NP	Camp
which	WDT	which
is	VBZ	be
totally	RB	totally
destroyed	VVN	destroy
this	DT	this
neighborhood	NN	neighborhood
is	VBZ	be
totally	RB	totally
destroyed	VVN	destroy
SW	NP	SW
but	CC	but
civilians	NNS	civilian
are	VBP	be
coming	VVG	come
here	RB	here
every	DT	every
day	NN	day
in	IN	in
order	NN	order
to	TO	to
find	VV	find
something	NN	something
to	TO	to
make	VV	make
fire	NN	fire
with	IN	with
as	IN	as
you	PP	you
can	MD	can
see	VV	see
I	PP	I
collect	VV	collect
wood	NN	wood
from	IN	from
under	IN	under
and	CC	and
above	IN	above
the	DT	the
rubble	NN	rubble
we	PP	we
didn't	VVD	didn't
have	VH	have
gas	NN	gas
for	IN	for
the	DT	the
last	JJ	last
8	CD	@card@
months	NNS	month
our	PP$	our
life	NN	life
is	VBZ	be
very	RB	very
tough	JJ	tough
even	RB	even
finding	VVG	find
a	DT	a
piece	NN	piece
of	IN	of
wood	NN	wood
to	TO	to
cook	VV	cook
something	NN	something
is	VBZ	be
now	RB	now
difficult	JJ	difficult
all	PDT	all
the	DT	the
houses	NNS	house
and	CC	and
buildings	NNS	building
are	VBP	be
leveled	VVN	level
we	PP	we
live	VVP	live
in	IN	in
tents	NNS	tent
now	RB	now
this	DT	this
is	VBZ	be
the	DT	the
scene	NN	scene
here	RB	here
nothing	NN	nothing
has	VHZ	have
Tri	NP	Tri
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
policy	NN	policy
imposed	VVN	impose
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
upon	IN	upon
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
order	NN	order
to	TO	to
make	VV	make
nothing	NN	nothing
as	IN	as
inhabitable	JJ	inhabitable
and	CC	and
not	RB	not
livable	JJ	livable
anymore	RB	anymore
Al	NP	Al
jaaz	NP	jaaz
nothing	NN	nothing
Gaz	NP	Gaz
a	DT	a
STP	NP	STP
Palestine	NP	Palestine
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
