all	PDT	all
uh	UH	uh
the	DT	the
uh	UH	uh
Palestinian	NN	Palestinian
fighters	NNS	fighter
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
will	NN	will
will	MD	will
release	VV	release
50	CD	@card@
hostages	NNS	hostage
from	IN	from
the	DT	the
Israeli	JJ	Israeli
captives	NNS	captive
including	VVG	include
young	JJ	young
children	NNS	child
and	CC	and
women	NNS	woman
and	CC	and
in	IN	in
return	NN	return
Israel	NP	Israel
will	MD	will
release	VV	release
a	DT	a
number	NN	number
of	IN	of
uh	UH	uh
Palestinian	JJ	Palestinian
detes	NNS	detes
in	IN	in
the	DT	the
uh	UH	uh
uh	UH	uh
occupation	NN	occupation
jails	NNS	jail
including	VVG	include
young	JJ	young
children	NNS	child
and	CC	and
women	NNS	woman
over	IN	over
four	CD	four
days	NNS	day
this	DT	this
shortterm	JJ	shortterm
uh	UH	uh
ceasefire	NN	ceasefire
gives	VVZ	give
a	DT	a
hope	NN	hope
for	IN	for
Palestinians	NNS	Palestinian
related	VVN	relate
to	TO	to
the	DT	the
end	NN	end
of	IN	of
this	DT	this
war	NN	war
as	IN	as
Israel	NP	Israel
also	RB	also
will	MD	will
allow	VV	allow
to	TO	to
the	DT	the
flow	NN	flow
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
fuel	NN	fuel
to	TO	to
uh	UH	uh
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
meanwhile	NN	meanwhile
people	NNS	people
here	RB	here
in	IN	in
the	DT	the
territory	NN	territory
were	VBD	be
witnessing	VVG	witness
very	RB	very
dire	JJ	dire
situation	NN	situation
and	CC	and
circumstances	NNS	circumstance
over	IN	over
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
uh	UH	uh
weeks	NNS	week
of	IN	of
fighting	VVG	fight
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
and	CC	and
in	IN	in
fact	NN	fact
a	DT	a
kind	NN	kind
of	IN	of
ceasefire	NN	ceasefire
will	MD	will
give	VV	give
a	DT	a
glim	NN	glim
a	DT	a
glimmer	NN	glimmer
of	IN	of
hope	NN	hope
for	IN	for
Palestinians	NNS	Palestinian
that	WDT	that
uh	UH	uh
this	DT	this
war	NN	war
will	MD	will
end	VV	end
as	IN	as
they	PP	they
want	VVP	want
to	TO	to
go	VV	go
back	RB	back
again	RB	again
to	TO	to
the	DT	the
houses	NNS	house
in	IN	in
order	NN	order
to	TO	to
check	VV	check
the	DT	the
lands	NNS	land
and	CC	and
even	RB	even
to	TO	to
uh	UH	uh
uh	UH	uh
pull	VV	pull
the	DT	the
uh	UH	uh
victims	NNS	victim
from	IN	from
under	IN	under
the	DT	the
rles	NNS	rles
across	IN	across
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
okay	JJ	okay
tar	NN	tar
Abu	NP	Abu
AUM	NP	AUM
there	RB	there
for	IN	for
us	PP	us
in	IN	in
Khan	NP	Khan
yunes	NNS	yunes
let	VVD	let
'	''	'
s	NNS	s
speak	VVP	speak
now	RB	now
to	TO	to
Osama	NP	Osama
bin	NN	bin
jav	NN	jav
he	PP	he
is	VBZ	be
in	IN	in
Doha	NP	Doha
uh	UH	uh
Osama	NP	Osama
cat	NN	cat
are	VBP	be
of	IN	of
course	NN	course
critical	JJ	critical
in	IN	in
bringing	VVG	bring
about	RB	about
this	DT	this
deal	VV	deal
uh	UH	uh
what	WP	what
are	VBP	be
the	DT	the
details	NNS	detail
that	IN/that	that
you	PP	you
are	VBP	be
hearing	VVG	hear
about	IN	about
the	DT	the
contents	NNS	content
of	IN	of
this	DT	this
deal	NN	deal
well	RB	well
it	PP	it
is	VBZ	be
the	DT	the
biggest	JJS	big
diplomatic	JJ	diplomatic
development	NN	development
that	IN/that	that
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
in	IN	in
the	DT	the
last	JJ	last
47	CD	@card@
days	NNS	day
of	IN	of
this	DT	this
Relentless	JJ	relentless
bombardment	NN	bombardment
that	IN/that	that
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
on	IN	on
Gaza	NP	Gaza
you	PP	you
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
Hamas	JJ	Hamas
spider	NN	spider
saying	VVG	say
that	IN/that	that
they	PP	they
are	VBP	be
going	VVG	go
to	TO	to
abide	VV	abide
by	IN	by
this	DT	this
agreement	NN	agreement
as	RB	as
long	RB	long
as	IN	as
there	EX	there
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
a	DT	a
mutual	JJ	mutual
uh	UH	uh
respect	NN	respect
of	IN	of
this	DT	this
agreement	NN	agreement
they	PP	they
'	POS	'
re	NN	re
saying	VVG	say
that	IN/that	that
they	PP	they
'	POS	'
ve	NN	ve
heard	VVD	hear
the	DT	the
statement	NN	statement
uh	UH	uh
from	IN	from
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
saying	VVG	say
this	DT	this
does	VVZ	do
not	RB	not
mean	VV	mean
that	IN/that	that
the	DT	the
war	NN	war
is	VBZ	be
going	VVG	go
to	TO	to
end	VV	end
and	CC	and
they	PP	they
are	VBP	be
going	VVG	go
to	TO	to
have	VH	have
their	PP$	their
uh	UH	uh
fingers	NNS	finger
on	IN	on
the	DT	the
trigger	NN	trigger
so	RB	so
to	TO	to
speak	VV	speak
as	IN	as
well	UH	well
uh	UH	uh
if	IN	if
there	EX	there
are	VBP	be
any	DT	any
violations	NNS	violation
but	CC	but
in	IN	in
these	DT	these
4	CD	@card@
day	NN	day
truths	NNS	truth
uh	UH	uh
guns	NNS	gun
are	VBP	be
supposed	VVN	suppose
to	TO	to
fall	VV	fall
silent	JJ	silent
there	EX	there
should	MD	should
be	VB	be
no	RB	no
more	JJR	more
arrests	NNS	arrest
people	NNS	people
should	MD	should
be	VB	be
allowed	VVN	allow
to	TO	to
move	VV	move
from	IN	from
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Gaza	NP	Gaza
towards	IN	towards
the	DT	the
South	JJ	South
uh	UH	uh
to	TO	to
using	VVG	use
salahadin	NN	salahadin
Street	NP	Street
uh	UH	uh
freely	RB	freely
uh	UH	uh
It	PP	it
also	RB	also
says	VVZ	say
that	IN/that	that
there	EX	there
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
50	CD	@card@
captives	NNS	captive
that	IN/that	that
they	PP	they
are	VBP	be
going	VVG	go
to	TO	to
release	VV	release
in	IN	in
exchange	NN	exchange
for	IN	for
150	CD	@card@
women	NNS	woman
and	CC	and
children	NNS	child
and	CC	and
Hamas	NNS	Hamas
has	VHZ	have
made	VVN	make
it	PP	it
clear	JJ	clear
that	IN/that	that
this	DT	this
is	VBZ	be
uh	UH	uh
civilian	JJ	civilian
captives	NNS	captive
that	IN/that	that
they	PP	they
are	VBP	be
talking	VVG	talk
about	IN	about
releasing	VVG	release
it	PP	it
does	VVZ	do
not	RB	not
include	VV	include
any	DT	any
soldiers	NNS	soldier
and	CC	and
also	RB	also
the	DT	the
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
released	VVN	release
by	IN	by
Israel	NP	Israel
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
women	NNS	woman
and	CC	and
children	NNS	child
worth	NN	worth
noting	VVG	note
that	IN/that	that
there	EX	there
are	VBP	be
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
remain	VVP	remain
languishing	VVG	languish
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
and	CC	and
there	RB	there
more	RBR	more
who	WP	who
'	POS	'
ve	RB	ve
been	VBN	be
picked	VVN	pick
up	RP	up
in	IN	in
the	DT	the
last	JJ	last
47	CD	@card@
days	NNS	day
as	RB	as
well	RB	well
so	IN	so
this	DT	this
deal	NN	deal
will	MD	will
also	RB	also
include	VV	include
a	DT	a
session	NN	session
of	IN	of
monitoring	VVG	monitor
using	VVG	use
drones	NNS	drone
and	CC	and
other	JJ	other
uh	UH	uh
aerial	JJ	aerial
vehicles	NNS	vehicle
that	WDT	that
Israel	NP	Israel
deploys	VVZ	deploy
in	IN	in
Gaza	NP	Gaza
it	PP	it
will	MD	will
mean	VV	mean
according	VVG	accord
to	TO	to
Hamas	NNS	Hamas
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
no	RB	no
more	JJR	more
uh	UH	uh
spying	VVG	spy
uh	UH	uh
or	CC	or
satellite	NN	satellite
observing	VVG	observe
uh	UH	uh
in	IN	in
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
and	CC	and
there	EX	there
'	''	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
cation	NN	cation
for	IN	for
a	DT	a
few	JJ	few
hours	NNS	hour
at	IN	at
least	JJS	least
in	IN	in
the	DT	the
Northern	JJ	northern
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
as	IN	as
well	RB	well
and	CC	and
then	RB	then
obviously	RB	obviously
there	EX	there
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
no	DT	no
arrests	NNS	arrest
and	CC	and
and	CC	and
fighting	VVG	fight
as	RB	as
well	RB	well
but	CC	but
again	RB	again
this	DT	this
has	VHZ	have
all	RB	all
come	VVN	come
from	IN	from
Hamas	NNS	Hamas
so	RB	so
far	RB	far
we	PP	we
'	POS	'
ve	NN	ve
not	RB	not
heard	VVD	hear
a	DT	a
lot	NN	lot
of	IN	of
details	NNS	detail
from	IN	from
the	DT	the
Israeli	JJ	Israeli
side	NN	side
and	CC	and
it	PP	it
'	POS	'
s	NN	S
let	VVD	let
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
uh	UH	uh
24	CD	@card@
hours	NNS	hour
before	IN	before
this	DT	this
uh	UH	uh
prisoner	NN	prisoner
exchange	NN	exchange
takes	VVZ	take
place	NN	place
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
announce	VV	announce
the	DT	the
names	NNS	name
and	CC	and
the	DT	the
Israeli	JJ	Israeli
site	NN	site
is	VBZ	be
going	VVG	go
to	TO	to
announce	VV	announce
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
people	NNS	people
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
release	VV	release
as	RB	as
well	RB	well
and	CC	and
uh	UH	uh
Osama	NP	Osama
talk	VV	talk
us	PP	us
through	IN	through
some	DT	some
of	IN	of
the	DT	the
diplomacy	NN	diplomacy
that	RB	that
'	POS	'
s	RB	s
been	VBN	be
involved	VVN	involve
in	IN	in
making	VVG	make
this	DT	this
deal	NN	deal
happen	VV	happen
I	PP	I
mean	VV	mean
it	PP	it
'	POS	'
s	NN	S
not	RB	not
something	NN	something
that	RB	that
'	POS	'
s	NNS	s
come	VVP	come
about	RB	about
overnight	JJ	overnight
it	PP	it
'	''	'
s	VVG	s
taken	VVN	take
weeks	NNS	week
and	CC	and
weeks	NNS	week
of	IN	of
intense	JJ	intense
negotiating	NN	negotiating
absolutely	RB	absolutely
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
a	DT	a
roller	NN	roller
coaster	NN	coaster
as	IN	as
one	CD	one
Diplomat	NN	diplomat
put	VVD	put
it	PP	it
to	TO	to
us	PP	us
uh	UH	uh
of	IN	of
coming	VVG	come
close	NN	close
to	TO	to
a	DT	a
deal	NN	deal
and	CC	and
going	VVG	go
away	RB	away
from	IN	from
it	PP	it
and	CC	and
it	PP	it
has	VHZ	have
to	TO	to
be	VB	be
said	VVN	say
that	IN/that	that
qat	NN	qat
has	VHZ	have
been	VBN	be
pivotal	JJ	pivotal
in	IN	in
trying	VVG	try
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
this	DT	this
deal	NN	deal
happens	VVZ	happen
what	WP	what
is	VBZ	be
what	WP	what
the	DT	the
k	NN	k
side	NN	side
has	VHZ	have
been	VBN	be
saying	VVG	say
that	IN/that	that
yes	RB	yes
it	PP	it
welcomes	VVZ	welcome
uh	UH	uh
the	DT	the
development	NN	development
of	IN	of
uh	UH	uh
this	DT	this
president	NN	president
exchange	NN	exchange
and	CC	and
a	DT	a
cessation	NN	cessation
of	IN	of
hostilities	NNS	hostility
but	CC	but
what	WP	what
is	VBZ	be
more	RBR	more
significant	JJ	significant
is	VBZ	be
the	DT	the
allowing	VVG	allow
in	IN	in
of	IN	of
Aid	NP	Aid
uh	UH	uh
that	IN/that	that
hundreds	NNS	hundred
of	IN	of
trucks	NNS	truck
of	IN	of
Aid	NP	Aid
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
allowed	VVN	allow
through	RP	through
as	IN	as
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
sending	VVG	send
and	CC	and
other	JJ	other
countries	NNS	country
have	VHP	have
been	VBN	be
sending	VVG	send
Aid	NN	aid
towards	IN	towards
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
in	IN	in
Egypt	NP	Egypt
and	CC	and
that	DT	that
is	VBZ	be
where	WRB	where
all	PDT	all
the	DT	the
aid	NN	aid
is	VBZ	be
going	VVG	go
to	TO	to
come	VV	come
from	IN	from
as	IN	as
well	UH	well
uh	UH	uh
so	RB	so
a	DT	a
major	JJ	major
diplomatic	JJ	diplomatic
breakthrough	NN	breakthrough
Qatar	NP	Qatar
has	VHZ	have
also	RB	also
thanked	VVN	thank
the	DT	the
United	NP	United
States	NPS	States
for	IN	for
exerting	VVG	exert
its	PP$	its
influence	NN	influence
on	IN	on
Israel	NP	Israel
and	CC	and
the	DT	the
Egyptians	NNS	Egyptian
to	TO	to
for	IN	for
being	VBG	be
part	NN	part
of	IN	of
this	DT	this
deal	NN	deal
but	CC	but
again	RB	again
uh	UH	uh
early	JJ	early
days	NNS	day
we	PP	we
'	POS	'
re	NN	re
still	RB	still
waiting	VVG	wait
to	TO	to
hear	VV	hear
the	DT	the
the	DT	the
basics	NNS	basic
and	CC	and
as	IN	as
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
come	VV	come
into	IN	into
action	NN	action
it	PP	it
is	VBZ	be
going	VVG	go
to	TO	to
announced	VVN	announce
the	DT	the
timings	NNS	timing
of	IN	of
that	DT	that
particular	JJ	particular
truth	NN	truth
AMA	NP	AMA
Ben	NP	Ben
ja	NN	ja
there	RB	there
for	IN	for
us	PP	us
in	IN	in
Doha	NP	Doha
let	NN	let
'	POS	'
s	NNS	s
speak	VVP	speak
now	RB	now
to	TO	to
Sarah	NP	Sarah
kyat	NN	kyat
who	WP	who
is	VBZ	be
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
so	IN	so
the	DT	the
it	PP	it
in	IN	in
intense	JJ	intense
negotiation	NN	negotiation
overnight	JJ	overnight
uh	UH	uh
we	PP	we
didn	NP	didn
'	POS	'
t	NN	t
hear	VVP	hear
from	IN	from
the	DT	the
cabinet	NN	cabinet
Israeli	JJ	Israeli
cabinet	NN	cabinet
till	IN	till
the	DT	the
early	JJ	early
morning	NN	morning
there	EX	there
was	VBD	be
some	DT	some
opposition	NN	opposition
talk	VV	talk
us	PP	us
through	IN	through
how	WRB	how
the	DT	the
vote	NN	vote
finally	RB	finally
came	VVD	come
through	IN	through
yeah	RB	yeah
it	PP	it
started	VVD	start
uh	UH	uh
later	RBR	later
on	IN	on
in	IN	in
the	DT	the
night	NN	night
and	CC	and
it	PP	it
took	VVD	take
more	JJR	more
than	IN	than
six	CD	six
hours	NNS	hour
not	RB	not
just	RB	just
for	IN	for
the	DT	the
vote	NN	vote
but	CC	but
debating	VVG	debate
uh	UH	uh
because	IN	because
you	PP	you
had	VHD	have
many	JJ	many
members	NNS	member
of	IN	of
those	DT	those
cabinets	NNS	cabinet
of	IN	of
the	DT	the
cabinet	NN	cabinet
uh	UH	uh
that	WDT	that
was	VBD	be
against	IN	against
this	DT	this
deal	NN	deal
right	NN	right
from	IN	from
the	DT	the
start	NN	start
you	PP	you
had	VHD	have
uh	UH	uh
the	DT	the
uh	UH	uh
national	JJ	national
security	NN	security
minister	NN	minister
itamar	NP	itamar
benav	NP	benav
as	RB	as
well	RB	well
as	IN	as
the	DT	the
finance	VV	finance
uh	UH	uh
Minister	NP	Minister
B	NP	B
at	IN	at
smotrich	NP	Smotrich
who	WP	who
have	VHP	have
been	VBN	be
dead	JJ	dead
against	IN	against
it	PP	it
they	PP	they
said	VVD	say
that	IN/that	that
all	DT	all
of	IN	of
this	DT	this
time	NN	time
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
warning	VVG	warn
uh	UH	uh
uh	UH	uh
Israel	NP	Israel
against	IN	against
any	DT	any
kind	NN	kind
of	IN	of
not	RB	not
just	RB	just
negotiations	NNS	negotiation
but	CC	but
before	IN	before
this	DT	this
clamping	VVG	clamp
down	NN	down
on	IN	on
uh	UH	uh
Palestinians	NPS	Palestinians
and	CC	and
uh	UH	uh
they	PP	they
said	VVD	say
that	IN/that	that
this	DT	this
uh	UH	uh
could	MD	could
allow	VV	allow
uh	UH	uh
more	JJR	more
prisoners	NNS	prisoner
to	TO	to
be	VB	be
release	NN	release
prisoners	NNS	prisoner
they	PP	they
said	VVD	say
that	WDT	that
should	MD	should
uh	UH	uh
actually	RB	actually
be	VB	be
receiving	VVG	receive
the	DT	the
death	NN	death
penalty	NN	penalty
because	IN	because
that	WDT	that
is	VBZ	be
what	WP	what
uh	UH	uh
itar	NP	itar
Ben	NP	Ben
gav	NP	Gav
has	VHZ	have
been	VBN	be
pushing	VVG	push
for	IN	for
in	IN	in
the	DT	the
last	JJ	last
uh	UH	uh
few	JJ	few
months	NNS	month
so	IN	so
a	DT	a
lot	NN	lot
of	IN	of
political	JJ	political
wrangling	NN	wrangling
but	CC	but
interestingly	RB	interestingly
uh	UH	uh
smotrich	NN	smotrich
the	DT	the
fin	NN	fin
Minister	NP	Minister
he	PP	he
changed	VVD	change
his	PP$	his
mind	VV	mind
his	PP$	his
party	NN	party
changed	VVD	change
their	PP$	their
mind	NN	mind
initially	RB	initially
they	PP	they
went	VVD	go
in	IN	in
saying	VVG	say
absolutely	RB	absolutely
this	DT	this
will	MD	will
not	RB	not
go	VV	go
through	IN	through
we	PP	we
will	MD	will
vote	VV	vote
against	IN	against
it	PP	it
and	CC	and
then	RB	then
they	PP	they
voted	VVD	vote
for	IN	for
it	PP	it
saying	VVG	say
that	IN/that	that
they	PP	they
realized	VVD	realize
having	VHG	have
debated	VVN	debate
it	PP	it
that	IN/that	that
it	PP	it
was	VBD	be
in	IN	in
the	DT	the
National	NP	National
interest	NN	interest
for	IN	for
Israel	NP	Israel
and	CC	and
to	TO	to
ensure	VV	ensure
uh	UH	uh
the	DT	the
return	NN	return
of	IN	of
those	DT	those
held	JJ	held
hostage	NN	hostage
which	WDT	which
