<video_id>iRrEwybay6o</video_id>	JJ	<video_id>iRrEwybay6o</video_id>
order	NN	order
to	TO	to
provide	VV	provide
the	DT	the
treatment	NN	treatment
that	IN/that	that
they	PP	they
require	VVP	require
we're	NN	we're
in	IN	in
the	DT	the
Pediatric	JJ	pediatric
Ward	NP	Ward
or	CC	or
the	DT	the
children's	NP	children's
Ward	NP	Ward
here	RB	here
uh	UH	uh
which	WDT	which
houses	VVZ	house
infants	NNS	infant
and	CC	and
small	JJ	small
babies	NNS	baby
all	PDT	all
the	DT	the
way	NN	way
up	RB	up
to	TO	to
kids	NNS	kid
about	IN	about
12	CD	@card@
years	NNS	year
old	JJ	old
as	IN	as
you	PP	you
can	MD	can
see	VV	see
it's	NNS	it's
extremely	RB	extremely
overcrowded	VVN	overcrowd
and	CC	and
one	CD	one
of	IN	of
the	DT	the
Striking	VVG	strike
features	VVZ	feature
uh	UH	uh
that	IN/that	that
the	DT	the
particularly	RB	particularly
young	JJ	young
babies	NNS	baby
and	CC	and
infants	NNS	infant
require	VVP	require
is	VBZ	be
um	JJ	um
formula	NN	formula
and	CC	and
feeding	VVG	feed
there's	RB	there's
severe	JJ	severe
malnutrition	NN	malnutrition
especially	RB	especially
through	IN	through
both	CC	both
the	DT	the
children	NNS	child
and	CC	and
the	DT	the
adult	JJ	adult
population	NN	population
um	NNS	um
as	IN	as
you	PP	you
can	MD	can
see	VV	see
there's	RB	there's
no	DT	no
room	NN	room
for	IN	for
these	DT	these
patients	NNS	patient
to	TO	to
be	VB	be
in	IN	in
beds	NNS	bed
they're	NN	they're
surrounded	VVN	surround
by	IN	by
their	PP$	their
family	NN	family
members	NNS	member
in	IN	in
the	DT	the
hallways	NNS	hallway
um	NN	um
it's	NNS	it's
very	RB	very
difficult	JJ	difficult
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
examine	VV	examine
them	PP	them
with	IN	with
privacy	NN	privacy
so	RB	so
unfortunately	RB	unfortunately
sometimes	RB	sometimes
we're	VV	we're
having	VHG	have
to	TO	to
examine	VV	examine
patients	NNS	patient
and	CC	and
speak	VV	speak
to	TO	to
them	PP	them
in	IN	in
open	JJ	open
hallways	NNS	hallway
um	NNS	um
and	CC	and
that's	NNS	that's
just	RB	just
become	VVP	become
an	DT	an
accepted	JJ	accepted
part	NN	part
of	IN	of
how	WRB	how
we	PP	we
can	MD	can
provide	VV	provide
care	NN	care
here	RB	here
for	IN	for
them	PP	them
this	DT	this
war	NN	war
on	IN	on
children	NNS	child
is	VBZ	be
absolutely	RB	absolutely
heartbreaking	JJ	heartbreaking
and	CC	and
soul	NN	soul
shattering	VVG	shatter
it's	NNS	it's
very	RB	very
very	RB	very
difficult	JJ	difficult
ult	NN	ult
to	TO	to
uh	UH	uh
actually	RB	actually
provide	VV	provide
them	PP	them
any	DT	any
care	NN	care
so	IN	so
some	DT	some
of	IN	of
these	DT	these
children	NNS	child
don't	VVD	don't
actually	RB	actually
have	VH	have
their	PP$	their
mother	NN	mother
or	CC	or
their	PP$	their
father	NN	father
or	CC	or
potentially	RB	potentially
both	DT	both
parents	NNS	parent
they	PP	they
here	RB	here
being	VBG	be
looked	VVN	look
after	IN	after
by	IN	by
extended	JJ	extended
family	NN	family
members	NNS	member
um	VVG	um
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
have	VHP	have
had	VHD	have
trapnel	NN	trapnel
injuries	NNS	injury
that	WDT	that
are	VBP	be
going	VVG	go
to	TO	to
leave	VV	leave
them	PP	them
with	IN	with
amputations	NNS	amputation
and	CC	and
debilitating	JJ	debilitating
um	JJ	um
problems	NNS	problem
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
their	PP$	their
lives	NNS	life
now	RB	now
we're	VVP	we're
walking	VVG	walk
from	IN	from
the	DT	the
older	JJR	old
building	NN	building
to	TO	to
the	DT	the
building	NN	building
that	WDT	that
used	VVD	use
to	TO	to
be	VB	be
the	DT	the
obstetric	JJ	obstetric
ward	NN	ward
that's	NNS	that's
now	RB	now
been	VBN	be
converted	VVN	convert
to	TO	to
the	DT	the
operating	VVG	operate
theaters	NNS	theater
building	NN	building
and	CC	and
we're	NN	we're
going	VVG	go
to	TO	to
take	VV	take
a	DT	a
look	NN	look
inside	RB	inside
on	IN	on
the	DT	the
Li	NP	Li
mited	JJ	mited
resources	NNS	resource
that	WDT	that
are	VBP	be
being	VBG	be
provided	VVN	provide
here	RB	here
in	IN	in
the	DT	the
operating	VVG	operate
theaters	NNS	theater
in	IN	in
all	PDT	all
the	DT	the
healthcare	NN	healthcare
facilities	NNS	facility
inza	RB	inza
there	EX	there
are	VBP	be
only	RB	only
a	DT	a
couple	NN	couple
of	IN	of
hospitals	NNS	hospital
that	WDT	that
are	VBP	be
still	RB	still
partially	RB	partially
and	CC	and
functional	JJ	functional
and	CC	and
this	DT	this
will	MD	will
be	VB	be
one	CD	one
of	IN	of
them	PP	them
we	PP	we
just	RB	just
entered	VVD	enter
the	DT	the
operating	VVG	operate
theater	NN	theater
complex	NN	complex
here	RB	here
at	IN	at
the	DT	the
laa	NP	Laa
Hospital	NP	Hospital
Dr	NP	Dr
Basher	NP	Basher
tell	VV	tell
us	PP	us
more	RBR	more
what	WP	what
we're	NN	we're
seeing	VVG	see
here	RB	here
yeah	RB	yeah
so	RB	so
just	RB	just
very	RB	very
quickly	RB	quickly
um	JJ	um
on	IN	on
my	PP$	my
left	JJ	left
hand	NN	hand
side	NN	side
here	RB	here
are	VBP	be
the	DT	the
recovery	NN	recovery
rooms	NNS	room
where	WRB	where
patients	NNS	patient
come	VVP	come
after	IN	after
they	PP	they
have	VHP	have
finished	VVN	finish
their	PP$	their
operations	NNS	operation
um	VVD	um
we	PP	we
can't	VVD	can't
necessarily	RB	necessarily
show	VV	show
you	PP	you
everything	NN	everything
that's	NNS	that's
inside	RB	inside
but	CC	but
there's	RB	there's
very	RB	very
limited	VVN	limit
resources	NNS	resource
there's	RB	there's
not	RB	not
necessarily	RB	necessarily
the	DT	the
equipment	NN	equipment
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
monitor	VV	monitor
them	PP	them
in	IN	in
terms	NNS	term
of	IN	of
taking	VVG	take
their	PP$	their
Vital	NP	Vital
Signs	NNS	sign
like	IN	like
blood	NN	blood
pressure	NN	pressure
and	CC	and
heart	NN	heart
rate	NN	rate
there's	RB	there's
one	CD	one
main	JJ	main
Corridor	NP	Corridor
that	WDT	that
is	VBZ	be
both	CC	both
the	DT	the
entryway	NN	entryway
and	CC	and
the	DT	the
exit	NN	exit
for	IN	for
patients	NNS	patient
coming	VVG	come
into	IN	into
the	DT	the
operating	VVG	operate
rooms	NNS	room
um	NNS	um
and	CC	and
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
there	EX	there
are	VBP	be
four	CD	four
five	CD	five
six	CD	six
even	RB	even
up	RB	up
to	TO	to
10	CD	@card@
patients	NNS	patient
just	RB	just
lining	VVG	line
the	DT	the
corridor	NN	corridor
and	CC	and
it's	NNS	it's
very	RB	very
difficult	JJ	difficult
to	TO	to
actually	RB	actually
move	VV	move
around	RP	around
what	WP	what
are	VBP	be
we	PP	we
seeing	VVG	see
here	RB	here
what	WP	what
is	VBZ	be
this	DT	this
case	NN	case
yeah	RB	yeah
so	RB	so
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
a	DT	a
young	JJ	young
kid	NN	kid
that's	NNS	that's
obviously	RB	obviously
had	VHD	have
severe	JJ	severe
burns	NNS	burn
from	IN	from
an	DT	an
explosion	NN	explosion
or	CC	or
a	DT	a
blast	NN	blast
injury	NN	injury
um	NNS	um
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
common	JJ	common
and	CC	and
unfortunate	JJ	unfortunate
scenario	NN	scenario
um	NNS	um
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
kids	NNS	kid
are	VBP	be
in	IN	in
severe	JJ	severe
pain	NN	pain
because	IN	because
of	IN	of
their	PP$	their
wounds	NNS	wound
there	RB	there
isn't	VVD	isn't
enough	JJ	enough
adequate	JJ	adequate
analgesia	NN	analgesia
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
give	VV	give
them	PP	them
uh	UH	uh
they	PP	they
have	VHP	have
to	TO	to
come	VV	come
daily	JJ	daily
down	RB	down
to	TO	to
the	DT	the
operating	VVG	operate
room	NN	room
to	TO	to
get	VV	get
dressing	VVG	dress
changes	NNS	change
because	IN	because
there	RB	there
isn't	JJ	isn't
enough	JJ	enough
adequate	JJ	adequate
Supply	NN	supply
on	IN	on
the	DT	the
wards	NNS	ward
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
dress	VV	dress
their	PP$	their
wounds	NNS	wound
appropriately	RB	appropriately
um	JJ	um
and	CC	and
they	PP	they
require	VVP	require
care	NN	care
actually	RB	actually
that	IN/that	that
NE	RB	ne
sometimes	RB	sometimes
is	VBZ	be
unnecessarily	RB	unnecessarily
not	RB	not
able	JJ	able
to	TO	to
be	VB	be
provided	VVN	provide
here	RB	here
at	IN	at
ala	NN	ala
Hospital	NN	hospital
tragedies	NNS	tragedy
find	VVP	find
you	PP	you
at	IN	at
every	DT	every
corner	NN	corner
of	IN	of
AA	NN	aa
hospital	NN	hospital
after	IN	after
walking	VVG	walk
into	IN	into
the	DT	the
different	JJ	different
Departments	NP	Departments
of	IN	of
this	DT	this
Health	NP	Health
Care	NP	Care
Facility	NP	Facility
the	DT	the
only	JJ	only
remaining	VVG	remain
semi	NN	semi
operational	JJ	operational
Health	NP	Health
Care	NP	Care
Facility	NP	Facility
in	IN	in
the	DT	the
central	JJ	central
area	NN	area
we	PP	we
couldn't	NN	couldn't
help	NN	help
but	CC	but
noticing	VVG	notice
the	DT	the
inadequacy	NN	inadequacy
of	IN	of
the	DT	the
medical	JJ	medical
care	NN	care
available	JJ	available
for	IN	for
people	NNS	people
this	DT	this
is	VBZ	be
hanim	NP	hanim
Mahmud	NP	Mahmud
from	IN	from
Ala	NP	Ala
Hospital	NP	Hospital
in	IN	in
the	DT	the
Central	NP	Central
Area	NP	Area
Gaza	NP	Gaza
Palestine	NP	Palestine
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
