<video_id>cHhtXodQfMs</video_id>	JJ	<video_id>cHhtXodQfMs</video_id>
maasi	NP	maasi
evacuation	NN	evacuation
Zone	NP	Zone
where	WRB	where
the	DT	the
majority	NN	majority
of	IN	of
displaced	VVN	displace
families	NNS	family
coming	VVG	come
from	IN	from
all	DT	all
parts	NNS	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
right	RB	right
now	RB	now
are	VBP	be
crammed	VVN	cram
in	IN	in
this	DT	this
small	JJ	small
part	NN	part
of	IN	of
of	IN	of
Al	NP	Al
maasi	NP	maasi
evacuation	NN	evacuation
Zone	NP	Zone
in	IN	in
Western	NP	Western
hanun	NP	hanun
City	NP	City
very	RB	very
close	VV	close
to	TO	to
the	DT	the
beach	NN	beach
here	RB	here
I	PP	I
mean	VVP	mean
there	RB	there
isn't	JJ	isn't
this	DT	this
is	VBZ	be
the	DT	the
the	DT	the
last	JJ	last
point	NN	point
where	WRB	where
people	NNS	people
are	VBP	be
able	JJ	able
to	TO	to
set	VV	set
up	RP	up
their	PP$	their
tents	NNS	tent
and	CC	and
to	TO	to
seek	VV	seek
some	DT	some
sort	NN	sort
of	IN	of
of	IN	of
safety	NN	safety
and	CC	and
a	DT	a
protection	NN	protection
uh	UH	uh
for	IN	for
their	PP$	their
children	NNS	child
I'm	NN	I'm
not	RB	not
talking	VVG	talk
about	IN	about
the	DT	the
entire	JJ	entire
masasi	NN	masasi
evacuation	NN	evacuation
Zone	NP	Zone
this	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
place	NN	place
right	RB	right
now	RB	now
that	IN/that	that
somehow	RB	somehow
it	PP	it
provides	VVZ	provide
a	DT	a
sense	NN	sense
of	IN	of
of	IN	of
safety	NN	safety
and	CC	and
sense	NN	sense
of	IN	of
protection	NN	protection
for	IN	for
people	NNS	people
but	CC	but
people	NNS	people
end	VVP	end
up	RB	up
like	VV	like
this	DT	this
and	CC	and
these	DT	these
are	VBP	be
scattered	JJ	scattered
tents	NNS	tent
and	CC	and
soon	RB	soon
enough	JJ	enough
we're	NN	we're
going	VVG	go
to	TO	to
see	VV	see
this	DT	this
in	IN	in
uh	UH	uh
very	RB	very
very	RB	very
over	IN	over
crowed	VVN	crow
because	IN	because
of	IN	of
more	JJR	more
of	IN	of
evacuation	NN	evacuation
orders	NNS	order
that	WDT	that
are	VBP	be
coming	VVG	come
from	IN	from
uh	UH	uh
parts	NNS	part
of	IN	of
of	IN	of
the	DT	the
central	JJ	central
area	NN	area
and	CC	and
more	RBR	more
recently	RB	recently
from	IN	from
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
from	IN	from
B	NP	B
hanon	NP	hanon
and	CC	and
B	NP	B
and	CC	and
more	JJR	more
from	IN	from
western	JJ	western
part	NN	part
of	IN	of
raah	NP	raah
City	NP	City
right	RB	right
now	RB	now
people	NNS	people
are	VBP	be
forced	VVN	force
to	TO	to
flee	VV	flee
further	RBR	further
not	RB	not
to	TO	to
the	DT	the
west	NN	west
of	IN	of
the	DT	the
city	NN	city
but	CC	but
also	RB	also
here	RB	here
to	TO	to
Kan	NP	Kan
yunas	NNS	yunas
and	CC	and
to	TO	to
Al	NP	Al
maasi	NP	maasi
evacuation	NN	evacuation
Zone	NP	Zone
because	IN	because
of	IN	of
the	DT	the
systematic	JJ	systematic
demolition	NN	demolition
of	IN	of
homes	NNS	home
and	CC	and
this	DT	this
is	VBZ	be
in	IN	in
no	DT	no
way	NN	way
uh	UH	uh
as	IN	as
people	NNS	people
describe	VVP	describe
it	PP	it
the	DT	the
local	JJ	local
residence	NN	residence
of	IN	of
RA	NP	RA
this	DT	this
is	VBZ	be
in	IN	in
no	DT	no
way	NN	way
a	DT	a
collateral	NN	collateral
damage	NN	damage
or	CC	or
part	NN	part
of	IN	of
the	DT	the
intense	JJ	intense
bombing	NN	bombing
campaign	NN	campaign
because	IN	because
what	WP	what
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
doing	VVG	do
is	VBZ	be
conducting	VVG	conduct
a	DT	a
a	DT	a
street	NN	street
to	TO	to
Street	NP	Street
a	DT	a
neighborhood	NN	neighborhood
to	TO	to
Neighborhood	NN	neighborhood
systematically	RB	systematically
destroying	VVG	destroy
all	PDT	all
the	DT	the
residential	JJ	residential
homes	NNS	home
turning	VVG	turn
entire	JJ	entire
areas	NNS	area
uh	UH	uh
in	IN	in
ra	NNS	ra
into	IN	into
into	IN	into
more	JJR	more
uh	UH	uh
in	IN	in
Rafa	NP	Rafa
City	NP	City
into	IN	into
more	JJR	more
of	IN	of
a	DT	a
waste	NN	waste
land	NN	land
making	VVG	make
it	PP	it
very	RB	very
uninhabitable	JJ	uninhabitable
similar	JJ	similar
situations	NNS	situation
to	TO	to
what	WP	what
we	PP	we
documented	VVN	document
in	IN	in
the	DT	the
past	NN	past
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
in	IN	in
Gaza	NP	Gaza
City	NP	City
mainly	RB	mainly
in	IN	in
the	DT	the
eastern	JJ	eastern
part	NN	part
the	DT	the
neighborhood	NN	neighborhood
like	IN	like
sha	NN	sha
and	CC	and
and	CC	and
a	DT	a
tah	NN	tah
neighborhood	NN	neighborhood
and	CC	and
we're	NN	we're
seeing	VVG	see
this	DT	this
happening	NN	happening
in	IN	in
kanun	NN	kanun
after	IN	after
the	DT	the
Israeli	JJ	Israeli
military	NN	military
spent	VVD	spend
four	CD	four
months	NNS	month
militarily	RB	militarily
controlling	VVG	control
the	DT	the
whole	JJ	whole
city	NN	city
and	CC	and
destroying	VVG	destroy
all	DT	all
of	IN	of
its	PP$	its
infrastructure	NN	infrastructure
and	CC	and
facilities	NNS	facility
and	CC	and
fortunately	RB	fortunately
same	JJ	same
thing	NN	thing
is	VBZ	be
happening	NN	happening
in	IN	in
uh	UH	uh
in	IN	in
RAF	NN	RAF
City	NN	city
with	IN	with
more	JJR	more
of	IN	of
these	DT	these
residential	JJ	residential
homes	NNS	home
are	VBP	be
being	VBG	be
targeted	VVN	target
and	CC	and
destroyed	VVN	destroy
and	CC	and
demolish	VV	demolish
uh	UH	uh
people	NNS	people
are	VBP	be
going	VVG	go
to	TO	to
go	VV	go
back	RB	back
when	WRB	when
the	DT	the
dust	NN	dust
settles	VVZ	settle
uh	UH	uh
to	TO	to
uh	UH	uh
to	TO	to
nothing	NN	nothing
basically	RB	basically
it's	NNS	it's
more	RBR	more
of	IN	of
a	DT	a
wasteland	NN	wasteland
uh	UH	uh
right	RB	right
now	RB	now
and	CC	and
it's	NNS	it's
it's	NNS	it's
not	RB	not
proper	JJ	proper
for	IN	for
living	VVG	live
not	RB	not
suitable	JJ	suitable
for	IN	for
families	NNS	family
to	TO	to
go	VV	go
back	RB	back
and	CC	and
to	TO	to
run	VV	run
uh	UH	uh
the	DT	the
to	TO	to
go	VV	go
to	TO	to
go	VV	go
back	RB	back
to	TO	to
day	NN	day
day-to-day	JJ	day-to-day
life	NN	life
activities	NNS	activity
or	CC	or
life	NN	life
as	IN	as
they	PP	they
know	VVP	know
it	PP	it
before	IN	before
this	DT	this
war	NN	war
started	VVD	start
yeah	RB	yeah
and	CC	and
the	DT	the
picture	NN	picture
that	IN/that	that
you	PP	you
were	VBD	be
just	RB	just
showing	VVG	show
us	PP	us
uh	UH	uh
that	IN/that	that
we	PP	we
were	VBD	be
just	RB	just
broadcasting	VVG	broadcast
shows	NNS	show
says	VVZ	say
volumes	NNS	volume
about	IN	about
the	DT	the
living	VVG	live
conditions	NNS	condition
that	IN/that	that
Palestinians	NNS	Palestinian
are	VBP	be
in	RB	in
now	RB	now
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
hanim	JJ	hanim
Mahmud	NP	Mahmud
reporting	NN	reporting
from	IN	from
Kan	NP	Kan
yunes	NNS	yunes
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
