<video_id>aJtr4lRw6TQ</video_id>	JJ	<video_id>aJtr4lRw6TQ</video_id>
uh	UH	uh
from	IN	from
what	WP	what
happened	VVD	happen
on	IN	on
October	NP	October
7th	JJ	7th
and	CC	and
it	PP	it
also	RB	also
will	MD	will
argue	VV	argue
self-defense	NN	self-defense
um	NNS	um
those	DT	those
those	NNS	those
would	MD	would
be	VB	be
probably	RB	probably
the	DT	the
best	JJS	good
two	CD	two
arguments	NNS	argument
I	PP	I
can	MD	can
think	VV	think
of	IN	of
that	WDT	that
Israel	NP	Israel
will	MD	will
want	VV	want
to	TO	to
wind	VV	wind
up	RP	up
raising	VVG	raise
but	CC	but
it	PP	it
recognizes	VVZ	recognize
the	DT	the
huge	JJ	huge
reputational	JJ	reputational
consequences	NN	consequences
of	IN	of
uh	UH	uh
any	RB	any
finding	VVG	find
uh	UH	uh
by	IN	by
the	DT	the
court	NN	court
and	CC	and
in	IN	in
provisional	JJ	provisional
measures	NNS	measure
with	IN	with
respect	NN	respect
to	TO	to
a	DT	a
plausible	JJ	plausible
case	NN	case
of	IN	of
genocide	NN	genocide
being	VBG	be
found	VVN	find
against	IN	against
it	PP	it
so	IN	so
this	DT	this
is	VBZ	be
why	WRB	why
uh	UH	uh
it	PP	it
has	VHZ	have
contrary	JJ	contrary
to	TO	to
its	PP$	its
uh	UH	uh
previous	JJ	previous
pattern	NN	pattern
shown	VVN	show
up	RP	up
to	TO	to
want	VV	want
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
to	TO	to
argue	VV	argue
this	DT	this
um	JJ	um
uh	UH	uh
at	IN	at
the	DT	the
uh	UH	uh
at	IN	at
the	DT	the
court	NN	court
and	CC	and
I	PP	I
as	IN	as
I	PP	I
said	VVD	say
I	PP	I
suspect	VVP	suspect
we'll	RB	we'll
see	VV	see
uh	UH	uh
plenty	NN	plenty
of	IN	of
arguments	NNS	argument
around	IN	around
those	DT	those
two	CD	two
particular	JJ	particular
issues	NNS	issue
that's	NN	that's
something	NN	something
atrocious	JJ	atrocious
happened	VVN	happen
on	IN	on
a	DT	a
October	NP	October
7th	JJ	7th
and	CC	and
Israel	NP	Israel
had	VHD	have
the	DT	the
right	NN	right
and	CC	and
the	DT	the
necessity	NN	necessity
to	TO	to
defend	VV	defend
its	PP$	its
people	NNS	people
by	IN	by
going	VVG	go
after	IN	after
Hamas	NP	Hamas
and	CC	and
Gaza	NP	Gaza
I	NP	I
I	PP	I
want	VVP	want
to	TO	to
kind	NN	kind
of	IN	of
expand	VV	expand
on	IN	on
that	IN/that	that
a	DT	a
little	JJ	little
bit	NN	bit
just	RB	just
for	IN	for
viewers	NNS	viewer
who	WP	who
are	VBP	be
who	WP	who
are	VBP	be
joining	VVG	join
us	PP	us
and	CC	and
maybe	RB	maybe
just	JJ	just
uh	UH	uh
trying	VVG	try
to	TO	to
catch	VV	catch
up	RP	up
with	IN	with
what's	NNS	what's
been	VBN	be
going	VVG	go
on	IN	on
in	IN	in
the	DT	the
he	PP	he
if	IN	if
I	PP	I
understand	VVP	understand
it	PP	it
from	IN	from
what	WP	what
you're	NN	you're
saying	VVG	say
Israel's	NP	Israel's
claim	NN	claim
will	MD	will
be	VB	be
based	VVN	base
on	IN	on
its	PP$	its
justification	NN	justification
for	IN	for
the	DT	the
action	NN	action
that	IN/that	that
it	PP	it
took	VVD	take
based	VVN	base
on	IN	on
the	DT	the
the	DT	the
hamus	JJ	hamus
Le	NP	Le
attack	NN	attack
into	IN	into
Southern	NP	Southern
Israel	NP	Israel
that	WDT	that
happened	VVD	happen
in	IN	in
October	NP	October
the	DT	the
the	DT	the
the	DT	the
seventh	JJ	seventh
against	IN	against
the	DT	the
South	JJ	South
African	JJ	African
case	NN	case
which	WDT	which
is	VBZ	be
actually	RB	actually
based	VVN	base
on	IN	on
the	DT	the
nature	NN	nature
and	CC	and
the	DT	the
scale	NN	scale
of	IN	of
Israel's	NP	Israel's
response	NN	response
is	VBZ	be
is	VBZ	be
that	DT	that
fair	JJ	fair
oh	UH	oh
look	VV	look
you	PP	you
know	VV	know
um	NNS	um
when	WRB	when
you're	NN	you're
in	IN	in
a	DT	a
weak	JJ	weak
uh	UH	uh
position	VV	position
uh	UH	uh
as	IN	as
a	DT	a
lawyer	NN	lawyer
representing	VVG	represent
a	DT	a
client	NN	client
you	PP	you
want	VVP	want
to	TO	to
try	VV	try
to	TO	to
argue	VV	argue
your	PP$	your
your	PP$	your
very	RB	very
your	PP$	your
very	JJ	very
best	JJS	good
facts	NNS	fact
uh	UH	uh
and	CC	and
focus	VV	focus
and	CC	and
try	VV	try
to	TO	to
get	VV	get
the	DT	the
court	NN	court
to	TO	to
focus	VV	focus
on	IN	on
those	DT	those
and	CC	and
draw	VV	draw
them	PP	them
away	RP	away
from	IN	from
the	DT	the
arguments	NNS	argument
the	DT	the
facts	NNS	fact
and	CC	and
the	DT	the
law	NN	law
that	IN/that	that
the	DT	the
other	JJ	other
side	NN	side
has	VHZ	have
done	VVN	do
I	PP	I
must	MD	must
say	VV	say
having	VHG	have
watched	VVN	watch
uh	UH	uh
the	DT	the
South	JJ	South
African	JJ	African
presentation	NN	presentation
of	IN	of
the	DT	the
day	NN	day
uh	UH	uh
this	DT	this
really	RB	really
was	VBD	be
a	DT	a
top	JJ	top
drawer	NN	drawer
uh	UH	uh
uh	UH	uh
case	NN	case
example	NN	example
of	IN	of
advocacy	NN	advocacy
all	RB	all
of	IN	of
the	DT	the
lawyers	NNS	lawyer
L	NN	L
to	TO	to
an	DT	an
extremely	RB	extremely
persuasive	JJ	persuasive
uh	UH	uh
and	CC	and
strongly	RB	strongly
made	VVN	make
case	NN	case
and	CC	and
that	WDT	that
reflects	VVZ	reflect
you	PP	you
know	VV	know
the	DT	the
uh	UH	uh
the	DT	the
top	JJ	top
drawer	NN	drawer
um	VVG	um
uh	UH	uh
application	NN	application
that	IN/that	that
South	NP	South
Africa	NP	Africa
made	VVD	make
uh	UH	uh
two	CD	two
weeks	NNS	week
ago	RB	ago
to	TO	to
the	DT	the
court	NN	court
84	CD	@card@
pages	NNS	page
single	JJ	single
spaced	VVD	space
over	IN	over
560	CD	@card@
footnotes	NNS	footnote
um	RB	um
arguing	VVG	argue
the	DT	the
facts	NNS	fact
and	CC	and
the	DT	the
law	NN	law
and	CC	and
the	DT	the
need	NN	need
for	IN	for
a	DT	a
provisional	JJ	provisional
measures	NNS	measure
and	CC	and
that	DT	that
was	VBD	be
all	DT	all
echoed	VVN	echo
today	NN	today
uh	UH	uh
by	IN	by
the	DT	the
lawyers	NNS	lawyer
in	IN	in
very	JJ	very
calm	NN	calm
measured	VVD	measure
fashion	VV	fashion
uh	UH	uh
as	RB	as
they	PP	they
uh	UH	uh
as	IN	as
they	PP	they
presented	VVD	present
before	IN	before
the	DT	the
court	NN	court
as	IN	as
to	TO	to
why	WRB	why
uh	UH	uh
the	DT	the
atrocities	NNS	atrocity
they	PP	they
said	VVD	say
uh	UH	uh
that	WDT	that
are	VBP	be
being	VBG	be
laid	VVN	lay
out	RP	out
on	IN	on
the	DT	the
television	NN	television
screens	NNS	screen
and	CC	and
the	DT	the
computer	NN	computer
screens	NNS	screen
around	IN	around
the	DT	the
world	NN	world
needed	VVN	need
to	TO	to
be	VB	be
stopped	VVN	stop
that	WDT	that
was	VBD	be
a	DT	a
an	DT	an
exceptionally	RB	exceptionally
persuasive	JJ	persuasive
case	NN	case
put	VVD	put
to	TO	to
the	DT	the
court	NN	court
and	CC	and
if	IN	if
I	PP	I
was	VBD	be
Israel	NP	Israel
then	RB	then
I'm	NN	I'm
going	VVG	go
to	TO	to
focus	VV	focus
on	IN	on
what	WP	what
I	PP	I
think	VVP	think
are	VBP	be
are	VBP	be
my	PP$	my
strong	JJ	strong
points	NNS	point
which	WDT	which
is	VBZ	be
October	NP	October
7th	JJ	7th
and	CC	and
the	DT	the
right	NN	right
of	IN	of
self-defense	NN	self-defense
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
of	IN	of
Israel	NP	Israel
has	VHZ	have
already	RB	already
come	VVN	come
rejecting	VVG	reject
the	DT	the
uh	UH	uh
the	DT	the
hearings	NNS	hearing
themselves	PP	themselves
um	VVZ	um
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
suggestion	NN	suggestion
that	IN/that	that
they	PP	they
are	VBP	be
baseless	JJ	baseless
I	PP	I
believe	VVP	believe
is	VBZ	be
the	DT	the
word	NN	word
the	DT	the
word	NN	word
that	WDT	that
um	VVZ	um
the	DT	the
US	NP	US
has	VHZ	have
used	VVN	use
in	IN	in
relation	NN	relation
to	TO	to
them	PP	them
if	IN	if
the	DT	the
court	NN	court
given	VVN	give
the	DT	the
fact	NN	fact
that	IN/that	that
this	DT	this
is	VBZ	be
not	RB	not
binding	VVG	bind
if	IN	if
the	DT	the
court	NN	court
finds	VVZ	find
in	IN	in
favor	NN	favor
of	IN	of
South	NP	South
Africa	NP	Africa
but	CC	but
Israel	NP	Israel
chooses	VVZ	choose
to	TO	to
essentially	RB	essentially
ignore	VV	ignore
that	IN/that	that
ruling	NN	ruling
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
that	WDT	that
tells	VVZ	tell
us	PP	us
about	IN	about
the	DT	the
state	NN	state
of	IN	of
international	JJ	international
just	RB	just
Justice	JJ	Justice
what	WP	what
kind	NN	kind
of	IN	of
perception	NN	perception
would	MD	would
people	NNS	people
have	VHP	have
of	IN	of
it	PP	it
at	IN	at
that	DT	that
point	NN	point
interesting	VVG	interest
you	PP	you
say	VVP	say
that	IN/that	that
because	IN	because
among	IN	among
the	DT	the
very	RB	very
last	JJ	last
points	NNS	point
made	VVN	make
by	IN	by
the	DT	the
south	NN	south
the	DT	the
lawyers	NNS	lawyer
representing	VVG	represent
South	NP	South
Africa	NP	Africa
today	NN	today
was	VBD	be
that	IN/that	that
the	DT	the
that	IN/that	that
the	DT	the
very	JJ	very
reputation	NN	reputation
of	IN	of
international	JJ	international
law	NN	law
itself	PP	itself
hangs	VVZ	hang
in	IN	in
the	DT	the
balance	NN	balance
with	IN	with
the	DT	the
decision	NN	decision
to	TO	to
be	VB	be
made	VVN	make
by	IN	by
the	DT	the
icj	NN	icj
on	IN	on
the	DT	the
South	JJ	South
African	JJ	African
request	NN	request
and	CC	and
they	PP	they
laid	VVD	lay
out	RP	out
both	DT	both
in	IN	in
the	DT	the
written	JJ	written
application	NN	application
and	CC	and
in	IN	in
some	DT	some
of	IN	of
the	DT	the
arguments	NNS	argument
made	VVD	make
the	DT	the
number	NN	number
of	IN	of
times	NNS	time
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
defied	VVN	defy
resolutions	NNS	resolution
coming	VVG	come
from	IN	from
the	DT	the
security	NN	security
Council	NN	council
from	IN	from
the	DT	the
general	JJ	general
assembly	NN	assembly
L	NP	L
uh	UH	uh
and	CC	and
also	RB	also
Israel's	NP	Israel's
Defiance	NP	Defiance
of	IN	of
the	DT	the
ruling	NN	ruling
made	VVD	make
almost	RB	almost
20	CD	@card@
years	NNS	year
ago	RB	ago
uh	UH	uh
at	IN	at
the	DT	the
by	IN	by
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
with	IN	with
respect	NN	respect
to	TO	to
the	DT	the
location	NN	location
of	IN	of
Israel's	NP	Israel's
wall	NN	wall
that	IN/that	that
it's	NNS	it's
Building	VVG	build
inside	IN	inside
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
so	RB	so
all	RB	all
of	IN	of
those	DT	those
were	VBD	be
were	VBD	be
repeated	VVN	repeat
reminders	NNS	reminder
made	VVN	make
by	IN	by
the	DT	the
South	JJ	South
African	JJ	African
lawyers	NNS	lawyer
with	IN	with
respect	NN	respect
to	TO	to
the	DT	the
reputation	NN	reputation
of	IN	of
international	JJ	international
law	NN	law
and	CC	and
I	PP	I
thought	VVD	think
that	DT	that
was	VBD	be
a	DT	a
an	DT	an
exceptionally	RB	exceptionally
uh	UH	uh
incisive	JJ	incisive
point	NN	point
that	IN/that	that
I'm	NP	I'm
sure	RB	sure
many	JJ	many
of	IN	of
the	DT	the
judges	NNS	judge
will	MD	will
be	VB	be
considering	VVG	consider
uh	UH	uh
with	IN	with
respect	NN	respect
to	TO	to
this	DT	this
you	PP	you
know	VVP	know
the	DT	the
court	NN	court
is	VBZ	be
a	DT	a
is	VBZ	be
a	DT	a
legal	JJ	legal
Court	NP	Court
the	DT	the
judges	NNS	judge
are	VBP	be
well	RB	well
trained	VVN	train
in	IN	in
in	IN	in
the	DT	the
law	NN	law
in	IN	in
international	JJ	international
law	NN	law
in	IN	in
particular	JJ	particular
but	CC	but
they're	JJ	they're
they're	NN	they're
mindful	JJ	mindful
of	IN	of
the	DT	the
Court's	NP	Court's
reputation	NN	reputation
and	CC	and
they're	NN	they're
mindful	JJ	mindful
of	IN	of
obviously	RB	obviously
that	DT	that
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
taken	VVN	take
strong	JJ	strong
exception	NN	exception
to	TO	to
the	DT	the
icj	NN	icj
hearing	VVG	hear
this	DT	this
case	NN	case
but	CC	but
it's	NNS	it's
also	RB	also
mindful	JJ	mindful
the	DT	the
fact	NN	fact
that	IN/that	that
South	NP	South
Africa	NP	Africa
has	VHZ	have
an	DT	an
outsized	JJ	outsized
reputation	NN	reputation
in	IN	in
the	DT	the
world	NN	world
that	IN/that	that
it's	NNS	it's
bringing	VVG	bring
this	DT	this
as	IN	as
a	DT	a
if	IN	if
you	PP	you
like	VVP	like
a	DT	a
disinterested	JJ	disinterested
party	NN	party
to	TO	to
the	DT	the
uh	UH	uh
to	TO	to
the	DT	the
conflict	NN	conflict
in	IN	in
the	DT	the
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
um	NNS	um
and	CC	and
it's	NNS	it's
making	VVG	make
this	DT	this
compelling	JJ	compelling
case	NN	case
about	IN	about
the	DT	the
centrality	NN	centrality
of	IN	of
international	JJ	international
law	NN	law
if	IN	if
you're	NN	you're
going	VVG	go
to	TO	to
make	VV	make
any	DT	any
argument	NN	argument
that's	NNS	that's
going	VVG	go
to	TO	to
be	VB	be
listened	VVN	listen
to	TO	to
very	RB	very
closely	RB	closely
by	IN	by
a	DT	a
judge	NN	judge
on	IN	on
an	DT	an
international	JJ	international
court	NN	court
it's	NNS	it's
about	IN	about
the	DT	the
way	NN	way
in	IN	in
which	WDT	which
international	JJ	international
law	NN	law
has	VHZ	have
to	TO	to
be	VB	be
protected	VVN	protect
and	CC	and
has	VHZ	have
to	TO	to
be	VB	be
enhanced	VVN	enhance
in	IN	in
this	DT	this
world	NN	world
Michael	NP	Michael
Ling	NP	Ling
is	VBZ	be
Professor	NP	Professor
of	IN	of
Meritus	NP	Meritus
at	IN	at
Western	NP	Western
University	NP	University
in	IN	in
London	NP	London
notar	NN	notar
so	IN	so
we	PP	we
appreciate	VVP	appreciate
it	PP	it
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
</doc>	JJ	</doc>
