inam	NP	Inam
with	IN	with
produce	NN	produce
but	CC	but
because	IN	because
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
on	IN	on
Gaza	NP	Gaza
there	EX	there
is	VBZ	be
little	JJ	little
food	NN	food
in	IN	in
the	DT	the
market	NN	market
and	CC	and
most	JJS	most
Palestinians	NPS	Palestinians
cannot	MD	can
afford	VV	afford
to	TO	to
buy	VV	buy
what	WP	what
there	RB	there
[	SYM	[
Music	NN	music
]	SYM	]
is	VBZ	be
I	PP	I
along	RB	along
with	IN	with
other	JJ	other
family	NN	family
members	NNS	member
went	VVD	go
searching	VVG	search
in	IN	in
the	DT	the
market	NN	market
to	TO	to
buy	VV	buy
something	NN	something
that	IN/that	that
we	PP	we
could	MD	could
eat	VV	eat
to	TO	to
break	VV	break
our	PP$	our
fast	RB	fast
unfortunately	RB	unfortunately
the	DT	the
situation	NN	situation
is	VBZ	be
very	RB	very
difficult	JJ	difficult
there	EX	there
is	VBZ	be
no	DT	no
proper	JJ	proper
food	NN	food
and	CC	and
we	PP	we
are	VBP	be
suffering	VVG	suffer
from	IN	from
malnutrition	NN	malnutrition
even	RB	even
if	IN	if
you	PP	you
could	MD	could
find	VV	find
any	DT	any
food	NN	food
it	PP	it
would	MD	would
be	VB	be
very	RB	very
expensive	JJ	expensive
the	DT	the
situation	NN	situation
is	VBZ	be
very	RB	very
catastrophic	JJ	catastrophic
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
what	WP	what
to	TO	to
feed	VV	feed
our	PP$	our
children	NNS	child
or	CC	or
what	WP	what
to	TO	to
eat	VV	eat
nothing	NN	nothing
to	TO	to
nourish	VV	nourish
the	DT	the
body	NN	body
for	IN	for
months	NNS	month
many	JJ	many
parents	NNS	parent
have	VHP	have
struggled	VVN	struggle
every	DT	every
day	NN	day
to	TO	to
find	VV	find
food	NN	food
to	TO	to
feed	VV	feed
their	PP$	their
children	NNS	child
let	VVP	let
alone	RB	alone
worry	VV	worry
about	IN	about
finding	VVG	find
some	DT	some
to	TO	to
break	VV	break
their	PP$	their
fast	JJ	fast
during	IN	during
the	DT	the
holy	JJ	holy
month	NN	month
we	PP	we
do	VVP	do
not	RB	not
know	VV	know
what	WP	what
to	TO	to
feed	VV	feed
our	PP$	our
kids	NNS	kid
we	PP	we
ourselves	PP	ourselves
do	VVP	do
not	RB	not
know	VV	know
what	WP	what
to	TO	to
eat	VV	eat
there	EX	there
is	VBZ	be
no	DT	no
food	NN	food
supply	NN	supply
in	IN	in
the	DT	the
markets	NNS	market
we	PP	we
'	POS	'
ve	NN	ve
got	VVD	get
nothing	NN	nothing
to	TO	to
eat	VV	eat
Ramadan	NP	Ramadan
is	VBZ	be
traditionally	RB	traditionally
a	DT	a
time	NN	time
of	IN	of
joy	NN	joy
and	CC	and
celebration	NN	celebration
in	IN	in
Gaza	NP	Gaza
but	CC	but
for	IN	for
Ahmed	NP	Ahmed
and	CC	and
other	JJ	other
Palestinians	NNS	Palestinian
this	DT	this
year	NN	year
it	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
hardship	NN	hardship
and	CC	and
horror	NN	horror
Hamza	NP	Hamza
Muhammad	NP	Muhammad
Al	NP	Al
jaaz	NP	jaaz
