<video_id>pd37Rq_QvwE</video_id>	JJ	<video_id>pd37Rq_QvwE</video_id>
the	DT	the
more	RBR	more
serious	JJ	serious
stuff	NN	stuff
is	VBZ	be
the	DT	the
thing	NN	thing
that	IN/that	that
America	NP	America
is	VBZ	be
not	RB	not
doing	VVG	do
I'll	NP	I'll
give	VV	give
you	PP	you
one	CD	one
simple	JJ	simple
example	NN	example
hundreds	NNS	hundred
of	IN	of
millions	NNS	million
of	IN	of
dollars	NNS	dollar
are	VBP	be
streamed	VVN	stream
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
the	DT	the
radical	JJ	radical
right	NN	right
and	CC	and
to	TO	to
the	DT	the
settler	NN	settler
movement	NN	movement
that	WDT	that
support	VVP	support
these	DT	these
kinds	NNS	kind
of	IN	of
activities	NNS	activity
these	DT	these
kinds	NNS	kind
of	IN	of
holam	NN	holam
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
they	PP	they
come	VVP	come
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
they	PP	they
are	VBP	be
tax	NN	tax
deductible	JJ	deductible
meaning	VVG	mean
an	DT	an
American	NP	American
can	MD	can
contribute	VV	contribute
money	NN	money
to	TO	to
these	DT	these
holigans	NNS	holigans
and	CC	and
they	PP	they
will	MD	will
take	VV	take
it	PP	it
out	RP	out
of	IN	of
their	PP$	their
taxes	NNS	tax
which	WDT	which
means	VVZ	mean
indirectly	RB	indirectly
it's	JJ	it's
the	DT	the
American	JJ	American
government	NN	government
that	WDT	that
is	VBZ	be
subsidizing	VVG	subsidize
these	DT	these
holigans	NNS	holigans
because	IN	because
when	WRB	when
you	PP	you
deduct	VVP	deduct
these	DT	these
things	NNS	thing
from	IN	from
your	PP$	your
taxes	NNS	tax
what	WP	what
you're	VVP	you're
saying	VVG	say
is	VBZ	be
that	IN/that	that
the	DT	the
American	JJ	American
government	NN	government
is	VBZ	be
sanctioning	VVG	sanction
the	DT	the
contributions	NNS	contribution
to	TO	to
these	DT	these
holigans	NNS	holigans
and	CC	and
to	TO	to
these	DT	these
illegal	JJ	illegal
settlers	NNS	settler
now	RB	now
historically	RB	historically
speaking	VVG	speak
America	NP	America
did	VVD	do
recognize	VV	recognize
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
that	IN/that	that
these	DT	these
are	VBP	be
illegal	JJ	illegal
that	IN/that	that
the	DT	the
settlements	NNS	settlement
are	VBP	be
illegal	JJ	illegal
in	IN	in
general	JJ	general
not	RB	not
just	RB	just
the	DT	the
holigans	NNS	holigans
among	IN	among
the	DT	the
settlers	NNS	settler
not	RB	not
just	RB	just
the	DT	the
far	RB	far
right	JJ	right
not	RB	not
just	RB	just
the	DT	the
Fanatics	NNS	fanatic
the	DT	the
settlements	NNS	settlement
are	VBP	be
illegal	JJ	illegal
now	RB	now
the	DT	the
United	NP	United
States	NPS	States
went	VVD	go
from	IN	from
totally	RB	totally
illegal	JJ	illegal
to	TO	to
unhelpful	JJ	unhelpful
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
but	CC	but
under	IN	under
Biden	NP	Biden
Obama	NP	Obama
and	CC	and
under	IN	under
Biden	NP	Biden
these	DT	these
are	VBP	be
illegal	JJ	illegal
settlements	NNS	settlement
so	IN	so
America	NP	America
can	MD	can
do	VV	do
far	RB	far
more	JJR	more
if	IN	if
it	PP	it
wants	VVZ	want
to	TO	to
show	VV	show
a	DT	a
sign	NN	sign
of	IN	of
moderation	NN	moderation
a	DT	a
sign	NN	sign
of	IN	of
Humane	JJ	humane
diplomacy	NN	diplomacy
a	DT	a
sign	NN	sign
that	IN/that	that
it	PP	it
does	VVZ	do
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
it	PP	it
will	MD	will
not	RB	not
allow	VV	allow
Israeli	JJ	Israeli
impunity	NN	impunity
in	IN	in
occupied	JJ	occupied
territory	NN	territory
it	PP	it
certainly	RB	certainly
can	MD	can
do	VV	do
more	RBR	more
well	RB	well
again	RB	again
I	PP	I
I	PP	I
want	VVP	want
to	TO	to
ask	VV	ask
you	PP	you
what	WP	what
is	VBZ	be
the	DT	the
point	NN	point
because	IN	because
we	PP	we
talk	VVP	talk
about	RB	about
and	CC	and
we	PP	we
hear	VVP	hear
talk	NN	talk
of	IN	of
American	JJ	American
talk	NN	talk
about	IN	about
reigning	VVG	reign
Israel	NP	Israel
in	IN	in
uh	UH	uh
we	PP	we
hear	VVP	hear
calls	NNS	call
for	IN	for
action	NN	action
there	EX	there
is	VBZ	be
a	DT	a
void	NN	void
of	IN	of
action	NN	action
into	IN	into
this	DT	this
void	NN	void
of	IN	of
action	NN	action
you	PP	you
put	VVD	put
a	DT	a
meaningless	JJ	meaningless
bit	NN	bit
of	IN	of
action	NN	action
what	WP	what
is	VBZ	be
the	DT	the
point	NN	point
deception	NN	deception
the	DT	the
point	NN	point
is	VBZ	be
deception	NN	deception
it	PP	it
is	VBZ	be
deflection	NN	deflection
it's	JJ	it's
redirection	NN	redirection
meaning	VVG	mean
the	DT	the
United	NP	United
States	NP	States
now	RB	now
stands	VVZ	stand
accused	VVN	accuse
of	IN	of
being	VBG	be
complicit	JJ	complicit
in	IN	in
war	NN	war
crimes	NNS	crime
the	DT	the
American	JJ	American
public	JJ	public
opinion	NN	opinion
in	IN	in
its	PP$	its
majority	NN	majority
according	VVG	accord
to	TO	to
the	DT	the
polls	NNS	poll
want	VVP	want
a	DT	a
ceasefire	NN	ceasefire
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
the	DT	the
majority	NN	majority
of	IN	of
young	JJ	young
Democrats	NPS	Democrats
want	VVP	want
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
stop	VV	stop
helping	VVG	help
Israel's	JJ	Israel's
genocide	NN	genocide
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
most	JJS	most
Americans	NPS	Americans
and	CC	and
this	DT	this
is	VBZ	be
very	RB	very
important	JJ	important
please	VVP	please
let's	NNS	let's
just	RB	just
take	VVP	take
that	IN/that	that
in	IN	in
most	JJS	most
Americans	NPS	Americans
support	VVP	support
two-state	NN	two-state
solution	NN	solution
the	DT	the
real	JJ	real
one	CD	one
not	RB	not
the	DT	the
ones	NNS	one
that	WDT	that
is	VBZ	be
that	IN/that	that
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
is	VBZ	be
faking	VVG	fake
in	IN	in
order	NN	order
to	TO	to
cover	VV	cover
up	RP	up
for	IN	for
Israel's	NP	Israel's
genocide	NN	genocide
how	WRB	how
can	MD	can
you	PP	you
be	VB	be
for	IN	for
two-state	NN	two-state
solution	NN	solution
and	CC	and
support	VV	support
financially	RB	financially
and	CC	and
otherwise	RB	otherwise
the	DT	the
settlements	NNS	settlement
that	WDT	that
are	VBP	be
cutting	VVG	cut
through	IN	through
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
what	WP	what
you	PP	you
end	VVP	end
up	RP	up
with	IN	with
is	VBZ	be
not	RB	not
Swiss	JJ	Swiss
Federation	NP	Federation
you	PP	you
end	VVP	end
up	RP	up
with	IN	with
Swiss	JJ	Swiss
cheese	NN	cheese
and	CC	and
that's	NNS	that's
what	WP	what
they're	NN	they're
doing	VVG	do
to	TO	to
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territories	NNS	territory
with	IN	with
some	DT	some
750,000	CD	@card@
illegal	JJ	illegal
settlers	NNS	settler
in	IN	in
over	IN	over
200	CD	@card@
settlements	NNS	settlement
what	WP	what
you	PP	you
are	VBP	be
doing	VVG	do
you	PP	you
are	VBP	be
cutting	VVG	cut
the	DT	the
prospective	JJ	prospective
Palestinian	JJ	Palestinian
State	NN	state
into	IN	into
something	NN	something
like	IN	like
200	CD	@card@
band	NN	band
stands	VVZ	stand
that's	NNS	that's
not	RB	not
the	DT	the
way	NN	way
to	TO	to
go	VV	go
if	IN	if
you're	NN	you're
really	RB	really
for	IN	for
a	DT	a
two-state	NN	two-state
solution	NN	solution
that's	NNS	that's
not	RB	not
the	DT	the
way	NN	way
to	TO	to
go	VV	go
if	IN	if
you	PP	you
are	VBP	be
responsive	JJ	responsive
to	TO	to
your	PP$	your
own	JJ	own
public	JJ	public
opinion	NN	opinion
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
so	RB	so
to	TO	to
call	VV	call
for	IN	for
a	DT	a
Visa	NP	Visa
ban	NN	ban
that's	NNS	that's
just	RB	just
a	DT	a
cheap	JJ	cheap
shot	NN	shot
that's	NNS	that's
just	RB	just
a	DT	a
deception	NN	deception
Maan	NP	Maan
thank	VVP	thank
you	PP	you
down	RB	down
</doc>	JJ	</doc>
