<video_id>ZVgJkjFAZb8</video_id>	NP	<video_id>ZVgJkjFAZb8</video_id>
Al	NP	Al
jazer	NN	jazer
for	IN	for
your	PP$	your
contribution	NN	contribution
um	NN	um
Mr	NP	Mr
Haron	NP	Haron
has	VHZ	have
said	VVN	say
that	IN/that	that
he	PP	he
would	MD	would
resign	VV	resign
but	CC	but
oversee	VV	oversee
the	DT	the
Gaza	NP	Gaza
operation	NN	operation
one	CD	one
wonders	NNS	wonder
why	WRB	why
he's	NNS	he's
decided	VVD	decide
to	TO	to
step	VV	step
down	RB	down
now	RB	now
I	PP	I
think	VVP	think
that	IN/that	that
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
is	VBZ	be
maybe	RB	maybe
the	DT	the
main	JJ	main
reason	NN	reason
is	VBZ	be
that	IN/that	that
he	PP	he
realized	VVD	realize
that	DT	that
uh	UH	uh
netan	NN	netan
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
put	VV	put
an	DT	an
end	NN	end
to	TO	to
this	DT	this
war	NN	war
in	IN	in
the	DT	the
near	JJ	near
future	NN	future
um	VVG	um
he	PP	he
he	PP	he
also	RB	also
realized	VVD	realize
that	IN/that	that
uh	UH	uh
as	RB	as
was	VBD	be
published	VVN	publish
in	IN	in
many	JJ	many
outlets	NNS	outlet
media	NNS	medium
Outlets	NNS	outlet
that	DT	that
netan	NN	netan
is	VBZ	be
not	RB	not
really	RB	really
interested	JJ	interested
in	IN	in
a	DT	a
deal	NN	deal
that	WDT	that
will	MD	will
enable	VV	enable
the	DT	the
captives	NNS	captive
to	TO	to
those	DT	those
who	WP	who
are	VBP	be
still	RB	still
alive	JJ	alive
uh	UH	uh
to	TO	to
get	VV	get
back	VV	back
uh	UH	uh
home	NN	home
to	TO	to
Israel	NP	Israel
um	NNS	um
the	DT	the
other	JJ	other
reason	NN	reason
is	VBZ	be
that	IN/that	that
he	PP	he
wanted	VVD	want
maybe	RB	maybe
to	TO	to
step	VV	step
down	RP	down
in	IN	in
the	DT	the
climax	NN	climax
after	IN	after
the	DT	the
intelligent	JJ	intelligent
success	NN	success
uh	UH	uh
in	IN	in
locating	VVG	locate
the	DT	the
senior	JJ	senior
General	NP	General
Iranian	NP	Iranian
General	NP	General
that	WDT	that
was	VBD	be
uh	UH	uh
targeted	VVN	target
as	IN	as
we	PP	we
know	VV	know
uh	UH	uh
according	VVG	accord
to	TO	to
Al	NP	Al
jazer	JJ	jazer
uh	UH	uh
by	IN	by
uh	UH	uh
Israeli	JJ	Israeli
drones	NNS	drone
as	RB	as
well	RB	well
as	IN	as
the	DT	the
attack	NN	attack
in	IN	in
ispahan	NN	ispahan
that	WDT	that
is	VBZ	be
considered	VVN	consider
to	TO	to
be	VB	be
a	DT	a
success	NN	success
so	IN	so
he	PP	he
is	VBZ	be
leaving	VVG	leave
in	IN	in
the	DT	the
climax	NN	climax
the	DT	the
other	JJ	other
thing	NN	thing
is	VBZ	be
I	PP	I
think	VVP	think
you	PP	you
have	VHP	have
to	TO	to
look	VV	look
at	IN	at
his	PP$	his
letter	NN	letter
of	IN	of
resignation	NN	resignation
there	RB	there
is	VBZ	be
uh	UH	uh
one	CD	one
line	NN	line
that	DT	that
uh	UH	uh
was	VBD	be
directed	VVN	direct
is	VBZ	be
directed	VVN	direct
to	TO	to
uh	UH	uh
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
he	PP	he
says	VVZ	say
Authority	NP	Authority
comes	VVZ	come
with	IN	with
responsibility	NN	responsibility
and	CC	and
nany	NN	nany
is	VBZ	be
the	DT	the
highest	JJS	high
Authority	NP	Authority
and	CC	and
he	PP	he
never	RB	never
took	VVD	take
responsibility	NN	responsibility
so	RB	so
actually	RB	actually
Mr	NP	Mr
khwa	NN	khwa
wanted	VVD	want
to	TO	to
set	VV	set
kind	NN	kind
of	IN	of
a	DT	a
personal	JJ	personal
message	NN	message
to	TO	to
netan	JJ	netan
uh	UH	uh
to	TO	to
tell	VV	tell
him	PP	him
if	IN	if
I	PP	I
can	MD	can
do	VV	do
it	PP	it
you	PP	you
also	RB	also
should	MD	should
do	VV	do
it	PP	it
and	CC	and
the	DT	the
other	JJ	other
thing	NN	thing
the	DT	the
timing	NN	timing
is	VBZ	be
uh	UH	uh
to	TO	to
today	NN	today
this	DT	this
in	IN	in
a	DT	a
few	JJ	few
hours	NNS	hour
from	IN	from
now	RB	now
the	DT	the
Israelis	NPS	Israelis
will	MD	will
gather	VV	gather
in	IN	in
the	DT	the
holiday	NN	holiday
and	CC	and
this	DT	this
will	MD	will
be	VB	be
the	DT	the
talk	NN	talk
of	IN	of
the	DT	the
day	NN	day
of	IN	of
course	NN	course
yeah	RB	yeah
indeed	RB	indeed
I	PP	I
wanted	VVD	want
to	TO	to
get	VV	get
to	TO	to
that	DT	that
because	IN	because
the	DT	the
resignation	NN	resignation
right	RB	right
now	RB	now
on	IN	on
the	DT	the
eve	NN	eve
of	IN	of
Passover	NN	Passover
is	VBZ	be
no	DT	no
coincidence	NN	coincidence
if	IN	if
he's	NNS	he's
sending	VVG	send
a	DT	a
message	NN	message
to	TO	to
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
he's	NNS	he's
also	RB	also
sending	VVG	send
a	DT	a
message	NN	message
to	TO	to
the	DT	the
Israeli	JJ	Israeli
public	NN	public
at	IN	at
large	JJ	large
that	IN/that	that
when	WRB	when
you	PP	you
gather	VVP	gather
over	IN	over
Passover	NN	Passover
and	CC	and
sit	VV	sit
your	PP$	your
tables	NNS	table
for	IN	for
dinner	NN	dinner
this	DT	this
is	VBZ	be
the	DT	the
topic	NN	topic
that	IN/that	that
you	PP	you
should	MD	should
be	VB	be
discussing	VVG	discuss
yeah	RB	yeah
the	DT	the
uh	UH	uh
topic	NN	topic
was	VBD	be
uh	UH	uh
until	IN	until
few	JJ	few
hours	NNS	hour
ago	RB	ago
was	VBD	be
the	DT	the
captives	NNS	captive
and	CC	and
uh	UH	uh
people	NNS	people
plan	VVP	plan
to	TO	to
put	VV	put
an	DT	an
empty	JJ	empty
chair	NN	chair
next	JJ	next
to	TO	to
uh	UH	uh
the	DT	the
set	VVN	set
table	NN	table
and	CC	and
uh	UH	uh
yellow	JJ	yellow
ribbons	NNS	ribbon
all	RB	all
around	RB	around
and	CC	and
even	RB	even
in	IN	in
the	DT	the
last	JJ	last
demonstration	NN	demonstration
in	IN	in
Saturday	NP	Saturday
um	NN	um
people	NNS	people
were	VBD	be
Distributing	VVG	distribute
uh	UH	uh
um	JJ	um
plastic	JJ	plastic
bags	NNS	bag
that	WDT	that
contained	VVD	contain
a	DT	a
quarter	NN	quarter
of	IN	of
a	DT	a
p	NN	p
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
uh	UH	uh
the	DT	the
captives	NNS	captive
are	VBP	be
going	VVG	go
to	TO	to
get	VV	get
so	RB	so
this	DT	this
will	MD	will
maybe	RB	maybe
also	RB	also
put	VV	put
uh	UH	uh
more	JJR	more
energy	NN	energy
to	TO	to
the	DT	the
protest	NN	protest
against	IN	against
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
uh	UH	uh
I	PP	I
I	PP	I
think	VV	think
uh	UH	uh
his	PP$	his
inability	NN	inability
or	CC	or
lack	NN	lack
of	IN	of
interest	NN	interest
to	TO	to
cut	VV	cut
a	DT	a
deal	NN	deal
that	WDT	that
will	MD	will
put	VV	put
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
and	CC	and
many	JJ	many
people	NNS	people
suspect	VVP	suspect
that	IN/that	that
netan	NN	netan
is	VBZ	be
doing	VVG	do
this	DT	this
or	CC	or
not	RB	not
doing	VVG	do
this	DT	this
what	WP	what
he	PP	he
should	MD	should
have	VH	have
done	VVN	do
because	IN	because
of	IN	of
personal	JJ	personal
uh	UH	uh
interest	NN	interest
that	IN/that	that
he	PP	he
knows	VVZ	know
that	IN/that	that
the	DT	the
end	NN	end
of	IN	of
the	DT	the
war	NN	war
is	VBZ	be
the	DT	the
end	NN	end
of	IN	of
his	PP$	his
political	JJ	political
career	NN	career
and	CC	and
maybe	RB	maybe
you	PP	you
know	VVP	know
this	DT	this
is	VBZ	be
the	DT	the
holiday	NN	holiday
of	IN	of
freedom	NN	freedom
and	CC	and
this	DT	this
will	MD	will
be	VB	be
the	DT	the
end	NN	end
of	IN	of
his	PP$	his
uh	UH	uh
holiday	NN	holiday
of	IN	of
Freedom	NP	Freedom
yeah	RB	yeah
uh	UH	uh
we	PP	we
remember	VVP	remember
remember	VV	remember
that	IN/that	that
he	PP	he
sits	VVZ	sit
in	IN	in
a	DT	a
trial	NN	trial
yeah	RB	yeah
indeed	RB	indeed
I'm	NN	I'm
sorry	JJ	sorry
to	TO	to
jump	VV	jump
in	IN	in
there	RB	there
but	CC	but
it	PP	it
is	VBZ	be
something	NN	something
that	IN/that	that
every	DT	every
any	RB	any
every	DT	every
analyst	NN	analyst
we've	NN	we've
spoken	VVN	speak
to	TO	to
and	CC	and
every	DT	every
contributor	NN	contributor
has	VHZ	have
been	VBN	be
talking	VVG	talk
about	IN	about
the	DT	the
demise	NN	demise
of	IN	of
Netanyahu	NP	Netanyahu
it	PP	it
hasn't	NP	hasn't
actually	RB	actually
happened	VVD	happen
I	PP	I
was	VBD	be
just	RB	just
wondering	VVG	wonder
that	IN/that	that
if	IN	if
uh	UH	uh
Major	NP	Major
General	NP	General
jiva's	NN	jiva's
resignation	NN	resignation
is	VBZ	be
significant	JJ	significant
if	IN	if
we	PP	we
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
and	CC	and
we're	JJ	we're
talking	VVG	talk
hypotheticals	NNS	hypotheticals
here	RB	here
see	VVP	see
more	JJR	more
resignations	NNS	resignation
at	IN	at
different	JJ	different
levels	VVZ	level
uh	UH	uh
within	IN	within
the	DT	the
military	JJ	military
brass	NN	brass
is	VBZ	be
that	IN/that	that
the	DT	the
pressure	NN	pressure
that	WDT	that
is	VBZ	be
going	VVG	go
to	TO	to
you	PP	you
might	MD	might
say	VV	say
get	VV	get
more	JJR	more
people	NNS	people
out	RP	out
onto	IN	onto
the	DT	the
streets	NNS	street
and	CC	and
add	VV	add
pressure	NN	pressure
to	TO	to
the	DT	the
government	NN	government
and	CC	and
the	DT	the
cabinet	NN	cabinet
itself	PP	itself
yeah	RB	yeah
and	CC	and
I	PP	I
think	VVP	think
the	DT	the
next	JJ	next
one	CD	one
is	VBZ	be
not	RB	not
only	JJ	only
uh	UH	uh
a	DT	a
member	NN	member
of	IN	of
the	DT	the
uh	UH	uh
highest	JJS	high
military	JJ	military
ason	NN	ason
I	PP	I
think	VVP	think
that	IN/that	that
it	PP	it
will	MD	will
go	VV	go
to	TO	to
two	CD	two
former	JJ	former
Chiefs	NPS	Chiefs
of	IN	of
Staff	NP	Staff
who	WP	who
are	VBP	be
members	NNS	member
of	IN	of
the	DT	the
inner	JJ	inner
cabinet	NN	cabinet
the	DT	the
war	NN	war
cabinet	NN	cabinet
and	CC	and
I	PP	I
mean	VVP	mean
Mr	NP	Mr
guns	NNS	gun
and	CC	and
Mr	NP	Mr
Eisen	NP	Eisen
cot	NN	cot
um	NNS	um
and	CC	and
maybe	RB	maybe
this	DT	this
will	MD	will
create	VV	create
a	DT	a
dynamic	NN	dynamic
that	WDT	that
uh	UH	uh
will	MD	will
make	VV	make
it	PP	it
uh	UH	uh
harder	RBR	harder
for	IN	for
them	PP	them
to	TO	to
convince	VV	convince
the	DT	the
their	PP$	their
constituency	NN	constituency
their	PP$	their
voters	NNS	voter
that	DT	that
uh	UH	uh
they	PP	they
have	VHP	have
a	DT	a
good	JJ	good
reason	NN	reason
to	TO	to
stay	VV	stay
if	IN	if
Aon	NP	Aon
Hara	NP	Hara
who	WP	who
uh	UH	uh
was	VBD	be
the	DT	the
chief	NN	chief
of	IN	of
the	DT	the
Israeli	JJ	Israeli
intelligence	NN	intelligence
felt	VVD	feel
uh	UH	uh
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
Time	NN	time
to	TO	to
Say	VV	say
Goodbye	NN	goodbye
uh	UH	uh
many	JJ	many
more	JJR	more
and	CC	and
more	JJR	more
Israelis	NNS	Israeli
will	MD	will
call	VV	call
them	PP	them
to	TO	to
uh	UH	uh
step	NN	step
down	IN	down
uh	UH	uh
since	IN	since
they	PP	they
were	VBD	be
also	RB	also
responsible	JJ	responsible
they	PP	they
were	VBD	be
part	NN	part
of	IN	of
this	DT	this
lack	NN	lack
of	IN	of
strategy	NN	strategy
uh	UH	uh
to	TO	to
end	VV	end
the	DT	the
conflict	NN	conflict
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
uh	UH	uh
not	RB	not
to	TO	to
uh	UH	uh
put	VV	put
more	JJR	more
power	NN	power
where	WRB	where
less	JJR	less
power	NN	power
didn't	NN	didn't
work	VV	work
we	PP	we
you	PP	you
see	VVP	see
what	WP	what
happens	VVZ	happen
certainly	RB	certainly
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
I	PP	I
don't	VVD	don't
think	VV	think
the	DT	the
story	NN	story
is	VBZ	be
going	VVG	go
away	RB	away
too	RB	too
quickly	RB	quickly
for	IN	for
the	DT	the
moment	NN	moment
hav	NP	hav
Elder	NP	Elder
thanks	NNS	thanks
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
sir	NN	sir
thank	VVP	thank
you	PP	you
thanks	NNS	thanks
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jaaz	NP	jaaz
</doc>	NN	</doc>
