<video_id>1PbIH32Fskk</video_id>	JJ	<video_id>1PbIH32Fskk</video_id>
the	DT	the
western	JJ	western
side	NN	side
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
some	DT	some
people	NNS	people
could	MD	could
not	RB	not
be	VB	be
could	MD	could
couldn't	NNS	couldn't
evacuate	VV	evacuate
and	CC	and
they	PP	they
stayed	VVD	stay
in	IN	in
the	DT	the
hospital	NN	hospital
these	DT	these
are	VBP	be
the	DT	the
patients	NNS	patient
who	WP	who
cannot	MD	can
move	VV	move
and	CC	and
they	PP	they
do	VVP	do
not	RB	not
have	VH	have
uh	UH	uh
the	DT	the
freedom	NN	freedom
of	IN	of
movement	NN	movement
so	IN	so
that's	NNS	that's
why	WRB	why
the	DT	the
doctors	NNS	doctor
promis	NN	promis
to	TO	to
stay	VV	stay
into	IN	into
the	DT	the
hospital	NN	hospital
with	IN	with
these	DT	these
patients	NNS	patient
until	IN	until
there	EX	there
is	VBZ	be
a	DT	a
safe	JJ	safe
secure	JJ	secure
way	NN	way
for	IN	for
them	PP	them
to	TO	to
evacuate	VV	evacuate
but	CC	but
again	RB	again
Palestinians	NPS	Palestinians
are	VBP	be
evacuating	VVG	evacuate
from	IN	from
a	DT	a
place	NN	place
to	TO	to
another	DT	another
and	CC	and
nowhere	RB	nowhere
is	VBZ	be
safe	JJ	safe
Sami	NP	Sami
H	NP	H
we	PP	we
hope	VVP	hope
you	PP	you
stay	VV	stay
safe	JJ	safe
thanks	NNS	thanks
for	IN	for
that	DT	that
update	NN	update
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
