<video_id>HIG8Pxa6EyQ</video_id>	NN	<video_id>HIG8Pxa6EyQ</video_id>
uh	UH	uh
have	VHP	have
been	VBN	be
cut	VVN	cut
across	IN	across
Gaza	NP	Gaza
again	RB	again
is	VBZ	be
that	IN/that	that
happening	VVG	happen
throughout	IN	throughout
the	DT	the
territory	NN	territory
or	CC	or
is	VBZ	be
it	PP	it
just	RB	just
in	IN	in
the	DT	the
areas	NNS	area
that	WDT	that
are	VBP	be
under	IN	under
intense	JJ	intense
bombardment	NN	bombardment
right	NN	right
now	IN	now
uh	UH	uh
Central	NP	Central
Gaza	NP	Gaza
well	RB	well
we	PP	we
are	VBP	be
away	RB	away
from	IN	from
from	IN	from
the	DT	the
Israeli	JJ	Israeli
bombardments	NNS	bombardment
from	IN	from
Central	NP	Central
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
are	VBP	be
in	IN	in
the	DT	the
southern	JJ	southern
areas	NNS	area
and	CC	and
meanwhile	RB	meanwhile
we	PP	we
lost	VVD	lose
connections	NNS	connection
to	TO	to
uh	UH	uh
communication	NN	communication
networks	NNS	network
and	CC	and
both	DT	both
companies	NNS	company
that	WDT	that
are	VBP	be
running	VVG	run
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
even	RB	even
what	WP	what
about	IN	about
the	DT	the
areas	NNS	area
that	WDT	that
have	VHP	have
been	VBN	be
massively	RB	massively
bombarded	VVN	bombard
there	EX	there
is	VBZ	be
no	RB	no
any	DT	any
shape	NN	shape
of	IN	of
communication	NN	communication
there	EX	there
we	PP	we
Face	NP	Face
such	PDT	such
a	DT	a
great	JJ	great
difficulty	NN	difficulty
in	IN	in
ter	NN	ter
in	IN	in
terms	NNS	term
of	IN	of
communicating	VVG	communicate
with	IN	with
our	PP$	our
relatives	NNS	relative
our	PP$	our
friends	NNS	friend
and	CC	and
our	PP$	our
beloved	JJ	beloved
ones	NNS	one
in	IN	in
the	DT	the
central	JJ	central
areas	NNS	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
order	NN	order
to	TO	to
check	VV	check
how	WRB	how
they	PP	they
are	VBP	be
within	IN	within
the	DT	the
Israeli	JJ	Israeli
Relentless	JJ	relentless
attacks	NNS	attack
that	WDT	that
really	RB	really
uh	UH	uh
cause	VV	cause
catastrophic	JJ	catastrophic
consequences	NNS	consequence
and	CC	and
deterioration	NN	deterioration
in	IN	in
their	PP$	their
life	NN	life
aspects	NNS	aspect
there	RB	there
so	RB	so
they	PP	they
cannot	MD	can
really	RB	really
uh	UH	uh
contact	VV	contact
us	PP	us
and	CC	and
we	PP	we
cannot	MD	can
really	RB	really
know	VV	know
uh	UH	uh
the	DT	the
number	NN	number
of	IN	of
casualties	NNS	casualty
the	DT	the
uh	UH	uh
the	DT	the
locations	NNS	location
of	IN	of
the	DT	the
attacks	NNS	attack
and	CC	and
even	RB	even
the	DT	the
Palestinian	JJ	Palestinian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
are	VBP	be
facing	VVG	face
is	VBZ	be
facing	VVG	face
such	PDT	such
a	DT	a
a	DT	a
great	JJ	great
difficulty	NN	difficulty
in	IN	in
terms	NNS	term
also	RB	also
of	IN	of
identifying	VVG	identify
the	DT	the
places	NNS	place
of	IN	of
targeting	VVG	target
in	IN	in
order	NN	order
to	TO	to
send	VV	send
ambulances	NNS	ambulance
to	TO	to
deliver	VV	deliver
and	CC	and
to	TO	to
take	VV	take
uh	UH	uh
uh	UH	uh
wounded	VVN	wound
and	CC	and
victims	NNS	victim
resulted	VVN	result
from	IN	from
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
as	RB	as
well	RB	well
if	IN	if
you're	NN	you're
just	RB	just
joining	VVG	join
us	PP	us
on	IN	on
Al	NP	Al
J	NP	J
it's	NNS	it's
just	RB	just
gone	VVN	go
past	IN	past
17	CD	@card@
GMT	NN	GMT
that's	JJ	that's
uh	UH	uh
700	CD	@card@
p.m.	NN	p.m.
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
in	IN	in
the	DT	the
past	JJ	past
half	NN	half
hour	NN	hour
or	CC	or
so	RB	so
there've	RB	there've
been	VBN	be
intense	JJ	intense
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
unusually	RB	unusually
intense	JJ	intense
Israeli	JJ	Israeli
air	NN	air
strikes	VVZ	strike
uh	UH	uh
especially	RB	especially
on	IN	on
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
our	PP$	our
correspondent	NN	correspondent
TK	NP	TK
Abu	NP	Abu
AUM	NP	AUM
has	VHZ	have
been	VBN	be
telling	VVG	tell
us	PP	us
uh	UH	uh
we	PP	we
are	VBP	be
unclear	JJ	unclear
as	RB	as
to	TO	to
what	WP	what
specific	JJ	specific
areas	NNS	area
in	IN	in
central	JJ	central
Gaza	NP	Gaza
is	VBZ	be
being	VBG	be
are	VBP	be
being	VBG	be
targeted	VVN	target
right	RB	right
now	RB	now
by	IN	by
uh	UH	uh
Israeli	NN	Israeli
forces	VVZ	force
uh	UH	uh
but	CC	but
T	NN	T
worth	NN	worth
perhaps	RB	perhaps
reminding	VVG	remind
us	PP	us
what	WP	what
what	WDT	what
is	VBZ	be
uh	UH	uh
there	RB	there
right	RB	right
now	RB	now
in	IN	in
terms	NNS	term
of	IN	of
our	PP$	our
population	NN	population
because	IN	because
of	IN	of
course	NN	course
the	DT	the
Israelis	NPS	Israelis
had	VHD	have
told	VVN	tell
Palestinians	NNS	Palestinian
living	VVG	live
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
to	TO	to
head	VV	head
south	RB	south
why	WRB	why
are	VBP	be
they	PP	they
targeting	VVG	target
these	DT	these
areas	NNS	area
specifically	RB	specifically
specifically	RB	specifically
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
about	IN	about
the	DT	the
concentration	NN	concentration
of	IN	of
the	DT	the
population	NN	population
there	RB	there
right	RB	right
now	RB	now
did	VVD	do
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
heed	VVP	heed
that	DT	that
call	NN	call
to	TO	to
move	VV	move
South	NP	South
or	CC	or
yes	UH	yes
uh	UH	uh
people	NNS	people
there	EX	there
are	VBP	be
facing	VVG	face
uh	UH	uh
such	JJ	such
uh	UH	uh
great	JJ	great
danger	NN	danger
and	CC	and
very	JJ	very
uh	UH	uh
deterioration	NN	deterioration
in	IN	in
their	PP$	their
Liv's	NP	Liv's
aspect	NN	aspect
so	IN	so
uh	UH	uh
they	PP	they
uh	UH	uh
they	PP	they
are	VBP	be
they	PP	they
are	VBP	be
really	RB	really
re	IN	re
reluctant	JJ	reluctant
to	TO	to
evacuate	VV	evacuate
because	IN	because
they	PP	they
are	VBP	be
really	RB	really
desperate	JJ	desperate
and	CC	and
afraid	JJ	afraid
of	IN	of
being	VBG	be
bombarded	VVN	bombard
as	IN	as
what	WP	what
happened	VVD	happen
to	TO	to
different	JJ	different
civil	JJ	civil
cars	NNS	car
and	CC	and
ambulances	NNS	ambulance
vehicles	NNS	vehicle
that	WDT	that
had	VHD	have
been	VBN	be
largely	RB	largely
targeted	VVN	target
throughout	IN	throughout
the	DT	the
evacuation	NN	evacuation
from	IN	from
the	DT	the
Northern	JJ	northern
areas	NNS	area
to	TO	to
the	DT	the
southern	JJ	southern
areas	NNS	area
of	IN	of
the	DT	the
territory	NN	territory
and	CC	and
meanwhile	RB	meanwhile
they	PP	they
don't	VVD	don't
have	VH	have
any	DT	any
plac	NN	plac
shelter	NN	shelter
to	TO	to
go	VV	go
uh	UH	uh
to	TO	to
reside	VV	reside
in	IN	in
you	PP	you
are	VBP	be
talking	VVG	talk
about	IN	about
the	DT	the
United	NP	United
Nations	NPS	Nations
shelters	NNS	shelter
have	VHP	have
become	VVN	become
overflooded	JJ	overflooded
with	IN	with
residents	NNS	resident
who	WP	who
were	VBD	be
displaced	VVN	displace
from	IN	from
the	DT	the
houses	NNS	house
we	PP	we
are	VBP	be
talking	VVG	talk
about	RB	about
more	JJR	more
than	IN	than
600,000	CD	@card@
Palestinians	NPS	Palestinians
were	VBD	be
evacuated	VVN	evacuate
from	IN	from
the	DT	the
houses	NNS	house
and	CC	and
also	RB	also
the	DT	the
hospitals	NNS	hospital
and	CC	and
the	DT	the
its	PP$	its
vicinities	NNS	vicinity
are	VBP	be
very	RB	very
overwhelmed	VVN	overwhelm
with	IN	with
displaced	VVN	displace
people	NNS	people
so	IN	so
it	PP	it
seems	VVZ	seem
that	IN/that	that
even	RB	even
the	DT	the
relatives	NNS	relative
houses	NNS	house
United	NP	United
Nation	NP	Nation
shelters	NNS	shelter
and	CC	and
even	JJ	even
hospitals	NNS	hospital
become	VVP	become
very	RB	very
crowded	JJ	crowded
as	IN	as
even	RB	even
the	DT	the
population	NN	population
in	IN	in
the	DT	the
southern	JJ	southern
areas	NNS	area
has	VHZ	have
been	VBN	be
doubled	VVN	double
due	RB	due
to	TO	to
the	DT	the
evacuation	NN	evacuation
waves	NNS	wave
that	WDT	that
had	VHD	have
been	VBN	be
carried	VVN	carry
out	RP	out
since	IN	since
the	DT	the
early	JJ	early
beginning	NN	beginning
of	IN	of
this	DT	this
round	NN	round
of	IN	of
fighting	VVG	fight
so	IN	so
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
remaining	VVG	remain
till	IN	till
now	RB	now
in	IN	in
Gaza	NP	Gaza
they	PP	they
don't	VVD	don't
have	VH	have
any	DT	any
option	NN	option
they	PP	they
are	VBP	be
very	RB	very
limited	VVN	limit
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
ability	NN	ability
to	TO	to
move	VV	move
uh	UH	uh
as	RB	as
Israel	NP	Israel
is	VBZ	be
expanding	VVG	expand
its	PP$	its
military	JJ	military
ground	NN	ground
operations	NNS	operation
and	CC	and
both	DT	both
linking	VVG	link
growths	NNS	growth
uh	UH	uh
to	TO	to
between	IN	between
the	DT	the
North	NP	North
and	CC	and
the	DT	the
South	NP	South
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
every	DT	every
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
afraid	JJ	afraid
to	TO	to
lose	VV	lose
his	PP$	his
life	NN	life
and	CC	and
even	RB	even
if	IN	if
he	PP	he
was	VBD	be
forced	VVN	force
to	TO	to
leave	VV	leave
his	PP$	his
house	NN	house
under	IN	under
severe	JJ	severe
circumstances	NNS	circumstance
he	PP	he
is	VBZ	be
forced	VVN	force
to	TO	to
walk	VV	walk
for	IN	for
long	JJ	long
distance	NN	distance
in	IN	in
order	NN	order
to	TO	to
have	VH	have
access	NN	access
to	TO	to
the	DT	the
southern	JJ	southern
areas	NNS	area
of	IN	of
Gaza	NP	Gaza
it's	NN	it's
been	VBN	be
30	CD	@card@
days	NNS	day
30	CD	@card@
days	NNS	day
of	IN	of
Relentless	JJ	relentless
Israeli	JJ	Israeli
bombing	NN	bombing
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
minutes	NNS	minute
it	PP	it
has	VHZ	have
intensified	VVN	intensify
even	RB	even
more	RBR	more
especially	RB	especially
in	IN	in
the	DT	the
central	JJ	central
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
and	CC	and
what	WP	what
we've	NN	we've
seen	VVN	see
TK	NP	TK
in	IN	in
these	DT	these
last	JJ	last
past	JJ	past
30	CD	@card@
days	NNS	day
is	VBZ	be
that	IN/that	that
no	DT	no
area	NN	area
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
safe	JJ	safe
hospitals	NNS	hospital
have	VHP	have
been	VBN	be
targeted	VVN	target
refugee	NN	refugee
camps	NNS	camp
we	PP	we
saw	VVD	see
three	CD	three
refugee	NN	refugee
camps	NNS	camp
targeted	VVD	target
today	NN	today
including	VVG	include
the	DT	the
largest	JJS	large
one	CD	one
in	IN	in
Gaza	NP	Gaza
which	WDT	which
has	VHZ	have
been	VBN	be
hit	VVN	hit
several	JJ	several
time	NN	time
by	IN	by
is	VBZ	be
Israeli	JJ	Israeli
forces	NNS	force
that's	JJ	that's
uh	UH	uh
completely	RB	completely
true	JJ	true
uh	UH	uh
a	DT	a
lot	NN	lot
of	IN	of
uh	UH	uh
refugee	NN	refugee
camps	NNS	camp
have	VHP	have
been	VBN	be
targeted	VVN	target
hospitals	NNS	hospital
United	NP	United
Nations	NPS	Nations
shelters	VVZ	shelter
uh	UH	uh
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
uh	UH	uh
that	IN/that	that
every	DT	every
day	NN	day
more	JJR	more
than	IN	than
100	CD	@card@
of	IN	of
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
on	IN	on
a	DT	a
regular	JJ	regular
regular	JJ	regular
daily	JJ	daily
basis	NN	basis
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
relance	NN	relance
attacks	NNS	attack
and	CC	and
we're	NNS	we're
talking	VVG	talk
about	RB	about
more	JJR	more
than	IN	than
2,000	CD	@card@
Palestinian	NN	Palestinian
are	VBP	be
still	RB	still
messing	VVG	mess
under	IN	under
the	DT	the
rles	NNS	rles
that	IN/that	that
the	DT	the
civil	JJ	civil
defense	NN	defense
team	NN	team
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
evacuate	VV	evacuate
them	PP	them
to	TO	to
due	JJ	due
to	TO	to
the	DT	the
uh	UH	uh
lack	NN	lack
of	IN	of
equipment	NN	equipment
and	CC	and
sophisticated	JJ	sophisticated
items	NNS	item
that	WDT	that
can	MD	can
help	VV	help
them	PP	them
to	TO	to
evacuate	VV	evacuate
those	DT	those
people	NNS	people
from	IN	from
under	IN	under
the	DT	the
rles	NNS	rles
and	CC	and
some	DT	some
areas	NNS	area
in	IN	in
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
ambulances	NNS	ambulance
cannot	MD	can
really	RB	really
have	VH	have
an	DT	an
access	NN	access
to	TO	to
so	IN	so
its	PP$	its
citizens	NNS	citizen
are	VBP	be
forced	VVN	force
to	TO	to
bring	VV	bring
the	DT	the
victims	NNS	victim
uh	UH	uh
uh	UH	uh
by	IN	by
carrying	VVG	carry
them	PP	them
on	IN	on
their	PP$	their
Carters	NNS	carter
bued	VVN	bued
by	IN	by
donkeys	NNS	donkey
or	CC	or
by	IN	by
animals	NNS	animal
and	CC	and
sometimes	RB	sometimes
they	PP	they
might	MD	might
bring	VV	bring
them	PP	them
by	IN	by
using	VVG	use
their	PP$	their
own	JJ	own
body	NN	body
and	CC	and
they	PP	they
are	VBP	be
are	VBP	be
holding	VVG	hold
them	PP	them
at	IN	at
the	DT	the
hands	NNS	hand
and	CC	and
to	TO	to
bring	VV	bring
them	PP	them
in	IN	in
the	DT	the
hospitals	NNS	hospital
on	IN	on
foot	NN	foot
in	IN	in
order	NN	order
to	TO	to
receive	VV	receive
treatment	NN	treatment
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Relentless	JJ	relentless
attacks	NNS	attack
what	WP	what
is	VBZ	be
happening	VVG	happen
on	IN	on
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
is	VBZ	be
beyond	IN	beyond
compare	NN	compare
and	CC	and
unimaginable	JJ	unimaginable
guys	NNS	guy
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
every	DT	every
every	DT	every
single	JJ	single
hour	NN	hour
we	PP	we
have	VHP	have
a	DT	a
new	JJ	new
bombardment	NN	bombardment
a	DT	a
new	JJ	new
uh	UH	uh
a	DT	a
new	JJ	new
bad	JJ	bad
news	NN	news
we	PP	we
receive	VVP	receive
a	DT	a
new	JJ	new
loss	NN	loss
for	IN	for
our	PP$	our
friends	NNS	friend
our	PP$	our
colleagues	NNS	colleague
and	CC	and
even	RB	even
our	PP$	our
relatives	NNS	relative
in	IN	in
different	JJ	different
areas	NNS	area
of	IN	of
the	DT	the
territory	NN	territory
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
W	NP	W
is	VBZ	be
witnessing	VVG	witness
catastrophic	JJ	catastrophic
consequences	NNS	consequence
as	IN	as
the	DT	the
uh	UH	uh
spokesperson	NN	spokesperson
of	IN	of
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
and	CC	and
uh	UH	uh
the	DT	the
clar	NN	clar
that	IN/that	that
the	DT	the
Gaza	NP	Gaza
strep	NN	strep
is	VBZ	be
very	JJ	very
is	VBZ	be
witnessing	VVG	witness
massive	JJ	massive
deterioration	NN	deterioration
and	CC	and
must	MD	must
be	VB	be
a	DT	a
cease	VV	cease
fire	NN	fire
or	CC	or
an	DT	an
end	NN	end
to	TO	to
the	DT	the
round	NN	round
of	IN	of
fighting	VVG	fight
between	IN	between
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
and	CC	and
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
okay	JJ	okay
T	NN	T
for	IN	for
the	DT	the
moment	NN	moment
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
let's	NNS	let's
bring	VVP	bring
in	IN	in
another	DT	another
of	IN	of
our	PP$	our
correspondents	NNS	correspondent
on	IN	on
the	DT	the
line	NN	line
from	IN	from
Central	NP	Central
Gaza	NP	Gaza
now	RB	now
safwat	NN	safwat
Al	NP	Al
kahut	NP	kahut
who's	NNS	who's
in	IN	in
d	NN	d
albalia	NN	albalia
safwat	NN	safwat
what	WP	what
has	VHZ	have
been	VBN	be
happening	VVG	happen
in	IN	in
central	JJ	central
Gaza	NP	Gaza
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
or	CC	or
so	RB	so
we've	NN	we've
seen	VVN	see
some	DT	some
heavy	JJ	heavy
heavy	JJ	heavy
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
over	IN	over
that	DT	that
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
yes	NN	yes
from	IN	from
uh	UH	uh
the	DT	the
central	JJ	central
area	NN	area
of	IN	of
Gaza	NP	Gaza
where	WRB	where
we	PP	we
are	VBP	be
now	RB	now
we	PP	we
we	PP	we
can	MD	can
hear	VV	hear
heavy	JJ	heavy
explosions	NNS	explosion
taking	VVG	take
place	VV	place
uh	UH	uh
from	IN	from
in	IN	in
the	DT	the
southwest	NN	southwest
of	IN	of
Gaza	NP	Gaza
City	NP	City
and	CC	and
extended	VVD	extend
up	RP	up
to	TO	to
the	DT	the
central	JJ	central
area	NN	area
uh	UH	uh
from	IN	from
what	WP	what
we	PP	we
understood	VVD	understand
that	IN/that	that
clashes	NNS	clash
severe	JJ	severe
clashes	NNS	clash
are	VBP	be
taking	VVG	take
place	NN	place
between	IN	between
the	DT	the
fighting	VVG	fight
Palestinian	JJ	Palestinian
fighting	VVG	fight
groups	NNS	group
and	CC	and
the	DT	the
Israeli	JJ	Israeli
troops	NNS	troop
who	WP	who
storm	VV	storm
uh	UH	uh
the	DT	the
G	NP	G
Gaza	NP	Gaza
City	NP	City
from	IN	from
the	DT	the
three	CD	three
directions	NNS	direction
these	DT	these
explosions	NNS	explosion
and	CC	and
these	DT	these
