Mass	NP	Mass
six	CD	six
Israeli	JJ	Israeli
jail	NN	jail
people	NNS	people
in	IN	in
Gaza	NP	Gaza
why	WRB	why
they	PP	they
are	VBP	be
not	RB	not
discussing	VVG	discuss
the	DT	the
killings	NNS	killing
of	IN	of
50	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
they	PP	they
are	VBP	be
not	RB	not
discussing	VVG	discuss
the	DT	the
assassination	NN	assassination
of	IN	of
60	CD	@card@
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
Israeli	JJ	Israeli
jails	NNS	jail
while	IN	while
they	PP	they
were	VBD	be
tortured	JJ	tortured
they	PP	they
are	VBP	be
not	RB	not
talking	VVG	talk
about	IN	about
the	DT	the
situation	NN	situation
in	IN	in
gazab	NN	gazab
in	IN	in
fact	NN	fact
they	PP	they
are	VBP	be
not	RB	not
talking	VVG	talk
about	IN	about
implementing	VVG	implement
the	DT	the
resolution	NN	resolution
of	IN	of
the	DT	the
international	JJ	international
Council	NN	council
I	PP	I
have	VHP	have
here	RB	here
to	TO	to
say	VV	say
that	IN/that	that
talking	VVG	talk
about	IN	about
the	DT	the
six	CD	six
Israelis	NPS	Israelis
who	WP	who
were	VBD	be
killed	VVN	kill
uh	UH	uh
most	JJS	most
of	IN	of
those	DT	those
people	NNS	people
who	WP	who
were	VBD	be
kept	VVN	keep
in	IN	in
Gaza	NP	Gaza
they	PP	they
were	VBD	be
killed	VVN	kill
by	IN	by
the	DT	the
bombings	NNS	bombing
of	IN	of
the	DT	the
Israelis	NPS	Israelis
some	RB	some
of	IN	of
them	PP	them
they	PP	they
were	VBD	be
killed	VVN	kill
directly	RB	directly
by	IN	by
the	DT	the
Israelis	NPS	Israelis
and	CC	and
I	PP	I
have	VHP	have
to	TO	to
remind	VV	remind
everyone	NN	everyone
that	IN/that	that
three	CD	three
soldiers	NNS	soldier
were	VBD	be
killed	VVN	kill
by	IN	by
the	DT	the
Israeli	JJ	Israeli
troops	VVZ	troop
uh	UH	uh
thinking	VVG	think
that	IN/that	that
it	PP	it
was	VBD	be
a	DT	a
trap	NN	trap
and	CC	and
they	PP	they
declared	VVD	declare
that	IN/that	that
and	CC	and
announced	VVD	announce
that	IN/that	that
they	PP	they
they	PP	they
they	PP	they
they	PP	they
missed	VVD	miss
by	IN	by
killing	VVG	kill
them	PP	them
uh	UH	uh
that	WDT	that
happened	VVD	happen
in	IN	in
sh	VVG	sh
a	DT	a
few	JJ	few
months	NNS	month
ago	RB	ago
also	RB	also
uh	UH	uh
everyone	NN	everyone
remembers	VVZ	remember
how	WRB	how
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
committed	VVN	commit
a	DT	a
huge	JJ	huge
Massacre	NN	massacre
inat	NN	inat
why	WRB	why
they	PP	they
were	VBD	be
trying	VVG	try
to	TO	to
bring	VV	bring
back	RB	back
some	DT	some
of	IN	of
the	DT	the
the	DT	the
Israelis	NPS	Israelis
there	IN	here
Ann	NP	Ann
they	PP	they
have	VHP	have
four	CD	four
allow	VVP	allow
me	PP	me
just	RB	just
for	IN	for
a	DT	a
moment	NN	moment
back	RB	back
to	TO	to
this	DT	this
particular	JJ	particular
incident	NN	incident
that	WDT	that
happened	VVD	happen
over	IN	over
the	DT	the
weekend	NN	weekend
the	DT	the
UN	NP	UN
Human	NP	Human
Rights	NPS	Rights
office	NN	office
wrote	VVD	write
on	IN	on
acts	NNS	act
that	IN/that	that
we	PP	we
are	VBP	be
horrified	VVN	horrify
by	IN	by
reports	NNS	report
that	IN/that	that
Palestinian	JJ	Palestinian
groups	NNS	group
sum	NN	sum
summarily	RB	summarily
exec	NP	exec
executed	VVD	execute
six	CD	six
Israeli	JJ	Israeli
hostages	NNS	hostage
which	WDT	which
would	MD	would
constitute	VV	constitute
a	DT	a
war	NN	war
crime	NN	crime
and	CC	and
is	VBZ	be
also	RB	also
calling	VVG	call
for	IN	for
an	DT	an
investigation	NN	investigation
I	PP	I
mean	VVP	mean
do	VV	do
you	PP	you
accept	VV	accept
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
war	NN	war
crime	NN	crime
to	TO	to
which	WDT	which
Hamas	NNS	Hamas
may	MD	may
be	VB	be
held	VVN	hold
accountable	JJ	accountable
for	IN	for
and	CC	and
would	MD	would
you	PP	you
welcome	VV	welcome
an	DT	an
investigation	NN	investigation
well	RB	well
well	RB	well
this	DT	this
is	VBZ	be
the	DT	the
problem	NN	problem
they	PP	they
decide	VVP	decide
that	IN/that	that
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
war	NN	war
crime	NN	crime
they	PP	they
have	VHP	have
only	RB	only
the	DT	the
Israeli	JJ	Israeli
narrative	NN	narrative
they	PP	they
didn	NP	didn
'	POS	'
t	NN	t
ask	VV	ask
Hamas	NP	Hamas
they	PP	they
didn	NP	didn
'	POS	'
t	NN	t
ask	VV	ask
the	DT	the
Palestinians	NPS	Palestinians
they	PP	they
didn	NP	didn
'	POS	'
t	NN	t
investigate	VV	investigate
about	RB	about
that	IN/that	that
they	PP	they
jumped	VVD	jump
to	TO	to
the	DT	the
pluging	VVG	plug
directly	RB	directly
without	IN	without
asking	VVG	ask
anyone	NN	anyone
who	WP	who
is	VBZ	be
responsible	JJ	responsible
for	IN	for
that	DT	that
and	CC	and
then	RB	then
they	PP	they
'	POS	'
ve	NN	ve
said	VVD	say
you	PP	you
are	VBP	be
condemned	VVN	condemn
you	PP	you
are	VBP	be
criticized	VVN	criticize
we	PP	we
we	PP	we
we	PP	we
accept	VVP	accept
the	DT	the
Israeli	JJ	Israeli
narrative	NN	narrative
and	CC	and
then	RB	then
we	PP	we
can	MD	can
investigate	VV	investigate
I	PP	I
I	PP	I
think	VVP	think
that	IN/that	that
that	DT	that
that	WDT	that
is	VBZ	be
very	RB	very
wrong	JJ	wrong
way	NN	way
to	TO	to
deal	VV	deal
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
we	PP	we
didn	NP	didn
'	POS	'
t	NN	t
hear	VVP	hear
from	IN	from
them	PP	them
about	IN	about
the	DT	the
killings	NNS	killing
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
Israeli	JJ	Israeli
jails	NNS	jail
we	PP	we
are	VBP	be
talking	VVG	talk
about	RB	about
60	CD	@card@
confirmed	VVN	confirm
killings	NNS	killing
in	IN	in
the	DT	the
Palestinian	NN	Palestinian
from	IN	from
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
Israeli	NP	Israeli
jails	VVZ	jail
we	PP	we
talking	VVG	talk
about	IN	about
50	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NPS	Palestinians
who	WP	who
be	VB	be
whove	NNS	whove
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
last	JJ	last
10	CD	@card@
months	NNS	month
we	PP	we
didn	NP	didn
'	POS	'
t	NN	t
hear	VVP	hear
anyone	NN	anyone
working	VVG	work
to	TO	to
stop	VV	stop
the	DT	the
Israelis	NNS	Israeli
from	IN	from
what	WP	what
they	PP	they
are	VBP	be
doing	VVG	do
they	PP	they
have	VHP	have
to	TO	to
be	VB	be
balanced	JJ	balanced
we	PP	we
have	VHP	have
said	VVN	say
you	PP	you
didn	NN	didn
'	POS	'
t	NN	t
hear	VVP	hear
The	DT	the
Narrative	NN	narrative
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
you	PP	you
are	VBP	be
just	RB	just
talking	VVG	talk
about	IN	about
what	WP	what
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
say	NN	say
Mr	NN	Mr
we	PP	we
put	VVD	put
these	DT	these
questions	NNS	question
we	PP	we
do	VVP	do
put	VV	put
these	DT	these
questions	NNS	question
to	TO	to
you	PP	you
and	CC	and
diplomats	NNS	diplomat
when	WRB	when
we	PP	we
do	VVP	do
speak	VV	speak
to	TO	to
them	PP	them
but	CC	but
now	RB	now
i	NP	i
'	POS	'
just	RB	just
like	JJ	like
to	TO	to
get	VV	get
your	PP$	your
point	NN	point
of	IN	of
view	NN	view
on	IN	on
on	IN	on
the	DT	the
issue	NN	issue
of	IN	of
the	DT	the
captiv	NN	captiv
and	CC	and
what	WP	what
happened	VVD	happen
in	IN	in
Gaza	NP	Gaza
look	VVP	look
alasan	JJ	alasan
Brigade	NN	brigade
spokesman	NN	spokesman
Abu	NP	Abu
abeda	NP	abeda
said	VVD	say
that	IN/that	that
the	DT	the
captives	NNS	captive
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
would	MD	would
return	VV	return
to	TO	to
Israel	NP	Israel
in	IN	in
coffins	NNS	coffin
if	IN	if
Israeli	JJ	Israeli
military	JJ	military
pressure	NN	pressure
continues	VVZ	continue
and	CC	and
he	PP	he
also	RB	also
warned	VVD	warn
that	IN/that	that
new	JJ	new
instructions	NNS	instruction
have	VHP	have
been	VBN	be
given	VVN	give
to	TO	to
its	PP$	its
Fighters	NNS	fighter
guarding	VVG	guard
the	DT	the
captives	NNS	captive
in	IN	in
case	NN	case
Israeli	JJ	Israeli
troops	NNS	troop
approach	VVP	approach
what	WP	what
are	VBP	be
we	PP	we
to	TO	to
understand	VV	understand
these	DT	these
new	JJ	new
instructions	NNS	instruction
to	TO	to
be	VB	be
well	RB	well
the	DT	the
clear	JJ	clear
message	NN	message
from	IN	from
Ab	NP	Ab
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
resistance	NN	resistance
was	VBD	be
you	PP	you
have	VHP	have
tried	VVN	try
all	PDT	all
the	DT	the
time	NN	time
to	TO	to
have	VH	have
your	PP$	your
people	NNS	people
back	RB	back
by	IN	by
the	DT	the
force	NN	force
and	CC	and
each	DT	each
time	NN	time
the	DT	the
that	IN/that	that
that	DT	that
action	NN	action
caused	VVD	cause
the	DT	the
killing	NN	killing
of	IN	of
them	PP	them
I	PP	I
have	VHP	have
to	TO	to
to	TO	to
talk	VV	talk
back	RB	back
that	IN/that	that
we	PP	we
declared	VVD	declare
that	IN/that	that
some	DT	some
of	IN	of
them	PP	them
they	PP	they
were	VBD	be
killed	VVN	kill
by	IN	by
by	IN	by
the	DT	the
Israelis	NPS	Israelis
themselves	PP	themselves
when	WRB	when
they	PP	they
were	VBD	be
bombing	VVG	bomb
the	DT	the
houses	NNS	house
we	PP	we
declared	VVD	declare
some	DT	some
names	NNS	name
we	PP	we
have	VHP	have
declared	VVN	declare
true	JJ	true
they	PP	they
Alam	NP	Alam
troops	NNS	troop
they	PP	they
declared	VVD	declare
three	CD	three
months	NNS	month
ago	RB	ago
that	IN/that	that
they	PP	they
lost	VVD	lose
the	DT	the
contact	NN	contact
with	IN	with
the	DT	the
people	NNS	people
who	WP	who
were	VBD	be
keeping	VVG	keep
her	PP	her
and	CC	and
they	PP	they
don	VVP	don
'	''	'
t	NN	t
they	PP	they
didn	NP	didn
'	POS	'
t	NN	t
have	VHP	have
the	DT	the
contact	NN	contact
back	RB	back
and	CC	and
that	DT	that
was	VBD	be
because	IN	because
of	IN	of
the	DT	the
the	DT	the
Israelis	NPS	Israelis
so	CC	so
this	DT	this
is	VBZ	be
why	WRB	why
I	PP	I
'	POS	'
m	NN	m
insisting	VVG	insist
we	PP	we
have	VHP	have
to	TO	to
talk	VV	talk
about	IN	about
the	DT	the
Palestinian	JJ	Palestinian
narrative	NN	narrative
the	DT	the
the	DT	the
message	NN	message
from	IN	from
abua	NN	abua
was	VBD	be
if	IN	if
you	PP	you
try	VVP	try
to	TO	to
continue	VV	continue
this	DT	this
way	NN	way
you	PP	you
will	MD	will
cause	VV	cause
the	DT	the
death	NN	death
of	IN	of
your	PP$	your
people	NNS	people
so	RB	so
how	WRB	how
are	VBP	be
you	PP	you
going	VVG	go
to	TO	to
secure	VV	secure
willing	JJ	willing
to	TO	to
how	WRB	how
is	VBZ	be
Hamas	RB	Hamas
going	VVG	go
to	TO	to
secure	VV	secure
the	DT	the
safety	NN	safety
of	IN	of
the	DT	the
remaining	VVG	remain
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
by	IN	by
stopping	VVG	stop
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
the	DT	the
main	JJ	main
reason	NN	reason
of	IN	of
the	DT	the
killings	NNS	killing
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
the	DT	the
people	NNS	people
who	WP	who
who	WP	who
were	VBD	be
killed	VVN	kill
they	PP	they
were	VBD	be
killed	VVN	kill
by	IN	by
the	DT	the
Israelis	NPS	Israelis
either	CC	either
by	IN	by
bombing	VVG	bomb
them	PP	them
or	CC	or
by	IN	by
shooting	VVG	shoot
them	PP	them
and	CC	and
and	CC	and
they	PP	they
have	VHP	have
four	CD	four
alive	JJ	alive
Israelis	NNS	Israeli
but	CC	but
they	PP	they
'	POS	'
ve	NN	ve
killed	VVD	kill
at	IN	at
the	DT	the
same	JJ	same
moment	NN	moment
another	DT	another
three	CD	three
who	WP	who
were	VBD	be
there	RB	there
in	IN	in
the	DT	the
same	JJ	same
place	NN	place
so	IN	so
the	DT	the
idea	NN	idea
to	TO	to
to	TO	to
send	VV	send
them	PP	them
back	RB	back
alive	JJ	alive
and	CC	and
to	TO	to
send	VV	send
also	RB	also
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
their	PP$	their
families	NNS	family
is	VBZ	be
is	VBZ	be
to	TO	to
to	TO	to
achieve	VV	achieve
the	DT	the
deal	NN	deal
ceasefire	NN	ceasefire
complete	JJ	complete
Israeli	JJ	Israeli
withdrawal	NN	withdrawal
a	DT	a
serious	JJ	serious
pronal	JJ	pronal
exchange	NN	exchange
okay	JJ	okay
let	NN	let
'	POS	'
s	JJ	s
talk	NN	talk
about	IN	about
the	DT	the
CE	NP	CE
months	NNS	month
let	VVD	let
'	''	'
s	NNS	s
talk	VVP	talk
about	IN	about
the	DT	the
ceasefire	NN	ceasefire
because	IN	because
according	VVG	accord
to	TO	to
reports	NNS	report
the	DT	the
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
is	VBZ	be
saying	VVG	say
that	IN/that	that
Washington	NP	Washington
is	VBZ	be
very	RB	very
close	JJ	close
to	TO	to
putting	VVG	put
forward	RB	forward
a	DT	a
final	JJ	final
proposal	NN	proposal
for	IN	for
an	DT	an
agreement	NN	agreement
and	CC	and
reports	NNS	report
are	VBP	be
suggesting	VVG	suggest
that	IN/that	that
it	PP	it
will	MD	will
deal	VV	deal
with	IN	with
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
and	CC	and
the	DT	the
presence	NN	presence
of	IN	of
Israeli	JJ	Israeli
forces	NNS	force
there	RB	there
which	WDT	which
of	IN	of
course	NN	course
has	VHZ	have
been	VBN	be
one	CD	one
of	IN	of
the	DT	the
major	JJ	major
sticking	NN	sticking
points	NNS	point
have	VHP	have
you	PP	you
been	VBN	be
told	VVN	tell
anything	NN	anything
more	JJR	more
about	IN	about
this	DT	this
officially	RB	officially
we	PP	we
were	VBD	be
not	RB	not
told	VVN	tell
anything	NN	anything
no	DT	no
one	CD	one
talks	NNS	talk
to	TO	to
us	PP	us
officially	RB	officially
we	PP	we
just	RB	just
hear	VVP	hear
rumors	NNS	rumor
we	PP	we
hear	VVP	hear
from	IN	from
the	DT	the
media	NNS	medium
but	CC	but
I	PP	I
have	VHP	have
to	TO	to
say	VV	say
through	IN	through
the	DT	the
the	DT	the
last	JJ	last
months	NNS	month
every	DT	every
time	NN	time
the	DT	the
Americans	NPS	Americans
try	VVP	try
to	TO	to
to	TO	to
be	VB	be
optimistic	JJ	optimistic
because	IN	because
for	IN	for
their	PP$	their
own	JJ	own
needs	NNS	need
for	IN	for
the	DT	the
for	IN	for
their	PP$	their
internal	JJ	internal
problems	NNS	problem
the	DT	the
elections	NNS	election
the	DT	the
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
the	DT	the
universities	NNS	university
but	CC	but
in	IN	in
fact	NN	fact
they	PP	they
understand	VVP	understand
well	RB	well
more	JJR	more
than	IN	than
anyone	NN	anyone
else	RB	else
that	IN/that	that
the	DT	the
main	JJ	main
obstacle	NN	obstacle
was	VBD	be
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
government	NN	government
they	PP	they
they	PP	they
rejected	VVD	reject
all	PDT	all
the	DT	the
proposal	NN	proposal
which	WDT	which
was	VBD	be
introduced	VVN	introduce
them	PP	them
although	IN	although
we	PP	we
have	VHP	have
accepted	VVN	accept
at	IN	at
least	JJS	least
two	CD	two
proposals	NNS	proposal
from	IN	from
the	DT	the
mediators	NNS	mediator
and	CC	and
after	IN	after
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
answer	NN	answer
was	VBD	be
the	DT	the
rejection	NN	rejection
uh	UH	uh
everyone	NN	everyone
remembers	VVZ	remember
two	CD	two
days	NNS	day
ago	RB	ago
Netanyahu	NP	Netanyahu
went	VVD	go
to	TO	to
a	DT	a
press	NN	press
conference	NN	conference
and	CC	and
he	PP	he
insist	VVP	insist
that	IN/that	that
he	PP	he
will	MD	will
stay	VV	stay
in	IN	in
in	IN	in
Philadelphia	NP	Philadelphia
although	IN	although
he	PP	he
understands	VVZ	understand
that	IN/that	that
it	PP	it
'	POS	'
s	JJ	s
International	NP	International
borders	NNS	border
between	IN	between
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
the	DT	the
Egyptians	NNS	Egyptian
he	PP	he
does	VVZ	do
he	PP	he
is	VBZ	be
not	RB	not
supposed	VVN	suppose
to	TO	to
be	VB	be
there	RB	there
for	IN	for
two	CD	two
reasons	NNS	reason
for	IN	for
because	IN	because
he	PP	he
'	POS	'
s	NN	S
prevented	VVD	prevent
by	IN	by
the	DT	the
the	DT	the
the	DT	the
Camp	NP	Camp
David	NP	David
the	DT	the
Accord	NP	Accord
between	IN	between
Egypt	NP	Egypt
and	CC	and
and	NP	and
Israel	NP	Israel
and	CC	and
the	DT	the
second	NN	second
we	PP	we
believe	VVP	believe
this	DT	this
is	VBZ	be
a	DT	a
Palestinian	JJ	Palestinian
issue	NN	issue
we	PP	we
don	VVP	don
'	''	'
t	NN	t
need	NN	need
anyone	NN	anyone
to	TO	to
interfere	VV	interfere
in	IN	in
that	IN/that	that
mainly	RB	mainly
the	DT	the
Israelis	NPS	Israelis
so	RB	so
what	WP	what
are	VBP	be
your	PP$	your
red	JJ	red
lines	NNS	line
going	VVG	go
forward	NN	forward
as	IN	as
uh	UH	uh
these	DT	these
ceasefire	NN	ceasefire
talks	NNS	talk
take	VVP	take
place	VV	place
I	PP	I
I	PP	I
think	VVP	think
we	PP	we
we	PP	we
don	VVP	don
'	''	'
t	NN	t
need	VVP	need
more	JJR	more
negotiations	NNS	negotiation
there	EX	there
was	VBD	be
a	DT	a
a	DT	a
proposal	NN	proposal
introduced	VVD	introduce
to	TO	to
both	DT	both
sides	NNS	side
for	IN	for
to	TO	to
Hamas	NP	Hamas
and	CC	and
the	DT	the
Israeli	JJ	Israeli
side	NN	side
we	PP	we
declared	VVD	declare
our	PP$	our
acceptance	NN	acceptance
for	IN	for
this	DT	this
prop	NN	prop
proposal	NN	proposal
it	PP	it
was	VBD	be
based	VVN	base
on	IN	on
the	DT	the
President	NP	President
Biden	NP	Biden
initiative	NN	initiative
and	CC	and
the	DT	the
inter	VVP	inter
and	CC	and
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
and	CC	and
and	CC	and
the	DT	the
Israelis	NPS	Israelis
they	PP	they
'	POS	'
ve	NN	ve
rejected	VVD	reject
that	IN/that	that
in	IN	in
a	DT	a
practical	JJ	practical
way	NN	way
they	PP	they
committed	VVD	commit
the	DT	the
massacre	NN	massacre
of	IN	of
al	NP	al
-	NN	-
maasi	NNS	maasi
and	CC	and
they	PP	they
assassinated	VVD	assassinate
hania	NN	hania
and	CC	and
they	PP	they
even	RB	even
committed	VVD	commit
the	DT	the
massacre	NN	massacre
of	IN	of
in	IN	in
school	NN	school
I	PP	I
think	VVP	think
what	WP	what
we	PP	we
need	VVP	need
now	RB	now
a	DT	a
real	JJ	real
pressure	NN	pressure
from	IN	from
the	DT	the
American	JJ	American
side	NN	side
on	IN	on
the	DT	the
Israelis	NPS	Israelis
to	TO	to
accept	VV	accept
that	DT	that
proposal	NN	proposal
which	WDT	which
was	VBD	be
accepted	VVN	accept
by	IN	by
mass	NN	mass
and	CC	and
I	PP	I
have	VHP	have
to	TO	to
say	VV	say
it	PP	it
wasn	NN	wasn
'	POS	'
t	NN	t
introduced	VVD	introduce
by	IN	by
the	DT	the
m	NN	m
migrators	NNS	migrator
and	CC	and
it	PP	it
was	VBD	be
written	VVN	write
by	IN	by
the	DT	the
Americans	NPS	Americans
themselves	PP	themselves
Mr	NP	Mr
hamdan	NP	Hamdan
just	RB	just
a	DT	a
final	JJ	final
thought	NN	thought
from	IN	from
you	PP	you
if	IN	if
I	PP	I
may	MD	may
on	IN	on
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
how	WRB	how
do	VVP	do
you	PP	you
view	VVP	view
things	NNS	thing
there	RB	there
and	CC	and
how	WRB	how
will	MD	will
you	PP	you
deal	VV	deal
as	IN	as
Hamas	NP	Hamas
how	WRB	how
will	MD	will
Hamas	NNS	Hamas
deal	VV	deal
uh	UH	uh
with	IN	with
the	DT	the
situation	NN	situation
going	VVG	go
forward	RB	forward
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
with	IN	with
the	DT	the
ongoing	JJ	ongoing
military	JJ	military
raids	NNS	raid
and	CC	and
arrests	NNS	arrest
as	IN	as
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
seeing	VVG	see
well	RB	well
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
West	NP	West
Bank	NP	Bank
it	PP	it
shows	VVZ	show
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
they	PP	they
don	VVP	don
'	''	'
t	NN	t
recognize	VV	recognize
the	DT	the
Palestinians	NPS	Palestinians
as	IN	as
a	DT	a
nation	NN	nation
everyone	NN	everyone
knows	VVZ	know
that	IN/that	that
for	IN	for
for	IN	for
for	IN	for
example	NN	example
in	IN	in
Janine	NP	Janine
there	EX	there
is	VBZ	be
a	DT	a
Palestinian	JJ	Palestinian
Authority	NP	Authority
and	CC	and
they	PP	they
were	VBD	be
they	PP	they
are	VBP	be
supposed	VVN	suppose
to	TO	to
have	VH	have
the	DT	the
full	JJ	full
control	NN	control
on	IN	on
the	DT	the
security	NN	security
there	RB	there
they	PP	they
invaded	VVD	invade
Janine	NP	Janine
they	PP	they
didn	NP	didn
'	POS	'
t	NN	t
talk	NN	talk
to	TO	to
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
even	RB	even
when	WRB	when
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
press	NN	press
conference	NN	conference
was	VBD	be
talking	VVG	talk
uh	UH	uh
on	IN	on
on	IN	on
the	DT	the
map	NN	map
there	EX	there
was	VBD	be
no	DT	no
West	NP	West
Bank	NP	Bank
it	PP	it
shows	VVZ	show
the	DT	the
real	JJ	real
H	NN	H
will	NN	will
of	IN	of
this	DT	this
government	NN	government
to	TO	to
take	VV	take
over	IN	over
all	PDT	all
the	DT	the
all	DT	all
West	NP	West
Bank	NP	Bank
and	CC	and
I	PP	I
think	VVP	think
by	IN	by
invading	VVG	invade
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
West	NP	West
Bank	NP	Bank
they	PP	they
are	VBP	be
preparing	VVG	prepare
for	IN	for
for	IN	for
for	IN	for
this	DT	this
step	NN	step
I	PP	I
have	VHP	have
to	TO	to
remind	VV	remind
everyone	NN	everyone
that	IN/that	that
two	CD	two
years	NNS	year
ago	RB	ago
smri	RB	smri
have	VHP	have
said	VVN	say
clearly	RB	clearly
we	PP	we
have	VHP	have
to	TO	to
evacuate	VV	evacuate
2	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
from	IN	from
West	NP	West
West	NP	West
Bank	NP	Bank
if	IN	if
we	PP	we
want	VVP	want
a	DT	a
survival	NN	survival
for	IN	for
Israel	NP	Israel
okay	JJ	okay
Mr	NP	Mr
Usama	NP	Usama
hamdan	NN	hamdan
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
