<video_id>dqwJYXYNLHo</video_id>	JJ	<video_id>dqwJYXYNLHo</video_id>
than	IN	than
15,000	CD	@card@
others	NNS	other
injured	VVN	injure
uh	UH	uh
uh	UH	uh
it's	NNS	it's
also	RB	also
important	JJ	important
uh	UH	uh
to	TO	to
mention	VV	mention
that	IN/that	that
during	IN	during
the	DT	the
past	JJ	past
hour	NN	hour
uh	UH	uh
different	JJ	different
areas	NNS	area
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
was	VBD	be
uh	UH	uh
heavily	RB	heavily
bombarded	VVN	bombard
by	IN	by
the	DT	the
Israeli	NP	Israeli
Air	NP	Air
Forces	NPS	Forces
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
residential	JJ	residential
buildings	NNS	building
in	IN	in
uh	UH	uh
kanun	NN	kanun
city	NN	city
has	VHZ	have
leveled	VVN	level
to	TO	to
the	DT	the
ground	NN	ground
a	DT	a
number	NN	number
of	IN	of
casualties	NNS	casualty
have	VHP	have
been	VBN	be
reported	VVN	report
also	RB	also
the	DT	the
Eastern	JJ	eastern
areas	NNS	area
of	IN	of
rafah	NP	rafah
District	NP	District
witness	NN	witness
Mass	NP	Mass
uh	UH	uh
tank	VV	tank
Shilling	NP	Shilling
by	IN	by
the	DT	the
Israeli	JJ	Israeli
artillery	NN	artillery
uh	UH	uh
during	IN	during
uh	UH	uh
uh	UH	uh
during	IN	during
the	DT	the
past	JJ	past
hour	NN	hour
uh	UH	uh
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
current	JJ	current
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
the	DT	the
Israeli	JJ	Israeli
drones	NNS	drone
in	IN	in
in	IN	in
the	DT	the
sky	NN	sky
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
keep	VV	keep
hovering	VVG	hover
in	IN	in
order	NN	order
to	TO	to
collect	VV	collect
different	JJ	different
information	NN	information
about	IN	about
Targets	NNS	target
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
order	NN	order
to	TO	to
be	VB	be
directed	VVN	direct
to	TO	to
Israeli	JJ	Israeli
Jets	NNS	jet
to	TO	to
Fire	NP	Fire
and	CC	and
to	TO	to
bombard	VV	bombard
residential	JJ	residential
houses	VVZ	house
uh	UH	uh
the	DT	the
majority	NN	majority
of	IN	of
the	DT	the
victims	NNS	victim
that	WDT	that
had	VHD	have
fallen	VVN	fall
since	IN	since
the	DT	the
early	JJ	early
beginning	NN	beginning
of	IN	of
this	DT	this
round	NN	round
of	IN	of
fighting	VVG	fight
between	IN	between
Palestinian	NP	Palestinian
and	CC	and
the	DT	the
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
are	VBP	be
the	DT	the
majority	NN	majority
of	IN	of
them	PP	them
were	VBD	be
young	JJ	young
children	NNS	child
and	CC	and
women	NNS	woman
more	JJR	more
than	IN	than
40%	CD	@card@
of	IN	of
them	PP	them
were	VBD	be
young	JJ	young
children	NNS	child
t	NN	t
I	PP	I
want	VVP	want
to	TO	to
ask	VV	ask
you	PP	you
about	IN	about
what's	NNS	what's
happening	VVG	happen
at	IN	at
hospitals	NNS	hospital
across	IN	across
Gaza	NP	Gaza
uh	UH	uh
because	IN	because
the	DT	the
situation	NN	situation
there	EX	there
was	VBD	be
already	RB	already
very	RB	very
bad	JJ	bad
as	IN	as
we	PP	we
know	VVP	know
and	CC	and
as	IN	as
we've	NNS	we've
been	VBN	be
covering	VVG	cover
for	IN	for
well	RB	well
really	RB	really
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
uh	UH	uh
it's	NNS	it's
been	VBN	be
getting	VVG	get
worse	JJR	bad
you're	NN	you're
by	IN	by
Al	NP	Al
Nasser	NP	Nasser
hospital	NN	hospital
if	IN	if
I'm	NP	I'm
not	RB	not
mistaken	VVN	mistake
and	CC	and
only	RB	only
I	PP	I
want	VVP	want
to	TO	to
say	VV	say
about	RB	about
two	CD	two
hours	NNS	hour
ago	RB	ago
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
health	NN	health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
was	VBD	be
saying	VVG	say
many	JJ	many
hospitals	NNS	hospital
no	RB	no
longer	RBR	longer
have	VHP	have
what	WP	what
they	PP	they
need	VVP	need
to	TO	to
treat	VV	treat
the	DT	the
injured	JJ	injured
what	WP	what
are	VBP	be
you	PP	you
seeing	VVG	see
well	RB	well
the	DT	the
current	JJ	current
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
hospitals	NNS	hospital
not	RB	not
only	RB	only
in	IN	in
a	DT	a
Nas	NP	Nas
hospital	NN	hospital
but	CC	but
in	IN	in
every	DT	every
single	JJ	single
Hospital	NN	hospital
in	IN	in
the	DT	the
besieged	VVN	besiege
territory	NN	territory
uh	UH	uh
is	VBZ	be
witnessing	VVG	witness
massive	JJ	massive
deterioration	NN	deterioration
in	IN	in
medical	JJ	medical
abilities	NNS	ability
to	TO	to
uh	UH	uh
keep	VV	keep
providing	VVG	provide
treatment	NN	treatment
for	IN	for
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
inside	IN	inside
uh	UH	uh
the	DT	the
besieged	JJ	besieged
inclave	VV	inclave
uh	UH	uh
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
ongoing	JJ	ongoing
closure	NN	closure
of	IN	of
borders	NNS	border
and	CC	and
till	IN	till
this	DT	this
current	JJ	current
moment	NN	moment
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
this	DT	this
approval	NN	approval
of	IN	of
injury	NN	injury
refuel	VVP	refuel
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
will	MD	will
worsen	VV	worsen
the	DT	the
situation	NN	situation
in	IN	in
hospitals	NNS	hospital
now	IN	now
doctors	NNS	doctor
are	VBP	be
uh	UH	uh
conducting	VVG	conduct
different	JJ	different
medical	JJ	medical
operations	NNS	operation
without	IN	without
being	VBG	be
CED	NP	CED
and	CC	and
even	RB	even
on	IN	on
the	DT	the
light	NN	light
of	IN	of
their	PP$	their
smartphones	NNS	smartphones
the	DT	the
Indonesian	JJ	Indonesian
Hospital	NN	hospital
in	IN	in
the	DT	the
Norther	NN	norther
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
which	WDT	which
considered	VVD	consider
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
Central	JJ	central
hospitals	NNS	hospital
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
has	VHZ	have
become	VVN	become
out	RP	out
of	IN	of
services	NNS	service
and	CC	and
it	PP	it
has	VHZ	have
shut	VVN	shut
down	RP	down
of	IN	of
electricity	NN	electricity
after	IN	after
the	DT	the
uh	UH	uh
running	VVG	run
out	RP	out
of	IN	of
the	DT	the
fuel	NN	fuel
in	IN	in
in	IN	in
this	DT	this
Hospital	NP	Hospital
also	RB	also
the	DT	the
Palestinian	JJ	Palestinian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
and	CC	and
Gaza	NP	Gaza
Strip	NP	Strip
has	VHZ	have
said	VVN	say
that	IN/that	that
during	IN	during
the	DT	the
next	JJ	next
24	CD	@card@
hours	NNS	hour
there's	RB	there's
going	VVG	go
to	TO	to
be	VB	be
no	DT	no
entry	NN	entry
of	IN	of
a	DT	a
fuel	NN	fuel
Convoy	VV	convoy
uh	UH	uh
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
situation	NN	situation
will	MD	will
be	VB	be
very	RB	very
hard	JJ	hard
T	NN	T
Kaboom	NN	Kaboom
reporting	VVG	report
from	IN	from
kanun	NN	kanun
is	VBZ	be
just	RB	just
next	JJ	next
to	TO	to
Al	NP	Al
Naser	NP	Naser
Hospital	NP	Hospital
in	IN	in
the	DT	the
uh	UH	uh
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
tar	NN	tar
for	IN	for
that	WDT	that
we	PP	we
want	VVP	want
to	TO	to
delve	VV	delve
into	IN	into
this	DT	this
and	CC	and
uh	UH	uh
continue	VV	continue
bringing	VVG	bring
our	PP$	our
viewers	NNS	viewer
information	NN	information
on	IN	on
what's	NNS	what's
Happening	VVG	happen
inside	IN	inside
gaza's	NN	gaza's
hospitals	NNS	hospital
joining	VVG	join
us	PP	us
by	IN	by
phone	NN	phone
from	IN	from
Gaza	NP	Gaza
is	VBZ	be
Dr	NP	Dr
Hassan	NP	Hassan
halaf	NN	halaf
medical	JJ	medical
director	NN	director
of	IN	of
alwafa	NP	alwafa
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
tell	VVP	tell
us	PP	us
what's	NNS	what's
happening	VVG	happen
where	WRB	where
you	PP	you
are	VBP	be
are	VBP	be
you	PP	you
still	RB	still
able	JJ	able
to	TO	to
treat	VV	treat
the	DT	the
injured	JJ	injured
well	NN	well
um	VVG	um
uh	UH	uh
you	PP	you
as	IN	as
you	PP	you
know	VVP	know
today	NN	today
is	VBZ	be
the	DT	the
17th	JJ	17th
days	NNS	day
of	IN	of
American	NP	American
and	CC	and
Israel	NP	Israel
war	NN	war
against	IN	against
children	NNS	child
and	CC	and
wom	NN	wom
in	IN	in
Gaza	NP	Gaza
and	CC	and
you	PP	you
know	VVP	know
bombarding	VVG	bombard
the	DT	the
people	NNS	people
on	IN	on
The	DT	the
Reel	NP	Reel
and	CC	and
hundreds	NNS	hundred
of	IN	of
children	NNS	child
under	IN	under
Rebel	NP	Rebel
keeping	VVG	keep
also	RB	also
the	DT	the
situation	NN	situation
and	CC	and
in	IN	in
in	IN	in
hospitals	NNS	hospital
is	VBZ	be
very	RB	very
very	RB	very
sad	JJ	sad
you	PP	you
know	VVP	know
because	IN	because
as	IN	as
you	PP	you
know	VVP	know
long	JJ	long
Siege	NN	siege
and	CC	and
shortage	NN	shortage
of	IN	of
medications	NNS	medication
as	IN	as
well	RB	well
as	RB	as
now	RB	now
no	RB	no
no	DT	no
water	NN	water
and	CC	and
electricity	NN	electricity
and	CC	and
all	DT	all
hospitals	NNS	hospital
depending	VVG	depend
on	IN	on
the	DT	the
electrical	JJ	electrical
generator	NN	generator
which	WDT	which
is	VBZ	be
not	RB	not
the	DT	the
doct	NN	doct
if	IN	if
I	PP	I
can	MD	can
respectfully	RB	respectfully
if	IN	if
I	PP	I
can	MD	can
respectfully	RB	respectfully
interrupt	VV	interrupt
you	PP	you
are	VBP	be
you	PP	you
still	RB	still
able	JJ	able
to	TO	to
treat	VV	treat
the	DT	the
injured	VVN	injure
at	IN	at
this	DT	this
stage	VV	stage
uh	UH	uh
well	UH	well
and	CC	and
in	IN	in
my	PP$	my
hospital	NN	hospital
I'm	NN	I'm
treating	VVG	treat
the	DT	the
elderly	JJ	elderly
um	NN	um
you	PP	you
know	VVP	know
bden	JJ	bden
patient	NN	patient
with	IN	with
chronic	JJ	chronic
diseases	NNS	disease
yes	RB	yes
I	PP	I
helped	VVD	help
cha	NN	cha
hospital	NN	hospital
and	CC	and
brought	VVN	bring
um	NNS	um
about	IN	about
30	CD	@card@
uh	UH	uh
wounded	VVN	wound
from	IN	from
shifa	NN	shifa
hospital	NN	hospital
just	RB	just
to	TO	to
give	VV	give
them	PP	them
you	PP	you
know	VVP	know
space	NN	space
for	IN	for
some	DT	some
you	PP	you
know	VVP	know
new	JJ	new
ured	JJ	ured
people	NNS	people
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
situation	NN	situation
in	IN	in
my	PP$	my
hospital	NN	hospital
my	PP$	my
patients	NNS	patient
are	VBP	be
elderly	JJ	elderly
with	IN	with
the	DT	the
chronic	JJ	chronic
diseases	NNS	disease
with	IN	with
with	IN	with
big	JJ	big
SES	NNS	sis
with	IN	with
pressure	NN	pressure
ERS	NP	ERS
and	CC	and
you	PP	you
know	VVP	know
strokes	NNS	stroke
and	CC	and
neurological	JJ	neurological
diseases	NNS	disease
and	CC	and
I	PP	I
as	IN	as
I	PP	I
told	VVD	tell
you	PP	you
30	CD	@card@
out	IN	out
of	IN	of
them	PP	them
30	CD	@card@
patients	NNS	patient
brought	VVN	bring
from	IN	from
shifa	NN	shifa
hospital	NN	hospital
who	WP	who
have	VHP	have
you	PP	you
know	VVP	know
injured	VVN	injure
during	IN	during
the	DT	the
world	NN	world
on	IN	on
civilian	JJ	civilian
and	CC	and
are	VBP	be
you	PP	you
able	JJ	able
to	TO	to
give	VV	give
them	PP	them
the	DT	the
medical	JJ	medical
care	NN	care
that	IN/that	that
they	PP	they
need	VVP	need
well	RB	well
this	DT	this
is	VBZ	be
the	DT	the
the	DT	the
the	DT	the
minimal	JJ	minimal
the	DT	the
minimal	JJ	minimal
and	CC	and
they	PP	they
only	RB	only
available	JJ	available
even	RB	even
the	DT	the
food	NN	food
we	PP	we
would	MD	would
have	VH	have
food	NN	food
you	PP	you
know	VVP	know
the	DT	the
food	NN	food
we	PP	we
we	PP	we
will	MD	will
depend	VV	depend
on	IN	on
bean	NN	bean
cans	NNS	can
and	CC	and
jams	NNS	jam
and	CC	and
cheese	NN	cheese
and	CC	and
can	MD	can
so	RB	so
dry	VV	dry
food	NN	food
and	CC	and
it	PP	it
is	VBZ	be
not	RB	not
suitable	JJ	suitable
feeding	NN	feeding
as	RB	as
well	RB	well
as	IN	as
you	PP	you
know	VVP	know
deficiency	NN	deficiency
in	IN	in
medications	NNS	medication
but	CC	but
the	DT	the
the	DT	the
great	JJ	great
problem	NN	problem
is	VBZ	be
the	DT	the
electricity	NN	electricity
and	CC	and
you	PP	you
know	VVP	know
light	JJ	light
and	CC	and
you	PP	you
know	VVP	know
you	PP	you
know	VVP	know
the	DT	the
other	JJ	other
machines	NNS	machine
or	CC	or
equipment	NN	equipment
we	PP	we
need	VVP	need
who	WP	who
depend	VVP	depend
completely	RB	completely
on	IN	on
the	DT	the
electricity	NN	electricity
as	RB	as
well	RB	well
as	IN	as
lifts	NNS	lift
and	CC	and
so	RB	so
other	JJ	other
other	JJ	other
parts	NNS	part
of	IN	of
the	DT	the
hospital	NN	hospital
so	RB	so
are	VBP	be
facing	VVG	face
great	JJ	great
to	TO	to
Great	JJ	great
difficulties	NNS	difficulty
in	IN	in
continue	VVP	continue
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
power	NN	power
left	VVD	leave
do	VV	do
you	PP	you
have	VHP	have
any	DT	any
power	NN	power
left	VVD	leave
I	PP	I
understand	VVP	understand
that	IN/that	that
the	DT	the
lights	NNS	light
are	VBP	be
out	IN	out
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
in	IN	in
most	JJS	most
places	NNS	place
but	CC	but
have	VHP	have
you	PP	you
been	VBN	be
able	JJ	able
to	TO	to
ration	NN	ration
power	NN	power
are	VBP	be
you	PP	you
able	JJ	able
to	TO	to
use	VV	use
it	PP	it
just	RB	just
in	IN	in
certain	JJ	certain
specific	JJ	specific
circumstances	NNS	circumstance
when	WRB	when
some	DT	some
patients	NNS	patient
require	VVP	require
it	PP	it
or	CC	or
is	VBZ	be
it	PP	it
totally	RB	totally
gone	VVN	go
now	RB	now
well	RB	well
this	DT	this
is	VBZ	be
the	DT	the
the	DT	the
least	JJS	least
minimal	JJ	minimal
I	PP	I
said	VVD	say
you	PP	you
know	VV	know
uh	UH	uh
we	PP	we
have	VHP	have
you	PP	you
know	VVP	know
small	JJ	small
uh	UH	uh
solar	JJ	solar
system	NN	system
using	VVG	use
for	IN	for
lighting	NN	lighting
and	CC	and
we	PP	we
some	RB	some
we	PP	we
could	MD	could
the	DT	the
few	JJ	few
the	DT	the
the	DT	the
P	NN	P
few	JJ	few
days	NNS	day
work	VVP	work
in	IN	in
the	DT	the
generator	NN	generator
for	IN	for
two	CD	two
or	CC	or
three	CD	three
hour	NN	hour
just	RB	just
to	TO	to
um	NNS	um
to	TO	to
do	VV	do
the	DT	the
minimal	JJ	minimal
work	NN	work
but	CC	but
all	PDT	all
the	DT	the
time	NN	time
you	PP	you
know	VVP	know
minimal	JJ	minimal
light	NN	light
there	EX	there
is	VBZ	be
you	PP	you
know	VVP	know
minimal	JJ	minimal
electricity	NN	electricity
and	CC	and
we	PP	we
cannot	MD	can
you	PP	you
know	VV	know
be	VB	be
sure	JJ	sure
that	IN/that	that
how	WRB	how
many	JJ	many
days	NNS	day
the	DT	the
disaster	NN	disaster
will	MD	will
come	VV	come
in	IN	in
which	WDT	which
now	RB	now
all	DT	all
people	NNS	people
here	RB	here
will	MD	will
die	VV	die
on	IN	on
spots	NNS	spot
because	IN	because
these	DT	these
this	DT	this
Medical	NP	Medical
Care	NN	Care
is	VBZ	be
you	PP	you
know	VVP	know
crumbled	VVN	crumble
Dr	NP	Dr
Hassan	NP	Hassan
kalaf	NN	kalaf
medical	JJ	medical
director	NN	director
of	IN	of
alwafa	NP	alwafa
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
the	DT	the
program	NN	program
today	NN	today
and	CC	and
sharing	VVG	share
that	IN/that	that
with	IN	with
</doc>	NN	</doc>
