<video_id>D9fotBzVUWU</video_id>	JJ	<video_id>D9fotBzVUWU</video_id>
are	VBP	be
dying	VVG	die
of	IN	of
entirely	RB	entirely
preventable	JJ	preventable
diseases	NNS	disease
related	VVN	relate
to	TO	to
malnutrition	NN	malnutrition
and	CC	and
it's	NNS	it's
only	RB	only
going	VVG	go
to	TO	to
get	VV	get
worse	JJR	bad
as	IN	as
as	IN	as
this	DT	this
uh	UH	uh
you	PP	you
know	VVP	know
this	DT	this
crisis	NN	crisis
continues	VVZ	continue
and	CC	and
just	RB	just
to	TO	to
put	VV	put
this	DT	this
in	IN	in
context	NN	context
we're	NN	we're
talking	NN	talking
about	IN	about
uh	UH	uh
people	NNS	people
who	WP	who
have	VHP	have
endured	VVN	endure
Decades	NNS	decade
of	IN	of
occupation	NN	occupation
and	CC	and
what	WP	what
international	JJ	international
human	JJ	human
rights	NNS	right
groups	NNS	group
in	IN	in
including	VVG	include
Israeli	NP	Israeli
Human	NP	Human
Rights	NPS	Rights
group	NN	group
b	SYM	b
Salam	NP	Salam
call	NN	call
apartheid	NN	apartheid
right	RB	right
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
battle	NN	battle
between	IN	between
two	CD	two
equal	JJ	equal
armies	NNS	army
it's	NNS	it's
actually	RB	actually
worse	JJR	bad
than	IN	than
apartheid	NN	apartheid
I	PP	I
like	VVP	like
what	WP	what
um	NN	um
nom	NN	nom
Chomsky	NP	Chomsky
said	VVD	say
when	WRB	when
he	PP	he
was	VBD	be
asked	VVN	ask
why	WRB	why
don't	JJ	don't
you	PP	you
use	VVP	use
the	DT	the
word	NN	word
apartheid	NN	apartheid
to	TO	to
describe	VV	describe
what	WP	what
what's	NNS	what's
happening	VVG	happen
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
he	PP	he
said	VVD	say
the	DT	the
reason	NN	reason
I	PP	I
don't	VVD	don't
use	VV	use
the	DT	the
word	NN	word
aparti	NN	aparti
is	VBZ	be
because	IN	because
it's	NNS	it's
much	RB	much
worse	JJR	bad
than	IN	than
aparti	NP	aparti
and	CC	and
Desmond	NP	Desmond
Tutu	NN	tutu
the	DT	the
former	JJ	former
South	JJ	South
African	JJ	African
Archbishop	NN	archbishop
uh	UH	uh
who	WP	who
was	VBD	be
obviously	RB	obviously
an	DT	an
expert	NN	expert
in	IN	in
apartheid	NN	apartheid
uh	UH	uh
when	WRB	when
he	PP	he
was	VBD	be
asked	VVN	ask
this	DT	this
a	DT	a
similar	JJ	similar
question	NN	question
he	PP	he
said	VVD	say
that	IN/that	that
that	DT	that
what	WP	what
the	DT	the
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
enduring	VVG	endure
uh	UH	uh
for	IN	for
decades	NNS	decade
is	VBZ	be
worse	JJR	bad
uh	UH	uh
than	IN	than
uh	UH	uh
apartheid	NN	apartheid
South	NP	South
Africa	NP	Africa
so	IN	so
it's	NNS	it's
worse	JJR	bad
than	IN	than
apartheid	NN	apartheid
and	CC	and
I	PP	I
think	VVP	think
we	PP	we
shouldn't	VVD	shouldn't
forget	VV	forget
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
as	RB	as
has	VHZ	have
been	VBN	be
the	DT	the
case	NN	case
for	IN	for
uh	UH	uh
really	RB	really
for	IN	for
uh	UH	uh
many	JJ	many
many	JJ	many
years	NNS	year
it's	NNS	it's
been	VBN	be
uh	UH	uh
a	DT	a
concentration	NN	concentration
camp	NN	camp
those	DT	those
are	VBP	be
the	DT	the
words	NNS	word
that	WDT	that
have	VHP	have
been	VBN	be
used	VVN	use
by	IN	by
Israeli	JJ	Israeli
experts	NNS	expert
like	IN	like
giora	NP	giora
Island	NP	Island
a	DT	a
top	JJ	top
Israeli	JJ	Israeli
security	NN	security
official	NN	official
like	IN	like
uh	UH	uh
baroo	NP	baroo
Kimberling	NP	Kimberling
a	DT	a
top	JJ	top
Israeli	NP	Israeli
a	DT	a
former	JJ	former
uh	UH	uh
sociologist	NN	sociologist
at	IN	at
the	DT	the
Hebrew	NP	Hebrew
University	NP	University
Gaza	NP	Gaza
is	VBZ	be
an	DT	an
a	DT	a
concentration	NN	concentration
camp	NN	camp
has	VHZ	have
been	VBN	be
for	IN	for
for	IN	for
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
and	CC	and
in	IN	in
that	DT	that
context	NN	context
the	DT	the
Palestinians	NPS	Palestinians
now	RB	now
are	VBP	be
subjected	VVN	subject
to	TO	to
uh	UH	uh
a	DT	a
full-on	JJ	full-on
uh	UH	uh
genocide	NN	genocide
all	RB	all
right	RB	right
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
analysis	NN	analysis
on	IN	on
that	DT	that
</doc>	NN	</doc>
