<video_id>9L2DdEUva3Y</video_id>	JJ	<video_id>9L2DdEUva3Y</video_id>
which	WDT	which
doesn't	VVD	doesn't
f	NN	f
us	PP	us
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
confidence	NN	confidence
over	IN	over
there	RB	there
being	VBG	be
a	DT	a
unified	JJ	unified
position	NN	position
on	IN	on
Israel	NP	Israel
in	IN	in
Israel	NP	Israel
over	IN	over
this	DT	this
uh	UH	uh
this	DT	this
current	JJ	current
proposal	NN	proposal
on	IN	on
uh	UH	uh
on	IN	on
the	DT	the
table	VV	table
uh	UH	uh
however	RB	however
we	PP	we
can	MD	can
see	VV	see
also	RB	also
that	DT	that
there's	JJ	there's
uh	UH	uh
a	DT	a
positive	JJ	positive
momentum	NN	momentum
building	VVG	build
up	RP	up
within	IN	within
both	DT	both
sides	NNS	side
as	IN	as
you	PP	you
said	VVD	say
the	DT	the
statements	NNS	statement
from	IN	from
Hamas	NP	Hamas
were	VBD	be
quite	RB	quite
positive	JJ	positive
uh	UH	uh
although	IN	although
falling	VVG	fall
short	NN	short
of	IN	of
uh	UH	uh
a	DT	a
commitment	NN	commitment
to	TO	to
to	TO	to
the	DT	the
language	NN	language
and	CC	and
asking	VVG	ask
for	IN	for
more	JJR	more
clarification	NN	clarification
uh	UH	uh
but	CC	but
they	PP	they
were	VBD	be
positive	JJ	positive
we	PP	we
we	PP	we
have	VHP	have
also	RB	also
seen	VVN	see
a	DT	a
positive	JJ	positive
movement	NN	movement
in	IN	in
in	IN	in
Israel	NP	Israel
where	WRB	where
the	DT	the
government	NN	government
is	VBZ	be
meeting	VVG	meet
right	RB	right
now	RB	now
and	CC	and
that	IN/that	that
there	RB	there
discussions	NNS	discussion
over	IN	over
accepting	VVG	accept
the	DT	the
proposals	NNS	proposal
on	IN	on
the	DT	the
tables	NNS	table
well	RB	well
our	PP$	our
correspondent	NN	correspondent
Assad	NP	Assad
B	NP	B
has	VHZ	have
more	JJR	more
from	IN	from
kata's	NNS	kata's
foreign	JJ	foreign
Ministry	NP	Ministry
in	IN	in
DOA	NP	DOA
now	RB	now
what	WP	what
we've	NN	we've
heard	VVN	hear
from	IN	from
the	DT	the
kis	NNS	kis
is	VBZ	be
a	DT	a
cautious	JJ	cautious
approach	NN	approach
now	RB	now
what	WP	what
they	PP	they
have	VHP	have
been	VBN	be
saying	VVG	say
is	VBZ	be
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
concrete	JJ	concrete
proposals	NNS	proposal
from	IN	from
both	DT	both
sides	NNS	side
there's	RB	there's
no	DT	no
agreement	NN	agreement
but	CC	but
also	RB	also
they've	NN	they've
said	VVD	say
that	IN/that	that
they've	NN	they've
heard	VVD	hear
contradictory	JJ	contradictory
statements	NNS	statement
from	IN	from
Israel	NP	Israel
which	WDT	which
shows	VVZ	show
that	IN/that	that
Israel	NP	Israel
doesn't	NP	doesn't
have	VHP	have
a	DT	a
unified	JJ	unified
position	NN	position
and	CC	and
that	IN/that	that
this	DT	this
doesn't	NN	doesn't
give	VV	give
qat	NN	qat
much	JJ	much
confidence	NN	confidence
in	IN	in
the	DT	the
process	NN	process
but	CC	but
what	WP	what
they	PP	they
did	VVD	do
say	VV	say
is	VBZ	be
that	IN/that	that
they	PP	they
are	VBP	be
seeing	VVG	see
a	DT	a
positive	JJ	positive
International	NP	International
momentum	NN	momentum
led	VVN	lead
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
get	VV	get
both	DT	both
sides	NNS	side
to	TO	to
agree	VV	agree
to	TO	to
this	DT	this
agreement	NN	agreement
but	CC	but
what	WP	what
we	PP	we
heard	VVD	hear
from	IN	from
the	DT	the
White	NP	White
House	NP	House
was	VBD	be
that	IN/that	that
they	PP	they
are	VBP	be
blaming	VVG	blame
Hamas	NNS	Hamas
they	PP	they
said	VVD	say
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
the	DT	the
obstacle	NN	obstacle
to	TO	to
this	DT	this
agreement	NN	agreement
now	RB	now
that's	NNS	that's
not	RB	not
what	WP	what
we've	NN	we've
heard	VVN	hear
from	IN	from
qarqatar	NN	qarqatar
said	VVD	say
there's	RB	there's
no	DT	no
concrete	JJ	concrete
steps	NNS	step
from	IN	from
both	DT	both
sides	NNS	side
but	CC	but
there	EX	there
have	VHP	have
been	VBN	be
positive	JJ	positive
statements	NNS	statement
from	IN	from
Hamas	NN	Hamas
but	CC	but
it	PP	it
falls	VVZ	fall
short	JJ	short
of	IN	of
accepting	VVG	accept
an	DT	an
agreement	NN	agreement
now	RB	now
in	IN	in
the	DT	the
past	NN	past
we	PP	we
have	VHP	have
heard	VVN	hear
from	IN	from
qar	NN	qar
that	IN/that	that
one	CD	one
side	NN	side
clearly	RB	clearly
wants	VVZ	want
to	TO	to
end	VV	end
this	DT	this
war	NN	war
and	CC	and
one	CD	one
side	NN	side
clearly	RB	clearly
wants	VVZ	want
to	TO	to
continue	VV	continue
this	DT	this
war	NN	war
meaning	VVG	mean
Israel	NP	Israel
now	RB	now
that's	NNS	that's
not	RB	not
what	WP	what
they're	NN	they're
saying	VVG	say
now	RB	now
they're	NN	they're
urging	VVG	urge
both	DT	both
sides	NNS	side
to	TO	to
come	VV	come
together	RB	together
to	TO	to
stop	VV	stop
this	DT	this
war	NN	war
although	IN	although
they	PP	they
say	VVP	say
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
concrete	JJ	concrete
timeline	NN	timeline
or	CC	or
whether	IN	whether
it	PP	it
will	MD	will
actually	RB	actually
happen	VV	happen
Assad	NP	Assad
bag	NN	bag
Al	NP	Al
jaaz	NP	jaaz
Doha	NP	Doha
wellan	NP	wellan
Barakat	NP	Barakat
is	VBZ	be
Professor	NP	Professor
of	IN	of
public	JJ	public
policy	NN	policy
at	IN	at
hammad	NN	hammad
bin	NN	bin
Khalifa	NP	Khalifa
University	NP	University
joins	VVZ	join
us	PP	us
here	RB	here
in	IN	in
Doha	NP	Doha
good	RB	good
speak	VVP	speak
to	TO	to
you	PP	you
again	RB	again
Sultan	NP	Sultan
we've	NN	we've
got	VVD	get
Hamas	NNS	Hamas
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
not	RB	not
serious	JJ	serious
about	IN	about
this	DT	this
deal	NN	deal
and	CC	and
that	IN/that	that
the	DT	the
ball	NN	ball
is	VBZ	be
not	RB	not
in	IN	in
hamas's	NN	hamas's
court	NN	court
does	VVZ	do
that	DT	that
suggest	VVP	suggest
that	IN/that	that
they	PP	they
are	VBP	be
likely	JJ	likely
to	TO	to
accept	VV	accept
Biden's	NP	Biden's
peace	NN	peace
proposal	NN	proposal
well	RB	well
they	PP	they
came	VVD	come
out	RP	out
early	RB	early
on	IN	on
yesterday	NN	yesterday
in	IN	in
fact	NN	fact
and	CC	and
they	PP	they
were	VBD	be
positive	JJ	positive
from	IN	from
the	DT	the
beginning	VVG	begin
and	CC	and
uh	UH	uh
as	IN	as
we	PP	we
said	VVD	say
earlier	RBR	earlier
I	PP	I
think	VV	think
uh	UH	uh
what	WP	what
has	VHZ	have
been	VBN	be
offered	VVN	offer
is	VBZ	be
not	RB	not
too	RB	too
far	RB	far
from	IN	from
what	WP	what
they	PP	they
had	VHD	have
already	RB	already
agreed	VVN	agree
to	TO	to
uh	UH	uh
some	DT	some
10	CD	@card@
days	NNS	day
ago	RB	ago
so	RB	so
From	IN	from
hamas's	NN	hamas's
perspective	NN	perspective
I	PP	I
think	VVP	think
it	PP	it
is	VBZ	be
very	RB	very
clear	JJ	clear
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
see	VV	see
an	DT	an
end	NN	end
of	IN	of
War	NP	War
now	RB	now
the	DT	the
worry	NN	worry
I	PP	I
think	VVP	think
on	IN	on
their	PP$	their
mind	NN	mind
is	VBZ	be
when	WRB	when
they	PP	they
read	VVP	read
the	DT	the
details	NNS	detail
and	CC	and
they	PP	they
compare	VVP	compare
the	DT	the
statements	NNS	statement
a	DT	a
netanyahu's	NN	netanyahu's
statements	NNS	statement
to	TO	to
his	PP$	his
audience	NN	audience
he	PP	he
says	VVZ	say
different	JJ	different
things	NNS	thing
to	TO	to
different	JJ	different
people	NNS	people
his	PP$	his
message	NN	message
to	TO	to
his	PP$	his
uh	UH	uh
far	RB	far
right	RB	right
is	VBZ	be
very	RB	very
different	JJ	different
when	WRB	when
he	PP	he
says	VVZ	say
it	PP	it
to	TO	to
the	DT	the
to	TO	to
to	TO	to
the	DT	the
rest	NN	rest
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
so	RB	so
on	IN	on
that	DT	that
is	VBZ	be
confusing	VVG	confuse
also	RB	also
the	DT	the
United	NP	United
States	NPS	States
uh	UH	uh
language	NN	language
they	PP	they
talk	VVP	talk
about	IN	about
the	DT	the
possibility	NN	possibility
of	IN	of
uh	UH	uh
Israel	NP	Israel
going	VVG	go
back	RB	back
to	TO	to
war	NN	war
if	IN	if
Hamas	NP	Hamas
fails	VVZ	fail
to	TO	to
implement	VV	implement
the	DT	the
terms	NNS	term
of	IN	of
the	DT	the
agreement	NN	agreement
and	CC	and
you	PP	you
can	MD	can
imagine	VV	imagine
that	IN/that	that
their	PP$	their
capacity	NN	capacity
no	DT	no
doubt	NN	doubt
has	VHZ	have
been	VBN	be
reduced	VVN	reduce
not	RB	not
just	RB	just
the	DT	the
military	JJ	military
capacity	NN	capacity
but	CC	but
also	RB	also
the	DT	the
governance	NN	governance
capacity	NN	capacity
until	IN	until
today	NN	today
Israelis	NNS	Israeli
are	VBP	be
still	RB	still
going	VVG	go
after	IN	after
their	PP$	their
policemen	NNS	policeman
on	IN	on
the	DT	the
street	NN	street
they	PP	they
go	VVP	go
after	IN	after
the	DT	the
public	JJ	public
service	NN	service
within	IN	within
Hamas	NNS	Hamas
that	WDT	that
would	MD	would
make	VV	make
it	PP	it
very	RB	very
difficult	JJ	difficult
for	IN	for
them	PP	them
to	TO	to
guarantee	VV	guarantee
anything	NN	anything
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
terms	NNS	term
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
so	IN	so
th	NN	th
those	DT	those
issues	NNS	issue
must	MD	must
be	VB	be
playing	VVG	play
on	IN	on
the	DT	the
mind	NN	mind
as	RB	as
as	IN	as
they	PP	they
consider	VVP	consider
the	DT	the
final	JJ	final
detail	NN	detail
and	CC	and
let's	NNS	let's
look	VVP	look
at	IN	at
other	JJ	other
ways	NNS	way
that	IN/that	that
the	DT	the
ceasefire	NN	ceasefire
plan	NN	plan
might	MD	might
be	VB	be
implemented	VVN	implement
because	IN	because
it	PP	it
does	VVZ	do
say	VVP	say
that	IN/that	that
Israel	NP	Israel
must	MD	must
withdraw	VV	withdraw
all	DT	all
of	IN	of
its	PP$	its
forces	NNS	force
from	IN	from
the	DT	the
populated	JJ	populated
areas	NNS	area
of	IN	of
Gaza	NP	Gaza
that	WDT	that
is	VBZ	be
most	JJS	most
of	IN	of
Gaza	NP	Gaza
isn't	VVD	isn't
it	PP	it
I	PP	I
mean	VVP	mean
it's	NNS	it's
a	DT	a
tiny	JJ	tiny
area	NN	area
it's	NNS	it's
filled	VVN	fill
with	IN	with
people	NNS	people
these	DT	these
people	NNS	people
mostly	RB	mostly
are	VBP	be
intense	JJ	intense
depends	VVZ	depend
on	IN	on
how	WRB	how
they	PP	they
would	MD	would
Define	VV	define
populated	JJ	populated
they	PP	they
may	MD	may
say	VV	say
populated	VVN	populate
as	RB	as
in	IN	in
now	RB	now
people	NNS	people
are	VBP	be
concentrated	VVN	concentrate
in	IN	in
those	DT	those
areas	NNS	area
which	WDT	which
means	VVZ	mean
that	IN/that	that
uh	UH	uh
the	DT	the
uh	UH	uh
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
Gaza	NP	Gaza
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
now	RB	now
introduced	VVN	introduce
like	IN	like
a	DT	a
a	DT	a
security	NN	security
Zone	NP	Zone
that	WDT	that
goes	VVZ	go
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
waters	NNS	water
which	WDT	which
practic	NP	practic
Bally	NP	Bally
split	VVD	split
the	DT	the
Gaza	NP	Gaza
uh	UH	uh
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
into	IN	into
two	CD	two
that	IN/that	that
whole	JJ	whole
area	NN	area
is	VBZ	be
not	RB	not
populated	VVN	populate
at	IN	at
the	DT	the
moment	NN	moment
they've	NN	they've
pushed	VVD	push
people	NNS	people
out	RP	out
of	IN	of
it	PP	it
they	PP	they
may	MD	may
argue	VV	argue
that	IN/that	that
they	PP	they
need	VVP	need
to	TO	to
stay	VV	stay
there	RB	there
so	RB	so
that	IN/that	that
they	PP	they
can	MD	can
uh	UH	uh
filter	NN	filter
through	IN	through
the	DT	the
Palestinians	NPS	Palestinians
returning	VVG	return
to	TO	to
the	DT	the
north	NN	north
they	PP	they
wouldn't	VVD	wouldn't
want	VV	want
Hamas	JJ	Hamas
fighters	NNS	fighter
to	TO	to
go	VV	go
back	RB	back
North	JJ	North
so	IN	so
whoever	WP	whoever
is	VBZ	be
coming	VVG	come
back	RB	back
they	PP	they
have	VHP	have
to	TO	to
check	VV	check
them	PP	them
one	CD	one
after	IN	after
the	DT	the
other	JJ	other
so	IN	so
a	DT	a
lot	NN	lot
depends	VVZ	depend
on	IN	on
the	DT	the
definitions	NNS	definition
and	CC	and
I	PP	I
think	VVP	think
the	DT	the
Palestinians	NPS	Palestinians
experience	VVP	experience
so	RB	so
far	RB	far
with	IN	with
Israel	NP	Israel
is	VBZ	be
that	IN/that	that
no	DT	no
definition	NN	definition
can	MD	can
fit	VV	fit
and	CC	and
nothing	NN	nothing
can	MD	can
commit	VV	commit
them	PP	them
to	TO	to
implement	VV	implement
uh	UH	uh
they're	NN	they're
doing	VVG	do
all	DT	all
what	WP	what
we	PP	we
see	VVP	see
they're	NN	they're
doing	VVG	do
now	RB	now
uh	UH	uh
following	VVG	follow
the	DT	the
second	JJ	second
call	NN	call
of	IN	of
the	DT	the
icj	NN	icj
for	IN	for
them	PP	them
to	TO	to
explicitly	RB	explicitly
not	RB	not
kill	VV	kill
civilians	NNS	civilian
in	IN	in
RAV	NP	Rav
it	PP	it
was	VBD	be
unequivocal	JJ	unequivocal
it's	NNS	it's
very	RB	very
clear	JJ	clear
decision	NN	decision
and	CC	and
they're	NN	they're
still	RB	still
pushing	VVG	push
for	IN	for
it	PP	it
and	CC	and
Biden	NP	Biden
unfortunately	RB	unfortunately
although	IN	although
he's	NNS	he's
trying	VVG	try
to	TO	to
Lobby	VV	lobby
the	DT	the
International	NP	International
Community	NP	Community
the	DT	the
G7	JJ	G7
came	VVD	come
out	RP	out
in	IN	in
support	NN	support
of	IN	of
his	PP$	his
plan	NN	plan
the	DT	the
Arab	JJ	Arab
ambassadors	NNS	ambassador
uh	UH	uh
did	VVD	do
the	DT	the
same	JJ	same
he	PP	he
has	VHZ	have
The	DT	the
Leverage	NN	leverage
in	IN	in
his	PP$	his
hand	NN	hand
he	PP	he
has	VHZ	have
the	DT	the
key	NN	key
he	PP	he
can	MD	can
actually	RB	actually
threaten	VV	threaten
to	TO	to
stop	VV	stop
at	IN	at
least	JJS	least
supplying	VVG	supply
weapons	NNS	weapon
never	RB	never
mind	VV	mind
cutting	VVG	cut
the	DT	the
financial	JJ	financial
aid	NN	aid
or	CC	or
uh	UH	uh
protecting	VVG	protect
Israel	NP	Israel
at	IN	at
the	DT	the
security	NN	security
Council	NN	council
so	RB	so
now	RB	now
they're	NN	they're
trying	VVG	try
to	TO	to
get	VV	get
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
approve	VV	approve
it	PP	it
he	PP	he
taking	VVG	take
the	DT	the
decision	NN	decision
to	TO	to
the	DT	the
security	NN	security
Council	NN	council
as	IN	as
well	RB	well
but	CC	but
all	RB	all
of	IN	of
this	DT	this
really	RB	really
playing	VVG	play
around	RP	around
the	DT	the
edges	NNS	edge
the	DT	the
real	JJ	real
uh	UH	uh
instrument	NN	instrument
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
is	VBZ	be
to	TO	to
stop	VV	stop
supplying	VVG	supply
Israel	NP	Israel
with	IN	with
weapons	NNS	weapon
so	IN	so
that	WDT	that
they	PP	they
understand	VVP	understand
there	EX	there
is	VBZ	be
an	DT	an
end	NN	end
to	TO	to
this	DT	this
I	PP	I
mean	VVP	mean
that	WDT	that
did	VVD	do
happen	VV	happen
didn't	NN	didn't
it	PP	it
during	IN	during
the	DT	the
sort	NN	sort
of	IN	of
Rafa	NP	Rafa
invasion	NN	invasion
in	IN	in
those	DT	those
early	JJ	early
days	NNS	day
certain	JJ	certain
yes	UH	yes
no	UH	no
no	UH	no
they	PP	they
didn't	VVD	didn't
stop	VV	stop
I	PP	I
don't	NN	don't
think	VVP	think
they	PP	they
stopped	VVD	stop
they	PP	they
they	PP	they
certainly	RB	certainly
threatened	VVD	threaten
it	PP	it
and	CC	and
it	PP	it
had	VHD	have
an	DT	an
impact	NN	impact
so	IN	so
why	WRB	why
are	VBP	be
they	PP	they
not	RB	not
why	WRB	why
are	VBP	be
they	PP	they
withholding	VVG	withhold
that	DT	that
card	NN	card
now	RB	now
well	RB	well
I	PP	I
think	VVP	think
partly	RB	partly
because	IN	because
he	PP	he
saw	VVD	see
the	DT	the
power	NN	power
of	IN	of
Israel	NP	Israel
in	IN	in
Washington	NP	Washington
DC	NP	DC
I	PP	I
mean	VVP	mean
he's	NNS	he's
he's	NNS	he's
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
this	DT	this
and	CC	and
Netanyahu	NP	Netanyahu
was	VBD	be
able	JJ	able
to	TO	to
get	VV	get
an	DT	an
invitation	NN	invitation
from	IN	from
Congress	NP	Congress
using	VVG	use
the	DT	the
Israeli	JJ	Israeli
Lobby	NN	lobby
in	IN	in
Washington	NP	Washington
to	TO	to
go	VV	go
for	IN	for
a	DT	a
fourth	JJ	fourth
invitation	NN	invitation
fourth	JJ	fourth
time	NN	time
to	TO	to
address	VV	address
the	DT	the
Congress	NP	Congress
never	RB	never
happened	VVD	happen
before	IN	before
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
all	PDT	all
this	DT	this
and	CC	and
against	IN	against
the	DT	the
wish	NN	wish
of	IN	of
the	DT	the
IC	NP	IC
or	CC	or
at	IN	at
least	JJS	least
now	RB	now
that	IN/that	that
you	PP	you
know	VVP	know
the	DT	the
request	NN	request
for	IN	for
an	DT	an
arrest	NN	arrest
warrant	NN	warrant
so	IN	so
he	PP	he
must	MD	must
be	VB	be
uh	UH	uh
fully	RB	fully
um	RB	um
aware	JJ	aware
of	IN	of
the	DT	the
fact	NN	fact
that	IN/that	that
he	PP	he
has	VHZ	have
to	TO	to
delicately	RB	delicately
balance	VV	balance
the	DT	the
Israeli	JJ	Israeli
interest	NN	interest
s	NN	S
Barat	NP	Barat
always	RB	always
good	JJ	good
to	TO	to
speak	VV	speak
to	TO	to
you	PP	you
thanks	VVZ	thank
for	IN	for
joining	VVG	join
us	PP	us
thank	VVP	thank
you	PP	you
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
</doc>	NN	</doc>
