okay	RB	okay
for	IN	for
Hamas	NNS	Hamas
well	RB	well
we	PP	we
don	VV	don
'	''	'
t	NN	t
actually	RB	actually
have	VHP	have
the	DT	the
inside	JJ	inside
documents	NNS	document
on	IN	on
exactly	RB	exactly
what	WP	what
the	DT	the
thinking	NN	thinking
of	IN	of
the	DT	the
Israeli	JJ	Israeli
leaders	NNS	leader
are	VBP	be
at	IN	at
the	DT	the
moment	NN	moment
uh	UH	uh
however	RB	however
what	WP	what
we	PP	we
do	VVP	do
know	VV	know
is	VBZ	be
throughout	IN	throughout
history	NN	history
when	WRB	when
we	PP	we
have	VHP	have
seen	VVN	see
these	DT	these
levels	NNS	level
of	IN	of
intense	JJ	intense
civilian	JJ	civilian
bombing	NN	bombing
campaigns	NNS	campaign
leaders	NNS	leader
have	VHP	have
routinely	RB	routinely
thought	VVN	think
that	IN/that	that
this	DT	this
would	MD	would
lead	VV	lead
to	TO	to
a	DT	a
shattering	VVG	shatter
of	IN	of
the	DT	the
civilian	JJ	civilian
morale	NN	morale
in	IN	in
favor	NN	favor
of	IN	of
the	DT	the
enemy	NN	enemy
or	CC	or
it	PP	it
would	MD	would
lead	VV	lead
to	TO	to
a	DT	a
u	NN	u
Rising	VVG	rise
that	IN/that	that
would	MD	would
topple	VV	topple
the	DT	the
enemy	NN	enemy
government	NN	government
uh	UH	uh
and	CC	and
this	DT	this
has	VHZ	have
never	RB	never
panned	VVN	pan
out	RP	out
in	IN	in
history	NN	history
uh	UH	uh
but	CC	but
it	PP	it
doesn	NP	doesn
'	POS	'
t	NN	t
stop	VV	stop
the	DT	the
attacker	NN	attacker
from	IN	from
holding	VVG	hold
out	RP	out
hope	NN	hope
that	IN/that	that
this	DT	this
um	NN	um
these	DT	these
intense	JJ	intense
civilian	JJ	civilian
bombing	NN	bombing
campaigns	NNS	campaign
will	MD	will
reach	VV	reach
a	DT	a
point	NN	point
where	WRB	where
you	PP	you
break	VVP	break
the	DT	the
back	NN	back
of	IN	of
Civilian	JJ	civilian
support	NN	support
for	IN	for
the	DT	the
enemy	NN	enemy
and	CC	and
what	WP	what
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
here	RB	here
just	RB	just
in	IN	in
the	DT	the
again	RB	again
the	DT	the
last	JJ	last
several	JJ	several
months	NNS	month
is	VBZ	be
actually	RB	actually
the	DT	the
opposite	NN	opposite
of	IN	of
that	DT	that
hope	VV	hope
uh	UH	uh
we	PP	we
are	VBP	be
seeing	VVG	see
the	DT	the
normal	JJ	normal
coercive	JJ	coercive
failure	NN	failure
of	IN	of
CI	NP	CI
intense	JJ	intense
civilian	JJ	civilian
bombing	NN	bombing
because	IN	because
that	DT	that
civilian	JJ	civilian
bombing	NN	bombing
is	VBZ	be
not	RB	not
leading	VVG	lead
to	TO	to
a	DT	a
loss	NN	loss
of	IN	of
support	NN	support
for	IN	for
Hamas	JJ	Hamas
inside	NN	inside
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
uh	UH	uh
but	CC	but
we	PP	we
now	RB	now
know	VVP	know
that	DT	that
support	NN	support
for	IN	for
Hamas	NP	Hamas
has	VHZ	have
tripled	VVN	triple
from	IN	from
25	CD	@card@
%	NN	%
of	IN	of
Palestinians	NPS	Palestinians
before	RB	before
um	VVD	um
uh	UH	uh
October	NP	October
7th	JJ	7th
to	TO	to
now	RB	now
today	RB	today
75	CD	@card@
%	NN	%
of	IN	of
Palestinians	NPS	Palestinians
support	NN	support
Hamas	NP	Hamas
and	CC	and
this	DT	this
is	VBZ	be
unfortunately	RB	unfortunately
increasing	VVG	increase
support	NN	support
for	IN	for
the	DT	the
terrorist	JJ	terrorist
group	NN	group
not	RB	not
diminishing	VVG	diminish
it	PP	it
and	CC	and
basically	RB	basically
is	VBZ	be
a	DT	a
counterproductive	JJ	counterproductive
outcome	NN	outcome
of	IN	of
this	DT	this
massive	JJ	massive
effort	NN	effort
against	IN	against
civilians	NNS	civilian
and	CC	and
where	WRB	where
does	VVZ	do
such	PDT	such
a	DT	a
campaign	NN	campaign
stand	NN	stand
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
laws	NNS	law
of	IN	of
War	NP	War
uh	UH	uh
I	PP	I
mean	VVP	mean
is	VBZ	be
coercive	JJ	coercive
bombing	NN	bombing
something	NN	something
that	IN/that	that
as	IN	as
you	PP	you
say	VVP	say
we	PP	we
saw	VVD	see
in	IN	in
World	NP	World
War	NP	War
II	NP	II
and	CC	and
in	IN	in
other	JJ	other
conflicts	NNS	conflict
does	VVZ	do
it	PP	it
in	IN	in
any	DT	any
way	NN	way
uh	UH	uh
align	VV	align
with	IN	with
with	IN	with
any	DT	any
laws	NNS	law
of	IN	of
war	NN	war
well	RB	well
the	DT	the
attackers	NNS	attacker
always	RB	always
claim	VVP	claim
whether	IN	whether
it	PP	it
was	VBD	be
AER	NP	AER
Americans	NPS	Americans
or	CC	or
the	DT	the
British	JJ	British
bombing	NN	bombing
German	JJ	German
cities	NNS	city
in	IN	in
World	NP	World
War	NP	War
II	NP	II
or	CC	or
the	DT	the
Israelis	NPS	Israelis
today	NN	today
that	IN/that	that
they	PP	they
have	VHP	have
uh	UH	uh
rules	NNS	rule
like	IN	like
they	PP	they
drop	VVP	drop
leaflets	NNS	leaflet
to	TO	to
try	VV	try
to	TO	to
warn	VV	warn
the	DT	the
civilians	NNS	civilian
to	TO	to
uh	UH	uh
to	TO	to
run	VV	run
away	RP	away
but	CC	but
in	IN	in
fact	NN	fact
after	IN	after
the	DT	the
conflicts	NNS	conflict
history	NN	history
does	VVZ	do
not	RB	not
remember	VV	remember
these	DT	these
as	RB	as
highly	RB	highly
selective	JJ	selective
what	WP	what
it	PP	it
remembers	VVZ	remember
these	DT	these
bombing	NN	bombing
campaigns	NNS	campaign
as	RB	as
is	VBZ	be
indiscriminate	JJ	indiscriminate
and	CC	and
in	IN	in
this	DT	this
particular	JJ	particular
case	VV	case
uh	UH	uh
what	WP	what
Israel	NP	Israel
is	VBZ	be
doing	VVG	do
is	VBZ	be
arguing	VVG	argue
that	IN/that	that
so	RB	so
long	RB	long
as	IN	as
they	PP	they
can	MD	can
find	VV	find
any	DT	any
reason	NN	reason
whatsoever	RB	whatsoever
or	CC	or
the	DT	the
existence	NN	existence
of	IN	of
a	DT	a
Hamas	JJ	Hamas
fighter	NN	fighter
a	DT	a
Hamas	JJ	Hamas
leader	NN	leader
then	RB	then
that	IN/that	that
in	IN	in
their	PP$	their
mind	NN	mind
seems	VVZ	seem
to	TO	to
justify	VV	justify
virtually	RB	virtually
infinite	JJ	infinite
amounts	NNS	amount
of	IN	of
damage	NN	damage
on	IN	on
the	DT	the
uh	UH	uh
Palestinian	NN	Palestinian
population	NN	population
because	IN	because
they	PP	they
'	''	'
re	IN	re
dropping	VVG	drop
bombs	NNS	bomb
that	WDT	that
might	MD	might
try	VV	try
to	TO	to
kill	VV	kill
one	CD	one
Hamas	JJ	Hamas
fighter	NN	fighter
that	IN/that	that
pancake	NN	pancake
entire	JJ	entire
buildings	NNS	building
or	CC	or
entire	JJ	entire
neighborhoods	NNS	neighborhood
uh	UH	uh
killing	VVG	kill
hundreds	NNS	hundred
in	IN	in
the	DT	the
process	NN	process
of	IN	of
trying	VVG	try
to	TO	to
attack	VV	attack
one	CD	one
fighter	NN	fighter
well	RB	well
this	DT	this
is	VBZ	be
something	NN	something
that	IN/that	that
um	VVG	um
uh	UH	uh
the	DT	the
American	NP	American
Air	NP	Air
Forces	NPS	Forces
and	CC	and
even	RB	even
the	DT	the
Israeli	JJ	Israeli
Air	NP	Air
Forces	NNS	force
up	RB	up
until	IN	until
now	RB	now
uh	UH	uh
they	PP	they
have	VHP	have
been	VBN	be
very	RB	very
very	RB	very
very	RB	very
loathed	VVN	loathe
to	TO	to
do	VV	do
because	IN	because
this	DT	this
is	VBZ	be
the	DT	the
very	JJ	very
definition	NN	definition
of	IN	of
disproportionate	JJ	disproportionate
uh	UH	uh
indiscriminate	JJ	indiscriminate
bombing	NN	bombing
which	WDT	which
is	VBZ	be
why	WRB	why
President	NP	President
Biden	NP	Biden
himself	PP	himself
is	VBZ	be
calling	VVG	call
this	DT	this
indiscriminate	JJ	indiscriminate
bombing	NN	bombing
indeed	RB	indeed
Robert	NP	Robert
P	NN	P
from	IN	from
Chicago	NP	Chicago
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
now	RB	now
