Let	NP	Let
is	VBZ	be
a	DT	a
test	NN	test
for	IN	for
Humanity	NN	humanity
this	DT	this
is	VBZ	be
what	WP	what
is	VBZ	be
happening	VVG	happen
now	RB	now
is	VBZ	be
a	DT	a
test	NN	test
for	IN	for
Humanity	NN	humanity
everybody	NN	everybody
will	MD	will
pay	VV	pay
the	DT	the
price	NN	price
if	IN	if
we	PP	we
don	VVP	don
'	''	'
t	NN	t
stop	VV	stop
this	DT	this
those	DT	those
government	NN	government
the	DT	the
corrupt	JJ	corrupt
governments	NNS	government
are	VBP	be
dragging	VVG	drag
the	DT	the
world	NN	world
to	TO	to
Hell	NN	hell
everybody	NN	everybody
on	IN	on
this	DT	this
planet	NN	planet
has	VHZ	have
to	RB	to
to	TO	to
stand	VV	stand
and	CC	and
say	VV	say
stop	VV	stop
because	IN	because
everybody	NN	everybody
will	MD	will
be	VB	be
in	IN	in
this	DT	this
hell	NN	hell
Mr	NN	Mr
hania	NN	hania
there	RB	there
we	PP	we
will	MD	will
leave	VV	leave
it	PP	it
of	IN	of
course	NN	course
and	CC	and
continue	VV	continue
to	TO	to
keep	VV	keep
in	IN	in
touch	NN	touch
with	IN	with
you	PP	you
stay	VVP	stay
safe	JJ	safe
for	IN	for
the	DT	the
moment	NN	moment
and	CC	and
uh	UH	uh
look	VV	look
after	IN	after
yourself	PP	yourself
