<video_id>vqZLGgMJjSc</video_id>	JJ	<video_id>vqZLGgMJjSc</video_id>
more	JJR	more
about	IN	about
what	WP	what
potentially	RB	potentially
might	MD	might
happen	VV	happen
going	VVG	go
forward	RB	forward
take	VV	take
a	DT	a
listen	NN	listen
to	TO	to
what	WP	what
she	PP	she
told	VVD	tell
me	PP	me
until	IN	until
about	IN	about
an	DT	an
hour	NN	hour
ago	IN	ago
our	PP$	our
colleagues	NNS	colleague
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
our	PP$	our
colleagues	NNS	colleague
in	IN	in
ra	NNS	ra
could	MD	could
not	RB	not
confirm	VV	confirm
that	IN/that	that
water	NN	water
had	VHD	have
been	VBN	be
restored	VVN	restore
but	CC	but
even	RB	even
if	IN	if
the	DT	the
water	NN	water
is	VBZ	be
restored	VVN	restore
the	DT	the
water	NN	water
is	VBZ	be
going	VVG	go
to	TO	to
go	VV	go
to	TO	to
big	JJ	big
uh	UH	uh
containers	NNS	container
in	IN	in
Gaza	NP	Gaza
which	WDT	which
means	VVZ	mean
that	IN/that	that
they	PP	they
the	DT	the
the	DT	the
the	DT	the
water	NN	water
will	MD	will
need	VV	need
to	TO	to
be	VB	be
trucked	VVN	truck
to	TO	to
different	JJ	different
locations	NNS	location
and	CC	and
to	TO	to
truck	VV	truck
the	DT	the
water	NN	water
to	TO	to
different	JJ	different
locations	NNS	location
we	PP	we
need	MD	need
fuel	VV	fuel
for	IN	for
the	DT	the
trucks	NNS	truck
so	IN	so
it's	NNS	it's
really	RB	really
a	DT	a
chain	NN	chain
of	IN	of
of	IN	of
events	NNS	event
that	WDT	that
need	VVP	need
to	TO	to
happen	VV	happen
before	IN	before
people	NNS	people
can	MD	can
actually	RB	actually
get	VV	get
water	NN	water
Muhammad	NP	Muhammad
what	WDT	what
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
government	NN	government
saying	VVG	say
about	IN	about
the	DT	the
potential	NN	potential
for	IN	for
regional	JJ	regional
escalation	NN	escalation
Tom	NP	Tom
throughout	IN	throughout
the	DT	the
day	NN	day
uh	UH	uh
we've	NNS	we've
been	VBN	be
hearing	VVG	hear
just	RB	just
very	RB	very
bellicose	JJ	bellicose
rhetoric	NN	rhetoric
from	IN	from
Israeli	JJ	Israeli
officials	NNS	official
uh	UH	uh
with	IN	with
regards	NNS	regard
to	TO	to
the	DT	the
steps	NNS	step
going	VVG	go
forward	VV	forward
uh	UH	uh
we	PP	we
heard	VVD	hear
from	IN	from
the	DT	the
top	JJ	top
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
several	JJ	several
hours	NNS	hour
ago	RB	ago
he	PP	he
essentially	RB	essentially
said	VVD	say
that	IN/that	that
Israel	NP	Israel
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
operate	VV	operate
anywhere	RB	anywhere
in	IN	in
the	DT	the
region	NN	region
in	IN	in
order	NN	order
to	TO	to
counter	VV	counter
threats	NNS	threat
that	IN/that	that
they	PP	they
feel	VVP	feel
that	IN/that	that
they	PP	they
have	VHP	have
to	TO	to
counter	VV	counter
um	NNS	um
that	WDT	that
was	VBD	be
clearly	RB	clearly
a	DT	a
message	NN	message
being	VBG	be
sent	VVN	send
to	TO	to
Regional	JJ	regional
actors	NNS	actor
that	IN/that	that
they	PP	they
should	MD	should
not	RB	not
think	VV	think
about	IN	about
attacking	VVG	attack
Israel	NP	Israel
but	CC	but
it	PP	it
was	VBD	be
also	RB	also
a	DT	a
message	NN	message
being	VBG	be
sent	VVN	send
domestically	RB	domestically
to	TO	to
Israeli	JJ	Israeli
citizens	NNS	citizen
that	IN/that	that
the	DT	the
country	NN	country
basically	RB	basically
will	MD	will
do	VV	do
whatever	WDT	whatever
is	VBZ	be
needed	VVN	need
to	TO	to
protect	VV	protect
itself	PP	itself
um	RB	um
now	RB	now
we	PP	we
also	RB	also
heard	VVD	hear
from	IN	from
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
earlier	RBR	earlier
in	IN	in
the	DT	the
day	NN	day
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
he	PP	he
met	VVD	meet
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
with	IN	with
that	DT	that
expanded	JJ	expanded
emergency	NN	emergency
cabinet	NN	cabinet
that	WDT	that
has	VHZ	have
been	VBN	be
uh	UH	uh
established	VVD	establish
this	DT	this
past	JJ	past
week	NN	week
and	CC	and
he	PP	he
said	VVD	say
that	IN/that	that
Hamas	NP	Hamas
will	MD	will
be	VB	be
demolished	VVN	demolish
and	CC	and
then	RB	then
we	PP	we
also	RB	also
heard	VVD	hear
from	IN	from
the	DT	the
defense	NN	defense
minister	NN	minister
yoav	NP	yoav
Galant	NP	Galant
uh	UH	uh
he	PP	he
a	DT	a
little	JJ	little
bit	NN	bit
later	RBR	later
in	IN	in
the	DT	the
afternoon	NN	afternoon
said	VVD	say
that	IN/that	that
the	DT	the
country	NN	country
is	VBZ	be
going	VVG	go
to	TO	to
do	VV	do
everything	NN	everything
it	PP	it
can	MD	can
to	TO	to
destroy	VV	destroy
Hamas	NNS	Hamas
so	IN	so
this	DT	this
is	VBZ	be
the	DT	the
rhetoric	NN	rhetoric
we're	NN	we're
hearing	NN	hearing
Israel	NP	Israel
basically	RB	basically
telling	VVG	tell
everybody	NN	everybody
who	WP	who
will	MD	will
listen	VV	listen
that	IN/that	that
they	PP	they
are	VBP	be
going	VVG	go
to	TO	to
destroy	VV	destroy
Hamas	NNS	Hamas
that	IN/that	that
they	PP	they
will	MD	will
operate	VV	operate
in	IN	in
any	DT	any
theater	NN	theater
in	IN	in
the	DT	the
region	NN	region
that	IN/that	that
they	PP	they
see	VVP	see
fit	VV	fit
to	TO	to
protect	VV	protect
themselves	PP	themselves
um	NNS	um
and	CC	and
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
interesting	JJ	interesting
to	TO	to
see	VV	see
if	IN	if
any	DT	any
of	IN	of
this	DT	this
language	NN	language
shifts	NNS	shift
at	IN	at
all	DT	all
tomorrow	NN	tomorrow
because	IN	because
tomorrow	NN	tomorrow
you	PP	you
have	VH	have
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
returning	VVG	return
here	RB	here
for	IN	for
his	PP$	his
second	JJ	second
visit	NN	visit
in	IN	in
less	JJR	less
than	IN	than
a	DT	a
week	NN	week
uh	UH	uh
he	PP	he
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
meeting	VVG	meet
with	IN	with
Israeli	JJ	Israeli
officials	NNS	official
so	IN	so
it	PP	it
will	MD	will
be	VB	be
interesting	JJ	interesting
to	TO	to
see	VV	see
on	IN	on
the	DT	the
eve	NN	eve
of	IN	of
this	DT	this
visit	NN	visit
we've	NN	we've
heard	VVN	hear
so	IN	so
much	JJ	much
aggressive	JJ	aggressive
language	NN	language
today	NN	today
we'll	NN	we'll
see	VVP	see
tomorrow	NN	tomorrow
what	WP	what
exactly	RB	exactly
we'll	RB	we'll
be	VB	be
hearing	VVG	hear
from	IN	from
Israeli	JJ	Israeli
officials	NNS	official
going	VVG	go
forward	JJ	forward
Tom	NP	Tom
okay	JJ	okay
thanks	NNS	thanks
so	IN	so
much	JJ	much
Muhammad	NP	Muhammad
this	DT	this
Muhammad	NP	Muhammad
Jim	NP	Jim
Jun	NP	Jun
for	IN	for
us	PP	us
an	DT	an
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
</doc>	NN	</doc>
