<video_id>fT7jBraFd8Q</video_id>	JJ	<video_id>fT7jBraFd8Q</video_id>
food	NN	food
and	CC	and
water	NN	water
and	CC	and
Medicine	NN	medicine
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they	PP	they
ask	VVP	ask
us	PP	us
to	TO	to
distribute	VV	distribute
50	CD	@card@
trucks	NNS	truck
or	CC	or
60	CD	@card@
trucks	NNS	truck
to	TO	to
2.3	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
on	IN	on
all	DT	all
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
it's	JJ	it's
normal	JJ	normal
it's	NNS	it's
normal	RB	normal
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
reduction	NN	reduction
in	IN	in
flour	NN	flour
reduction	NN	reduction
in	IN	in
in	IN	in
everything	NN	everything
not	RB	not
only	RB	only
in	IN	in
food	NN	food
cans	NNS	can
and	CC	and
and	CC	and
in	IN	in
water	NN	water
and	CC	and
everything	NN	everything
Mr	NP	Mr
Adan	NP	Adan
abasa	NP	abasa
let	VVD	let
me	PP	me
ask	VVP	ask
you	PP	you
a	DT	a
final	JJ	final
question	NN	question
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
talk	NN	talk
right	RB	right
now	RB	now
about	IN	about
a	DT	a
possible	JJ	possible
ceasefire	NN	ceasefire
the	DT	the
Americans	NPS	Americans
have	VHP	have
mentioned	VVN	mention
this	DT	this
before	RB	before
um	JJ	um
the	DT	the
start	NN	start
of	IN	of
the	DT	the
holy	JJ	holy
month	NN	month
of	IN	of
Ramadan	NP	Ramadan
which	WDT	which
of	IN	of
course	NN	course
is	VBZ	be
a	DT	a
month	NN	month
of	IN	of
fasting	VVG	fast
for	IN	for
Muslims	NNS	Muslim
and	CC	and
you	PP	you
wonder	VVP	wonder
how	WRB	how
Muslims	NPS	Muslims
in	IN	in
Gaza	NP	Gaza
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
can	MD	can
fast	RB	fast
on	RB	on
under	IN	under
the	DT	the
circumstances	NNS	circumstance
they're	NN	they're
living	NN	living
in	IN	in
today	NN	today
how	WRB	how
hopeful	JJ	hopeful
are	VBP	be
you	PP	you
that	IN/that	that
this	DT	this
ceasefire	NN	ceasefire
could	MD	could
happen	VV	happen
and	CC	and
how	WRB	how
much	RB	much
do	VVP	do
you	PP	you
think	VVP	think
it	PP	it
will	MD	will
alleviate	VV	alleviate
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
near	JJ	near
term	NN	term
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
real	JJ	real
Seas	NNS	sea
fire	NN	fire
and	CC	and
opening	VVG	open
really	RB	really
a	DT	a
humanitarian	JJ	humanitarian
Corridor	NP	Corridor
to	TO	to
get	VV	get
to	TO	to
get	VV	get
the	DT	the
aid	NN	aid
into	IN	into
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
in	IN	in
the	DT	the
north	NN	north
and	CC	and
Israel	NP	Israel
should	MD	should
open	VV	open
other	JJ	other
Crossing	VVG	cross
Point	NP	Point
Israel	NP	Israel
has	VHZ	have
you	PP	you
know	VVP	know
seven	CD	seven
crossing	VVG	cross
points	NNS	point
with	IN	with
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
it's	NNS	it's
not	RB	not
only	RB	only
RAF	NN	RAF
and	CC	and
and	CC	and
Kim	NP	Kim
Shalom	NP	Shalom
or	CC	or
k	NN	k
Abu	NP	Abu
Salam	NP	Salam
they	PP	they
have	VHP	have
to	TO	to
open	VV	open
other	JJ	other
Crossing	VVG	cross
points	NNS	point
and	CC	and
to	TO	to
push	VV	push
all	PDT	all
the	DT	the
assistant	NN	assistant
and	CC	and
the	DT	the
food	NN	food
in	IN	in
into	IN	into
the	DT	the
Gip	NN	gip
and	CC	and
to	TO	to
allow	VV	allow
us	PP	us
and	CC	and
allow	VV	allow
us	PP	us
to	TO	to
reach	VV	reach
to	TO	to
all	DT	all
places	NNS	place
and	CC	and
to	TO	to
accelerate	VV	accelerate
the	DT	the
mechanism	NN	mechanism
of	IN	of
you	PP	you
know	VVP	know
tracks	VVZ	track
inspection	NN	inspection
actually	RB	actually
which	WDT	which
is	VBZ	be
very	RB	very
slow	JJ	slow
and	CC	and
you	PP	you
know	VVP	know
now	RB	now
they	PP	they
are	VBP	be
talking	VVG	talk
about	IN	about
thousands	NNS	thousand
of	IN	of
facts	NNS	fact
on	IN	on
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
because	IN	because
the	DT	the
mechanism	NN	mechanism
that	WDT	that
is	VBZ	be
the	DT	the
tools	NNS	tool
that	WDT	that
had	VHD	have
been	VBN	be
used	VVN	use
by	IN	by
the	DT	the
Israeli	NP	Israeli
Authority	NP	Authority
you	PP	you
know	VVP	know
to	TO	to
inspect	VV	inspect
the	DT	the
tracks	NNS	track
it's	NNS	it's
unbelievable	JJ	unbelievable
it	PP	it
does	VVZ	do
not	RB	not
work	VV	work
so	IN	so
they	PP	they
have	VHP	have
to	TO	to
change	VV	change
all	PDT	all
the	DT	the
mechanism	NN	mechanism
and	CC	and
to	TO	to
allow	VV	allow
us	PP	us
to	TO	to
get	VV	get
into	IN	into
all	DT	all
places	NNS	place
to	TO	to
reach	VV	reach
all	PDT	all
the	DT	the
population	NN	population
and	CC	and
we	PP	we
believe	VVP	believe
in	IN	in
Ramadan	NP	Ramadan
there	EX	there
is	VBZ	be
there	EX	there
is	VBZ	be
a	DT	a
chance	NN	chance
there	EX	there
is	VBZ	be
a	DT	a
window	NN	window
with	IN	with
with	IN	with
a	DT	a
real	JJ	real
ceas	NNS	ceas
fire	NN	fire
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
talking	VVG	talk
to	TO	to
us	PP	us
Adnan	NP	Adnan
Abu	NP	Abu
Hasa	NP	Hasa
from	IN	from
unra	NP	unra
the	DT	the
Agency	NN	agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
joining	VVG	join
us	PP	us
there	RB	there
from	IN	from
Cairo	NP	Cairo
</doc>	NP	</doc>
