<video_id>u-7ariCdTJc</video_id>	JJ	<video_id>u-7ariCdTJc</video_id>
Qatar	NP	Qatar
and	CC	and
and	CC	and
the	DT	the
US	NP	US
and	CC	and
Egypt	NP	Egypt
uh	UH	uh
and	CC	and
from	IN	from
but	CC	but
from	IN	from
far	RB	far
you	PP	you
know	VVP	know
it's	NNS	it's
by	IN	by
by	IN	by
Communications	NP	Communications
there	EX	there
are	VBP	be
no	DT	no
peacekeepers	NNS	peacekeeper
there	RB	there
there's	RB	there's
no	DT	no
Force	NP	Force
to	TO	to
really	RB	really
monitor	VV	monitor
the	DT	the
mediator	NN	mediator
Qatar	NP	Qatar
has	VHZ	have
nobody	NN	nobody
on	IN	on
the	DT	the
ground	NN	ground
yeah	RB	yeah
yeah	RB	yeah
so	RB	so
and	CC	and
and	CC	and
actually	RB	actually
no	RB	no
no	DT	no
media	NNS	medium
as	IN	as
well	RB	well
so	RB	so
no	RB	no
no	RB	no
the	DT	the
journalists	NNS	journalist
are	VBP	be
escorted	VVN	escort
but	CC	but
they're	NN	they're
not	RB	not
free	JJ	free
to	TO	to
uh	UH	uh
monitor	VV	monitor
the	DT	the
situation	NN	situation
in	IN	in
a	DT	a
in	IN	in
any	DT	any
free	JJ	free
way	NN	way
so	RB	so
within	IN	within
this	DT	this
uh	UH	uh
OPAC	NN	OPAC
environment	NN	environment
you	PP	you
know	VVP	know
things	NNS	thing
can	MD	can
go	VV	go
wrong	RB	wrong
very	RB	very
simply	RB	simply
so	RB	so
so	RB	so
far	JJ	far
uh	UH	uh
there	EX	there
are	VBP	be
some	DT	some
violations	NNS	violation
clearly	RB	clearly
especially	RB	especially
with	IN	with
shooting	VVG	shoot
at	IN	at
the	DT	the
Palestinians	NPS	Palestinians
who	WP	who
were	VBD	be
trying	VVG	try
to	TO	to
go	VV	go
back	RB	back
home	VV	home
uh	UH	uh
however	RB	however
it's	NN	it's
holding	VVG	hold
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
first	JJ	first
part	NN	part
of	IN	of
the	DT	the
exchange	NN	exchange
happened	VVD	happen
uh	UH	uh
yesterday	NN	yesterday
we're	NN	we're
seeing	VVG	see
now	RB	now
preparations	NNS	preparation
for	IN	for
the	DT	the
second	JJ	second
part	NN	part
so	IN	so
it	PP	it
seems	VVZ	seem
to	TO	to
me	PP	me
that	IN/that	that
um	JJ	um
it's	NNS	it's
happening	VVG	happen
and	CC	and
and	CC	and
it's	NNS	it's
not	RB	not
the	DT	the
the	DT	the
the	DT	the
it's	NNS	it's
not	RB	not
really	RB	really
the	DT	the
trust	NN	trust
between	IN	between
the	DT	the
two	CD	two
sides	NNS	side
that's	NNS	that's
making	VVG	make
happen	VV	happen
it's	NNS	it's
very	RB	very
clever	JJ	clever
mediation	NN	mediation
on	IN	on
one	CD	one
end	NN	end
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
efforts	NNS	effort
put	VVN	put
in	IN	in
that	DT	that
uh	UH	uh
but	CC	but
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
it	PP	it
seems	VVZ	seem
to	TO	to
me	PP	me
that	IN/that	that
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
Israeli	JJ	Israeli
operations	NNS	operation
objectives	NNS	objective
to	TO	to
to	RB	to
to	TO	to
release	VV	release
the	DT	the
the	DT	the
hostages	NNS	hostage
and	CC	and
the	DT	the
captives	NNS	captive
uh	UH	uh
and	CC	and
on	IN	on
the	DT	the
other	JJ	other
end	NN	end
also	RB	also
I	PP	I
think	VVP	think
Hamas	NN	Hamas
does	VVZ	do
not	RB	not
want	VV	want
that	IN/that	that
that	WDT	that
that	DT	that
size	NN	size
of	IN	of
especially	RB	especially
on	IN	on
the	DT	the
civilians	NNS	civilian
you	PP	you
saw	VVD	see
women	NNS	woman
you	PP	you
saw	VVD	see
children	NNS	child
probably	RB	probably
you	PP	you
think	VVP	think
they	PP	they
don't	NN	don't
want	VVP	want
to	TO	to
hold	VV	hold
as	IN	as
many	JJ	many
captives	NNS	captive
as	IN	as
they	PP	they
have	VHP	have
no	DT	no
they	PP	they
don't	VVD	don't
want	VV	want
to	TO	to
because	IN	because
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
major	JJ	major
responsibility	NN	responsibility
especially	RB	especially
on	IN	on
the	DT	the
civilian	JJ	civilian
side	NN	side
it's	NNS	it's
also	RB	also
very	RB	very
hard	JJ	hard
to	TO	to
it's	NNS	it's
it	PP	it
will	MD	will
be	VB	be
taking	VVG	take
responsibility	NN	responsibility
for	IN	for
a	DT	a
a	DT	a
larger	JJR	large
number	NN	number
in	IN	in
a	DT	a
Warfare	NN	warfare
situ	NN	situ
in	IN	in
a	DT	a
war	NN	war
situation	NN	situation
uh	UH	uh
where	WRB	where
uh	UH	uh
monitoring	VVG	monitor
them	PP	them
providing	VVG	provide
security	NN	security
for	IN	for
them	PP	them
even	RB	even
feeding	VVG	feed
them	PP	them
is	VBZ	be
is	VBZ	be
probably	RB	probably
U	NN	U
an	DT	an
issue	NN	issue
so	IN	so
the	DT	the
Lesser	NP	Lesser
they	PP	they
have	VHP	have
uh	UH	uh
I	PP	I
think	VVP	think
the	DT	the
the	DT	the
more	JJR	more
well	NN	well
it's	NNS	it's
very	RB	very
hard	JJ	hard
to	TO	to
use	VV	use
the	DT	the
word	NN	word
term	NN	term
control	NN	control
but	CC	but
the	DT	the
the	DT	the
the	DT	the
more	RBR	more
that	IN/that	that
they	PP	they
H	NN	H
they	PP	they
will	MD	will
have	VH	have
control	NN	control
over	IN	over
them	PP	them
and	CC	and
therefore	RB	therefore
you	PP	you
know	VVP	know
prolong	VV	prolong
they	PP	they
would	MD	would
if	IN	if
this	DT	this
deal	NN	deal
goes	VVZ	go
through	IN	through
as	IN	as
it's	NNS	it's
currently	RB	currently
structured	VVN	structure
it's	NN	it's
it's	NNS	it's
it's	JJ	it's
50	CD	@card@
captives	NNS	captive
that	IN/that	that
Hamas	NP	Hamas
would	MD	would
have	VH	have
to	TO	to
release	VV	release
over	IN	over
the	DT	the
course	NN	course
of	IN	of
four	CD	four
days	NNS	day
which	WDT	which
would	MD	would
leave	VV	leave
them	PP	them
still	RB	still
with	IN	with
170	CD	@card@
to	TO	to
190	CD	@card@
captives	NNS	captive
I	PP	I
mean	VVP	mean
that's	NNS	that's
just	RB	just
an	DT	an
estimate	NN	estimate
right	NN	right
um	NNS	um
so	IN	so
that's	NNS	that's
still	RB	still
a	DT	a
lot	NN	lot
of	IN	of
captives	NNS	captive
for	IN	for
them	PP	them
to	TO	to
be	VB	be
to	TO	to
be	VB	be
handling	VVG	handle
especially	RB	especially
if	IN	if
the	DT	the
war	NN	war
resumes	VVZ	resume
um	RB	um
true	VV	true
uh	UH	uh
but	CC	but
also	RB	also
it	PP	it
it	PP	it
can	MD	can
give	VV	give
give	VV	give
a	DT	a
chance	NN	chance
for	IN	for
another	DT	another
uh	UH	uh
truth	NN	truth
another	DT	another
4	CD	@card@
days	NNS	day
uh	UH	uh
for	IN	for
of	IN	of
exchanges	NNS	exchange
and	CC	and
so	RB	so
on	IN	on
I	PP	I
think	VVP	think
I	PP	I
don't	NN	don't
think	VVP	think
the	DT	the
the	DT	the
that	DT	that
size	NN	size
was	VBD	be
by	IN	by
Design	NP	Design
uh	UH	uh
but	CC	but
it	PP	it
happened	VVD	happen
and	CC	and
in	IN	in
a	DT	a
way	NN	way
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
a	DT	a
check	NN	check
for	IN	for
Hamas	NNS	Hamas
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
stop	VV	stop
uh	UH	uh
and	CC	and
have	VH	have
some	DT	some
pauses	NNS	pause
in	IN	in
the	DT	the
fighting	NN	fighting
while	IN	while
doing	VVG	do
such	JJ	such
exchanges	VVZ	exchange
uh	UH	uh
whether	IN	whether
the	DT	the
Israelis	NPS	Israelis
will	MD	will
agree	VV	agree
to	TO	to
this	DT	this
this	DT	this
is	VBZ	be
another	DT	another
issue	NN	issue
because	IN	because
now	RB	now
now	RB	now
they're	NN	they're
thinking	VVG	think
that	IN/that	that
the	DT	the
operation	NN	operation
is	VBZ	be
going	VVG	go
relatively	RB	relatively
well	VV	well
uh	UH	uh
and	CC	and
therefore	RB	therefore
they	PP	they
want	VVP	want
to	TO	to
advance	VV	advance
more	JJR	more
and	CC	and
and	CC	and
that	DT	that
that's	NNS	that's
why	WRB	why
they	PP	they
were	VBD	be
resisting	VVG	resist
U	NP	U
you	PP	you
know	VVP	know
having	VHG	have
this	DT	this
pause	NN	pause
and	CC	and
it	PP	it
took	VVD	take
some	DT	some
significant	JJ	significant
International	NP	International
pressures	NNS	pressure
to	TO	to
do	VV	do
so	IN	so
I	PP	I
looked	VVD	look
at	IN	at
the	DT	the
public	JJ	public
statements	NNS	statement
from	IN	from
both	DT	both
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
and	CC	and
they're	JJ	they're
saying	VVG	say
they're	NN	they're
saying	VVG	say
some	DT	some
very	RB	very
similar	JJ	similar
things	NNS	thing
on	IN	on
both	DT	both
sides	NNS	side
they're	NN	they're
saying	VVG	say
that	IN/that	that
yes	RB	yes
we	PP	we
would	MD	would
like	VV	like
actually	RB	actually
and	CC	and
we	PP	we
are	VBP	be
willing	JJ	willing
to	TO	to
continue	VV	continue
the	DT	the
prisoner	NN	prisoner
swap	NN	swap
beyond	IN	beyond
the	DT	the
four	CD	four
days	NNS	day
that	WDT	that
are	VBP	be
currently	RB	currently
agreed	VVN	agree
and	CC	and
both	DT	both
sides	NNS	side
are	VBP	be
saying	VVG	say
once	RB	once
this	DT	this
is	VBZ	be
done	VVN	do
we	PP	we
will	MD	will
resume	VV	resume
the	DT	the
war	NN	war
and	CC	and
we	PP	we
will	MD	will
fight	VV	fight
even	RB	even
harder	RBR	harder
both	CC	both
sides	NNS	side
have	VHP	have
said	VVN	say
that	IN/that	that
so	RB	so
if	IN	if
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
official	JJ	official
statements	NNS	statement
it's	NNS	it's
hard	JJ	hard
to	TO	to
know	VV	know
really	RB	really
where	WRB	where
this	DT	this
is	VBZ	be
going	VVG	go
so	IN	so
let's	NN	let's
let's	NNS	let's
disregard	VVP	disregard
the	DT	the
official	JJ	official
official	NN	official
statements	NNS	statement
from	IN	from
both	DT	both
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
for	IN	for
a	DT	a
moment	NN	moment
and	CC	and
maybe	RB	maybe
consider	VV	consider
what	WP	what
their	PP$	their
incentives	NNS	incentive
might	MD	might
be	VB	be
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
4-day	JJ	4-day
ceasefire	NN	ceasefire
do	VVP	do
you	PP	you
think	VVP	think
they	PP	they
are	VBP	be
more	RBR	more
incentivized	VVN	incentivized
to	TO	to
continue	VV	continue
the	DT	the
prisoner	NN	prisoner
swap	VVP	swap
going	VVG	go
continue	VV	continue
the	DT	the
ceasefire	NN	ceasefire
going	VVG	go
or	CC	or
to	TO	to
go	VV	go
back	RB	back
to	TO	to
fighting	VVG	fight
I	PP	I
think	VVP	think
it	PP	it
will	MD	will
have	VH	have
to	TO	to
do	VV	do
with	IN	with
where	WRB	where
are	VBP	be
we	PP	we
on	IN	on
the	DT	the
fourth	JJ	fourth
day	NN	day
uh	UH	uh
on	IN	on
one	CD	one
end	NN	end
if	IN	if
there	EX	there
are	VBP	be
no	DT	no
major	JJ	major
uh	UH	uh
violations	NNS	violation
uh	UH	uh
and	CC	and
these	DT	these
exchanges	NNS	exchange
are	VBP	be
well	RB	well
reflected	VVN	reflect
probably	RB	probably
for	IN	for
the	DT	the
Netanyahu	NP	Netanyahu
government	NN	government
on	IN	on
one	PP	one
end	VV	end
uh	UH	uh
but	CC	but
also	RB	also
for	IN	for
Hamas	NNS	Hamas
on	IN	on
the	DT	the
other	JJ	other
if	IN	if
this	DT	this
is	VBZ	be
going	VVG	go
on	IN	on
well	RB	well
I	PP	I
think	VVP	think
we	PP	we
may	MD	may
see	VV	see
some	DT	some
extension	NN	extension
if	IN	if
things	NNS	thing
collapsed	VVN	collapse
uh	UH	uh
for	IN	for
one	CD	one
reason	NN	reason
or	CC	or
the	DT	the
other	JJ	other
or	CC	or
U	NP	U
the	DT	the
Israeli	JJ	Israeli
site	NN	site
particularly	RB	particularly
saw	VVD	see
uh	UH	uh
more	JJR	more
opportunities	NNS	opportunity
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
amount	NN	amount
of	IN	of
ISR	NP	ISR
the	DT	the
intelligence	NN	intelligence
surveillance	NN	surveillance
and	CC	and
reconnaissance	NN	reconnaissance
they	PP	they
have	VHP	have
the	DT	the
their	PP$	their
positioning	VVG	position
their	PP$	their
defensive	JJ	defensive
positioning	NN	positioning
if	IN	if
they	PP	they
saw	VVD	see
more	JJR	more
opportunity	NN	opportunity
there	RB	there
to	TO	to
probably	RB	probably
destroy	VV	destroy
and	CC	and
degrade	VV	degrade
Hamas	NNS	Hamas
I	PP	I
think	VVP	think
they	PP	they
they	PP	they
may	MD	may
take	VV	take
this	DT	this
uh	UH	uh
opportunity	NN	opportunity
uh	UH	uh
for	IN	for
the	DT	the
Hamas	JJ	Hamas
side	NN	side
I	PP	I
think	VVP	think
it's	NNS	it's
it's	NNS	it's
probably	RB	probably
the	DT	the
the	DT	the
idea	NN	idea
of	IN	of
prolonging	VVG	prolong
the	DT	the
truth	NN	truth
is	VBZ	be
very	RB	very
useful	JJ	useful
uh	UH	uh
for	IN	for
them	PP	them
uh	UH	uh
on	IN	on
one	CD	one
end	NN	end
but	CC	but
also	RB	also
the	DT	the
idea	NN	idea
of	IN	of
reducing	VVG	reduce
the	DT	the
uh	UH	uh
the	DT	the
number	NN	number
of	IN	of
uh	UH	uh
of	IN	of
hostages	NNS	hostage
taken	VVN	take
I	PP	I
think	VVP	think
also	RB	also
uh	UH	uh
will	MD	will
help	VV	help
them	PP	them
in	IN	in
a	DT	a
in	IN	in
a	DT	a
way	NN	way
so	IN	so
overall	JJ	overall
it's	NNS	it's
interesting	JJ	interesting
because	IN	because
they	PP	they
they	PP	they
agree	VVP	agree
on	IN	on
two	CD	two
things	NNS	thing
on	IN	on
on	IN	on
uh	UH	uh
releasing	VVG	release
some	DT	some
of	IN	of
the	DT	the
hostages	NNS	hostage
at	IN	at
least	JJS	least
and	CC	and
continuing	VVG	continue
War	NN	war
afterwards	RB	afterwards
Omar	NP	Omar
sh	NNS	sh
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
we'll	JJ	we'll
talk	NN	talk
to	TO	to
you	PP	you
again	RB	again
throughout	IN	throughout
the	DT	the
afternoon	NN	afternoon
next	JJ	next
</doc>	NN	</doc>
