<video_id>IgKf5G-7bRY</video_id>	JJ	<video_id>IgKf5G-7bRY</video_id>
time	NN	time
that	IN/that	that
Israel	NP	Israel
and	CC	and
the	DT	the
US	NP	US
to	TO	to
a	DT	a
certain	JJ	certain
extent	NN	extent
simply	RB	simply
aren't	NN	aren't
listening	VVG	listen
uh	UH	uh
Tom	NP	Tom
yes	RB	yes
these	DT	these
developments	NNS	development
are	VBP	be
really	RB	really
positive	JJ	positive
and	CC	and
very	RB	very
much	RB	much
encouraged	VVN	encourage
at	IN	at
this	DT	this
stage	NN	stage
because	IN	because
the	DT	the
streets	NNS	street
have	VHP	have
have	VHP	have
have	VHP	have
spoken	VVN	speak
in	IN	in
different	JJ	different
capitals	NNS	capital
in	IN	in
the	DT	the
world	NN	world
this	DT	this
is	VBZ	be
a	DT	a
public	JJ	public
Awakening	NN	awakening
this	DT	this
is	VBZ	be
an	DT	an
an	DT	an
uprising	NN	uprising
in	IN	in
a	DT	a
way	NN	way
that	IN/that	that
the	DT	the
streets	NNS	street
or	CC	or
the	DT	the
the	DT	the
people	NNS	people
all	RB	all
over	IN	over
the	DT	the
world	NN	world
are	VBP	be
not	RB	not
accepting	VVG	accept
the	DT	the
rationality	NN	rationality
and	CC	and
the	DT	the
narratives	NNS	narrative
behind	IN	behind
justifying	VVG	justify
this	DT	this
this	NN	this
this	DT	this
brutal	JJ	brutal
War	NP	War
Israel	NP	Israel
is	VBZ	be
carrying	VVG	carry
on	IN	on
Gaza	NP	Gaza
now	RB	now
because	IN	because
it	PP	it
it	PP	it
it	PP	it
cross	VVP	cross
it	PP	it
went	VVD	go
it	PP	it
went	VVD	go
too	RB	too
far	RB	far
too	RB	too
far	RB	far
in	IN	in
in	IN	in
the	DT	the
way	NN	way
it's	NN	it's
it's	NNS	it's
it's	NNS	it's
being	VBG	be
conducted	VVN	conduct
uh	UH	uh
so	RB	so
it's	NNS	it's
for	IN	for
me	PP	me
it's	NN	it's
it's	NNS	it's
it's	NN	it's
it's	NNS	it's
good	JJ	good
to	TO	to
see	VV	see
I	PP	I
mean	VV	mean
uh	UH	uh
uh	UH	uh
uh	UH	uh
these	DT	these
demonstrations	NNS	demonstration
happening	VVG	happen
and	CC	and
and	CC	and
and	CC	and
and	CC	and
the	DT	the
momentum	NN	momentum
momentum	NN	momentum
needs	VVZ	need
to	TO	to
be	VB	be
kept	VVN	keep
in	IN	in
a	DT	a
uh	UH	uh
So	RB	so
So	RB	so
eventually	RB	eventually
this	DT	this
will	MD	will
materialize	VV	materialize
into	IN	into
public	JJ	public
pressure	NN	pressure
a	DT	a
change	NN	change
in	IN	in
the	DT	the
political	JJ	political
behavior	NN	behavior
of	IN	of
the	DT	the
politicians	NNS	politician
in	IN	in
these	DT	these
countries	NNS	country
and	CC	and
hopefully	RB	hopefully
it	PP	it
brings	VVZ	bring
an	DT	an
end	NN	end
to	TO	to
this	DT	this
uh	UH	uh
to	TO	to
this	DT	this
SW	NP	SW
yeah	RB	yeah
many	JJ	many
many	JJ	many
people	NNS	people
now	RB	now
including	VVG	include
many	JJ	many
world	NN	world
leaders	NNS	leader
are	VBP	be
calling	VVG	call
for	IN	for
a	DT	a
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
needs	VVZ	need
to	TO	to
happen	VV	happen
immediately	RB	immediately
clearly	RB	clearly
to	TO	to
help	VV	help
the	DT	the
people	NNS	people
the	DT	the
civilians	NNS	civilian
inside	IN	inside
uh	UH	uh
Gaza	NP	Gaza
we've	NN	we've
been	VBN	be
speaking	VVG	speak
to	TO	to
you	PP	you
for	IN	for
the	DT	the
last	JJ	last
several	JJ	several
weeks	NNS	week
as	RB	as
well	RB	well
about	IN	about
this	DT	this
and	CC	and
you	PP	you
have	VHP	have
been	VBN	be
calling	VVG	call
for	IN	for
exactly	RB	exactly
the	DT	the
same	JJ	same
thing	NN	thing
but	CC	but
do	VVP	do
you	PP	you
have	VHP	have
more	JJR	more
or	CC	or
less	JJR	less
hope	VVP	hope
now	RB	now
after	IN	after
what	WP	what
you've	NN	you've
seen	VVN	see
overnight	RB	overnight
from	IN	from
that	DT	that
bombardment	NN	bombardment
with	IN	with
Israel	NP	Israel
and	CC	and
all	DT	all
of	IN	of
the	DT	the
rhetoric	NN	rhetoric
from	IN	from
them	PP	them
do	VVP	do
you	PP	you
have	VHP	have
more	JJR	more
or	CC	or
less	JJR	less
hope	VVP	hope
that	IN/that	that
we	PP	we
are	VBP	be
closer	JJR	close
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
Tom	NP	Tom
I	PP	I
mean	VVP	mean
personally	RB	personally
uh	UH	uh
I	PP	I
I	PP	I
see	VVP	see
I	PP	I
don't	VVD	don't
see	VV	see
it	PP	it
coming	VVG	come
in	IN	in
the	DT	the
very	RB	very
near	JJ	near
future	NN	future
I	PP	I
still	RB	still
uh	UH	uh
see	VV	see
that	IN/that	that
the	DT	the
US	PP	us
have	VHP	have
a	DT	a
green	JJ	green
light	NN	light
from	IN	from
the	DT	the
U	NP	U
Israel	NP	Israel
has	VHZ	have
a	DT	a
green	JJ	green
light	NN	light
from	IN	from
the	DT	the
US	NP	US
to	TO	to
uh	UH	uh
keep	VV	keep
the	DT	the
the	DT	the
pace	NN	pace
of	IN	of
this	DT	this
military	JJ	military
operations	NNS	operation
and	CC	and
even	RB	even
continue	VV	continue
escalated	VVD	escalate
further	JJR	further
because	IN	because
when	WRB	when
we	PP	we
listen	VVP	listen
to	TO	to
Israeli	JJ	Israeli
politicians	NNS	politician
they	PP	they
they	PP	they
still	RB	still
keep	VVP	keep
repeating	VVG	repeat
the	DT	the
same	JJ	same
goal	NN	goal
which	WDT	which
is	VBZ	be
an	DT	an
utter	JJ	utter
defeat	NN	defeat
and	CC	and
uh	UH	uh
and	CC	and
getting	VVG	get
rid	JJ	rid
of	IN	of
of	IN	of
Hamas	JJ	Hamas
regime	NN	regime
in	IN	in
Gaza	NP	Gaza
so	IN	so
I	PP	I
didn't	VVD	didn't
see	VV	see
the	DT	the
goals	NNS	goal
changing	VVG	change
the	DT	the
the	DT	the
main	JJ	main
goal	NN	goal
is	VBZ	be
still	RB	still
the	DT	the
same	JJ	same
now	RB	now
there	EX	there
is	VBZ	be
a	DT	a
discussion	NN	discussion
on	IN	on
the	DT	the
tactics	NNS	tactic
how	WRB	how
to	TO	to
achieve	VV	achieve
achieved	VVN	achieve
this	DT	this
goal	NN	goal
and	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
we	PP	we
see	VVP	see
differences	NNS	difference
between	IN	between
the	DT	the
US	NP	US
and	CC	and
Israel	NP	Israel
uh	UH	uh
where	WRB	where
the	DT	the
Americans	NPS	Americans
say	VVP	say
or	CC	or
it	PP	it
seems	VVZ	seem
they're	NN	they're
not	RB	not
big	JJ	big
fans	NNS	fan
of	IN	of
uh	UH	uh
or	CC	or
not	RB	not
in	IN	in
favor	NN	favor
of	IN	of
a	DT	a
land	NN	land
a	DT	a
full	JJ	full
land	NN	land
inversion	NN	inversion
and	CC	and
they're	NN	they're
urging	VVG	urge
the	DT	the
Israelis	NPS	Israelis
to	TO	to
learn	VV	learn
from	IN	from
the	DT	the
fua	JJ	fua
uh	UH	uh
scenario	NN	scenario
and	CC	and
you	PP	you
know	VVP	know
mosal	NN	mosal
scenario	NN	scenario
and	CC	and
and	CC	and
just	RB	just
go	VV	go
through	IN	through
tactical	JJ	tactical
surgical	JJ	surgical
military	JJ	military
operations	NNS	operation
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
it	PP	it
doesn't	VVD	doesn't
matter	NN	matter
for	IN	for
me	PP	me
it's	NNS	it's
whether	IN	whether
if	IN	if
it's	NNS	it's
tactical	JJ	tactical
or	CC	or
a	DT	a
full	JJ	full
invasion	NN	invasion
the	DT	the
the	DT	the
the	DT	the
scale	NN	scale
of	IN	of
Destruction	NN	destruction
that	WDT	that
is	VBZ	be
happening	VVG	happen
at	IN	at
this	DT	this
face	NN	face
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
it's	NNS	it's
it's	NNS	it's
an	DT	an
utter	JJ	utter
disaster	NN	disaster
So	RB	so
eventually	RB	eventually
it	PP	it
could	MD	could
lead	VV	lead
to	TO	to
a	DT	a
total	JJ	total
implosion	NN	implosion
from	IN	from
within	IN	within
like	IN	like
Gaza	NP	Gaza
really	RB	really
imploding	VVG	implode
with	IN	with
with	IN	with
the	DT	the
vast	JJ	vast
needs	NNS	need
and	CC	and
the	DT	the
vast	JJ	vast
destruction	NN	destruction
and	CC	and
we	PP	we
don't	VVD	don't
see	VV	see
any	DT	any
movement	NN	movement
on	IN	on
any	DT	any
important	JJ	important
file	NN	file
like	IN	like
Aid	NN	aid
delivery	NN	delivery
like	IN	like
electricity	NN	electricity
communication	NN	communication
now	RB	now
being	VBG	be
cut	VVN	cut
so	IN	so
things	NNS	thing
it	PP	it
seems	VVZ	seem
like	IN	like
everything	NN	everything
is	VBZ	be
worsening	VVG	worsen
so	IN	so
you	PP	you
see	VVP	see
the	DT	the
International	NP	International
Community	NP	Community
is	VBZ	be
demanding	VVG	demand
and	CC	and
uh	UH	uh
and	CC	and
wants	VVZ	want
to	TO	to
see	VV	see
an	DT	an
immediate	JJ	immediate
Seas	NNS	sea
fire	NN	fire
even	RB	even
the	DT	the
US	NP	US
lecturing	VVG	lecture
Israel	NP	Israel
on	IN	on
on	IN	on
allowing	VVG	allow
some	DT	some
humanitarian	JJ	humanitarian
corridors	NNS	corridor
but	CC	but
in	IN	in
reality	NN	reality
the	DT	the
actions	NNS	action
of	IN	of
Israel	NP	Israel
is	VBZ	be
totally	RB	totally
in	IN	in
a	DT	a
different	JJ	different
path	NN	path
in	IN	in
a	DT	a
different	JJ	different
way	NN	way
and	CC	and
it	PP	it
worries	VVZ	worry
me	PP	me
that	IN/that	that
Israel	NP	Israel
feels	VVZ	feel
it's	NNS	it's
protected	VVN	protect
and	CC	and
it	PP	it
has	VHZ	have
a	DT	a
green	JJ	green
light	NN	light
to	TO	to
just	RB	just
keep	VV	keep
doing	VVG	do
whatever	JJ	whatever
it's	NNS	it's
doing	VVG	do
now	RB	now
it	PP	it
certainly	RB	certainly
appears	VVZ	appear
that	DT	that
way	NN	way
with	IN	with
the	DT	the
communications	NNS	communication
with	IN	with
internet	NN	Internet
and	CC	and
phones	VVZ	phone
being	VBG	be
cut	VVN	cut
off	RP	off
about	IN	about
this	DT	this
time	NN	time
yesterday	NN	yesterday
as	IN	as
well	RB	well
unbelievable	JJ	unbelievable
yeah	RB	yeah
it's	NN	it's
unbelievable	JJ	unbelievable
thank	VVP	thank
you	PP	you
once	RB	once
again	RB	again
tamak	NP	tamak
Kut	NP	Kut
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
