<video_id>7irE4vYsiWw</video_id>	NN	<video_id>7irE4vYsiWw</video_id>
of	IN	of
course	NN	course
gin's	NNS	gin's
also	RB	also
worried	VVN	worry
about	IN	about
the	DT	the
state	NN	state
of	IN	of
the	DT	the
aid	NN	aid
program	NN	program
the	DT	the
amount	NN	amount
of	IN	of
food	NN	food
and	CC	and
water	NN	water
in	IN	in
medicine	NN	medicine
I	PP	I
mean	VVP	mean
the	DT	the
the	DT	the
world	NN	world
food	NN	food
program	NN	program
has	VHZ	have
been	VBN	be
warning	VVG	warn
again	RB	again
about	IN	about
the	DT	the
risk	NN	risk
of	IN	of
famine	NN	famine
what	WP	what
kind	NN	kind
of	IN	of
lengths	NNS	length
are	VBP	be
people	NNS	people
going	VVG	go
to	TO	to
to	TO	to
find	VV	find
enough	RB	enough
to	TO	to
survive	VV	survive
on	IN	on
well	RB	well
Harry	NP	Harry
so	RB	so
far	RB	far
we're	JJ	we're
seeing	VVG	see
people	NNS	people
queue	NN	queue
in	IN	in
line	NN	line
for	IN	for
long	JJ	long
hours	NNS	hour
in	IN	in
different	JJ	different
uh	UH	uh
uh	UH	uh
operated	VVN	operate
and	CC	and
managed	VVN	manage
honor	NN	honor
was	VBD	be
centers	NNS	center
here	RB	here
in	IN	in
Rafa	NP	Rafa
City	NP	City
but	CC	but
it	PP	it
just	RB	just
given	VVN	give
the	DT	the
number	NN	number
of	IN	of
centers	NNS	center
very	RB	very
very	RB	very
small	JJ	small
compared	VVN	compare
to	TO	to
the	DT	the
large	JJ	large
number	NN	number
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
in	IN	in
need	NN	need
of	IN	of
this	DT	this
help	NN	help
we've	NN	we've
seen	VVN	see
them	PP	them
queuing	VVG	queue
for	IN	for
half	PDT	half
a	DT	a
day	NN	day
or	CC	or
sometimes	RB	sometimes
for	IN	for
two	CD	two
or	CC	or
three	CD	three
days	NNS	day
just	RB	just
to	TO	to
register	VV	register
for	IN	for
available	JJ	available
assistance	NN	assistance
and	CC	and
when	WRB	when
we	PP	we
talk	VVP	talk
about	RB	about
what	WP	what
available	JJ	available
assistance	NN	assistance
there	EX	there
is	VBZ	be
just	RB	just
trickle	NN	trickle
amount	NN	amount
of	IN	of
food	NN	food
we're	NN	we're
talking	VVG	talk
about	IN	about
food	NN	food
coupons	NNS	coupon
and	CC	and
just	RB	just
a	DT	a
small	JJ	small
amount	NN	amount
of	IN	of
of	IN	of
rice	NN	rice
a	DT	a
small	JJ	small
amount	NN	amount
of	IN	of
of	IN	of
of	IN	of
bread	NN	bread
and	CC	and
cheese	NN	cheese
just	RB	just
to	TO	to
get	VV	get
them	PP	them
through	IN	through
the	DT	the
days	NNS	day
there	EX	there
are	VBP	be
reports	NNS	report
about	IN	about
people	NNS	people
here	RB	here
living	VVG	live
on	IN	on
one	CD	one
meal	NN	meal
a	DT	a
day	NN	day
and	CC	and
sometime	RB	sometime
they	PP	they
go	VVP	go
with	IN	with
their	PP$	their
children	NNS	child
for	IN	for
one	CD	one
or	CC	or
two	CD	two
days	NNS	day
without	IN	without
any	DT	any
food	NN	food
the	DT	the
uh	UH	uh
the	DT	the
help	NN	help
here	RB	here
is	VBZ	be
very	RB	very
very	RB	very
small	JJ	small
but	CC	but
the	DT	the
demand	NN	demand
is	VBZ	be
is	VBZ	be
so	RB	so
great	RB	great
given	VVN	give
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
of	IN	of
Gaza	NP	Gaza
population	NN	population
has	VHZ	have
been	VBN	be
squeezed	VVN	squeeze
in	IN	in
this	DT	this
is	VBZ	be
smallest	JJS	small
lever	NN	lever
of	IN	of
land	NN	land
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
we're	NN	we're
looking	VVG	look
at	IN	at
the	DT	the
infrastructure	NN	infrastructure
the	DT	the
uh	UH	uh
the	DT	the
facilities	NNS	facility
the	DT	the
the	DT	the
available	JJ	available
food	NN	food
and	CC	and
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
look	VV	look
at	IN	at
the	DT	the
large	JJ	large
number	NN	number
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
in	IN	in
need	NN	need
of	IN	of
this	DT	this
just	RB	just
important	JJ	important
to	TO	to
point	VV	point
out	RP	out
that	IN/that	that
people	NNS	people
lift	VV	lift
everything	NN	everything
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
now	RB	now
from	IN	from
the	DT	the
central	JJ	central
part	NN	part
as	IN	as
well	RB	well
adding	VVG	add
more	JJR	more
pressure	NN	pressure
on	IN	on
evacuation	NN	evacuation
Center	NN	center
literally	RB	literally
they	PP	they
walked	VVD	walk
away	RB	away
from	IN	from
their	PP$	their
homes	NNS	home
under	IN	under
def	NN	def
falling	VVG	fall
bombs	NNS	bomb
with	IN	with
nothing	NN	nothing
in	IN	in
their	PP$	their
hands	NNS	hand
okay	JJ	okay
hanim	NP	hanim
Mahmud	NP	Mahmud
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
</doc>	NN	</doc>
