<video_id>y1TVfnm06lw</video_id>	JJ	<video_id>y1TVfnm06lw</video_id>
the	DT	the
disputed	JJ	disputed
territories	NNS	territory
when	WRB	when
we	PP	we
all	RB	all
understood	VVD	understand
them	PP	them
to	TO	to
be	VB	be
occupied	JJ	occupied
territories	NNS	territory
but	CC	but
they	PP	they
said	VVD	say
ah	UH	ah
you	PP	you
know	VVP	know
the	DT	the
legal	JJ	legal
definition	NN	definition
is	VBZ	be
not	RB	not
clear	JJ	clear
well	RB	well
now	RB	now
now	RB	now
no	DT	no
one	CD	one
can	MD	can
debate	VV	debate
I	PP	I
think	VVP	think
that	IN/that	that
debate	NN	debate
should	MD	should
be	VB	be
put	VVN	put
to	TO	to
rest	VV	rest
that	IN/that	that
these	DT	these
are	VBP	be
occupied	JJ	occupied
territories	NNS	territory
more	RBR	more
importantly	RB	importantly
it's	JJ	it's
not	RB	not
just	RB	just
the	DT	the
West	NP	West
Bank	NP	Bank
as	IN	as
in	IN	in
the	DT	the
2004	CD	@card@
ruling	NN	ruling
now	RB	now
we're	NN	we're
talking	VVG	talk
about	IN	about
one	CD	one
territorial	JJ	territorial
Unity	NP	Unity
that	WDT	that
is	VBZ	be
occupied	JJ	occupied
territory	NN	territory
and	CC	and
that	DT	that
is	VBZ	be
Gaza	NP	Gaza
so	RB	so
again	RB	again
Gaza	NP	Gaza
is	VBZ	be
an	DT	an
occupied	JJ	occupied
territory	NN	territory
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
very	RB	very
importantly	RB	importantly
East	NP	East
Jerusalem	NP	Jerusalem
that	WDT	that
was	VBD	be
annexed	VVN	annex
by	IN	by
Israel	NP	Israel
since	IN	since
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
the	DT	the
totality	NN	totality
of	IN	of
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
T	NN	T
That	DT	that
Couldn't	NP	Couldn't
that	WDT	that
are	VBP	be
indivisible	JJ	indivisible
if	IN	if
you	PP	you
will	MD	will
under	IN	under
international	JJ	international
law	NN	law
that's	NNS	that's
also	RB	also
hugely	RB	hugely
important	JJ	important
so	IN	so
that	WDT	that
means	VVZ	mean
the	DT	the
United	NP	United
States	NPS	States
recognition	NN	recognition
of	IN	of
Israel's	NP	Israel's
annexation	NN	annexation
or	CC	or
or	CC	or
moving	VVG	move
its	PP$	its
capital	NN	capital
to	TO	to
Jerusalem	NP	Jerusalem
that's	NNS	that's
illegal	JJ	illegal
now	RB	now
and	CC	and
and	CC	and
definitely	RB	definitely
the	DT	the
US	NP	US
should	MD	should
reconsider	VV	reconsider
uh	UH	uh
that	IN/that	that
because	IN	because
the	DT	the
ruling	NN	ruling
basically	RB	basically
uh	UH	uh
told	VVD	tell
everyone	NN	everyone
that	IN/that	that
assist	NN	assist
or	CC	or
anyone	NN	anyone
that	WDT	that
would	MD	would
assist	VV	assist
in	IN	in
recognition	NN	recognition
of	IN	of
any	DT	any
of	IN	of
the	DT	the
de	FW	de
facto	FW	facto
policies	NNS	policy
including	VVG	include
the	DT	the
annexations	NNS	annexation
in	IN	in
the	DT	the
in	IN	in
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
that	IN/that	that
they	PP	they
are	VBP	be
illegal	JJ	illegal
and	CC	and
that	IN/that	that
they	PP	they
would	MD	would
be	VB	be
in	IN	in
violations	NNS	violation
of	IN	of
international	JJ	international
law	NN	law
there	RB	there
a	DT	a
lot	NN	lot
to	TO	to
unpack	VV	unpack
Maran	NP	Maran
TR	NP	TR
to	TO	to
take	VV	take
them	PP	them
one	CD	one
by	IN	by
one	CD	one
but	CC	but
first	JJ	first
of	IN	of
all	PDT	all
this	DT	this
is	VBZ	be
coming	VVG	come
at	IN	at
a	DT	a
time	NN	time
when	WRB	when
there	EX	there
is	VBZ	be
a	DT	a
war	NN	war
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
we	PP	we
know	VVP	know
that	IN/that	that
this	DT	this
of	IN	of
course	NN	course
this	DT	this
case	NN	case
is	VBZ	be
not	RB	not
addressing	VVG	address
and	CC	and
the	DT	the
court	NN	court
made	VVD	make
it	PP	it
very	RB	very
clear	JJ	clear
it's	NNS	it's
not	RB	not
addressing	VVG	address
the	DT	the
events	NNS	event
post	VV	post
October	NP	October
the	DT	the
6th	JJ	6th
2023	CD	@card@
however	RB	however
do	VVP	do
you	PP	you
see	VVP	see
that	IN/that	that
it	PP	it
does	VVZ	do
have	VHP	have
some	DT	some
implications	NNS	implication
now	RB	now
that	IN/that	that
the	DT	the
court	NN	court
has	VHZ	have
as	RB	as
as	RB	as
you	PP	you
noted	VVD	note
as	RB	as
well	RB	well
it	PP	it
has	VHZ	have
repeated	VVN	repeat
and	CC	and
said	VVD	say
Gaza	NP	Gaza
is	VBZ	be
an	DT	an
occupied	JJ	occupied
territory	NN	territory
part	NN	part
of	IN	of
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
so	IN	so
all	PDT	all
the	DT	the
considerations	NNS	consideration
the	DT	the
calculations	NNS	calculation
about	RB	about
whether	IN	whether
Israel	NP	Israel
is	VBZ	be
or	CC	or
is	VBZ	be
not	RB	not
acting	VVG	act
quote	NN	quote
unquote	VV	unquote
in	IN	in
self-defense	NN	self-defense
in	IN	in
Gaza	NP	Gaza
or	CC	or
whether	IN	whether
it's	NNS	it's
an	DT	an
occupying	JJ	occupying
power	NN	power
do	VVP	do
you	PP	you
see	VVP	see
some	DT	some
implications	NNS	implication
in	IN	in
this	DT	this
finding	NN	finding
by	IN	by
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
today	NN	today
there's	RB	there's
absolutely	RB	absolutely
uh	UH	uh
certain	JJ	certain
implications	NNS	implication
on	IN	on
a	DT	a
number	NN	number
of	IN	of
levels	NNS	level
while	IN	while
the	DT	the
court	NN	court
did	VVD	do
recognize	VV	recognize
that	IN/that	that
Israel	NP	Israel
did	VVD	do
withdraw	VV	withdraw
its	PP$	its
illegal	JJ	illegal
settlers	NNS	settler
and	CC	and
it	PP	it
the	DT	the
and	CC	and
its	PP$	its
military	NN	military
physically	RB	physically
from	IN	from
uh	UH	uh
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
it	PP	it
remained	VVD	remain
an	DT	an
occupying	JJ	occupying
power	NN	power
because	IN	because
it	PP	it
could	MD	could
still	RB	still
use	VV	use
its	PP$	its
Authority	NP	Authority
or	CC	or
its	PP$	its
coercive	JJ	coercive
policies	NNS	policy
in	IN	in
the	DT	the
Gaza	NP	Gaza
or	CC	or
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
having	VHG	have
basically	RB	basically
occupied	VVN	occupy
the	DT	the
borders	NNS	border
and	CC	and
the	DT	the
skies	NNS	sky
and	CC	and
and	CC	and
and	CC	and
the	DT	the
lands	NNS	land
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
so	IN	so
uh	UH	uh
in	IN	in
so	RB	so
many	JJ	many
ways	NNS	way
Gaza	NP	Gaza
as	IN	as
I	PP	I
said	VVD	say
and	CC	and
as	IN	as
the	DT	the
icj	NN	icj
ruled	VVN	rule
is	VBZ	be
part	NN	part
and	CC	and
parcel	NN	parcel
of	IN	of
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
and	CC	and
I	PP	I
think	VVP	think
one	PP	one
of	IN	of
the	DT	the
more	JJR	more
important	JJ	important
elements	NNS	element
that	WDT	that
certainly	RB	certainly
applies	VVZ	apply
is	VBZ	be
this	DT	this
coercive	JJ	coercive
inducement	NN	inducement
uh	UH	uh
of	IN	of
uh	UH	uh
uh	UH	uh
expulsion	NN	expulsion
basically	RB	basically
of	IN	of
inducing	VVG	induce
people	NNS	people
to	TO	to
leave	VV	leave
which	WDT	which
is	VBZ	be
another	DT	another
form	NN	form
of	IN	of
transfer	NN	transfer
which	WDT	which
as	RB	as
the	DT	the
court	NN	court
recognized	VVN	recognize
is	VBZ	be
also	RB	also
illegal	JJ	illegal
and	CC	and
nowhere	RB	nowhere
that	DT	that
we've	NN	we've
seen	VVN	see
the	DT	the
past	JJ	past
nine	CD	nine
months	NNS	month
more	RBR	more
of	IN	of
this	DT	this
coercive	JJ	coercive
inducement	NN	inducement
making	VVG	make
Gaza	NP	Gaza
unlivable	JJ	unlivable
uninhabitable	JJ	uninhabitable
as	IN	as
Gaza	NP	Gaza
so	IN	so
you	PP	you
could	MD	could
definitely	RB	definitely
say	VV	say
that	IN/that	that
there's	RB	there's
a	DT	a
number	NN	number
of	IN	of
the	DT	the
issues	NNS	issue
here	RB	here
that	WDT	that
certainly	RB	certainly
are	VBP	be
applicable	JJ	applicable
to	TO	to
Gaza	NP	Gaza
but	CC	but
I	PP	I
think	VVP	think
probably	RB	probably
the	DT	the
IJ	NP	IJ
might	MD	might
be	VB	be
um	VVG	um
uh	UH	uh
saving	NN	saving
it's	NNS	it's
ruling	VVG	rule
on	IN	on
the	DT	the
on	IN	on
the	DT	the
on	IN	on
what's	NNS	what's
really	RB	really
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
the	DT	the
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
for	IN	for
a	DT	a
latter	NN	latter
date	VV	date
uh	UH	uh
we	PP	we
are	VBP	be
all	RB	all
been	VBN	be
occupied	VVN	occupy
Sam	NP	Sam
as	IN	as
you	PP	you
know	VVP	know
the	DT	the
past	JJ	past
nine	CD	nine
months	NNS	month
with	IN	with
what's	NNS	what's
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
while	IN	while
the	DT	the
other	JJ	other
Battleground	NN	battleground
the	DT	the
other	JJ	other
genocide	NN	genocide
the	DT	the
other	JJ	other
war	NN	war
crimes	NNS	crime
were	VBD	be
actually	RB	actually
happening	VVG	happen
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
East	NP	East
Jerusalem	NP	Jerusalem
where	WRB	where
the	DT	the
real	JJ	real
theft	NN	theft
of	IN	of
land	NN	land
the	DT	the
real	JJ	real
annexations	NNS	annexation
the	DT	the
real	JJ	real
reward	NN	reward
if	IN	if
you	PP	you
will	MD	will
for	IN	for
the	DT	the
criminals	NNS	criminal
in	IN	in
the	DT	the
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
which	WDT	which
is	VBZ	be
really	RB	really
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
the	DT	the
Cosmopolitan	NN	cosmopolitan
or	CC	or
the	DT	the
Metropole	NN	Metropole
of	IN	of
uh	UH	uh
e	NP	e
Jerusalem	NP	Jerusalem
and	CC	and
that's	NNS	that's
where	WRB	where
most	JJS	most
of	IN	of
the	DT	the
violations	NNS	violation
are	VBP	be
happening	VVG	happen
basically	RB	basically
uh	UH	uh
you	PP	you
know	VVP	know
in	IN	in
the	DT	the
shadow	NN	shadow
of	IN	of
the	DT	the
war	NN	war
crimes	NNS	crime
in	IN	in
Gaza	NP	Gaza
so	IN	so
underlining	VVG	underline
all	DT	all
of	IN	of
that	DT	that
today	NN	today
with	IN	with
such	JJ	such
Clarity	NP	Clarity
certainly	RB	certainly
puts	VVZ	put
the	DT	the
Israeli	JJ	Israeli
government	NN	government
on	IN	on
the	DT	the
defensive	NN	defensive
it	PP	it
basically	RB	basically
has	VHZ	have
no	DT	no
defense	NN	defense
but	CC	but
it	PP	it
also	RB	also
and	CC	and
that's	JJ	that's
important	JJ	important
puts	NNS	put
the	DT	the
uh	UH	uh
you	PP	you
know	VVP	know
its	PP$	its
backers	NNS	backer
in	IN	in
London	NP	London
Berlin	NP	Berlin
and	CC	and
and	NP	and
Washington	NP	Washington
also	RB	also
in	IN	in
the	DT	the
defensive	JJ	defensive
now	RB	now
I'm	NN	I'm
not	RB	not
sure	JJ	sure
as	IN	as
your	PP$	your
previous	JJ	previous
guest	NN	guest
would	MD	would
have	VH	have
said	VVN	say
that	IN/that	that
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
change	VV	change
anyone's	NN	anyone's
mind	NN	mind
in	IN	in
Washington	NP	Washington
let	VVD	let
alone	RB	alone
Trump	NP	Trump
if	IN	if
he	PP	he
does	VVZ	do
make	VV	make
it	PP	it
after	IN	after
November	NP	November
but	CC	but
I	PP	I
think	VVP	think
as	IN	as
Netanyahu	NP	Netanyahu
is	VBZ	be
being	VBG	be
now	RB	now
met	VVN	meet
with	IN	with
cheers	NNS	cheer
in	IN	in
Washington	NP	Washington
in	IN	in
both	DT	both
houses	NNS	house
of	IN	of
Congress	NP	Congress
uh	UH	uh
next	JJ	next
week	NN	week
I	PP	I
think	VVP	think
probably	RB	probably
now	RB	now
the	DT	the
general	JJ	general
assembly	NN	assembly
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
the	DT	the
world's	NP	world's
Parliament	NP	Parliament
should	MD	should
start	VV	start
taking	VVG	take
measures	NNS	measure
just	RB	just
as	IN	as
Netanyahu	NP	Netanyahu
is	VBZ	be
re	NN	re
in	IN	in
Washington	NP	Washington
it's	NNS	it's
about	IN	about
time	NN	time
to	TO	to
freeze	VV	freeze
Israel	NP	Israel
is	VBZ	be
its	PP$	its
membership	NN	membership
at	IN	at
the	DT	the
United	NP	United
Nation	NP	Nation
and	CC	and
the	DT	the
UN	NP	UN
General	NP	General
assem	NP	assem
Assembly	NP	Assembly
is	VBZ	be
capable	JJ	capable
of	IN	of
doing	VVG	do
that	IN/that	that
just	RB	just
as	IN	as
it	PP	it
did	VVD	do
to	TO	to
South	NP	South
Africa	NP	Africa
after	IN	after
such	PDT	such
a	DT	a
ruling	NN	ruling
it	PP	it
has	VHZ	have
every	DT	every
possible	JJ	possible
reason	NN	reason
capacity	NN	capacity
and	CC	and
I	PP	I
would	MD	would
say	VV	say
moral	JJ	moral
and	CC	and
legal	JJ	legal
obligation	NN	obligation
to	TO	to
freeze	VV	freeze
Israel's	NP	Israel's
membership	NN	membership
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
Maran	NP	Maran
putting	VVG	put
aside	RP	aside
maybe	RB	maybe
looking	VVG	look
into	IN	into
the	DT	the
crystal	NN	crystal
all	DT	all
of	IN	of
what	WP	what
Donald	NP	Donald
Trump	NP	Trump
may	MD	may
or	CC	or
may	MD	may
not	RB	not
do	VV	do
but	CC	but
beyond	IN	beyond
him	PP	him
in	IN	in
the	DT	the
wider	JJR	wide
Circles	NNS	circle
of	IN	of
power	NN	power
in	IN	in
the	DT	the
west	NN	west
do	VVP	do
you	PP	you
see	VVP	see
at	IN	at
all	PDT	all
any	DT	any
potential	NN	potential
for	IN	for
change	NN	change
in	IN	in
the	DT	the
political	JJ	political
calculus	NN	calculus
that	IN/that	that
without	IN	without
which	WDT	which
would	MD	would
leave	VV	leave
those	DT	those
countries	NNS	country
in	IN	in
a	DT	a
very	RB	very
awkward	JJ	awkward
position	NN	position
of	IN	of
being	VBG	be
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
the	DT	the
countries	NNS	country
that	WDT	that
preach	VVP	preach
to	TO	to
Russia	NP	Russia
respect	NN	respect
for	IN	for
international	JJ	international
law	NN	law
and	CC	and
calling	VVG	call
on	IN	on
it	PP	it
to	TO	to
end	VV	end
occupation	NN	occupation
in	IN	in
Ukraine	NP	Ukraine
but	CC	but
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
continue	VVP	continue
to	TO	to
support	VV	support
what	WP	what
the	DT	the
is	VBZ	be
CJ	NP	CJ
is	VBZ	be
just	RB	just
called	VVN	call
an	DT	an
illegal	JJ	illegal
occupation	NN	occupation
of	IN	of
Palestinian	JJ	Palestinian
territories	NNS	territory
and	CC	and
continue	VVP	continue
to	TO	to
send	VV	send
it	PP	it
weapons	NNS	weapon
and	CC	and
arms	NNS	arm
even	RB	even
there's	RB	there's
no	DT	no
doubt	NN	doubt
that	IN/that	that
I	PP	I
and	CC	and
countless	JJ	countless
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
nor	CC	nor
Less	JJR	less
in	IN	in
Palestine	NP	Palestine
wish	VVP	wish
it	PP	it
but	CC	but
I	PP	I
don't	VVD	don't
but	RB	but
or	CC	or
I	PP	I
do	VVP	do
rather	RB	rather
want	VV	want
to	TO	to
distinguish	VV	distinguish
between	IN	between
wishing	VVG	wish
and	CC	and
wishful	JJ	wishful
thinking	NN	thinking
so	IN	so
I	PP	I
think	VVP	think
there	EX	there
is	VBZ	be
a	DT	a
a	DT	a
lot	NN	lot
of	IN	of
room	NN	room
uh	UH	uh
for	IN	for
hoping	VVG	hope
that	IN/that	that
this	DT	this
ruling	NN	ruling
will	MD	will
support	VV	support
a	DT	a
a	DT	a
movement	NN	movement
an	DT	an
international	JJ	international
movement	NN	movement
across	IN	across
the	DT	the
board	NN	board
in	IN	in
the	DT	the
west	NN	west
and	CC	and
elsewhere	RB	elsewhere
in	IN	in
the	DT	the
world	NN	world
in	IN	in
favor	NN	favor
of	IN	of
more	JJR	more
sanctions	NNS	sanction
more	JJR	more
pressure	NN	pressure
on	IN	on
Western	JJ	Western
governments	NNS	government
to	TO	to
put	VV	put
more	JJR	more
pressure	NN	pressure
in	IN	in
Israel	NP	Israel
in	IN	in
favor	NN	favor
of	IN	of
embarrassing	VVG	embarrass
and	CC	and
humiliating	VVG	humiliate
those	DT	those
who	WP	who
continue	VVP	continue
to	TO	to
support	VV	support
Israel's	NP	Israel's
illegal	JJ	illegal
unlawful	JJ	unlawful
occupation	NN	occupation
annexation	NN	annexation
settlement	NN	settlement
those	DT	those
who	WP	who
continue	VVP	continue
to	TO	to
trade	VV	trade
uh	UH	uh
with	IN	with
the	DT	the
Israeli	JJ	Israeli
settlements	NNS	settlement
like	IN	like
for	IN	for
example	NN	example
here	RB	here
in	IN	in
the	DT	the
European	NP	European
Union	NP	Union
but	CC	but
certainly	RB	certainly
the	DT	the
United	NP	United
States	NPS	States
even	RB	even
certain	JJ	certain
now	RB	now
Middle	NP	Middle
Eastern	NP	Eastern
countries	NNS	country
I	PP	I
think	VVP	think
that	IN/that	that
all	DT	all
will	MD	will
startop	VV	startop
putting	VVG	put
pressure	NN	pressure
on	IN	on
a	DT	a
number	NN	number
of	IN	of
governments	NNS	government
to	TO	to
do	VV	do
so	IN	so
having	VHG	have
said	VVN	say
that	IN/that	that
I	PP	I
also	RB	also
want	VVP	want
to	TO	to
underline	VV	underline
something	NN	something
very	RB	very
important	JJ	important
you	PP	you
know	VVP	know
they	PP	they
say	VVP	say
one	PP	one
of	IN	of
the	DT	the
maxims	NNS	maxim
of	IN	of
of	IN	of
international	JJ	international
law	NN	law
is	VBZ	be
Justice	NN	justice
delayed	VVN	delay
is	VBZ	be
Justice	NP	Justice
denied	VVD	deny
we're	NN	we're
talking	VVG	talk
about	RB	about
now	RB	now
almost	RB	almost
60	CD	@card@
years	NNS	year
six	CD	six
Decades	NNS	decade
of	IN	of
more	JJR	more
of	IN	of
the	DT	the
same	JJ	same
criminal	JJ	criminal
illegal	JJ	illegal
unlawful	JJ	unlawful
discriminatory	JJ	discriminatory
racist	JJ	racist
occupation	NN	occupation
of	IN	of
Palestine	NP	Palestine
all	DT	all
right	NN	right
and	CC	and
still	RB	still
there	EX	there
are	VBP	be
those	DT	those
in	IN	in
London	NP	London
and	CC	and
Washington	NP	Washington
still	RB	still
defending	VVG	defend
it	PP	it
or	CC	or
justifying	VVG	justify
Israel's	NP	Israel's
policies	NNS	policy
I	PP	I
think	VVP	think
this	DT	this
ruling	NN	ruling
hopefully	RB	hopefully
will	MD	will
start	VV	start
changing	VVG	change
some	DT	some
minds	NNS	mind
and	CC	and
hearts	NNS	heart
and	CC	and
maybe	RB	maybe
sing	VV	sing
around	RP	around
some	DT	some
of	IN	of
those	DT	those
Pockets	NNS	pocket
that	WDT	that
continue	VVP	continue
to	TO	to
finance	VV	finance
Israel's	NP	Israel's
apart	RB	apart
all	DT	all
right	JJ	right
that's	NN	that's
Maran	NP	Maran
bishara	NN	bishara
always	RB	always
a	DT	a
pleasure	NN	pleasure
to	TO	to
have	VH	have
you	PP	you
our	PP$	our
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
our	PP$	our
Channel	NP	Channel
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NN	alaz
</doc>	NN	</doc>
