yes	UH	yes
majority	NN	majority
of	IN	of
people	NNS	people
here	RB	here
if	IN	if
not	RB	not
all	RB	all
of	IN	of
them	PP	them
they	PP	they
are	VBP	be
living	VVG	live
on	IN	on
either	DT	either
one	CD	one
meal	NN	meal
a	DT	a
day	NN	day
or	CC	or
they	PP	they
go	VVP	go
for	IN	for
days	NNS	day
entire	JJ	entire
families	NNS	family
go	VVP	go
for	IN	for
days	NNS	day
without	IN	without
any	DT	any
proper	JJ	proper
food	NN	food
uh	UH	uh
to	TO	to
eat	VV	eat
and	CC	and
in	IN	in
fact	NN	fact
most	JJS	most
of	IN	of
the	DT	the
can	NN	can
food	NN	food
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
eating	VVG	eat
and	CC	and
given	VVN	give
the	DT	the
fact	NN	fact
that	IN/that	that
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	JJ	s
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
blocked	VVD	block
on	IN	on
the	DT	the
bra	NN	bra
Crossing	VVG	cross
for	IN	for
so	RB	so
long	JJ	long
it	PP	it
goes	VVZ	go
bad	JJ	bad
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
suitable	JJ	suitable
for	IN	for
human	JJ	human
consumption	NN	consumption
so	IN	so
we	PP	we
look	VVP	look
at	IN	at
different	JJ	different
categories	NNS	category
here	RB	here
including	VVG	include
those	DT	those
newborn	JJ	newborn
newborn	JJ	newborn
babies	NNS	baby
who	WP	who
are	VBP	be
struggling	VVG	struggle
and	CC	and
dying	VVG	die
because	IN	because
of	IN	of
Mal	JJ	Mal
nutrition	NN	nutrition
those	DT	those
who	WP	who
are	VBP	be
breastfeeding	VVG	breastfeed
women	NNS	woman
and	CC	and
pregnant	JJ	pregnant
women	NNS	woman
as	RB	as
well	RB	well
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
continue	VV	continue
with	IN	with
their	PP$	their
pregnancy	NN	pregnancy
or	CC	or
breastfeeding	VVG	breastfeed
properly	RB	properly
because	IN	because
they	PP	they
lack	VVP	lack
the	DT	the
uh	UH	uh
the	DT	the
nutrients	NNS	nutrient
uh	UH	uh
needed	VVN	need
for	IN	for
them	PP	them
to	TO	to
sustain	VV	sustain
their	PP$	their
health	NN	health
and	CC	and
to	TO	to
continue	VV	continue
uh	UH	uh
given	VVN	give
to	TO	to
their	PP$	their
children	NNS	child
those	DT	those
who	WP	who
are	VBP	be
uh	UH	uh
uh	UH	uh
are	VBP	be
able	JJ	able
to	TO	to
move	VV	move
they	PP	they
are	VBP	be
filling	VVG	fill
the	DT	the
streets	NNS	street
here	RB	here
we	PP	we
see	VVP	see
children	NNS	child
uh	UH	uh
roaming	VVG	roam
uh	UH	uh
filled	VVN	fill
uh	UH	uh
streets	NNS	street
filled	VVD	fill
Rubble	NN	rubble
streets	NNS	street
here	RB	here
just	RB	just
searching	VVG	search
for	IN	for
scraps	NNS	scrap
of	IN	of
food	NN	food
and	CC	and
in	IN	in
fact	NN	fact
and	CC	and
according	VVG	accord
to	TO	to
a	DT	a
report	NN	report
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
also	RB	also
the	DT	the
Islamic	JJ	Islamic
relief	NN	relief
worldwide	RB	worldwide
they	PP	they
look	VVP	look
at	IN	at
at	IN	at
the	DT	the
on	IN	on
the	DT	the
internationally	RB	internationally
recognized	VVN	recognize
five	CD	five
phase	NN	phase
scale	NN	scale
of	IN	of
of	IN	of
food	NN	food
that	WDT	that
classify	VVP	classify
food	NN	food
crisis	NN	crisis
we	PP	we
look	VVP	look
at	IN	at
that	DT	that
quarter	NN	quarter
of	IN	of
Gaza	NP	Gaza
population	NN	population
that	RB	that
'	POS	'
s	VVG	s
half	PDT	half
a	DT	a
million	CD	million
people	NNS	people
are	VBP	be
in	IN	in
in	IN	in
extreme	JJ	extreme
famine	NN	famine
right	NN	right
now	RB	now
and	CC	and
that	DT	that
number	NN	number
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
people	NNS	people
who	WP	who
remain	VVP	remain
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
G	NP	G
history	NN	history
were	VBD	be
for	IN	for
weeks	NNS	week
now	RB	now
they	PP	they
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
able	JJ	able
to	TO	to
receive	VV	receive
any	DT	any
any	DT	any
of	IN	of
the	DT	the
food	NN	food
that	DT	that
been	VBN	be
allowed	VVN	allow
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
L	NP	L
alone	RB	alone
the	DT	the
contaminated	JJ	contaminated
water	NN	water
that	DT	that
been	VBN	be
drinking	VVG	drink
leading	VVG	lead
into	IN	into
the	DT	the
spread	NN	spread
of	IN	of
diseases	NNS	disease
as	IN	as
a	DT	a
result	NN	result
of	IN	of
waterborne	JJ	waterborne
diseases	NNS	disease
risking	VVG	risk
the	DT	the
lives	NNS	life
of	IN	of
not	RB	not
only	RB	only
the	DT	the
people	NNS	people
people	NNS	people
who	WP	who
are	VBP	be
able	JJ	able
to	TO	to
continue	VV	continue
but	CC	but
also	RB	also
the	DT	the
most	RBS	most
vulnerable	JJ	vulnerable
group	NN	group
among	IN	among
of	IN	of
them	PP	them
children	NNS	child
and	CC	and
those	DT	those
with	IN	with
with	IN	with
health	NN	health
complications	NNS	complication
the	DT	the
situations	NNS	situation
continue	VVP	continue
get	VV	get
worse	JJR	bad
in	IN	in
each	DT	each
passing	VVG	pass
day	NN	day
and	CC	and
the	DT	the
fact	NN	fact
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
a	DT	a
clear	JJ	clear
mechanism	NN	mechanism
for	IN	for
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
much	RB	much
needed	VVN	need
medical	JJ	medical
supplies	NNS	supply
and	CC	and
and	CC	and
and	CC	and
essential	JJ	essential
items	NNS	item
to	TO	to
help	VV	help
people	NNS	people
survive	VV	survive
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
entire	JJ	entire
Mass	NP	Mass
starvation	NN	starvation
for	IN	for
people	NNS	people
all	RB	all
of	IN	of
this	DT	this
is	VBZ	be
happening	VVG	happen
under	IN	under
intense	JJ	intense
bombing	NN	bombing
campaign	NN	campaign
that	WDT	that
continues	VVZ	continue
to	TO	to
pound	VV	pound
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
yeah	RB	yeah
half	PDT	half
a	DT	a
million	CD	million
people	NNS	people
in	IN	in
extreme	JJ	extreme
famine	NN	famine
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
troubling	JJ	troubling
situation	NN	situation
very	RB	very
troubling	JJ	troubling
numbers	NNS	number
honey	VVP	honey
thanks	NNS	thanks
for	IN	for
that	DT	that
honey	NN	honey
Mahmud	NP	Mahmud
