<video_id>UYyprwa-VLA</video_id>	JJ	<video_id>UYyprwa-VLA</video_id>
and	CC	and
uh	UH	uh
the	DT	the
Minister	NP	Minister
of	IN	of
Defense	NP	Defense
had	VHD	have
said	VVN	say
overnight	RB	overnight
and	CC	and
even	RB	even
this	DT	this
morning	NN	morning
um	NN	um
that	IN/that	that
it's	NNS	it's
expected	VVD	expect
that	IN/that	that
they	PP	they
will	MD	will
have	VH	have
those	DT	those
losses	NNS	loss
it's	NNS	it's
a	DT	a
war	NN	war
and	CC	and
that's	NNS	that's
the	DT	the
price	NN	price
they'll	NN	they'll
have	VHP	have
to	TO	to
pay	VV	pay
um	NNS	um
but	CC	but
they're	NNS	they're
trying	VVG	try
to	TO	to
limit	VV	limit
those	DT	those
deaths	NNS	death
by	IN	by
uh	UH	uh
using	VVG	use
a	DT	a
much	RB	much
stronger	JJR	strong
uh	UH	uh
uh	UH	uh
protection	NN	protection
from	IN	from
the	DT	the
Air	NP	Air
Force	NP	Force
as	IN	as
they're	NN	they're
back	RB	back
up	RB	up
and	CC	and
Sara	NP	Sara
Israel's	NP	Israel's
also	RB	also
claiming	VVG	claim
to	TO	to
have	VH	have
achieved	VVN	achieve
its	PP$	its
military	JJ	military
objectives	NNS	objective
during	IN	during
this	DT	this
attack	NN	attack
of	IN	of
the	DT	the
jabala	NN	jabala
refugee	NN	refugee
camp	NN	camp
which	WDT	which
is	VBZ	be
predominantly	RB	predominantly
a	DT	a
residential	JJ	residential
neighborhood	NN	neighborhood
what	WP	what
exactly	RB	exactly
have	VHP	have
they	PP	they
said	VVD	say
yeah	RB	yeah
and	CC	and
as	RB	as
you	PP	you
saw	VVD	see
in	IN	in
those	DT	those
videos	NNS	video
those	DT	those
buildings	NNS	building
are	VBP	be
so	RB	so
close	RB	close
together	RB	together
it's	NNS	it's
very	RB	very
compact	VVP	compact
it's	NNS	it's
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
densely	RB	densely
populated	VVN	populate
places	NNS	place
in	IN	in
Gaza	NP	Gaza
now	RB	now
uh	UH	uh
the	DT	the
military	NN	military
this	DT	this
morning	NN	morning
has	VHZ	have
said	VVN	say
that	IN/that	that
it's	NNS	it's
targeted	VVD	target
11,000	CD	@card@
targets	NNS	target
11,000	CD	@card@
strikes	NNS	strike
and	CC	and
that's	NNS	that's
just	RB	just
in	IN	in
a	DT	a
little	JJ	little
over	IN	over
three	CD	three
weeks	NNS	week
um	NN	um
which	WDT	which
is	VBZ	be
a	DT	a
huge	JJ	huge
amount	NN	amount
and	CC	and
of	IN	of
course	NN	course
a	DT	a
lot	NN	lot
of	IN	of
those	DT	those
that	WDT	that
have	VHP	have
been	VBN	be
killed	VVN	kill
have	VHP	have
been	VBN	be
civilians	NNS	civilian
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
military	NN	military
though	RB	though
says	VVZ	say
that	IN/that	that
it	PP	it
specifically	RB	specifically
targeted	VVD	target
um	JJ	um
Hamas	JJ	Hamas
groups	NNS	group
especially	RB	especially
overnight	RB	overnight
they	PP	they
said	VVD	say
that	IN/that	that
they	PP	they
their	PP$	their
soldiers	NNS	soldier
the	DT	the
the	DT	the
ones	NNS	one
the	DT	the
ground	NN	ground
troops	NNS	troop
had	VHD	have
identified	VVN	identify
a	DT	a
number	NN	number
of	IN	of
Fighters	NNS	fighter
they	PP	they
said	VVD	say
that	IN/that	that
had	VHD	have
barricaded	VVN	barricade
barricaded	VVN	barricade
rather	RB	rather
themselves	PP	themselves
in	IN	in
a	DT	a
building	NN	building
in	IN	in
jabalia	NNS	jabalia
and	CC	and
that's	NNS	that's
how	WRB	how
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
Target	NP	Target
them	PP	them
um	RB	um
but	CC	but
of	IN	of
course	NN	course
as	IN	as
we	PP	we
all	PDT	all
those	DT	those
numbers	NNS	number
of	IN	of
Civilian	JJ	civilian
deaths	NNS	death
have	VHP	have
been	VBN	be
high	JJ	high
they	PP	they
also	RB	also
said	VVD	say
that	IN/that	that
they	PP	they
targeted	VVD	target
command	NN	command
centers	NNS	center
by	IN	by
Hamas	JJ	Hamas
um	NNS	um
they	PP	they
haven't	VVD	haven't
really	RB	really
given	VVN	give
the	DT	the
details	NNS	detail
to	TO	to
that	DT	that
but	CC	but
it's	NNS	it's
an	DT	an
accusation	NN	accusation
they've	NN	they've
been	VBN	be
making	VVG	make
for	IN	for
a	DT	a
while	NN	while
now	RB	now
um	JJ	um
where	WRB	where
they've	NN	they've
said	VVD	say
that	IN/that	that
that's	NNS	that's
why	WRB	why
they're	NN	they're
hitting	VVG	hit
these	DT	these
areas	NNS	area
with	IN	with
civilians	NNS	civilian
because	IN	because
Hamas	NP	Hamas
is	VBZ	be
operating	VVG	operate
from	IN	from
places	NNS	place
like	IN	like
schools	NNS	school
or	CC	or
medical	JJ	medical
centers	NNS	center
including	VVG	include
Al	NP	Al
shiffer	NN	shiffer
hospital	NN	hospital
and	CC	and
they've	NN	they've
accused	VVD	accuse
them	PP	them
in	IN	in
jaala	NN	jaala
of	IN	of
being	VBG	be
amongst	IN	amongst
residents	NNS	resident
and	CC	and
having	VHG	have
those	DT	those
command	NN	command
centers	VVZ	center
they	PP	they
also	RB	also
added	VVD	add
that	IN/that	that
they	PP	they
also	RB	also
managed	VVD	manage
um	NN	um
to	TO	to
uh	UH	uh
attack	VV	attack
uh	UH	uh
the	DT	the
Hamas	JJ	Hamas
Fighters	NNS	fighter
that	WDT	that
targeted	VVD	target
one	CD	one
of	IN	of
their	PP$	their
tankers	NNS	tanker
tanks	NNS	tank
so	IN	so
um	NNS	um
there	RB	there
seem	VVP	seem
to	TO	to
be	VB	be
what	WP	what
they're	NN	they're
saying	VVG	say
is	VBZ	be
that	IN/that	that
they're	NN	they're
showing	VVG	show
a	DT	a
good	JJ	good
show	NN	show
of	IN	of
force	NN	force
against	IN	against
Hamas	NNS	Hamas
with	IN	with
very	RB	very
precise	JJ	precise
uh	UH	uh
attacks	NNS	attack
on	IN	on
them	PP	them
but	CC	but
as	IN	as
we've	NN	we've
said	VVD	say
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
number	NN	number
and	CC	and
the	DT	the
death	NN	death
toll	NN	toll
of	IN	of
the	DT	the
civilians	NNS	civilian
are	VBP	be
high	RB	high
thank	VV	thank
you	PP	you
for	IN	for
that	DT	that
Sarah	NP	Sarah
there	RB	there
for	IN	for
us	PP	us
an	DT	an
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
</doc>	NN	</doc>
