reporting	VVG	report
by	IN	by
the	DT	the
Thai	JJ	Thai
um	JJ	um
prime	JJ	prime
minister	NN	minister
this	DT	this
is	VBZ	be
12	CD	@card@
out	IN	out
of	IN	of
23	CD	@card@
of	IN	of
course	NN	course
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
how	WRB	how
many	JJ	many
of	IN	of
those	DT	those
23	CD	@card@
are	VBP	be
still	RB	still
alive	JJ	alive
and	CC	and
when	WRB	when
whether	IN	whether
any	DT	any
of	IN	of
the	DT	the
Thai	NP	Thai
Nationals	NNS	national
died	VVD	die
uh	UH	uh
in	IN	in
in	IN	in
the	DT	the
47	CD	@card@
days	NNS	day
of	IN	of
Israeli	JJ	Israeli
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
one	CD	one
really	RB	really
simple	JJ	simple
thing	NN	thing
that	IN/that	that
lesson	NN	lesson
from	IN	from
from	IN	from
this	DT	this
latest	JJS	late
news	NN	news
that	IN/that	that
12	CD	@card@
Thai	NP	Thai
workers	NNS	worker
have	VHP	have
actually	RB	actually
been	VBN	be
released	VVN	release
is	VBZ	be
that	IN/that	that
this	DT	this
is	VBZ	be
somehow	RB	somehow
working	VVG	work
there	EX	there
is	VBZ	be
a	DT	a
mechanism	NN	mechanism
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
talking	VVG	talk
about	IN	about
the	DT	the
mechanics	NNS	mechanic
of	IN	of
the	DT	the
deal	NN	deal
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
explaining	VVG	explain
to	TO	to
our	PP$	our
viewers	NNS	viewer
that	IN/that	that
this	DT	this
is	VBZ	be
quite	RB	quite
complicated	VVN	complicate
uh	UH	uh
that	IN/that	that
there	EX	there
needs	VVZ	need
to	TO	to
be	VB	be
trust	NN	trust
between	IN	between
these	DT	these
two	CD	two
Ides	NP	Ides
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
clearly	RB	clearly
there	RB	there
has	VHZ	have
Hamas	NN	Hamas
has	VHZ	have
found	VVN	find
a	DT	a
way	NN	way
to	TO	to
release	VV	release
captives	NNS	captive
when	WRB	when
it	PP	it
came	VVD	come
to	TO	to
the	DT	the
Thai	JJ	Thai
Nationals	NNS	national
absolutely	RB	absolutely
and	CC	and
I	PP	I
it	PP	it
'	POS	'
s	NN	S
not	RB	not
clear	JJ	clear
to	TO	to
me	PP	me
yet	RB	yet
whether	IN	whether
the	DT	the
international	JJ	international
Committee	NN	committee
of	IN	of
the	DT	the
Red	NP	Red
Cross	NP	Cross
were	VBD	be
the	DT	the
facilitators	NNS	facilitator
for	IN	for
this	DT	this
but	CC	but
I	PP	I
think	VVP	think
that	IN/that	that
'	POS	'
s	NN	S
probably	RB	probably
likely	JJ	likely
and	CC	and
they	PP	they
are	VBP	be
the	DT	the
facilitator	NN	facilitator
We	PP	we
Believe	VVP	believe
of	IN	of
the	DT	the
first	JJ	first
batch	NN	batch
of	IN	of
Israeli	JJ	Israeli
captives	NNS	captive
the	DT	the
13	CD	@card@
that	WDT	that
were	VBD	be
expecting	VVG	expect
to	TO	to
be	VB	be
released	VVN	release
anytime	RB	anytime
soon	RB	soon
and	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
worth	JJ	worth
telling	VVG	tell
you	PP	you
here	RB	here
in	IN	in
this	DT	this
Newsroom	NN	newsroom
there	EX	there
are	VBP	be
people	NNS	people
pouring	VVG	pour
over	IN	over
all	DT	all
of	IN	of
the	DT	the
live	JJ	live
pictures	NNS	picture
coming	VVG	come
from	IN	from
the	DT	the
from	IN	from
the	DT	the
scene	NN	scene
at	IN	at
the	DT	the
moment	NN	moment
to	TO	to
see	VV	see
if	IN	if
we	PP	we
see	VVP	see
anyone	NN	anyone
crossing	VVG	cross
the	DT	the
border	NN	border
at	IN	at
Rafa	NP	Rafa
well	RB	well
it	PP	it
seems	VVZ	seem
that	IN/that	that
12	CD	@card@
Tha	NP	tha
Nationals	NNS	national
have	VHP	have
crossed	VVN	cross
that	IN/that	that
border	NN	border
and	CC	and
no	DT	no
one	CD	one
saw	VVD	see
them	PP	them
you	PP	you
know	VVP	know
you	PP	you
know	VVP	know
I	PP	I
was	VBD	be
going	VVG	go
to	TO	to
say	VV	say
it	PP	it
'	POS	'
s	NN	S
unlikely	JJ	unlikely
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
see	VV	see
something	NN	something
on	IN	on
these	DT	these
live	JJ	live
pictures	NNS	picture
but	CC	but
actually	RB	actually
I	PP	I
could	MD	could
be	VB	be
completely	RB	completely
wrong	JJ	wrong
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
what	WP	what
to	TO	to
expect	VV	expect
I	PP	I
mean	VV	mean
maybe	RB	maybe
maybe	RB	maybe
a	DT	a
group	NN	group
of	IN	of
captives	NNS	captive
shows	VVZ	show
up	RP	up
and	CC	and
and	CC	and
they	PP	they
'	POS	'
re	NN	re
caught	VVD	catch
on	IN	on
these	DT	these
life	NN	life
shots	NNS	shot
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VV	know
which	WDT	which
is	VBZ	be
why	WRB	why
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
them	PP	them
every	DT	every
every	DT	every
second	NN	second
can	MD	can
you	PP	you
explain	VV	explain
to	TO	to
our	PP$	our
viewers	NNS	viewer
can	MD	can
you	PP	you
address	VV	address
the	DT	the
notion	NN	notion
of	IN	of
how	WRB	how
fragile	JJ	fragile
this	DT	this
is	VBZ	be
the	DT	the
reason	NN	reason
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
so	RB	so
much	RB	much
about	IN	about
the	DT	the
mechanics	NNS	mechanic
of	IN	of
the	DT	the
deal	NN	deal
is	VBZ	be
because	IN	because
when	WRB	when
the	DT	the
mediator	NN	mediator
has	VHZ	have
presented	VVN	present
how	WRB	how
this	DT	this
was	VBD	be
going	VVG	go
to	TO	to
work	VV	work
he	PP	he
was	VBD	be
at	IN	at
pains	NNS	pain
to	TO	to
explain	VV	explain
you	PP	you
know	VV	know
we	PP	we
'	''	'
re	IN	re
we	PP	we
'	POS	'
re	NN	re
watching	VVG	watch
this	DT	this
every	DT	every
second	JJ	second
because	IN	because
it	PP	it
could	MD	could
go	VV	go
wrong	RB	wrong
yeah	RB	yeah
well	RB	well
after	IN	after
the	DT	the
events	NNS	event
of	IN	of
October	NP	October
7th	JJ	7th
and	CC	and
after	IN	after
everything	NN	everything
that	RB	that
'	POS	'
s	NN	S
happened	VVD	happen
since	IN	since
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
intensity	NN	intensity
of	IN	of
the	DT	the
bombardment	NN	bombardment
there	RB	there
'	POS	'
s	NN	S
absolutely	RB	absolutely
no	DT	no
trust	NN	trust
between	IN	between
the	DT	the
two	CD	two
Central	JJ	central
parties	NNS	party
here	RB	here
and	CC	and
so	RB	so
they	PP	they
'	POS	'
ve	NN	ve
had	VHD	have
to	TO	to
try	VV	try
and	CC	and
make	VV	make
a	DT	a
a	DT	a
a	DT	a
plan	NN	plan
um	NN	um
that	WDT	that
would	MD	would
not	RB	not
build	VV	build
trust	NN	trust
but	CC	but
build	VV	build
momentum	NN	momentum
into	IN	into
the	DT	the
process	NN	process
and	CC	and
so	IN	so
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
had	VHD	have
is	VBZ	be
the	DT	the
Ceasar	NP	Ceasar
temporary	JJ	temporary
Ceasar	NP	Ceasar
coming	VVG	come
into	IN	into
effect	NN	effect
and	CC	and
then	RB	then
this	DT	this
staged	VVN	stage
process	NN	process
of	IN	of
um	JJ	um
C	NP	C
captives	NNS	captive
um	NNS	um
will	MD	will
be	VB	be
released	VVN	release
Israeli	JJ	Israeli
captives	NNS	captive
by	IN	by
Hamas	NN	Hamas
and	CC	and
then	RB	then
also	RB	also
as	IN	as
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
now	RB	now
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
uh	UH	uh
released	VVN	release
by	IN	by
Israel	NP	Israel
and	CC	and
if	IN	if
both	DT	both
sides	NNS	side
have	VHP	have
got	VVN	get
something	NN	something
from	IN	from
day	NN	day
one	CD	one
then	RB	then
we	PP	we
think	VVP	think
there	EX	there
'	''	'
ll	NN	ll
be	VB	be
set	VVN	set
of	IN	of
lists	NNS	list
prepared	VVN	prepare
for	IN	for
day	NN	day
two	CD	two
with	IN	with
another	DT	another
batch	NN	batch
of	IN	of
um	JJ	um
people	NNS	people
that	WDT	that
are	VBP	be
hold	NN	hold
held	VVN	hold
by	IN	by
herass	NN	herass
women	NNS	woman
and	CC	and
children	NNS	child
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
and	CC	and
then	RB	then
another	DT	another
batch	NN	batch
of	IN	of
um	NNS	um
prisoners	NNS	prisoner
uh	UH	uh
women	NNS	woman
and	CC	and
children	NNS	child
that	WDT	that
are	VBP	be
held	VVN	hold
by	IN	by
Israel	NP	Israel
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
Palestinians	NPS	Palestinians
and	CC	and
then	RB	then
day	NN	day
two	CD	two
can	MD	can
go	VV	go
on	RP	on
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
like	IN	like
this	DT	this
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
day	NN	day
by	IN	by
day	NN	day
they	PP	they
'	POS	'
re	NN	re
obviously	RB	obviously
very	RB	very
very	RB	very
concerned	VVN	concern
about	IN	about
some	DT	some
sort	NN	sort
of	IN	of
accidental	JJ	accidental
violation	NN	violation
of	IN	of
this	DT	this
that	WDT	that
that	IN/that	that
some	DT	some
way	NN	way
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
the	DT	the
um	NN	um
the	DT	the
ceasefire	NN	ceasefire
will	MD	will
be	VB	be
broken	VVN	break
and	CC	and
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
there	RB	there
is	VBZ	be
a	DT	a
control	NN	control
room	NN	room
here	RB	here
in	IN	in
Doha	NP	Doha
the	DT	the
kataris	NNS	kataris
have	VHP	have
set	VVN	set
up	RP	up
realtime	NN	realtime
links	VVZ	link
direct	JJ	direct
links	NNS	link
with	IN	with
the	DT	the
Israeli	JJ	Israeli
side	NN	side
with	IN	with
Mossad	NN	Mossad
with	IN	with
lines	NNS	line
to	TO	to
the	DT	the
Israeli	JJ	Israeli
military	NN	military
and	CC	and
of	IN	of
course	NN	course
um	NN	um
Qatar	NP	Qatar
has	VHZ	have
a	DT	a
direct	JJ	direct
line	NN	line
to	TO	to
Hamas	NNS	Hamas
as	IN	as
well	RB	well
the	DT	the
idea	NN	idea
being	VBG	be
if	IN	if
there	EX	there
'	''	'
s	VVG	s
some	DT	some
sort	NN	sort
of	IN	of
problem	NN	problem
some	DT	some
sort	NN	sort
of	IN	of
minor	JJ	minor
violation	NN	violation
that	IN/that	that
they	PP	they
can	MD	can
transort	VV	transort
it	PP	it
there	RB	there
and	CC	and
then	RB	then
and	CC	and
it	PP	it
doesn	NP	doesn
'	POS	'
t	NN	t
become	VV	become
something	NN	something
that	WDT	that
brings	VVZ	bring
down	RP	down
the	DT	the
whole	NN	whole
of	IN	of
this	DT	this
uh	UH	uh
plan	NN	plan
ceasefire	NN	ceasefire
of	IN	of
4	CD	@card@
days	NNS	day
and	CC	and
I	PP	I
think	VVP	think
many	JJ	many
are	VBP	be
hoping	VVG	hope
that	IN/that	that
this	DT	this
can	MD	can
extend	VV	extend
beyond	IN	beyond
4	CD	@card@
days	NNS	day
so	IN	so
this	DT	this
is	VBZ	be
it	PP	it
you	PP	you
were	VBD	be
talking	VVG	talk
about	IN	about
momentum	NN	momentum
the	DT	the
point	NN	point
of	IN	of
momentum	NN	momentum
obviously	RB	obviously
is	VBZ	be
to	TO	to
go	VV	go
beyond	IN	beyond
the	DT	the
four	CD	four
days	NNS	day
explain	VVP	explain
that	IN/that	that
because	IN	because
the	DT	the
qari	NN	qari
mediators	NNS	mediator
again	RB	again
were	VBD	be
saying	VVG	say
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
Phase	NN	phase
One	PP	one
essentially	RB	essentially
these	DT	these
four	CD	four
days	NNS	day
and	CC	and
for	IN	for
us	PP	us
uncertain	JJ	uncertain
and	CC	and
usure	JJ	usure
unsure	JJ	unsure
and	CC	and
fraught	JJ	fraught
with	IN	with
with	IN	with
risk	NN	risk
and	CC	and
difficulty	NN	difficulty
as	IN	as
they	PP	they
are	VBP	be
the	DT	the
mediators	NNS	mediator
are	VBP	be
hoping	VVG	hope
that	IN/that	that
this	DT	this
can	MD	can
take	VV	take
us	PP	us
into	IN	into
day	NN	day
five	CD	five
six	CD	six
seven	CD	seven
and	CC	and
maybe	RB	maybe
Beyond	IN	beyond
well	RB	well
then	RB	then
you	PP	you
start	VVP	start
to	TO	to
have	VH	have
a	DT	a
problem	NN	problem
because	IN	because
it	PP	it
'	POS	'
s	NN	S
very	RB	very
hard	JJ	hard
to	TO	to
to	TO	to
know	VV	know
how	WRB	how
many	JJ	many
days	NNS	day
exactly	RB	exactly
and	CC	and
because	IN	because
because	IN	because
we	PP	we
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
um	NNS	um
with	IN	with
regard	NN	regard
to	TO	to
Hamas	NN	Hamas
and	CC	and
we	PP	we
don	VVP	don
'	''	'
t	NN	t
think	VVP	think
Hamas	RB	Hamas
hold	VV	hold
all	DT	all
of	IN	of
the	DT	the
captives	NNS	captive
in	IN	in
Gaza	NP	Gaza
how	WRB	how
many	JJ	many
of	IN	of
these	DT	these
captives	NNS	captive
are	VBP	be
alive	JJ	alive
so	IN	so
we	PP	we
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
how	WRB	how
many	JJ	many
women	NNS	woman
and	CC	and
children	NNS	child
there	RB	there
are	VBP	be
in	IN	in
total	NN	total
alive	JJ	alive
because	IN	because
I	PP	I
have	VHP	have
to	TO	to
say	VV	say
once	IN	once
you	PP	you
go	VVP	go
beyond	IN	beyond
the	DT	the
women	NNS	woman
and	CC	and
children	NNS	child
on	IN	on
both	DT	both
sides	NNS	side
the	DT	the
stakes	NNS	stake
start	VVP	start
getting	VVG	get
much	RB	much
much	RB	much
higher	JJR	high
um	NNS	um
both	CC	both
sides	NNS	side
will	MD	will
want	VV	want
more	RBR	more
in	IN	in
return	VV	return
and	CC	and
remember	VV	remember
the	DT	the
stated	JJ	stated
position	NN	position
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
backed	VVN	back
by	IN	by
the	DT	the
us	PP	us
as	IN	as
well	RB	well
which	WDT	which
is	VBZ	be
that	IN/that	that
Israel	NP	Israel
retains	VVZ	retain
its	PP$	its
right	NN	right
of	IN	of
self	JJ	self
-	NN	-
defense	NN	defense
after	IN	after
October	NP	October
the	DT	the
7th	JJ	7th
and	CC	and
Israel	NP	Israel
is	VBZ	be
making	VVG	make
it	PP	it
clear	JJ	clear
that	IN/that	that
it	PP	it
hasn	NNS	hasn
'	POS	'
t	NN	t
finished	VVD	finish
with	IN	with
its	PP$	its
aims	NNS	aim
of	IN	of
this	DT	this
war	NN	war
and	CC	and
that	IN/that	that
they	PP	they
will	MD	will
be	VB	be
restarting	VVG	restart
this	DT	this
war	NN	war
now	RB	now
could	MD	could
they	PP	they
be	VB	be
um	RB	um
persuaded	VVN	persuade
not	RB	not
to	TO	to
do	VV	do
that	IN/that	that
my	PP$	my
own	JJ	own
view	NN	view
is	VBZ	be
having	VHG	have
seen	VVN	see
the	DT	the
intensity	NN	intensity
of	IN	of
the	DT	the
way	NN	way
they	PP	they
prosecuted	VVD	prosecute
this	DT	this
War	NN	war
I	PP	I
think	VVP	think
when	WRB	when
they	PP	they
say	VVP	say
they	PP	they
mean	VVP	mean
to	TO	to
resume	VV	resume
it	PP	it
they	PP	they
mean	VVP	mean
that	IN/that	that
yeah	RB	yeah
so	RB	so
far	RB	far
they	PP	they
have	VHP	have
fulfilled	VVN	fulfill
their	PP$	their
promises	NNS	promise
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
attacking	VVG	attack
Gaza	NP	Gaza
and	CC	and
um	NNS	um
and	CC	and
bringing	VVG	bring
bringing	VVG	bring
unprecedented	JJ	unprecedented
Firepower	NN	firepower
to	TO	to
Bear	JJ	Bear
uh	UH	uh
in	IN	in
this	DT	this
war	NN	war
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
James	NP	James
Bay	NP	Bay
Al	NP	Al
a	DT	a
senior	JJ	senior
diplomatic	JJ	diplomatic
editor	NN	editor
for	IN	for
joining	VVG	join
us	PP	us
